|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/TIS/TIS_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             ilm            San(TH)        q             
  1377.13        500.000                 NaN   99.0164       0.165071       0.350938                 NaN  0.134064       0.333489                 NaN            NaN            NaN
  1376.07        500.000                 NaN   99.0274       0.348163       0.159705                 NaN  0.134571       0.330206                 NaN            NaN            NaN
  1375.00        500.000                 NaN   99.0367       0.346069       0.154924                 NaN  0.135120       0.327228                 NaN            NaN            NaN
  1373.93        500.000                 NaN   99.0435       0.344886       0.150876                 NaN  0.135506       0.325217                 NaN            NaN            NaN
  1372.86        500.000                 NaN   99.9891       0.528351E-002            NaN            NaN  0.566295E-002            NaN            NaN            NaN            NaN
  1371.79        500.000                 NaN   98.1373       0.673660       0.287548                 NaN  0.264293       0.637179                 NaN            NaN            NaN
  1370.72        500.000                 NaN   99.0757       0.337491       0.134663                 NaN  0.137011       0.315154                 NaN            NaN            NaN
  1369.66        500.000                 NaN   99.0838       0.131670       0.335222                 NaN  0.136787       0.312497                 NaN            NaN            NaN
  1368.59        500.000                 NaN   99.0975       0.125681       0.331888                 NaN  0.136858       0.308069                 NaN            NaN            NaN
  1367.52        500.000                 NaN   99.1043       0.330656       0.121711                 NaN  0.137413       0.305953                 NaN            NaN            NaN
  1366.45        500.000                 NaN   99.1128       0.117286       0.328935                 NaN  0.137707       0.303242                 NaN            NaN            NaN
  1365.38        500.000                 NaN   99.1215       0.327190       0.112788                 NaN  0.137945       0.300549                 NaN            NaN            NaN
  1364.31        500.000                 NaN   99.1308       0.108196       0.324989                 NaN  0.138383       0.297604                 NaN            NaN            NaN
  1363.25        500.000                 NaN   99.1387       0.104920       0.322771                 NaN  0.138545       0.295022                 NaN            NaN            NaN
  1362.18        500.000                 NaN   99.1466       0.321453       0.100895                 NaN  0.138411       0.292610                 NaN            NaN            NaN
  1361.11        500.000                 NaN   99.1566       0.319104       0.965117E-001            NaN  0.138591       0.289157                 NaN            NaN            NaN
  1360.04        500.000                 NaN   99.1630       0.317242       0.943111E-001            NaN  0.138417       0.287048                 NaN            NaN            NaN
  1358.97        500.000                 NaN   99.1712       0.899096E-001  0.315760                 NaN  0.138683       0.284490                 NaN            NaN            NaN
  1357.90        500.000                 NaN   99.1681       0.323413       0.775902E-001            NaN  0.143909       0.287027                 NaN            NaN            NaN
  1356.84        500.000                 NaN   99.1980       0.908801E-001  0.303676                 NaN  0.133260       0.274190                 NaN            NaN            NaN
  1355.77        500.000                 NaN   99.1948       0.789607E-001  0.310575                 NaN  0.138816       0.276868                 NaN            NaN            NaN
  1354.70        500.000                 NaN   99.2023       0.308760       0.756902E-001            NaN  0.138838       0.274378                 NaN            NaN            NaN
  1353.63        500.000                 NaN   99.2094       0.307433       0.733272E-001            NaN  0.138029       0.271824                 NaN            NaN            NaN
  1352.56        500.000                 NaN   99.2176       0.690345E-001  0.305520                 NaN  0.138596       0.269289                 NaN            NaN            NaN
  1351.49        500.000                 NaN   99.2242       0.303862       0.665900E-001            NaN  0.138286       0.267036                 NaN            NaN            NaN
  1350.43        500.000                 NaN   99.2322       0.633192E-001  0.301967                 NaN  0.138090       0.264416                 NaN            NaN            NaN
  1349.36        500.000                 NaN   99.2393       0.599410E-001  0.300088                 NaN  0.138363       0.262298                 NaN            NaN            NaN
  1348.29        500.000                 NaN   99.2462       0.574766E-001  0.299000                 NaN  0.137601       0.259708                 NaN            NaN            NaN
  1347.22        500.000                 NaN   99.2520       0.552716E-001  0.297513                 NaN  0.137429       0.257760                 NaN            NaN            NaN
  1346.15        500.000                 NaN   99.2297       0.146257E-001  0.341092                 NaN  0.149942       0.264619                 NaN            NaN            NaN
  1345.08        500.000                 NaN   99.2937       0.884510E-001  0.250791                 NaN  0.122886       0.244189                 NaN            NaN            NaN
  1344.02        500.000                 NaN   99.2723       0.477741E-001  0.292637                 NaN  0.136396       0.250902                 NaN            NaN            NaN
  1342.95        500.000                 NaN   99.2788       0.290825       0.453405E-001            NaN  0.136264       0.248755                 NaN            NaN            NaN
  1341.88        500.000                 NaN   99.2860       0.288677       0.438298E-001            NaN  0.135351       0.246125                 NaN            NaN            NaN
  1340.81        500.000                 NaN   99.2914       0.287384       0.418659E-001            NaN  0.134999       0.244339                 NaN            NaN            NaN
  1339.74        500.000                 NaN   99.2981       0.395227E-001  0.286031                 NaN  0.134397       0.241951                 NaN            NaN            NaN
  1338.67        500.000                 NaN   99.3020       0.391324E-001  0.284140                 NaN  0.133986       0.240713                 NaN            NaN            NaN
  1337.61        500.000                 NaN   99.3107       0.282865       0.363390E-001            NaN  0.132842       0.237277                 NaN            NaN            NaN
  1336.54        500.000                 NaN   99.3152       0.281187       0.353507E-001            NaN  0.132346       0.235874                 NaN            NaN            NaN
  1335.47        500.000                 NaN   99.3213       0.280089       0.326431E-001            NaN  0.132206       0.233751                 NaN            NaN            NaN
  1334.40        500.000                 NaN   99.3274       0.278399       0.307655E-001            NaN  0.131738       0.231653                 NaN            NaN            NaN
  1333.33        500.000                 NaN   99.3336       0.302931E-001  0.276345                 NaN  0.130420       0.229376                 NaN            NaN            NaN
  1332.26        500.000                 NaN   99.3389       0.284644E-001  0.275310                 NaN  0.129851       0.227457                 NaN            NaN            NaN
  1331.19        500.000                 NaN   99.3445       0.270137E-001  0.273661                 NaN  0.129298       0.225556                 NaN            NaN            NaN
  1330.13        500.000                 NaN   99.3491       0.268407E-001  0.272178                 NaN  0.128151       0.223712                 NaN            NaN            NaN
  1329.06        500.000                 NaN   99.3545       0.255586E-001  0.270633                 NaN  0.127487       0.221808                 NaN            NaN            NaN
  1327.99        500.000                 NaN   99.3594       0.269633       0.244845E-001            NaN  0.126518       0.219970                 NaN            NaN            NaN
  1326.92        500.000                 NaN   99.4075       0.224744E-001  0.248663                 NaN  0.117497       0.203818                 NaN            NaN            NaN
  1325.85        500.000                 NaN   99.3283       0.282929       0.273551E-001            NaN  0.131704       0.229686                 NaN            NaN            NaN
  1324.78        500.000                 NaN   99.3753       0.264832       0.219346E-001            NaN  0.123787       0.214128                 NaN            NaN            NaN
  1323.72        500.000                 NaN   99.3807       0.216479E-001  0.262959                 NaN  0.122613       0.212080                 NaN            NaN            NaN
  1322.65        500.000                 NaN   99.3357       0.146584       0.202012                 NaN  0.949316E-001  0.220790                 NaN            NaN            NaN
  1321.58        500.000                 NaN   99.4180       0.278436                 NaN            NaN  0.106730       0.196803                 NaN            NaN            NaN
  1320.51        500.000                 NaN   99.3988       0.266278                 NaN            NaN  0.127845       0.207066                 NaN            NaN            NaN
  1319.44        500.000                 NaN   99.4040       0.264474                 NaN            NaN  0.126426       0.205087                 NaN            NaN            NaN
  1318.37        500.000                 NaN   99.4080       0.263251                 NaN            NaN  0.125242       0.203510                 NaN            NaN            NaN
  1317.31        500.000                 NaN   99.4115       0.104733E-001  0.256170                 NaN  0.120394       0.201487                 NaN            NaN            NaN
  1316.24        500.000                 NaN   99.4132       0.252273       0.180173E-001            NaN  0.116320       0.200174                 NaN            NaN            NaN
  1315.17        500.000                 NaN   99.4213       0.258994                 NaN            NaN  0.121573       0.198180                 NaN            NaN            NaN
  1314.10        500.000                 NaN   99.4242       0.250471       0.157622E-001            NaN  0.113715       0.195806                 NaN            NaN            NaN
  1313.03        500.000                 NaN   99.4269       0.247244       0.195853E-001            NaN  0.111679       0.194603                 NaN            NaN            NaN
  1311.96        500.000                 NaN   99.4304       0.217948E-001  0.245579                 NaN  0.109366       0.192843                 NaN            NaN            NaN
  1310.90        500.000                 NaN   99.4354       0.216579E-001  0.243798                 NaN  0.108160       0.191002                 NaN            NaN            NaN
  1309.83        500.000                 NaN   99.4378       0.222813E-001  0.242887                 NaN  0.106963       0.190074                 NaN            NaN            NaN
  1308.76        500.000                 NaN   99.4433       0.239191E-001  0.239989                 NaN  0.105086       0.187693                 NaN            NaN            NaN
  1307.69        500.000                 NaN   99.4470       0.243165E-001  0.238783                 NaN  0.103636       0.186227                 NaN            NaN            NaN
  1306.62        500.000                 NaN   99.4507       0.237344       0.245762E-001            NaN  0.102552       0.184871                 NaN            NaN            NaN
  1305.55        500.000                 NaN   99.4532       0.236334       0.248379E-001            NaN  0.101650       0.183965                 NaN            NaN            NaN
  1304.49        500.000                 NaN   99.4560       0.233637       0.292283E-001            NaN  0.987474E-001  0.182422                 NaN            NaN            NaN
  1303.42        500.000                 NaN   99.4658       0.230720       0.274169E-001            NaN  0.973266E-001  0.178767                 NaN            NaN            NaN
  1302.35        500.000                 NaN   99.4658       0.294263E-001  0.229935                 NaN  0.962190E-001  0.178665                 NaN            NaN            NaN
  1301.28        500.000                 NaN   99.4691       0.308981E-001  0.228198                 NaN  0.945106E-001  0.177249                 NaN            NaN            NaN
  1300.21        500.000                 NaN   99.4728       0.226870       0.312614E-001            NaN  0.932680E-001  0.175836                 NaN            NaN            NaN
  1299.14        500.000                 NaN   99.4680       0.207224       0.718152E-001            NaN  0.778590E-001  0.174541       0.590587E-003            NaN            NaN
  1298.08        500.000                 NaN   99.4175       0.266530                 NaN            NaN  0.969703E-001  0.192159       0.268524E-001            NaN            NaN
  1297.01        500.000                 NaN   99.4247       0.263525                 NaN            NaN  0.955071E-001  0.188802       0.274210E-001            NaN            NaN
  1295.94        500.000                 NaN   99.4283       0.261045                 NaN            NaN  0.952798E-001  0.188169       0.272350E-001            NaN            NaN
  1294.87        500.000                 NaN   99.4346       0.258566                 NaN            NaN  0.939524E-001  0.186021       0.268409E-001            NaN            NaN
  1293.80        500.000                 NaN   99.4411       0.255164                 NaN            NaN  0.934238E-001  0.183913       0.264437E-001            NaN            NaN
  1292.73        500.000                 NaN   99.4456       0.253512                 NaN            NaN  0.923905E-001  0.182367       0.260960E-001            NaN            NaN
  1291.67        500.000                 NaN   99.4524       0.249083                 NaN            NaN  0.922833E-001  0.180416       0.257766E-001            NaN            NaN
  1290.60        500.000                 NaN   99.4581       0.248752                 NaN            NaN  0.898408E-001  0.177992       0.252672E-001            NaN            NaN
  1289.53        500.000                 NaN   99.4634       0.245442                 NaN            NaN  0.896624E-001  0.176547       0.249922E-001            NaN            NaN
  1288.46        500.000                 NaN   99.4687       0.243723                 NaN            NaN  0.883287E-001  0.174605       0.246142E-001            NaN            NaN
  1287.39        500.000                 NaN   99.4744       0.240871                 NaN            NaN  0.876357E-001  0.172790       0.242697E-001            NaN            NaN
  1286.32        500.000                 NaN   99.4821       0.240397                 NaN            NaN  0.836469E-001  0.169870       0.239693E-001            NaN            NaN
  1285.26        500.000                 NaN   99.4825       0.236265                 NaN            NaN  0.873579E-001  0.170347       0.234992E-001            NaN            NaN
  1284.19        500.000                 NaN   99.4905       0.234297                 NaN            NaN  0.846562E-001  0.167288       0.232207E-001            NaN            NaN
  1283.12        500.000                 NaN   99.4951       0.233109                 NaN            NaN  0.829510E-001  0.165887       0.229243E-001            NaN            NaN
  1282.05        500.000                 NaN   99.5013       0.229787                 NaN            NaN  0.826761E-001  0.163654       0.225380E-001            NaN            NaN
  1280.98        500.000                 NaN   99.5056       0.228403                 NaN            NaN  0.815086E-001  0.162240       0.222489E-001            NaN            NaN
  1279.91        500.000                 NaN   99.5105       0.225277                 NaN            NaN  0.815146E-001  0.160710       0.219650E-001            NaN            NaN
  1278.84        500.000                 NaN   99.5157       0.223826                 NaN            NaN  0.799531E-001  0.158877       0.216192E-001            NaN            NaN
  1277.78        500.000                 NaN   99.5192       0.222375                 NaN            NaN  0.784925E-001  0.158378       0.215878E-001            NaN            NaN
  1276.71        500.000                 NaN   99.5259       0.220018                 NaN            NaN  0.786207E-001  0.154790       0.207155E-001            NaN            NaN
  1275.64        500.000                 NaN   99.5311       0.209169                 NaN            NaN  0.808104E-001  0.157387       0.215635E-001            NaN            NaN
  1274.57        500.000                 NaN   99.5369       0.220944                 NaN            NaN  0.738308E-001  0.148602       0.197217E-001            NaN            NaN
  1273.50        500.000                 NaN   99.5397       0.214693                 NaN            NaN  0.747353E-001  0.150797       0.200899E-001            NaN            NaN
  1272.43        500.000                 NaN   98.2084       0.426043                 NaN            NaN  0.137829       0.307090       0.487700E-001  0.871897                 NaN
  1271.37        500.000                 NaN   92.8230        1.30208                 NaN            NaN  0.380721       0.938517       0.163289        4.39242                 NaN
  1270.30        500.000                 NaN   93.3756        1.21523                 NaN            NaN  0.347549       0.870578       0.149781        4.04129                 NaN
  1269.23        500.000                 NaN   93.8585        1.14380                 NaN            NaN  0.315746       0.810405       0.137867        3.73364                 NaN
  1268.16        500.000                 NaN   94.2811        1.08041                 NaN            NaN  0.287141       0.757801       0.127438        3.46616                 NaN
  1267.09        500.000                 NaN   94.6490        1.02152                 NaN            NaN  0.264854       0.711861       0.118504        3.23430                 NaN
  1266.02        500.000                 NaN   94.9661       0.972633                 NaN            NaN  0.244398       0.671998       0.110713        3.03414                 NaN
  1264.96        500.000                 NaN   95.2586       0.926579                 NaN            NaN  0.225382       0.635215       0.103551        2.85070                 NaN
  1263.89        500.000                 NaN   95.5149       0.887140                 NaN            NaN  0.208073       0.602716       0.972014E-001   2.69001                 NaN
  1262.82        500.000                 NaN   95.7449       0.850558                 NaN            NaN  0.193203       0.573557       0.915395E-001   2.54623                 NaN
  1261.75        500.000                 NaN   95.9528       0.819432                 NaN            NaN  0.178308       0.546993       0.863027E-001   2.41614                 NaN
  1260.68        500.000                 NaN   96.1410       0.194495E-001  0.772248                 NaN  0.164254       0.522800       0.815239E-001   2.29877                 NaN
  1259.61        500.000                 NaN   96.3056       0.714182       0.661306E-001            NaN  0.142676       0.501230       0.767204E-001   2.19342                 NaN
  1258.55        500.000                 NaN   96.4609       0.984325E-001  0.663531                 NaN  0.127468       0.481033       0.725269E-001   2.09610                 NaN
  1257.48        500.000                 NaN   96.6117       0.645074       0.840921E-001            NaN  0.123612       0.461551       0.691654E-001   2.00476                 NaN
  1256.41        500.000                 NaN   96.7504       0.629331       0.697176E-001            NaN  0.120068       0.443416       0.660579E-001   1.92098                 NaN
  1255.34        500.000                 NaN   96.8788       0.615917       0.543532E-001            NaN  0.117319       0.426665       0.632289E-001   1.84373                 NaN
  1254.27        500.000                 NaN   96.9951       0.587344       0.641889E-001            NaN  0.109399       0.411209       0.602818E-001   1.77250                 NaN
  1253.20        500.000                 NaN   97.1126       0.594786       0.218232E-001            NaN  0.113079       0.395741       0.580917E-001   1.70391                 NaN
  1252.14        500.000                 NaN   97.2164       0.519515       0.826620E-001            NaN  0.103177       0.381463       0.554000E-001   1.64134                 NaN
  1251.07        500.000                 NaN   97.3142       0.572601                 NaN            NaN  0.107670       0.368685       0.535179E-001   1.58330                 NaN
  1250.00        500.000                 NaN   97.4081       0.551226                 NaN            NaN  0.105122       0.356008       0.514060E-001   1.52810                 NaN
  1248.93        500.000                 NaN   97.4894       0.522865       0.197492E-001            NaN  0.961152E-001  0.344811       0.491074E-001   1.47792                 NaN
  1247.86        500.000                 NaN   97.5718       0.173914E-001  0.507814                 NaN  0.930818E-001  0.333568       0.471728E-001   1.42913                 NaN
  1246.79        500.000                 NaN   97.6479       0.507114                 NaN            NaN  0.919010E-001  0.323070       0.454924E-001   1.38450                 NaN
  1245.73        500.000                 NaN   97.7122       0.434530       0.812430E-001            NaN  0.730895E-001  0.313933       0.428967E-001   1.34209                 NaN
  1244.66        500.000                 NaN   97.7947       0.476219                 NaN            NaN  0.864272E-001  0.302700       0.420373E-001   1.29792                 NaN
  1243.59        500.000                 NaN   97.8567       0.463239                 NaN            NaN  0.839225E-001  0.294037       0.405315E-001   1.26153                 NaN
  1242.52        500.000                 NaN   97.9219       0.448719                 NaN            NaN  0.820943E-001  0.284751       0.390343E-001   1.22352                 NaN
  1241.45        500.000                 NaN   97.9805       0.433460                 NaN            NaN  0.821034E-001  0.276472       0.377860E-001   1.18973                 NaN
  1240.38        500.000                 NaN   98.0383       0.421156                 NaN            NaN  0.798893E-001  0.268306       0.363950E-001   1.15600                 NaN
  1239.32        500.000                 NaN   98.0921       0.413579                 NaN            NaN  0.748184E-001  0.260541       0.349221E-001   1.12405                 NaN
  1238.25        500.000                 NaN   98.1445       0.402296                 NaN            NaN  0.728324E-001  0.253072       0.336761E-001   1.09361                 NaN
  1237.18        500.000                 NaN   98.1709       0.280785       0.184075                 NaN  0.206665E-001  0.248821       0.298641E-001   1.06487                 NaN
  1236.11        500.000                 NaN   98.2366       0.381539                 NaN            NaN  0.711906E-001  0.239458       0.315519E-001   1.03970                 NaN
  1235.04        500.000                 NaN   98.2884       0.369587                 NaN            NaN  0.688981E-001  0.232190       0.303160E-001   1.01066                 NaN
  1233.97        500.000                 NaN   98.3321       0.359411                 NaN            NaN  0.678799E-001  0.225737       0.293493E-001  0.985564                 NaN
  1232.90        500.000                 NaN   98.3759       0.350119                 NaN            NaN  0.659616E-001  0.219257       0.283085E-001  0.960477                 NaN
  1231.84        500.000                 NaN   98.4153       0.343535                 NaN            NaN  0.631244E-001  0.213644       0.272133E-001  0.937166                 NaN
  1230.77        500.000                 NaN   98.4541       0.332017       0.987223E-002            NaN  0.564679E-001  0.207844       0.260115E-001  0.913675                 NaN
  1229.70        500.000                 NaN   98.4837       0.773296E-001  0.274650                 NaN  0.433573E-001  0.203411       0.245437E-001  0.893057                 NaN
  1228.63        500.000                 NaN   98.5161       0.237342       0.117426                 NaN  0.349958E-001  0.198543       0.233241E-001  0.872247                 NaN
  1227.56        500.000                 NaN   98.5495       0.222516       0.126937                 NaN  0.323319E-001  0.193583       0.224160E-001  0.852725                 NaN
  1226.49        500.000                 NaN   98.5810       0.197772       0.151263                 NaN  0.267440E-001  0.188902       0.214307E-001  0.832855                 NaN
  1225.43        500.000                 NaN   98.6098       0.170661       0.178791                 NaN  0.207111E-001  0.184434       0.203712E-001  0.815246                 NaN
  1224.36        500.000                 NaN   98.6393       0.200084       0.148538                 NaN  0.158187E-001  0.180226       0.194770E-001  0.796513                 NaN
  1223.29        500.000                 NaN   98.6659       0.223061       0.125600                 NaN  0.105635E-001  0.176119       0.185441E-001  0.780181                 NaN
  1222.22        500.000                 NaN   98.7087       0.123556       0.192017                 NaN  0.256002E-001  0.169806       0.187321E-001  0.761600                 NaN
  1221.15        500.000                 NaN   98.7388       0.209304       0.901733E-001            NaN  0.319764E-001  0.165392       0.183433E-001  0.745982                 NaN
  1220.08        500.000                 NaN   98.7425       0.284858       0.586394E-001            NaN            NaN  0.165284       0.160225E-001  0.732654                 NaN
  1219.02        500.000                 NaN   98.7701       0.254429       0.819003E-001            NaN            NaN  0.160761       0.155394E-001  0.717276                 NaN
  1217.95        500.000                 NaN   98.7952       0.259926       0.698184E-001            NaN  0.303700E-005  0.157171       0.149937E-001  0.702910                 NaN
  1216.88        500.000                 NaN   98.8215       0.244732       0.777685E-001            NaN            NaN  0.153068       0.144706E-001  0.688499                 NaN
  1215.81        500.000                 NaN   98.8522       0.218819       0.939806E-001            NaN            NaN  0.148253       0.141008E-001  0.672638                 NaN
  1214.74        500.000                 NaN   98.8751       0.729301E-001  0.233989                 NaN            NaN  0.145134       0.134839E-001  0.659322                 NaN
  1213.67        500.000                 NaN   96.2064       0.419233       0.179405                 NaN            NaN  0.361735       0.245927E-001   1.66745        1.14114     
  1212.61        500.000                 NaN   82.3672        1.56368                 NaN            NaN  0.401063        1.48989       0.986878E-001   6.96905        7.11045     
  1211.54        500.000                 NaN   82.5636        1.51273                 NaN            NaN  0.427762        1.47139       0.972629E-001   6.87507        7.05222     
  1210.47        500.000                 NaN   85.8911        1.29153                 NaN            NaN  0.313195        1.18563       0.774919E-001   5.56525        5.67584     
  1209.40        500.000                 NaN   83.1053        1.37540                 NaN            NaN  0.452951        1.41761       0.945874E-001   6.65787        6.89630     
  1208.33        500.000                 NaN   91.4344       0.701839                 NaN            NaN  0.252953       0.725797       0.484743E-001   3.41836        3.41816     
  1207.26        500.000                 NaN   89.7101       0.658885                 NaN            NaN  0.342039       0.864540       0.605713E-001   4.12858        4.23524     
  1206.20        500.000                 NaN   86.7987        1.40527                 NaN            NaN  0.262425        1.09927       0.681264E-001   5.12032        5.24586     
  1205.13        500.000                 NaN   68.6023        2.71115                 NaN            NaN  0.823786        2.63447       0.164548        12.3470        12.7167     
  1204.06        500.000                 NaN  100.0000       0.169392E-005            NaN            NaN            NaN  0.148065E-005            NaN  0.693318E-005  0.707328E-005
  1202.99        500.000                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1201.92        500.000                 NaN   99.9990       0.882396E-004            NaN            NaN  0.230322E-004  0.852029E-004  0.545456E-005  0.407225E-003  0.415114E-003
  1200.85        500.000                 NaN   99.9980       0.162679E-003            NaN            NaN  0.511781E-004  0.163246E-003  0.103431E-004  0.782609E-003  0.801064E-003
  1199.79        500.000                 NaN   72.4332        2.50197                 NaN            NaN  0.554299        2.29152       0.135494        10.9405        11.1430     
  1198.72        500.000                 NaN   99.9998                 NaN            NaN            NaN  0.205087E-004  0.187744E-004            NaN  0.698160E-004  0.706119E-004
  1197.65        500.000                 NaN   99.9996       0.341500E-004            NaN            NaN            NaN  0.261152E-004  0.331292E-005  0.157088E-003  0.158476E-003
  1196.58        500.000                 NaN   90.8749       0.795365                 NaN            NaN  0.178143       0.756785       0.431202E-001   3.65842        3.69328     
  1195.51        500.000                 NaN   92.0146       0.258073       0.743271                 NaN            NaN  0.668226       0.280663E-001   3.13347        3.15427     
  1194.44        500.000                 NaN   93.8886       0.735120                 NaN            NaN            NaN  0.509275       0.220743E-001   2.43097        2.41396     
  1193.38        500.000                 NaN   92.6023       0.559959       0.727220E-005            NaN  0.178323       0.591797       0.372176E-001   2.98332        3.04706     
  1192.31        500.000                 NaN   91.9815       0.109212       0.827941                 NaN            NaN  0.657955       0.284132E-001   3.22610        3.16892     
  1191.24        500.000                 NaN   84.4779       0.859303                 NaN            NaN  0.453508        1.23787       0.810402E-001   6.42262        6.46775     
