|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.5/K22/K22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          16
T(K)           P(bar)         Sp(TH)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          O(HP)          O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1628.21        2500.00       0.128783E-001            NaN   99.1113       0.875811       0.140325E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.64        2500.00                 NaN            NaN   98.9580        1.04198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.06        2500.00                 NaN            NaN   98.9717       0.960859       0.674831E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00                 NaN            NaN   98.9681       0.933030       0.988939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.91        2500.00                 NaN            NaN   98.9942       0.906093       0.997133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.34        2500.00                 NaN            NaN   98.9967       0.904770       0.985029E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.76        2500.00                 NaN            NaN   99.0027       0.899711       0.976293E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.19        2500.00                 NaN            NaN   99.0224       0.882610       0.949500E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.61        2500.00                 NaN            NaN   99.0268       0.879960       0.932479E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1614.04        2500.00                 NaN            NaN   99.3022       0.631852       0.659567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.47        2500.00                 NaN            NaN   97.7901        2.01556       0.194306                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.89        2500.00                 NaN            NaN   99.9864                 NaN  0.136284E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.32        2500.00                 NaN            NaN   99.1446       0.784341       0.710967E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.74        2500.00                 NaN            NaN   99.0744       0.839435       0.861326E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1606.17        2500.00                 NaN            NaN   97.5336        2.24847       0.217909                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.59        2500.00       0.527675E-002            NaN   99.8379       0.124829       0.319798E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1603.02        2500.00                 NaN            NaN   99.9525       0.443677E-001  0.311269E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.44        2500.00                 NaN            NaN   99.1107       0.806172       0.831138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.87        2500.00                 NaN            NaN   99.1072       0.812342       0.804833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.30        2500.00                 NaN            NaN   99.1471       0.808000       0.448597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.72        2500.00                 NaN            NaN   99.1343       0.751189       0.114464                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.15        2500.00                 NaN            NaN   99.1487       0.774516       0.768252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.57        2500.00                 NaN            NaN   99.1554       0.786737       0.578287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.00        2500.00                 NaN            NaN   99.1534       0.754850       0.917557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.42        2500.00                 NaN            NaN   99.1235       0.797965       0.785478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.85        2500.00                 NaN            NaN   99.7035       0.269874       0.266265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.27        2500.00                 NaN            NaN   98.7145        1.17225       0.113295                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.70        2500.00                 NaN            NaN   99.1932       0.735871       0.709487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.13        2500.00                 NaN            NaN   99.2017       0.728231       0.700692E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN            NaN   99.2075       0.724177       0.683720E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.98        2500.00                 NaN            NaN   99.2121       0.721685       0.662035E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.40        2500.00                 NaN            NaN   99.2217       0.713132       0.651408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.83        2500.00                 NaN            NaN   99.2285       0.706663       0.648136E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.25        2500.00                 NaN            NaN   99.2307       0.707230       0.620657E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.68        2500.00                 NaN            NaN   99.2342       0.703046       0.627243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00                 NaN            NaN   99.2568       0.681347       0.618225E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.53        2500.00                 NaN            NaN   99.2541       0.685956       0.599794E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.95        2500.00                 NaN            NaN   99.2611       0.679404       0.595442E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.38        2500.00                 NaN            NaN   99.2663       0.675560       0.580946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.81        2500.00                 NaN            NaN   99.2729       0.669704       0.573470E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.23        2500.00                 NaN            NaN   99.2784       0.665567       0.560564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
