|6.6.6
Archiving\03_Data\eq/QFM_m5/YM20/YM20_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        96.0354       0.246815       0.240874        3.43717       0.397681E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        95.9607       0.328594       0.196637        3.47435       0.397723E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        95.8859       0.410390       0.152391        3.51153       0.397765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        95.8112       0.492203       0.108135        3.54873       0.397807E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        95.7364       0.574034       0.638703E-001   3.58593       0.397849E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        95.6628       0.654598       0.202907E-001   3.62254       0.397890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        95.6154       0.692134                 NaN   3.65270       0.397924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        95.5908       0.692182                 NaN   3.67720       0.397952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        95.5663       0.692230                 NaN   3.70171       0.397980E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        95.5421       0.692277                 NaN   3.72580       0.398007E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        95.5180       0.692325                 NaN   3.74989       0.398034E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        95.4938       0.692372                 NaN   3.77398       0.398061E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        95.4697       0.692420                 NaN   3.79808       0.398088E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        95.4455       0.692467                 NaN   3.82218       0.398116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        95.4214       0.692514                 NaN   3.84629       0.398143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        95.3972       0.692562                 NaN   3.87039       0.398170E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        95.3731       0.692609                 NaN   3.89450       0.398197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        95.3496       0.692655                 NaN   3.91796       0.398224E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.3261       0.692701                 NaN   3.94141       0.398250E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        95.3026       0.692747                 NaN   3.96487       0.398277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        95.2790       0.692793                 NaN   3.98833       0.398303E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        95.2555       0.692840                 NaN   4.01180       0.398330E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        95.2320       0.692886                 NaN   4.03527       0.398356E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        95.2085       0.692932                 NaN   4.05874       0.398383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        95.1850       0.692978                 NaN   4.08222       0.398410E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        95.1621       0.693023                 NaN   4.10505       0.398435E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        95.1392       0.693068                 NaN   4.12788       0.398461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        95.1163       0.693113                 NaN   4.15072       0.398487E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        95.0934       0.693157                 NaN   4.17356       0.398513E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        95.0705       0.693202                 NaN   4.19640       0.398539E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        95.0477       0.693247                 NaN   4.21925       0.398564E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        95.0248       0.693292                 NaN   4.24209       0.398590E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        95.0019       0.693337                 NaN   4.26495       0.398616E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        94.9792       0.693381                 NaN   4.28754       0.398641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        94.4130       0.693386                 NaN   4.29020       0.394178E-001  0.564026                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        93.7677       0.693382                 NaN   4.28843       0.388974E-001   1.21156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        93.1225       0.693378                 NaN   4.28666       0.383769E-001   1.85908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        92.4993       0.693368                 NaN   4.28207       0.378542E-001   2.48738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
