|6.6.6
Archiving\03_Data\eq/QFM_m5/YM20/YM20_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         melt(TH)       pxmn           mang           iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        98.2649       0.202142       0.141637        1.37704       0.143047E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        98.2088       0.269169       0.115641        1.39212       0.143076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        98.1526       0.336236       0.896321E-001   1.40720       0.143104E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        98.0964       0.403342       0.636108E-001   1.42229       0.143133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        98.0402       0.470487       0.375770E-001   1.43738       0.143162E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        97.9849       0.536618       0.119393E-001   1.45224       0.143190E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        97.9537       0.567478                 NaN   1.46448       0.143211E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        97.9437       0.567593                 NaN   1.47441       0.143227E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        97.9336       0.567707                 NaN   1.48435       0.143243E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        97.9237       0.567821                 NaN   1.49412       0.143258E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        97.9138       0.567934                 NaN   1.50389       0.143274E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        97.9040       0.568048                 NaN   1.51367       0.143290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        97.8941       0.568161                 NaN   1.52345       0.143305E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        97.8842       0.568275                 NaN   1.53323       0.143321E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        97.8743       0.568388                 NaN   1.54301       0.143336E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        97.8644       0.568502                 NaN   1.55280       0.143352E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        97.8545       0.568615                 NaN   1.56259       0.143368E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        97.8448       0.568727                 NaN   1.57212       0.143383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        97.8352       0.568839                 NaN   1.58165       0.143398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        97.8255       0.568951                 NaN   1.59118       0.143414E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        97.8159       0.569063                 NaN   1.60071       0.143429E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        97.8062       0.569175                 NaN   1.61025       0.143444E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        97.7966       0.569287                 NaN   1.61979       0.143460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        97.7869       0.569399                 NaN   1.62933       0.143475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        97.7773       0.569511                 NaN   1.63888       0.143490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.7679       0.569622                 NaN   1.64817       0.143505E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.7585       0.569732                 NaN   1.65746       0.143521E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.7491       0.569843                 NaN   1.66675       0.143536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        97.7396       0.569953                 NaN   1.67605       0.143551E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        97.7302       0.570064                 NaN   1.68534       0.143566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        97.7208       0.570174                 NaN   1.69465       0.143581E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        97.7114       0.570285                 NaN   1.70395       0.143596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        97.7020       0.570395                 NaN   1.71326       0.143611E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        97.6927       0.570505                 NaN   1.72246       0.143626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        97.1596       0.570743                 NaN   1.72414       0.142064E-001  0.531309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        96.5497       0.570997                 NaN   1.72411       0.140239E-001   1.14120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        95.9392       0.571249                 NaN   1.72408       0.138413E-001   1.75161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        95.3488       0.571489                 NaN   1.72289       0.136575E-001   2.34312                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        94.7580       0.571728                 NaN   1.72169       0.134735E-001   2.93509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        94.1667       0.571966                 NaN   1.72049       0.132894E-001   3.52753                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        93.5750       0.572203                 NaN   1.71929       0.131052E-001   4.12043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        93.0069       0.572424                 NaN   1.71656       0.129194E-001   4.69122                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        92.4384       0.572645                 NaN   1.71383       0.127335E-001   5.26241                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        91.8695       0.572864                 NaN   1.71110       0.125475E-001   5.83401                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        91.3002       0.573083                 NaN   1.70836       0.123614E-001   6.40602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        90.7432       0.573292                 NaN   1.70460       0.121731E-001   6.96670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        90.1878       0.573500                 NaN   1.70024       0.119840E-001   7.52318       0.333946E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        89.6301       0.573710                 NaN   1.69480       0.117946E-001   8.07356       0.160019E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        89.0721       0.573919                 NaN   1.68935       0.116050E-001   8.62432       0.286738E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        88.5315       0.574110                 NaN   1.68168       0.114090E-001   9.16044       0.408524E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        87.9906       0.574300                 NaN   1.67399       0.112129E-001   9.69688       0.530393E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        87.4493       0.574490                 NaN   1.66631       0.110167E-001   10.2336       0.652344E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        86.9077       0.574679                 NaN   1.65861       0.108204E-001   10.7707       0.774376E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        86.3658       0.574867                 NaN   1.65090       0.106239E-001   11.3081       0.896490E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        85.8236       0.575054                 NaN   1.64319       0.104274E-001   11.8458       0.101868                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        85.2811       0.575240                 NaN   1.63548       0.102307E-001   12.3838       0.114096                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        84.7383       0.575425                 NaN   1.62775       0.100339E-001   12.9222       0.126331                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        84.2136       0.575586                 NaN   1.61631       0.982528E-002   13.4468       0.137877                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        83.6886       0.575745                 NaN   1.60486       0.961652E-002   13.9717       0.149430                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        83.1634       0.575904                 NaN   1.59341       0.940768E-002   14.4969       0.160989                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        82.6379       0.576061                 NaN   1.58195       0.919873E-002   15.0223       0.172554                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        82.1122       0.576218                 NaN   1.57047       0.898970E-002   15.5479       0.184126                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        81.5863       0.576374                 NaN   1.55900       0.878057E-002   16.0738       0.195703                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        81.0601       0.576528                 NaN   1.54751       0.857135E-002   16.6000       0.207287                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        80.5337       0.576682                 NaN   1.53602       0.836204E-002   17.1263       0.218877                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        80.0142       0.576813                 NaN   1.52039       0.813703E-002   17.6506       0.229834                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        79.4945       0.576943                 NaN   1.50475       0.791193E-002   18.1751       0.240795                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        78.9746       0.577071                 NaN   1.48910       0.768677E-002   18.6997       0.251761                 NaN            NaN            NaN            NaN            NaN            NaN
