|6.6.6
Archiving\03_Data\eqLP/QFM/GRV/GRV_1.tab                                  
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.1692       0.830774                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.1692       0.830772                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.1692       0.830769                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.1692       0.830766                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.1692       0.830764                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.1692       0.830761                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.1692       0.830758                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.1692       0.830756                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.1692       0.830753                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.1692       0.830750                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.1693       0.830747                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.1693       0.830744                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.1693       0.830742                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.1693       0.830739                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.1693       0.830736                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.1693       0.830733                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.1693       0.830730                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.1693       0.830727                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.1693       0.830724                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.1693       0.830720                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.1693       0.830717                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.1693       0.830714                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.1693       0.830711                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.1693       0.830707                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.1693       0.830704                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.1693       0.830701                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.1693       0.830697                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.1693       0.830694                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.1693       0.830690                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.1693       0.830687                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.1693       0.830683                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.1693       0.830680                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.1693       0.830676                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.1693       0.830673                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.1693       0.830669                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.1693       0.830665                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.1693       0.830661                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.1693       0.830657                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.1693       0.830654                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.1694       0.830650                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.1694       0.830646                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.1694       0.830642                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.1694       0.830638                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.1694       0.830634                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.1694       0.830630                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.1694       0.830626                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.1694       0.830622                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.1694       0.830617                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.1694       0.830613                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.1694       0.830609                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.1694       0.830605                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.1694       0.830600                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.1694       0.830596                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.1694       0.830591                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.1694       0.830587                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.1694       0.830582                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.1610       0.830577       0.844521E-002            NaN            NaN            NaN            NaN            NaN
