|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/GRV/GRV_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        Sp(TH)         O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00        99.2662       0.733832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.1660       0.833505       0.530471E-003  0.121097E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        99.1722       0.827776                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.1788       0.805238                 NaN  0.159197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.1812       0.801644                 NaN  0.171290E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.1918       0.774309                 NaN  0.339068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        99.1943       0.782433                 NaN  0.232218E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        99.2014       0.775764                 NaN  0.227878E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.2043       0.773882                 NaN  0.218116E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.2080       0.771624                 NaN  0.203808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        99.2122       0.768306                 NaN  0.194737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.2159       0.765623                 NaN  0.184810E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00        99.2031       0.779201                 NaN  0.177349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.2425       0.741432                 NaN  0.160894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00        99.2281       0.753322                 NaN  0.149016E-001  0.371946E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        99.0737       0.810758E-001            NaN            NaN  0.845261                 NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00        99.0629                 NaN            NaN  0.381031E-002  0.933316                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        99.0425                 NaN  0.404331E-002  0.133758E-005  0.953489                 NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00        99.0157                 NaN  0.756721E-002  0.919720E-006  0.976683                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        99.0093                 NaN  0.750919E-002            NaN  0.983217                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00        98.9963                 NaN  0.748558E-002            NaN  0.996171                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00        99.7362       0.187503                 NaN  0.322395E-001  0.440193E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00        98.2220                 NaN  0.124151E-001            NaN   1.76560                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00        98.9335                 NaN  0.744509E-002            NaN   1.05908                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00        98.8916                 NaN  0.741538E-002            NaN   1.10100                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        98.8366                 NaN  0.742797E-002            NaN   1.15596                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        98.7575                 NaN  0.742576E-002            NaN   1.23238       0.269761E-002            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00        98.3222                 NaN  0.667601E-002            NaN  0.321499        1.34961                 NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00        98.3472                 NaN  0.655265E-002            NaN   1.33061       0.315663                 NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00        98.3702                 NaN  0.641308E-002            NaN   1.31555       0.307835                 NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00        98.3127                 NaN  0.614293E-002  0.127663        1.34905       0.204412                 NaN            NaN            NaN            NaN            NaN
