|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.75/GRV/GRV_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        Sp(TH)         O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1596.15        2500.00        99.1779       0.822093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.66        2500.00        99.0653       0.933828       0.834204E-003  0.140783E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.16        2500.00        99.0725       0.927465                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.67        2500.00        99.0791       0.902373                 NaN  0.185125E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.17        2500.00        99.0816       0.898455                 NaN  0.199316E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.68        2500.00        99.0925       0.868056                 NaN  0.394666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.19        2500.00        99.0958       0.877138                 NaN  0.270364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.69        2500.00        99.1036       0.869909                 NaN  0.265375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.20        2500.00        99.1066       0.868007                 NaN  0.254138E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.70        2500.00        99.1106       0.865605                 NaN  0.237555E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.21        2500.00        99.1153       0.861998                 NaN  0.227068E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.71        2500.00        99.1193       0.859101                 NaN  0.215547E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.22        2500.00        99.1049       0.874436                 NaN  0.206892E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.73        2500.00        99.1489       0.832290                 NaN  0.187796E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.23        2500.00        99.1327       0.845792                 NaN  0.174021E-001  0.415431E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1573.74        2500.00        98.9649       0.910308E-001            NaN            NaN  0.944079                 NaN            NaN            NaN            NaN            NaN            NaN
  1572.24        2500.00        98.9529                 NaN            NaN  0.445281E-002   1.04264                 NaN            NaN            NaN            NaN            NaN            NaN
  1570.75        2500.00        98.9283                 NaN  0.635562E-002  0.156380E-005   1.06530                 NaN            NaN            NaN            NaN            NaN            NaN
  1569.26        2500.00        98.8968                 NaN  0.118932E-001  0.107518E-005   1.09132                 NaN            NaN            NaN            NaN            NaN            NaN
  1567.76        2500.00        98.8893                 NaN  0.117997E-001            NaN   1.09894                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.27        2500.00        98.8747                 NaN  0.117593E-001            NaN   1.11351                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.77        2500.00        99.7023       0.210833                 NaN  0.376834E-001  0.492232E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1563.28        2500.00        98.0078                 NaN  0.194820E-001            NaN   1.97274                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.79        2500.00        98.8036                 NaN  0.116907E-001            NaN   1.18475                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.29        2500.00        98.7567                 NaN  0.116426E-001            NaN   1.23166                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        98.6951                 NaN  0.116589E-001            NaN   1.29322                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        98.6067                 NaN  0.116514E-001            NaN   1.37861       0.300872E-002            NaN            NaN            NaN            NaN            NaN
  1555.81        2500.00        98.1253                 NaN  0.104622E-001            NaN  0.359548        1.50467                 NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00        98.1529                 NaN  0.102639E-001            NaN   1.48373       0.353118                 NaN            NaN            NaN            NaN            NaN
  1552.82        2500.00        98.1783                 NaN  0.100396E-001            NaN   1.46723       0.344456                 NaN            NaN            NaN            NaN            NaN
  1551.33        2500.00        98.1064                 NaN  0.961222E-002  0.150046        1.50513       0.228838                 NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00        98.2851                 NaN  0.844157E-002  0.112197        1.59426                 NaN            NaN            NaN            NaN            NaN            NaN
  1548.34        2500.00        98.2382                 NaN  0.845437E-002  0.176125        1.57725                 NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        2500.00        98.2602                 NaN  0.825111E-002  0.175474        1.55606                 NaN            NaN            NaN            NaN            NaN            NaN
  1545.35        2500.00        98.2842                 NaN  0.809989E-002  0.168600        1.53909                 NaN            NaN            NaN            NaN            NaN            NaN
  1543.86        2500.00        98.3114                 NaN  0.785743E-002  0.170108        1.51059                 NaN            NaN            NaN            NaN            NaN            NaN
  1542.36        2500.00        98.3373                 NaN  0.762575E-002  0.170936        1.48413                 NaN            NaN            NaN            NaN            NaN            NaN
  1540.87        2500.00        98.3542                 NaN  0.755861E-002  0.159200       0.407582E-002   1.47498                 NaN            NaN            NaN            NaN            NaN
  1539.37        2500.00        98.3836                 NaN  0.727771E-002  0.160776        1.44838                 NaN            NaN            NaN            NaN            NaN            NaN
  1537.88        2500.00        98.4070                 NaN  0.703663E-002  0.163584        1.42237                 NaN            NaN            NaN            NaN            NaN            NaN
  1536.39        2500.00        98.4265                 NaN  0.687977E-002  0.157548        1.40911                 NaN            NaN            NaN            NaN            NaN            NaN
  1534.89        2500.00        98.4465                 NaN  0.675940E-002  0.150616        1.38820       0.794278E-002            NaN            NaN            NaN            NaN            NaN
  1533.40        2500.00        98.4701                 NaN  0.652980E-002  0.152620        1.37079                 NaN            NaN            NaN            NaN            NaN            NaN
  1531.90        2500.00        98.4903                 NaN  0.633253E-002  0.151699        1.35163                 NaN            NaN            NaN            NaN            NaN            NaN
  1530.41        2500.00        98.5115                 NaN  0.614513E-002  0.150476        1.33188                 NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        2500.00        98.5187                 NaN  0.616840E-002  0.130382        1.27682       0.679135E-001            NaN            NaN            NaN            NaN            NaN
  1527.42        2500.00        98.5477                 NaN  0.582836E-002  0.146478       0.971050E-002   1.29028                 NaN            NaN            NaN            NaN            NaN
  1525.93        2500.00        98.5728                 NaN  0.559913E-002  0.146824        1.27480                 NaN            NaN            NaN            NaN            NaN            NaN
  1524.43        2500.00        98.5873                 NaN  0.543707E-002  0.149681        1.25756                 NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        2500.00        98.6012                 NaN  0.538074E-002  0.135257        1.23543       0.226944E-001            NaN            NaN            NaN            NaN            NaN
  1521.44        2500.00        98.6147                 NaN  0.529155E-002  0.126777       0.529271E-001   1.20033                 NaN            NaN            NaN            NaN            NaN
  1519.95        2500.00        98.6307                 NaN  0.515116E-002  0.124237        1.18159       0.583623E-001            NaN            NaN            NaN            NaN            NaN
  1518.46        2500.00        98.6258                 NaN  0.510940E-002  0.124640        1.18835       0.560598E-001            NaN            NaN            NaN            NaN            NaN
  1516.96        2500.00        98.6810                 NaN  0.481919E-002  0.116435        1.12338       0.743831E-001            NaN            NaN            NaN            NaN            NaN
  1515.47        2500.00        98.6772                 NaN  0.473313E-002  0.116725        1.12777       0.735628E-001            NaN            NaN            NaN            NaN            NaN
  1513.97        2500.00        98.6927                 NaN  0.458391E-002  0.114185       0.769482E-001   1.11161                 NaN            NaN            NaN            NaN            NaN
  1512.48        2500.00        98.7065                 NaN  0.446236E-002  0.112268       0.798984E-001   1.09684                 NaN            NaN            NaN            NaN            NaN
  1510.99        2500.00        98.7199                 NaN  0.433882E-002  0.109743        1.07976       0.862959E-001            NaN            NaN            NaN            NaN            NaN
  1509.49        2500.00        98.7351                 NaN  0.419990E-002  0.107515        1.06345       0.896993E-001            NaN            NaN            NaN            NaN            NaN
  1508.00        2500.00        98.7471                 NaN  0.407933E-002  0.105381       0.929168E-001   1.05051                 NaN            NaN            NaN            NaN            NaN
  1506.50        2500.00        98.7619                 NaN  0.394925E-002  0.102981        1.03452       0.966184E-001            NaN            NaN            NaN            NaN            NaN
  1505.01        2500.00        99.2680                 NaN  0.243734E-002  0.603423E-001  0.607980       0.612862E-001            NaN            NaN            NaN            NaN            NaN
  1503.52        2500.00        98.2901                 NaN  0.526331E-002  0.139812       0.146517        1.41828                 NaN            NaN            NaN            NaN            NaN
  1502.02        2500.00        98.7983                 NaN  0.359896E-002  0.968941E-001  0.993915       0.107290                 NaN            NaN            NaN            NaN            NaN
  1500.53        2500.00        98.8102                 NaN  0.347732E-002  0.948631E-001  0.110310       0.981135                 NaN            NaN            NaN            NaN            NaN
  1499.03        2500.00        98.8219                 NaN  0.339105E-002  0.928447E-001  0.967266       0.114568                 NaN            NaN            NaN            NaN            NaN
  1497.54        2500.00        98.8213                 NaN  0.346202E-002  0.713943E-001  0.913759       0.190084                 NaN            NaN            NaN            NaN            NaN
  1496.04        2500.00        98.8576                 NaN  0.296681E-002  0.108727       0.980866       0.498108E-001            NaN            NaN            NaN            NaN            NaN
  1494.55        2500.00        98.5014                 NaN  0.399844E-002  0.114331       0.155428        1.22480                 NaN            NaN            NaN            NaN            NaN
  1493.06        2500.00        99.2205                 NaN  0.202347E-002  0.580798E-001  0.882252E-001  0.631145                 NaN            NaN            NaN            NaN            NaN
  1491.56        2500.00        98.8760                 NaN  0.279715E-002  0.916800E-001  0.111241       0.918260                 NaN            NaN            NaN            NaN            NaN
  1490.07        2500.00        98.8894                 NaN  0.277657E-002  0.735032E-001  0.146807       0.887517                 NaN            NaN            NaN            NaN            NaN
  1488.57        2500.00        98.8965                 NaN  0.265395E-002  0.800725E-001  0.885686       0.135114                 NaN            NaN            NaN            NaN            NaN
  1487.08        2500.00        98.9060                 NaN  0.255665E-002  0.783671E-001  0.875931       0.137135                 NaN            NaN            NaN            NaN            NaN
  1485.59        2500.00        98.9141                 NaN  0.246573E-002  0.767338E-001  0.867762       0.138927                 NaN            NaN            NaN            NaN            NaN
  1484.09        2500.00        98.9250                 NaN  0.237464E-002  0.751085E-001  0.855321       0.142211                 NaN            NaN            NaN            NaN            NaN
  1482.60        2500.00        98.9346                 NaN  0.227869E-002  0.734752E-001  0.845774       0.143911                 NaN            NaN            NaN            NaN            NaN
  1481.10        2500.00        99.1819                 NaN  0.168232E-002  0.553527E-001  0.651806       0.109296                 NaN            NaN            NaN            NaN            NaN
  1479.61        2500.00        98.7113                 NaN  0.260054E-002  0.868184E-001  0.182155        1.01708                 NaN            NaN            NaN            NaN            NaN
  1478.12        2500.00        98.9610                 NaN  0.202248E-002  0.687324E-001  0.817222       0.151024                 NaN            NaN            NaN            NaN            NaN
  1476.62        2500.00        98.9614                 NaN  0.193166E-002  0.664437E-001  0.152231       0.818018                 NaN            NaN            NaN            NaN            NaN
  1475.13        2500.00        98.9835                 NaN  0.186183E-002  0.664215E-001  0.793197       0.155066                 NaN            NaN            NaN            NaN            NaN
  1473.63        2500.00        98.9850                 NaN  0.178111E-002  0.646560E-001  0.791570       0.157006                 NaN            NaN            NaN            NaN            NaN
  1472.14        2500.00        97.6184                 NaN  0.393810E-002  0.149566       0.362158        1.86589                 NaN            NaN            NaN            NaN            NaN
  1470.64        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.15        2500.00        99.3918                 NaN  0.972396E-003  0.350313E-001  0.108094       0.464065                 NaN            NaN            NaN            NaN            NaN
