|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/TAY13/TAY13_3.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1567.31        500.000        99.9817       0.183048E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        500.000        99.4273                 NaN  0.572739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        500.000        99.4032       0.226455E-001  0.574167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        500.000        99.4145       0.185419E-002  0.583616                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        500.000        99.4185       0.253047E-001  0.556193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        500.000        99.4226       0.280116E-001  0.549425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        500.000        99.4307       0.269490E-001  0.542356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        500.000        98.9476       0.501542E-001   1.00220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        500.000        99.9021       0.482097E-002  0.930989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        500.000        99.4728       0.164903E-001  0.510681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        500.000        99.4495       0.313792E-001  0.519159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        500.000        99.4533       0.228890E-001  0.523798                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        500.000        99.4552       0.226518E-001  0.522184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        500.000        99.4683       0.231946E-001  0.508499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        500.000        99.4681       0.221643E-001  0.509703                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        500.000        99.4732       0.208519E-001  0.505918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        500.000        99.4771       0.205276E-001  0.502378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        500.000        99.4804       0.192040E-001  0.500380                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        500.000        99.4849       0.181600E-001  0.496979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        500.000        99.4909       0.188461E-001  0.490238                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        500.000        99.4943       0.185946E-001  0.487076                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        500.000        99.4977       0.172950E-001  0.485046                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        500.000        99.5009       0.159148E-001  0.483149                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        500.000        99.5080       0.164395E-001  0.475587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        500.000        99.5098       0.147498E-001  0.475495                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.5140       0.148755E-001  0.471093                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        500.000        99.5171       0.140082E-001  0.468892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        99.5207       0.128966E-001  0.466382                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        500.000        99.5251       0.928369E-002  0.465606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000        99.5312       0.232939E-001  0.445542                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.66        500.000        99.5249       0.763060E-002  0.467485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        500.000        99.5428       0.989659E-002  0.447293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.81        500.000        99.4649       0.110773E-001  0.524069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000        99.6153       0.889113E-002  0.375762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.97        500.000        99.5466       0.104329E-001  0.442934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.55        500.000        99.5489       0.840072E-002  0.442737                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.12        500.000        99.5518       0.916184E-002  0.439007                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        500.000        99.7843       0.801126E-002  0.207681                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.28        500.000        99.3309       0.583758E-002  0.663252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.86        500.000        99.5636       0.141299E-001  0.422242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.5649       0.761098E-005  0.435119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000        99.5684       0.517998E-002  0.426406                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.59        500.000        99.5712       0.498863E-002  0.423794                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000        99.5745       0.561571E-002  0.419918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.75        500.000        99.5768       0.315848E-002  0.420049                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.33        500.000        99.8023       0.158165E-002  0.196152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.91        500.000        99.3553       0.267738E-003  0.644434                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000        99.1235       0.103309       0.773239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.06        500.000        99.9785       0.231338E-005  0.215207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        500.000        99.7433                 NaN  0.256741                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.22        500.000        99.5341       0.556073E-005  0.465901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.80        500.000        99.5948                 NaN  0.405199                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.37        500.000        99.5737       0.294420E-001  0.396876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        500.000        99.6334                 NaN  0.366641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.53        500.000        99.5996                 NaN  0.400357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        500.000        99.6063                 NaN  0.393662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.69        500.000        99.6073                 NaN  0.392651                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        500.000        99.6112                 NaN  0.388768                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.84        500.000        99.6129       0.107568E-005  0.387090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.42        500.000        99.6155                 NaN  0.384484                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.00        500.000        99.5592                 NaN  0.440805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        500.000        99.6789                 NaN  0.321128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.16        500.000        99.6229                 NaN  0.377105                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.73        500.000        99.6245                 NaN  0.375531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.31        500.000        99.6263                 NaN  0.373689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.89        500.000        99.6291       0.467686E-003  0.370427                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.47        500.000        99.5598                 NaN  0.560310E-001  0.384196                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.05        500.000        99.0955                 NaN            NaN  0.904521                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        500.000        99.9917                 NaN  0.830537E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.20        500.000        99.5743                 NaN  0.264348E-001  0.399278                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.78        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.36        500.000        99.1125                 NaN            NaN  0.887545                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.94        500.000        99.5152                 NaN  0.265595E-003  0.484565                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.52        500.000        99.6471                 NaN  0.666374E-001  0.286269                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.09        500.000        99.5173                 NaN            NaN  0.482660                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.67        500.000        99.5605                 NaN            NaN  0.439457                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.25        500.000        99.5617                 NaN            NaN  0.438288                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.83        500.000        99.5618                 NaN            NaN  0.438201                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.41        500.000        99.5621                 NaN            NaN  0.437872                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.99        500.000        99.5625                 NaN            NaN  0.437487                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.56        500.000        99.5626                 NaN            NaN  0.437409                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.14        500.000        99.5628                 NaN            NaN  0.437235                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.72        500.000        99.5624                 NaN            NaN  0.437610                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.30        500.000        99.5621                 NaN            NaN  0.437867                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        500.000        99.5603                 NaN            NaN  0.439705                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.45        500.000        99.5606                 NaN            NaN  0.439357                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.03        500.000        99.6821                 NaN            NaN  0.317895                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.61        500.000        99.4266                 NaN            NaN  0.573410                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.19        500.000        99.4620                 NaN            NaN  0.369026       0.168975                 NaN            NaN            NaN            NaN            NaN
  1440.77        500.000        99.3227                 NaN            NaN  0.243606       0.433742                 NaN            NaN            NaN            NaN            NaN
  1439.35        500.000        99.3287                 NaN            NaN  0.241759       0.429519                 NaN            NaN            NaN            NaN            NaN
  1437.92        500.000        99.3359                 NaN            NaN  0.239026       0.425036                 NaN            NaN            NaN            NaN            NaN
  1436.50        500.000        99.3415                 NaN            NaN  0.421923       0.236615                 NaN            NaN            NaN            NaN            NaN
  1435.08        500.000        99.3471                 NaN            NaN  0.418392       0.234538                 NaN            NaN            NaN            NaN            NaN
  1433.66        500.000        99.3534                 NaN            NaN  0.414449       0.232147                 NaN            NaN            NaN            NaN            NaN
  1432.24        500.000        99.3591                 NaN            NaN  0.229676       0.411244                 NaN            NaN            NaN            NaN            NaN
  1430.81        500.000        99.3649                 NaN            NaN  0.407231       0.227870                 NaN            NaN            NaN            NaN            NaN
  1429.39        500.000        99.3710                 NaN            NaN  0.404228       0.224732                 NaN            NaN            NaN            NaN            NaN
  1427.97        500.000        99.3750                 NaN            NaN  0.223778       0.401248                 NaN            NaN            NaN            NaN            NaN
  1426.55        500.000        99.3825                 NaN            NaN  0.220645       0.396809                 NaN            NaN            NaN            NaN            NaN
  1425.13        500.000        99.3874                 NaN            NaN  0.393879       0.218691                 NaN            NaN            NaN            NaN            NaN
  1423.71        500.000        99.3920                 NaN            NaN  0.216977       0.391067                 NaN            NaN            NaN            NaN            NaN
  1422.28        500.000        99.3978                 NaN            NaN  0.387587       0.214597                 NaN            NaN            NaN            NaN            NaN
  1420.86        500.000        99.4025                 NaN            NaN  0.212369       0.385133                 NaN            NaN            NaN            NaN            NaN
  1419.44        500.000        99.4076                 NaN            NaN  0.381850       0.210588                 NaN            NaN            NaN            NaN            NaN
