|6.6.6
Archiving\03_Data\eqfracLP/QFM_m3.5/TAY13/TAY13_1.tab                     
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1567.31        500.000        99.9781       0.219315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.89        500.000        99.3348                 NaN  0.665243                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.47        500.000        99.3062       0.271204E-001  0.666708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.04        500.000        99.3196       0.222253E-002  0.678135                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.62        500.000        99.3231       0.303471E-001  0.646536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.20        500.000        99.3274       0.336130E-001  0.638947                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.78        500.000        99.3367       0.323494E-001  0.630939                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.36        500.000        98.7742       0.602034E-001   1.16558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.94        500.000        99.8857       0.580142E-002  0.108499                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.51        500.000        99.3855       0.198252E-001  0.594717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.09        500.000        99.3575       0.377429E-001  0.604744                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.67        500.000        99.3621       0.275406E-001  0.610335                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.25        500.000        99.3641       0.272753E-001  0.608648                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.83        500.000        99.3791       0.279379E-001  0.592970                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.40        500.000        99.3788       0.267087E-001  0.594529                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.98        500.000        99.3845       0.251453E-001  0.590352                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.56        500.000        99.3888       0.247692E-001  0.586479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.14        500.000        99.3925       0.231791E-001  0.584281                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.72        500.000        99.3976       0.219346E-001  0.580478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.30        500.000        99.4044       0.227727E-001  0.572830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.87        500.000        99.4082       0.224762E-001  0.569293                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.45        500.000        99.4119       0.209177E-001  0.567167                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.03        500.000        99.4156       0.192598E-001  0.565152                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.61        500.000        99.4237       0.199001E-001  0.556410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.19        500.000        99.4256       0.178668E-001  0.556536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        500.000        99.4304       0.180289E-001  0.551610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.34        500.000        99.4338       0.169839E-001  0.549211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.92        500.000        99.4379       0.156444E-001  0.546448                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.50        500.000        99.4430       0.112659E-001  0.545693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        500.000        99.4493       0.282884E-001  0.522375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.66        500.000        99.4420       0.928074E-002  0.548680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        500.000        99.4632       0.120298E-001  0.524803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.81        500.000        99.3716       0.134649E-001  0.614890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.39        500.000        99.5480       0.108207E-001  0.441175                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.97        500.000        99.4670       0.127017E-001  0.520249                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.55        500.000        99.4696       0.102359E-001  0.520165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.12        500.000        99.4729       0.111676E-001  0.515956                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.70        500.000        99.7457       0.978267E-002  0.244532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.28        500.000        99.2132       0.711855E-002  0.779675                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.86        500.000        99.4861       0.172450E-001  0.496700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.44        500.000        99.4879       0.930124E-005  0.512054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.01        500.000        99.4916       0.632874E-002  0.502029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.59        500.000        99.4948       0.609828E-002  0.499071                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.17        500.000        99.4984       0.686863E-002  0.494705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.75        500.000        99.5012       0.386471E-002  0.494941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.33        500.000        99.7669       0.193597E-002  0.231136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.91        500.000        99.2402       0.327807E-003  0.759452                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.48        500.000        98.9623       0.126479       0.911195                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.06        500.000        99.9746       0.283956E-005  0.254174E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.64        500.000        99.6969                 NaN  0.303128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.22        500.000        99.4499       0.682608E-005  0.550090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.80        500.000        99.5214                 NaN  0.478578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.37        500.000        99.4949       0.361738E-001  0.468893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.95        500.000        99.5665                 NaN  0.433459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.53        500.000        99.5266                 NaN  0.473371                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.11        500.000        99.5344                 NaN  0.465622                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.69        500.000        99.5355                 NaN  0.464534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.27        500.000        99.5398                 NaN  0.460215                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.84        500.000        99.5416       0.132577E-005  0.458353                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.42        500.000        99.5446                 NaN  0.455375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.00        500.000        99.4778                 NaN  0.522196                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.58        500.000        99.6194                 NaN  0.380629                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.16        500.000        99.5529                 NaN  0.447108                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.73        500.000        99.5546                 NaN  0.445415                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.31        500.000        99.5567                 NaN  0.443296                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.89        500.000        99.5598       0.578477E-003  0.439618                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.47        500.000        99.4794                 NaN  0.665162E-001  0.454069                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.05        500.000        98.9312                 NaN            NaN   1.06877                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.63        500.000        99.9901                 NaN  0.987747E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.20        500.000        99.4960                 NaN  0.314265E-001  0.472547                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.78        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.36        500.000        98.9495                 NaN            NaN   1.05054                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.94        500.000        99.4254                 NaN  0.316127E-003  0.574270                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.52        500.000        99.5811                 NaN  0.793738E-001  0.339478                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.09        500.000        99.4275                 NaN            NaN  0.572521                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.67        500.000        99.4785                 NaN            NaN  0.521511                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.25        500.000        99.4796                 NaN            NaN  0.520426                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.83        500.000        99.4795                 NaN            NaN  0.520547                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.41        500.000        99.4796                 NaN            NaN  0.520409                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.99        500.000        99.4798                 NaN            NaN  0.520235                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.56        500.000        99.4797                 NaN            NaN  0.520321                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.14        500.000        99.4796                 NaN            NaN  0.520410                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.72        500.000        99.4789                 NaN            NaN  0.521111                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.30        500.000        99.4783                 NaN            NaN  0.521676                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.88        500.000        99.4759                 NaN            NaN  0.524131                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.45        500.000        99.4760                 NaN            NaN  0.524027                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.03        500.000        99.6206                 NaN            NaN  0.379418                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.61        500.000        99.3158                 NaN            NaN  0.684197                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.19        500.000        99.3594                 NaN            NaN  0.440717       0.199900                 NaN            NaN            NaN            NaN            NaN
  1440.77        500.000        99.1956                 NaN            NaN  0.291088       0.513312                 NaN            NaN            NaN            NaN            NaN
  1439.35        500.000        99.2025                 NaN            NaN  0.289035       0.508490                 NaN            NaN            NaN            NaN            NaN
  1437.92        500.000        99.2105                 NaN            NaN  0.285966       0.503541                 NaN            NaN            NaN            NaN            NaN
  1436.50        500.000        99.2166                 NaN            NaN  0.500140       0.283298                 NaN            NaN            NaN            NaN            NaN
  1435.08        500.000        99.2228                 NaN            NaN  0.496232       0.280996                 NaN            NaN            NaN            NaN            NaN
  1433.66        500.000        99.2298                 NaN            NaN  0.491876       0.278350                 NaN            NaN            NaN            NaN            NaN
  1432.24        500.000        99.2361                 NaN            NaN  0.275571       0.488331                 NaN            NaN            NaN            NaN            NaN
  1430.81        500.000        99.2427                 NaN            NaN  0.483769       0.273575                 NaN            NaN            NaN            NaN            NaN
  1429.39        500.000        99.2494                 NaN            NaN  0.480597       0.270029                 NaN            NaN            NaN            NaN            NaN
  1427.97        500.000        99.2536                 NaN            NaN  0.269095       0.477280                 NaN            NaN            NaN            NaN            NaN
  1426.55        500.000        99.2622                 NaN            NaN  0.265486       0.472286                 NaN            NaN            NaN            NaN            NaN
  1425.13        500.000        99.2676                 NaN            NaN  0.469085       0.263341                 NaN            NaN            NaN            NaN            NaN
  1423.71        500.000        99.2725                 NaN            NaN  0.261455       0.465996                 NaN            NaN            NaN            NaN            NaN
  1422.28        500.000        99.2791                 NaN            NaN  0.462129       0.258775                 NaN            NaN            NaN            NaN            NaN
