|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/EETA/EETA_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.305551E-003   99.9232                 NaN  0.205661E-001            NaN            NaN  0.559370E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.577645E-003   99.3164                 NaN  0.196551       0.459660                 NaN  0.267889E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00                 NaN   99.2911                 NaN  0.495391       0.213536                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00                 NaN   99.2946                 NaN  0.492714       0.212641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00                 NaN   99.2898                 NaN  0.214662       0.495492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.159769E-003   99.7956                 NaN  0.612422E-001  0.142989                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.411269E-003   98.8225                 NaN  0.820715       0.356379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.722031E-003   99.3098                 NaN  0.479324       0.210161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.685657E-003   99.2965                 NaN  0.488320       0.214527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.642410E-003   99.3331                 NaN  0.203251       0.463028                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.609686E-003   99.3205                 NaN  0.471885       0.206991                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.584413E-003   99.3234                 NaN  0.205855       0.470132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.543182E-003   99.2807                 NaN  0.219775       0.498877                 NaN            NaN  0.928461E-004            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.491684E-003   99.3755                 NaN  0.190321       0.433676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.499470E-003   99.3329                 NaN  0.463500       0.203131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
