|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/EETA/EETA_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00       0.198927E-003   99.9344                 NaN  0.178002E-001            NaN            NaN  0.476103E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.376570E-003   99.4104                 NaN  0.168401       0.398022                 NaN  0.228101E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00                 NaN   99.3884                 NaN  0.428770       0.182863                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00                 NaN   99.3917                 NaN  0.426303       0.181999                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00                 NaN   99.3878                 NaN  0.183644       0.428541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.104238E-003   99.8241                 NaN  0.523229E-001  0.123521                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.268866E-003   98.9853                 NaN  0.709687       0.304765                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.472043E-003   99.4059                 NaN  0.414074       0.179527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.448400E-003   99.3947                 NaN  0.421677       0.183160                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.420349E-003   99.4265                 NaN  0.173426       0.399661                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.399095E-003   99.4159                 NaN  0.407136       0.176541                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.382701E-003   99.4187                 NaN  0.175490       0.405469                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.355738E-003   99.3823                 NaN  0.187231       0.430068                 NaN            NaN  0.739872E-004            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.322277E-003   99.4639                 NaN  0.162064       0.373692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.327567E-003   99.4275                 NaN  0.399249       0.172895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.314905E-003   99.4306                 NaN  0.171597       0.397514                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.295967E-003   99.4336                 NaN  0.395139       0.170965                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.278880E-003   99.4358                 NaN  0.169710       0.394225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.252402E-003   99.4380                 NaN  0.392902       0.168865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.244145E-003   99.4425                 NaN  0.168486       0.388787                 NaN            NaN  0.941054E-006            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.227969E-003   99.4447                 NaN  0.166970       0.388090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.211695E-003   99.4465                 NaN  0.387092       0.166174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.188998E-003   99.4492                 NaN  0.165301       0.385268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.187125E-003   99.4520                 NaN  0.164427       0.383398                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.180087E-003   99.4323                 NaN  0.397646       0.169859                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.134757E-003   99.4778                 NaN  0.365568       0.156537                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00       0.380421E-003   99.1896                 NaN  0.383005       0.285814                 NaN            NaN            NaN            NaN  0.141241                 NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.5531                 NaN  0.576872       0.393700                 NaN            NaN            NaN            NaN  0.476361                 NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.5391                 NaN  0.447958       0.391938                 NaN            NaN  0.115333                 NaN  0.505711                 NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.5364                 NaN  0.483124       0.268093                 NaN            NaN  0.189816                 NaN  0.522591                 NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.5572                 NaN  0.478201       0.260222                 NaN            NaN  0.188991                 NaN  0.515418                 NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.5768                 NaN  0.252262       0.473331                 NaN            NaN  0.188637                 NaN  0.508974                 NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.5962                 NaN  0.468979       0.245079                 NaN            NaN  0.187498                 NaN  0.502196                 NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.6128                 NaN  0.465686       0.237039                 NaN            NaN  0.187627                 NaN  0.496832                 NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.6378                 NaN  0.459345       0.229414                 NaN            NaN  0.185546                 NaN  0.487867                 NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.6528                 NaN  0.456638       0.221712                 NaN            NaN  0.185736                 NaN  0.483138                 NaN            NaN            NaN
