|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.75/TAY13/TAY13_1.tab                    
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1560.90        500.000       0.200146E-002   99.8630       0.134976                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.49        500.000                 NaN   99.3277       0.666598       0.572913E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.09        500.000                 NaN   99.3307       0.637187       0.321088E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        500.000                 NaN   99.3359       0.627844       0.362398E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.28        500.000                 NaN   99.3410       0.623012       0.359440E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.87        500.000                 NaN   99.3475       0.619104       0.333643E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.47        500.000                 NaN   99.3500       0.617222       0.328231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.06        500.000                 NaN   99.3588       0.609301       0.318902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.65        500.000                 NaN   99.3628       0.605144       0.320472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.25        500.000                 NaN   99.7985       0.196259       0.525234E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.84        500.000                 NaN   98.9403        1.00854       0.511490E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.44        500.000                 NaN   98.8305        1.10699       0.624866E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1544.03        500.000                 NaN   99.9212       0.746518E-001  0.412853E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.63        500.000                 NaN   99.4078       0.565040       0.271298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1541.22        500.000                 NaN   99.4611       0.509279       0.296080E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.81        500.000                 NaN   98.9218        1.02346       0.547596E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.41        500.000                 NaN   99.8220       0.170276       0.768989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.00        500.000                 NaN   99.8255       0.164254       0.102860E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.60        500.000                 NaN   98.9896       0.969973       0.403982E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.19        500.000                 NaN   99.4213       0.557215       0.215144E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.78        500.000                 NaN   99.4210       0.557554       0.214626E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.38        500.000                 NaN   99.4266       0.549606       0.237629E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.97        500.000                 NaN   99.4285       0.551188       0.202706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.57        500.000                 NaN   99.4336       0.545649       0.207466E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.16        500.000                 NaN   99.3608       0.615029       0.242072E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.76        500.000                 NaN   99.5194       0.463714       0.168531E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.35        500.000                 NaN   99.4439       0.539489       0.165826E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.94        500.000                 NaN   99.4501       0.531934       0.179247E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.54        500.000                 NaN   99.4520       0.532507       0.155271E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        500.000                 NaN   99.4570       0.528577       0.144299E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.73        500.000                 NaN   99.4606       0.524830       0.145862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        500.000                 NaN   99.4628       0.531249       0.599272E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.92        500.000                 NaN   99.3690       0.612173       0.188768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.51        500.000                 NaN   99.5683       0.421013       0.106460E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.10        500.000                 NaN   99.4747       0.513285       0.120301E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.70        500.000                 NaN   99.1123       0.874278       0.134427E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.29        500.000                 NaN   99.8376       0.147209       0.151473E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.89        500.000                 NaN   99.4886       0.506259       0.512161E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.48        500.000                 NaN   99.4879       0.512098                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.08        500.000                 NaN   99.4922       0.491089       0.166708E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
