|6.6.6
Archiving\03_Data\eqfracLP/QFM/Y98/Y98_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1451.92        500.000        98.2837        1.02885                 NaN  0.687437                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.2035       0.542810                 NaN  0.253727       0.148538E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.2129       0.537063                 NaN  0.250048                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.2134       0.537724                 NaN  0.248897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.2139       0.538469                 NaN  0.247662                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.2303       0.528646                 NaN  0.241100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.2312       0.529003                 NaN  0.239762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.2341       0.527735                 NaN  0.238204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.2393       0.525504                 NaN  0.235239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.2420       0.524915                 NaN  0.233062                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.2453       0.522487                 NaN  0.230514       0.172636E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.2519       0.519695                 NaN  0.228404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.2154       0.547221                 NaN  0.237362                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.6773       0.190429       0.115688       0.138534E-001  0.276370E-002            NaN            NaN            NaN            NaN            NaN            NaN
