|6.6.6
Archiving\03_Data\eqfracLP/QFM/Y98/Y98_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1451.92        500.000        98.4955       0.907475                 NaN  0.597053                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.3019       0.478073                 NaN  0.220025       0.123422E-005            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        99.3103       0.472942                 NaN  0.216793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.3109       0.473400                 NaN  0.215734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.3115       0.473933                 NaN  0.214587                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.3260       0.465162                 NaN  0.208835                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        99.3270       0.465385                 NaN  0.207617                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.3296       0.464158                 NaN  0.206203                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.3343       0.462088                 NaN  0.203589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.3370       0.461407                 NaN  0.201610                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.3400       0.459218                 NaN  0.199395       0.142986E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.3459       0.456608                 NaN  0.197475                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.3142       0.480647                 NaN  0.205118                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.7181       0.167170       0.100517       0.119658E-001  0.228330E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        98.8645       0.669749       0.465745                 NaN  0.168080E-004            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.2731       0.300575       0.426297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        99.2773       0.298951       0.423752                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1432.67        500.000        99.2823       0.296517       0.421193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1431.53        500.000        99.2856       0.419633       0.294808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.40        500.000        99.2898       0.293049       0.417120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1429.27        500.000        99.2937       0.291046       0.415254                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1428.13        500.000        99.2982       0.412731       0.289050                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1427.00        500.000        99.3014       0.287901       0.410692                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1425.87        500.000        99.3055       0.285687       0.408802                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1424.74        500.000        99.3100       0.406429       0.283601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1423.60        500.000        99.3125       0.405426       0.282085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1422.47        500.000        99.3172       0.280204       0.402561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1421.34        500.000        99.3209       0.400559       0.278552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1420.21        500.000        99.2557       0.439429       0.304848                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1419.07        500.000        99.3947       0.357423       0.247830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1417.94        500.000        99.0779       0.424400       0.373905                 NaN            NaN  0.123782                 NaN            NaN            NaN            NaN            NaN
  1416.81        500.000        98.3306       0.508671       0.670033                 NaN            NaN  0.490681                 NaN            NaN            NaN            NaN            NaN
  1415.68        500.000        98.3534       0.502221       0.660603                 NaN            NaN  0.483800                 NaN            NaN            NaN            NaN            NaN
  1414.54        500.000        98.3775       0.495369       0.650517                 NaN            NaN  0.476570                 NaN            NaN            NaN            NaN            NaN
  1413.41        500.000        98.4013       0.488451       0.640847                 NaN            NaN  0.469434                 NaN            NaN            NaN            NaN            NaN
  1412.28        500.000        98.4228       0.482598       0.631831                 NaN            NaN  0.462813                 NaN            NaN            NaN            NaN            NaN
  1411.15        500.000        98.4437       0.476436       0.623486                 NaN            NaN  0.456346                 NaN            NaN            NaN            NaN            NaN
  1410.01        500.000        98.4655       0.614406       0.470328                 NaN            NaN  0.449803                 NaN            NaN            NaN            NaN            NaN
  1408.88        500.000        98.4850       0.464621       0.606509                 NaN            NaN  0.443865                 NaN            NaN            NaN            NaN            NaN
  1407.75        500.000        98.4995       0.470525       0.503473                 NaN  0.711851E-001  0.455268                 NaN            NaN            NaN            NaN            NaN
