|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/Y98/Y98_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        q             
  1455.13        500.000        99.8845       0.365723E-001  0.789291E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1453.99        500.000        99.1594       0.530114       0.310506                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.85        500.000        99.1624       0.308322       0.529259                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.71        500.000        99.1675       0.306768       0.525774                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.57        500.000        99.1595       0.308646       0.531827                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.43        500.000        99.1944       0.296635       0.508949                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.29        500.000        99.1850       0.299370       0.515617                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.15        500.000        99.1902       0.297823       0.511981                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.00        500.000        99.1883       0.298463       0.513248                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.86        500.000        99.2101       0.499963       0.289895                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.72        500.000        97.6407       0.864706        1.49152       0.302637E-002            NaN            NaN            NaN            NaN            NaN
  1442.58        500.000        99.9995                 NaN            NaN  0.476057E-003            NaN            NaN            NaN            NaN            NaN
  1441.44        500.000        99.9455       0.358612E-001  0.160556E-001  0.232616E-004  0.257551E-002            NaN            NaN            NaN            NaN
  1440.30        500.000        99.2932       0.260282       0.446522                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.16        500.000        99.9465       0.316703E-001            NaN            NaN            NaN  0.218770E-001            NaN            NaN            NaN
  1438.02        500.000        98.4597       0.987045       0.553241                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.88        500.000        98.3223       0.636943       0.670151                 NaN            NaN  0.370625                 NaN            NaN            NaN
  1435.74        500.000        97.6553       0.957313       0.740728                 NaN            NaN  0.646671                 NaN            NaN            NaN
  1434.60        500.000        97.6960       0.728958       0.939453                 NaN            NaN  0.635602                 NaN            NaN            NaN
  1433.46        500.000        97.7356       0.717318       0.922735                 NaN            NaN  0.624351                 NaN            NaN            NaN
  1432.32        500.000        97.7756       0.705177       0.906003                 NaN            NaN  0.613246                 NaN            NaN            NaN
  1431.18        500.000        97.8123       0.890171       0.694684                 NaN            NaN  0.602837                 NaN            NaN            NaN
  1430.04        500.000        97.8506       0.683147       0.874092                 NaN            NaN  0.592208                 NaN            NaN            NaN
  1428.89        500.000        97.8877       0.857772       0.672498                 NaN            NaN  0.582052                 NaN            NaN            NaN
  1427.75        500.000        97.9224       0.661797       0.843518                 NaN            NaN  0.572331                 NaN            NaN            NaN
  1426.61        500.000        97.9519       0.652951       0.831193                 NaN            NaN  0.563969                 NaN            NaN            NaN
  1425.47        500.000        97.9912       0.640824       0.814766                 NaN            NaN  0.553186                 NaN            NaN            NaN
  1424.33        500.000        98.0210       0.631418       0.802458                 NaN            NaN  0.545150                 NaN            NaN            NaN
  1423.19        500.000        98.0507       0.788505       0.623823                 NaN  0.528541E-003  0.536442                 NaN            NaN            NaN
  1422.05        500.000        98.0799       0.613798       0.778004                 NaN            NaN  0.528260                 NaN            NaN            NaN
  1420.91        500.000        98.1119       0.763044       0.604674                 NaN  0.107390E-002  0.519305                 NaN            NaN            NaN
  1419.77        500.000        98.1394       0.615444       0.664729                 NaN  0.594108E-001  0.521017                 NaN            NaN            NaN
  1418.63        500.000        98.1672       0.632317       0.538269                 NaN  0.136993       0.525240                 NaN            NaN            NaN
  1417.49        500.000        98.1920       0.523943       0.626586                 NaN  0.138782       0.518689                 NaN            NaN            NaN
  1416.35        500.000        98.2192       0.621033       0.508188                 NaN  0.140671       0.510885                 NaN            NaN            NaN
  1415.21        500.000        98.2503       0.496579       0.611009                 NaN  0.139874       0.502236                 NaN            NaN            NaN
  1414.07        500.000        98.2734       0.483578       0.605316                 NaN  0.141650       0.496075                 NaN            NaN            NaN
  1412.92        500.000        98.2966       0.598709       0.471237                 NaN  0.143536       0.489894                 NaN            NaN            NaN
  1411.78        500.000        98.3207       0.458447       0.593198                 NaN  0.144426       0.483198                 NaN            NaN            NaN
  1410.64        500.000        98.3427       0.587704       0.446582                 NaN  0.145784       0.477263                 NaN            NaN            NaN
  1409.50        500.000        98.3643       0.434770       0.582277                 NaN  0.147066       0.471564                 NaN            NaN            NaN
  1408.36        500.000        98.3880       0.576639       0.422521                 NaN  0.148173       0.464669                 NaN            NaN            NaN
  1407.22        500.000        98.4105       0.411212       0.570319                 NaN  0.149351       0.458660                 NaN            NaN            NaN
  1406.08        500.000        98.4301       0.399963       0.566021                 NaN  0.150667       0.453258                 NaN            NaN            NaN
  1404.94        500.000        98.4512       0.560646       0.388369                 NaN  0.152323       0.447451                 NaN            NaN            NaN
  1403.80        500.000        98.4714       0.554875       0.379132                 NaN  0.152678       0.441927                 NaN            NaN            NaN
