|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4/Y98/Y98_3.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             ilm            San(TH)        q             
  1455.13        500.000        99.9005       0.317417E-001  0.677771E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1453.99        500.000        99.2729       0.460362       0.266744                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.85        500.000        99.2758       0.264739       0.459420                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.71        500.000        99.2804       0.263294       0.456287                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.57        500.000        99.2739       0.264738       0.461347                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.43        500.000        99.3044       0.254316       0.441299                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.29        500.000        99.2965       0.256545       0.446916                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.15        500.000        99.3013       0.255080       0.443592                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.00        500.000        99.2999       0.255522       0.444556                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.86        500.000        99.3191       0.432852       0.248034                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.72        500.000        97.9650       0.740661        1.29238       0.196830E-002            NaN            NaN            NaN            NaN            NaN
  1442.58        500.000        99.9997                 NaN            NaN  0.308882E-003            NaN            NaN            NaN            NaN            NaN
  1441.44        500.000        99.9533       0.309362E-001  0.136776E-001  0.150796E-004  0.207225E-002            NaN            NaN            NaN            NaN
  1440.30        500.000        99.3918       0.222225       0.385966                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.16        500.000        99.9501       0.270173E-001            NaN            NaN            NaN  0.228491E-001            NaN            NaN            NaN
  1438.02        500.000        98.6742       0.853441       0.472365                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.88        500.000        98.4907       0.550201       0.571587                 NaN            NaN  0.387560                 NaN            NaN            NaN
  1435.74        500.000        97.8674       0.816286       0.639846                 NaN            NaN  0.676484                 NaN            NaN            NaN
  1434.60        500.000        97.9054       0.629297       0.800419                 NaN            NaN  0.664836                 NaN            NaN            NaN
  1433.46        500.000        97.9427       0.618833       0.785486                 NaN            NaN  0.652995                 NaN            NaN            NaN
  1432.32        500.000        97.9801       0.607985       0.770634                 NaN            NaN  0.641303                 NaN            NaN            NaN
  1431.18        500.000        98.0146       0.756540       0.598569                 NaN            NaN  0.630339                 NaN            NaN            NaN
  1430.04        500.000        98.0503       0.588252       0.742260                 NaN            NaN  0.619141                 NaN            NaN            NaN
  1428.89        500.000        98.0850       0.727878       0.578730                 NaN            NaN  0.608436                 NaN            NaN            NaN
  1427.75        500.000        98.1174       0.569177       0.715187                 NaN            NaN  0.598187                 NaN            NaN            NaN
  1426.61        500.000        98.1453       0.561232       0.704100                 NaN            NaN  0.589359                 NaN            NaN            NaN
  1425.47        500.000        98.1819       0.550448       0.689684                 NaN            NaN  0.577995                 NaN            NaN            NaN
  1424.33        500.000        98.2097       0.542019       0.678732                 NaN            NaN  0.569505                 NaN            NaN            NaN
  1423.19        500.000        98.2378       0.666341       0.535149                 NaN  0.418307E-003  0.560313                 NaN            NaN            NaN
  1422.05        500.000        98.2652       0.526202       0.656884                 NaN            NaN  0.551669                 NaN            NaN            NaN
  1420.91        500.000        98.2952       0.643761       0.518023                 NaN  0.847299E-003  0.542215                 NaN            NaN            NaN
  1419.77        500.000        98.3221       0.526860       0.560353                 NaN  0.468054E-001  0.543874                 NaN            NaN            NaN
  1418.63        500.000        98.3499       0.540924       0.453303                 NaN  0.107731       0.548110                 NaN            NaN            NaN
  1417.49        500.000        98.3736       0.440820       0.535565                 NaN  0.108967       0.541091                 NaN            NaN            NaN
  1416.35        500.000        98.3994       0.530431       0.427155                 NaN  0.110287       0.532763                 NaN            NaN            NaN
  1415.21        500.000        98.4287       0.416950       0.521346                 NaN  0.109415       0.523555                 NaN            NaN            NaN
  1414.07        500.000        98.4507       0.405646       0.516085                 NaN  0.110616       0.516943                 NaN            NaN            NaN
  1412.92        500.000        98.4729       0.510010       0.394911                 NaN  0.111888       0.510309                 NaN            NaN            NaN
  1411.78        500.000        98.4958       0.383809       0.504897                 NaN  0.112375       0.503140                 NaN            NaN            NaN
  1410.64        500.000        98.5167       0.499771       0.373488                 NaN  0.113231       0.496764                 NaN            NaN            NaN
  1409.50        500.000        98.5374       0.363253       0.494729                 NaN  0.114020       0.490634                 NaN            NaN            NaN
  1408.36        500.000        98.5599       0.489512       0.352651                 NaN  0.114683       0.483259                 NaN            NaN            NaN
  1407.22        500.000        98.5812       0.342873       0.483719                 NaN  0.115396       0.476809                 NaN            NaN            NaN
  1406.08        500.000        98.6000       0.333144       0.479636                 NaN  0.116196       0.470990                 NaN            NaN            NaN
  1404.94        500.000        98.6201       0.474670       0.323165                 NaN  0.117283       0.464751                 NaN            NaN            NaN
  1403.80        500.000        98.6394       0.469329       0.315144                 NaN  0.117330       0.458807                 NaN            NaN            NaN
  1402.66        500.000        98.6581       0.465459       0.305367                 NaN  0.118171       0.452912                 NaN            NaN            NaN
  1401.52        500.000        98.6770       0.460753       0.296457                 NaN  0.118741       0.447029                 NaN            NaN            NaN
  1400.38        500.000        98.6940       0.457085       0.287631                 NaN  0.119494       0.441834                 NaN            NaN            NaN
  1399.24        500.000        98.7096       0.277155       0.455479                 NaN  0.120559       0.437229                 NaN            NaN            NaN
  1398.10        500.000        98.6879       0.409600       0.410572                 NaN  0.610012E-001  0.430914                 NaN            NaN            NaN
  1396.96        500.000        98.7885       0.119436       0.486104                 NaN  0.181450       0.424494                 NaN            NaN            NaN
  1395.81        500.000        98.7625       0.440907       0.254141                 NaN  0.122006       0.420447                 NaN            NaN            NaN
  1394.67        500.000        98.7776       0.246127       0.437534                 NaN  0.122805       0.415943                 NaN            NaN            NaN
  1393.53        500.000        98.7965       0.432464       0.238505                 NaN  0.122829       0.409738                 NaN            NaN            NaN
  1392.39        500.000        98.8088       0.231350       0.430320                 NaN  0.123569       0.405968                 NaN            NaN            NaN
  1391.25        500.000        98.8240       0.220180       0.427390                 NaN  0.126182       0.402260                 NaN            NaN            NaN
  1390.11        500.000        98.8425       0.219544       0.420916                 NaN  0.122457       0.394567                 NaN            NaN            NaN
  1388.97        500.000        98.8477       0.205804       0.424162                 NaN  0.127605       0.394761                 NaN            NaN            NaN
  1387.83        500.000        98.8733       0.202166       0.415506                 NaN  0.124021       0.384970                 NaN            NaN            NaN
  1386.69        500.000        98.8840       0.413691       0.194251                 NaN  0.125725       0.382300                 NaN            NaN            NaN
  1385.55        500.000        98.8908       0.411823       0.190479                 NaN  0.126397       0.380548                 NaN            NaN            NaN
  1384.41        500.000        98.9002       0.411528       0.189752                 NaN  0.122892       0.375604                 NaN            NaN            NaN
  1383.27        500.000        98.9345       0.401156       0.168295                 NaN  0.129787       0.366218                 NaN            NaN            NaN
  1382.13        500.000        98.9354       0.402621       0.169123                 NaN  0.127088       0.365810                 NaN            NaN            NaN
  1380.99        500.000        98.9473       0.400148       0.162742                 NaN  0.127713       0.362051                 NaN            NaN            NaN
  1379.85        500.000        98.9596       0.397233       0.157731                 NaN  0.127441       0.357992                 NaN            NaN            NaN
  1378.70        500.000        98.9718       0.151023       0.394798                 NaN  0.128037       0.354333                 NaN            NaN            NaN
  1377.56        500.000        98.9853       0.145404       0.391186                 NaN  0.128199       0.349917                 NaN            NaN            NaN
  1376.42        500.000        98.9968       0.389466       0.138976                 NaN  0.128570       0.346210                 NaN            NaN            NaN
  1375.28        500.000        99.0071       0.387748       0.134262                 NaN  0.128246       0.342643                 NaN            NaN            NaN
  1374.14        500.000        99.0198       0.384186       0.128659                 NaN  0.128641       0.338697                 NaN            NaN            NaN
