|6.6.6
Archiving\03_Data\eqLP/QFM/YM20/YM20_1.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          mang           Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        99.3318       0.298278       0.369938                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.3243       0.305807       0.369937                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.3167       0.313336       0.369936                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.3092       0.320864       0.369934                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.3017       0.328393       0.369933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.2941       0.335922       0.369931                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.2866       0.343450       0.369930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.2791       0.350978       0.369929                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.2716       0.358507       0.369927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.2587       0.371417       0.369926                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.2457       0.384328       0.369924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.2328       0.397238       0.369923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.2199       0.410149       0.369921                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.2070       0.423059       0.369920                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.1941       0.435969       0.369919                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.1812       0.448879       0.369917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.1683       0.461789       0.369916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.1438       0.486315       0.369914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.1192       0.510841       0.369913                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.0947       0.535366       0.369911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.0702       0.559892       0.369910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.0457       0.584417       0.369908                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.0212       0.608942       0.369907                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        98.9966       0.633466       0.369905                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        98.9721       0.657991       0.369904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        98.9081       0.722040       0.369903                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        98.8440       0.786088       0.369901                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        98.7800       0.850136       0.369900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        98.7159       0.914183       0.369899                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        98.6519       0.978230       0.369898                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        98.5878        1.04228       0.369897                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        98.5238        1.10632       0.369895                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        98.4597        1.17037       0.369894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        98.3287        1.30145       0.369893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        98.1976        1.43254       0.369893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        97.9424        1.64022       0.313831                 NaN  0.103545                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        97.5516        1.95284       0.221492                 NaN  0.274094                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        97.0425        2.34628       0.106086       0.178912E-001  0.487248                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        96.4286        2.83995                 NaN  0.482510E-001  0.683190                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        95.9958        3.25263                 NaN  0.684187E-001  0.683193                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        95.5629        3.66532                 NaN  0.885866E-001  0.683197                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        95.0045        4.20502                 NaN  0.107232       0.683203                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        94.4462        4.74472                 NaN  0.125877       0.683210                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        93.8878        5.28444                 NaN  0.144523       0.683216                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        93.3294        5.82417                 NaN  0.163169       0.683223                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        92.7710        6.36391                 NaN  0.181816       0.683229                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        92.2126        6.90365                 NaN  0.200463       0.683236                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        91.6542        7.44341                 NaN  0.219110       0.683242                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        91.0958        7.98318                 NaN  0.237758       0.683249                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        90.4916        8.57049                 NaN  0.254640       0.683258                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        89.8874        9.15781                 NaN  0.271523       0.683266                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        89.2832        9.74515                 NaN  0.288406       0.683275                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        88.6789        10.3325                 NaN  0.305289       0.683284                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        88.0747        10.9199                 NaN  0.322173       0.683293                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        87.4704        11.5073                 NaN  0.339057       0.683302                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        86.8661        12.0947                 NaN  0.355942       0.683310                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        86.2618        12.6821                 NaN  0.372828       0.683319                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        85.6684        13.2599                 NaN  0.388368       0.683329                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        85.0749        13.8378                 NaN  0.403910       0.683339                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        84.4815        14.4157                 NaN  0.419451       0.683349                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        83.8880        14.9937                 NaN  0.434993       0.683359                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        83.2945        15.5716                 NaN  0.450536       0.683369                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        82.7010        16.1495                 NaN  0.466079       0.683379                 NaN            NaN            NaN            NaN            NaN            NaN
