|6.6.6
Archiving\03_Data\Deq/QFM_m5/YM20/YM20_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       iron           Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        96.0000        3.96025       0.397315E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        95.9751        3.98521       0.397343E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        95.9501        4.01018       0.397371E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        95.9251        4.03516       0.397399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        95.9001        4.06013       0.397428E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        95.8751        4.08511       0.397456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        95.8502        4.11010       0.397484E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        95.8252        4.13509       0.397512E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        95.8002        4.16008       0.397540E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        95.7758        4.18444       0.397568E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        95.7514        4.20881       0.397595E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        95.7271        4.23318       0.397623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        95.7027        4.25756       0.397650E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        95.6783        4.28193       0.397678E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        95.6539        4.30631       0.397705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        95.6295        4.33070       0.397733E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        95.6051        4.35509       0.397760E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        95.5814        4.37878       0.397787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        95.5577        4.40247       0.397814E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        95.5340        4.42617       0.397840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        95.5103        4.44987       0.397867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        95.4866        4.47357       0.397894E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        95.4629        4.49728       0.397920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        95.4392        4.52099       0.397947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        95.4155        4.54470       0.397974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        95.3922        4.56804       0.398000E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        95.3688        4.59139       0.398026E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        95.3456        4.61462       0.398053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        94.9993        4.62658       0.395465E-001  0.334625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        94.3503        4.62449       0.390233E-001  0.986151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        93.7014        4.62240       0.385002E-001   1.63767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        93.0525        4.62031       0.379770E-001   2.28918                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        92.4037        4.61822       0.374538E-001   2.94067                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
