|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/EETA/EETA_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1413.46        500.000        95.1336        2.01334        2.85304                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.42        500.000        99.4792       0.313083       0.207671                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.39        500.000        99.4830       0.310591       0.206425                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.35        500.000        99.4851       0.205068       0.309805                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.32        500.000        99.4768       0.208757       0.314410                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.28        500.000        99.8172       0.109858       0.729839E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.24        500.000        99.1781       0.327839       0.494016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.21        500.000        99.4950       0.201211       0.303811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1405.17        500.000        99.4750       0.315982       0.209056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.13        500.000        99.5237       0.190000       0.286259                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.10        500.000        99.5019       0.299431       0.198627                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1402.06        500.000        99.5059       0.197002       0.297057                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.03        500.000        99.0281       0.352784       0.388990       0.230151                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.99        500.000        99.7901       0.839958E-001  0.623490E-001  0.635055E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1398.95        500.000        97.9465       0.824525       0.608863       0.620126                 NaN            NaN            NaN            NaN            NaN            NaN
  1397.92        500.000        98.8513       0.340596       0.461276       0.346806                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.88        500.000        98.8161       0.475293       0.351319       0.357246                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.84        500.000        98.9217       0.319824       0.433119       0.325382       0.162013E-005            NaN            NaN            NaN            NaN            NaN
  1394.81        500.000        98.8873       0.329951       0.446991       0.335750                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.77        500.000        98.8989       0.442703       0.326472       0.331954       0.103407E-005            NaN            NaN            NaN            NaN            NaN
  1392.74        500.000        98.8637       0.336664       0.456783       0.342867                 NaN            NaN            NaN            NaN            NaN            NaN
  1391.70        500.000        98.9730       0.304477       0.413045       0.309432                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.66        500.000        98.9348       0.428408       0.315892       0.320922                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.63        500.000        98.9458       0.312718       0.424057       0.317430                 NaN            NaN            NaN            NaN            NaN            NaN
  1388.59        500.000        98.9569       0.419690       0.309499       0.313946                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.55        500.000        98.9663       0.416191       0.306380       0.311122                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.52        500.000        98.9795       0.406687       0.303482       0.307443       0.288426E-002            NaN            NaN            NaN            NaN            NaN
  1385.48        500.000        98.9787       0.329973       0.250791       0.330966       0.109607                 NaN            NaN            NaN            NaN            NaN
  1384.45        500.000        99.0065       0.244669       0.320899       0.321202       0.106721                 NaN            NaN            NaN            NaN            NaN
  1383.41        500.000        99.0107       0.239412       0.320546       0.320567       0.108763                 NaN            NaN            NaN            NaN            NaN
  1382.37        500.000        99.0207       0.317761       0.234626       0.317700       0.109200                 NaN            NaN            NaN            NaN            NaN
  1381.34        500.000        99.0306       0.315199       0.229683       0.314783       0.109723                 NaN            NaN            NaN            NaN            NaN
  1380.30        500.000        99.0397       0.224933       0.312915       0.312065       0.110356                 NaN            NaN            NaN            NaN            NaN
  1379.26        500.000        99.0503       0.309954       0.220111       0.308837       0.110786                 NaN            NaN            NaN            NaN            NaN
  1378.23        500.000        99.0596       0.307620       0.215312       0.306112       0.111349                 NaN            NaN            NaN            NaN            NaN
  1377.19        500.000        99.0632       0.308437       0.209552       0.305466       0.113320                 NaN            NaN            NaN            NaN            NaN
  1376.16        500.000        99.0823       0.301180       0.206916       0.298781       0.110782                 NaN            NaN            NaN            NaN            NaN
