|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/EETA/EETA_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             O(HP)          Sp(TH)         Sp(TH)         San(TH)        ilm            q             
  1413.46        500.000        94.3407        2.36016        3.29910                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.42        500.000        99.3897       0.364919       0.245404                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.39        500.000        99.3939       0.362104       0.244043                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.35        500.000        99.3960       0.242583       0.361375                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.32        500.000        99.3861       0.247047       0.366823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.28        500.000        99.7853       0.128283       0.864648E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.24        500.000        99.0352       0.388194       0.576595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.21        500.000        99.4065       0.238528       0.354994                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1405.17        500.000        99.3829       0.369260       0.247877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.13        500.000        99.4398       0.225471       0.334734                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.10        500.000        99.4139       0.350273       0.235822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1402.06        500.000        99.4183       0.234022       0.347633                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.03        500.000        98.9039       0.412917       0.462224       0.220930                 NaN            NaN            NaN            NaN            NaN            NaN
  1399.99        500.000        99.7659       0.999631E-001  0.730732E-001  0.610224E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1398.95        500.000        97.7128       0.979917       0.712541       0.594790                 NaN            NaN            NaN            NaN            NaN            NaN
  1397.92        500.000        98.7186       0.399199       0.549134       0.333040                 NaN            NaN            NaN            NaN            NaN            NaN
  1396.88        500.000        98.6787       0.566202       0.411985       0.343110                 NaN            NaN            NaN            NaN            NaN            NaN
  1395.84        500.000        98.7958       0.375285       0.516359       0.312595       0.207047E-005            NaN            NaN            NaN            NaN            NaN
  1394.81        500.000        98.7568       0.387341       0.533215       0.322598                 NaN            NaN            NaN            NaN            NaN            NaN
  1393.77        500.000        98.7690       0.528540       0.383481       0.319009       0.132436E-005            NaN            NaN            NaN            NaN            NaN
  1392.74        500.000        98.7292       0.395631       0.545619       0.329545                 NaN            NaN            NaN            NaN            NaN            NaN
  1391.70        500.000        98.8507       0.358039       0.493805       0.297499                 NaN            NaN            NaN            NaN            NaN            NaN
  1390.66        500.000        98.8073       0.512482       0.371660       0.308588                 NaN            NaN            NaN            NaN            NaN            NaN
  1389.63        500.000        98.8189       0.368126       0.507637       0.305292                 NaN            NaN            NaN            NaN            NaN            NaN
  1388.59        500.000        98.8307       0.502742       0.364529       0.302002                 NaN            NaN            NaN            NaN            NaN            NaN
  1387.55        500.000        98.8407       0.498926       0.361071       0.299347                 NaN            NaN            NaN            NaN            NaN            NaN
  1386.52        500.000        98.8547       0.487858       0.357853       0.295871       0.372406E-002            NaN            NaN            NaN            NaN            NaN
  1385.48        500.000        98.8491       0.389341       0.301121       0.318605       0.141799                 NaN            NaN            NaN            NaN            NaN
  1384.45        500.000        98.8795       0.294013       0.378938       0.309322       0.138213                 NaN            NaN            NaN            NaN            NaN
  1383.41        500.000        98.8835       0.287907       0.378770       0.308820       0.141038                 NaN            NaN            NaN            NaN            NaN
  1382.37        500.000        98.8939       0.375728       0.282400       0.306170       0.141795                 NaN            NaN            NaN            NaN            NaN
  1381.34        500.000        98.9042       0.372966       0.276688       0.303471       0.142684                 NaN            NaN            NaN            NaN            NaN
  1380.30        500.000        98.9135       0.271216       0.370549       0.300964       0.143738                 NaN            NaN            NaN            NaN            NaN
  1379.26        500.000        98.9246       0.367306       0.265617       0.297965       0.144489                 NaN            NaN            NaN            NaN            NaN
  1378.23        500.000        98.9343       0.364783       0.260054       0.295451       0.145448                 NaN            NaN            NaN            NaN            NaN
  1377.19        500.000        98.9373       0.366152       0.253329       0.294942       0.148257                 NaN            NaN            NaN            NaN            NaN
  1376.16        500.000        98.9583       0.357659       0.250329       0.288606       0.145101                 NaN            NaN            NaN            NaN            NaN
  1375.12        500.000        98.9622       0.357317       0.244672       0.287869       0.147913                 NaN            NaN            NaN            NaN            NaN
  1374.08        500.000        98.9723       0.238846       0.354613       0.285341       0.148903                 NaN            NaN            NaN            NaN            NaN
  1373.05        500.000        98.9814       0.352072       0.234130       0.282808       0.149605                 NaN            NaN            NaN            NaN            NaN
  1372.01        500.000        98.9900       0.349955       0.229148       0.280503       0.150353                 NaN            NaN            NaN            NaN            NaN
  1370.97        500.000        98.9989       0.223660       0.347827       0.278248       0.151399                 NaN            NaN            NaN            NaN            NaN
  1369.94        500.000        99.0073       0.345266       0.219534       0.275836       0.152025                 NaN            NaN            NaN            NaN            NaN
  1368.90        500.000        99.0165       0.342959       0.214193       0.273567       0.152806                 NaN            NaN            NaN            NaN            NaN
  1367.87        500.000        99.0234       0.341305       0.209752       0.271663       0.153846                 NaN            NaN            NaN            NaN            NaN
  1366.83        500.000        99.3278       0.234115       0.148072       0.187413       0.102594                 NaN            NaN            NaN            NaN            NaN
  1365.79        500.000        98.7450       0.258000       0.442086       0.348528       0.206380                 NaN            NaN            NaN            NaN            NaN
  1364.76        500.000        99.0484       0.334614       0.196537       0.264830       0.155653                 NaN            NaN            NaN            NaN            NaN
  1363.72        500.000        99.0566       0.192018       0.332379       0.262587       0.156451                 NaN            NaN            NaN            NaN            NaN
  1362.68        500.000        99.0640       0.187270       0.330703       0.260593       0.157426                 NaN            NaN            NaN            NaN            NaN
  1361.65        500.000        99.0716       0.328521       0.183511       0.258407       0.157978                 NaN            NaN            NaN            NaN            NaN
  1360.61        500.000        99.0759       0.180976       0.325873       0.257839       0.159416                 NaN            NaN            NaN            NaN            NaN
  1359.58        500.000        98.9720       0.365962       0.196126       0.286282       0.179630                 NaN            NaN            NaN            NaN            NaN
  1358.54        500.000        99.2143       0.279735       0.148916       0.218791       0.138264                 NaN            NaN            NaN            NaN            NaN
  1357.50        500.000        99.1012       0.320582       0.167178       0.250549       0.160488                 NaN            NaN            NaN            NaN            NaN
  1356.47        500.000        99.1051       0.319977       0.163544       0.249591       0.161767                 NaN            NaN            NaN            NaN            NaN
  1355.43        500.000        99.1180       0.315965       0.159926       0.245594       0.160521                 NaN            NaN            NaN            NaN            NaN
  1354.39        500.000        99.1218       0.315178       0.156165       0.244795       0.162046                 NaN            NaN            NaN            NaN            NaN
  1353.36        500.000        97.6386       0.413721       0.846920       0.657547       0.442858       0.306872E-003            NaN            NaN            NaN            NaN
  1352.32        500.000        99.9995                 NaN            NaN            NaN  0.548496E-003            NaN            NaN            NaN            NaN            NaN
  1351.29        500.000        99.7798       0.804577E-001  0.368741E-001  0.610267E-001  0.418127E-001            NaN            NaN            NaN            NaN            NaN
  1350.25        500.000        99.1485       0.142125       0.308300       0.237313       0.163712                 NaN            NaN            NaN            NaN            NaN
  1349.21        500.000        99.1542       0.306941       0.138851       0.235732       0.164227                 NaN            NaN            NaN            NaN            NaN
  1348.18        500.000        99.1608       0.135365       0.305273       0.233970       0.164628                 NaN            NaN            NaN            NaN            NaN
  1347.14        500.000        99.1664       0.132129       0.303928       0.232366       0.165186                 NaN            NaN            NaN            NaN            NaN
  1346.10        500.000        99.3259       0.245945       0.104474       0.188208       0.135442                 NaN            NaN            NaN            NaN            NaN
  1345.07        500.000        99.0255       0.151698       0.356499       0.271153       0.195191                 NaN            NaN            NaN            NaN            NaN
  1344.03        500.000        99.1833       0.123563       0.299319       0.227598       0.166243                 NaN            NaN            NaN            NaN            NaN
  1343.00        500.000        99.1919       0.120111       0.297033       0.225074       0.165854                 NaN            NaN            NaN            NaN            NaN
  1341.96        500.000        99.1917       0.117838       0.297417       0.225132       0.167866                 NaN            NaN            NaN            NaN            NaN
  1340.92        500.000        99.2048       0.116290       0.293063       0.221099       0.164765                 NaN            NaN            NaN            NaN            NaN
  1339.89        500.000        99.2025       0.294383       0.111573       0.222897       0.168660                 NaN            NaN            NaN            NaN            NaN
  1338.85        500.000        99.2178       0.108371       0.290114       0.217589       0.166128                 NaN            NaN            NaN            NaN            NaN
  1337.81        500.000        99.2203       0.288832       0.108195       0.216814       0.165854                 NaN            NaN            NaN            NaN            NaN
  1336.78        500.000        99.2245       0.288595       0.104066       0.215734       0.167090                 NaN            NaN            NaN            NaN            NaN
  1335.74        500.000        99.2281       0.287779       0.102490       0.214654       0.166991                 NaN            NaN            NaN            NaN            NaN
  1334.71        500.000        99.0722       0.345591       0.122802       0.257618       0.201774                 NaN            NaN            NaN            NaN            NaN
  1333.67        500.000        99.3994       0.778912E-001  0.225048       0.166633       0.131047                 NaN            NaN            NaN            NaN            NaN
  1332.63        500.000        99.2453       0.951651E-001  0.282930       0.209605       0.167030                 NaN            NaN            NaN            NaN            NaN
  1331.60        500.000        99.2493       0.941214E-001  0.281688       0.208344       0.166522                 NaN            NaN            NaN            NaN            NaN
  1330.56        500.000        99.2526       0.924415E-001  0.280808       0.207460       0.166707                 NaN            NaN            NaN            NaN            NaN
  1329.52        500.000        99.2609       0.278825       0.891942E-001  0.204927       0.166179                 NaN            NaN            NaN            NaN            NaN
  1328.49        500.000        99.2636       0.885933E-001  0.277800       0.204085       0.165898                 NaN            NaN            NaN            NaN            NaN
  1327.45        500.000        99.2690       0.862513E-001  0.276454       0.202507       0.165778                 NaN            NaN            NaN            NaN            NaN
  1326.42        500.000        99.2719       0.275600       0.848699E-001  0.201697       0.165945                 NaN            NaN            NaN            NaN            NaN
  1325.38        500.000        99.2785       0.845415E-001  0.273220       0.199439       0.164280                 NaN            NaN            NaN            NaN            NaN
  1324.34        500.000        99.2827       0.820000E-001  0.272308       0.198286       0.164691                 NaN            NaN            NaN            NaN            NaN
  1323.31        500.000        99.2869       0.809088E-001  0.270769       0.197066       0.164335                 NaN            NaN            NaN            NaN            NaN
  1322.27        500.000        99.2915       0.269629       0.793605E-001  0.195605       0.163907                 NaN            NaN            NaN            NaN            NaN
  1321.23        500.000        99.2938       0.806416E-001  0.268267       0.194883       0.162415                 NaN            NaN            NaN            NaN            NaN
  1320.20        500.000        99.3033       0.736958E-001  0.266967       0.192096       0.163907                 NaN            NaN            NaN            NaN            NaN
