|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/Y98/Y98_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1458.33        500.000       0.422261E-002   99.9137       0.821212E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.18        500.000       0.179605E-002   99.1787       0.577001       0.242518                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.03        500.000       0.185855E-002   99.1399       0.316884       0.541382                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.88        500.000       0.183718E-002   99.1465       0.536992       0.314686                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.74        500.000       0.176867E-002   99.1532       0.533186       0.311891                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        500.000       0.384892E-003   99.8149       0.673778E-001  0.117350                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.44        500.000       0.343581E-002   98.2843       0.639927        1.07234                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        500.000       0.123858E-002   99.4123       0.216193       0.370271                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000       0.152736E-002   99.1762       0.302468       0.519831                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.99        500.000       0.148743E-002   99.1808       0.300289       0.517432                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.84        500.000       0.143098E-002   99.1896       0.297496       0.511431                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.69        500.000       0.136540E-002   99.1898       0.296005       0.512870                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.55        500.000       0.139409E-002   99.1470       0.539503       0.312121                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.40        500.000       0.117008E-002   99.2611       0.467278       0.270461                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.25        500.000       0.120554E-002   99.2096       0.288701       0.500480                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.10        500.000       0.115225E-002   99.2163       0.496147       0.286388                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.95        500.000       0.110708E-002   99.2210       0.493460       0.284442                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.80        500.000       0.105521E-002   99.2261       0.282153       0.490647                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.65        500.000       0.101207E-002   99.2308       0.488340       0.279879                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.50        500.000       0.165537E-003   97.9591       0.698537       0.824098                 NaN  0.518110                 NaN            NaN            NaN            NaN
  1435.36        500.000                 NaN   97.6491       0.744636       0.956897                 NaN  0.649399                 NaN            NaN            NaN            NaN
  1434.21        500.000                 NaN   97.6891       0.732546       0.939636                 NaN  0.638734                 NaN            NaN            NaN            NaN
  1433.06        500.000                 NaN   97.7346       0.920758       0.718899                 NaN  0.625765                 NaN            NaN            NaN            NaN
  1431.91        500.000                 NaN   97.7736       0.707614       0.903994                 NaN  0.614821                 NaN            NaN            NaN            NaN
  1430.76        500.000                 NaN   97.3848       0.845394        1.04381                 NaN  0.725979                 NaN            NaN            NaN            NaN
  1429.61        500.000                 NaN   98.2318       0.721574       0.560059                 NaN  0.486523                 NaN            NaN            NaN            NaN
  1428.46        500.000                 NaN   97.8851       0.857185       0.674103                 NaN  0.583595                 NaN            NaN            NaN            NaN
  1427.32        500.000                 NaN   97.9197       0.842004       0.664275                 NaN  0.574008                 NaN            NaN            NaN            NaN
  1426.17        500.000                 NaN   97.9533       0.654154       0.827883                 NaN  0.564643                 NaN            NaN            NaN            NaN
  1425.02        500.000                 NaN   97.9861       0.814221       0.644243                 NaN  0.555461                 NaN            NaN            NaN            NaN
  1423.87        500.000                 NaN   98.0184       0.634134       0.800958                 NaN  0.546512                 NaN            NaN            NaN            NaN
  1422.72        500.000                 NaN   98.0484       0.625380       0.788126                 NaN  0.538060                 NaN            NaN            NaN            NaN
  1421.57        500.000                 NaN   97.7669       0.717431       0.899213                 NaN  0.615429       0.103752E-002            NaN            NaN            NaN
  1420.42        500.000                 NaN   98.6859       0.681684                 NaN            NaN  0.400351       0.232051                 NaN            NaN            NaN
  1419.27        500.000                 NaN   99.5779       0.296457                 NaN            NaN  0.112277       0.133623E-001            NaN            NaN            NaN
