|6.6.6
Archiving\03_Data\eqfracLP/QFM_m4.5/Y98/Y98_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1458.33        500.000       0.272905E-002   99.9259       0.713256E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.18        500.000       0.116240E-002   99.2889       0.501402       0.208531                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.03        500.000       0.120334E-002   99.2562       0.272351       0.470287                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.88        500.000       0.118993E-002   99.2621       0.466330       0.270333                 NaN            NaN            NaN            NaN            NaN            NaN
  1453.74        500.000       0.114608E-002   99.2682       0.462848       0.267811                 NaN            NaN            NaN            NaN            NaN            NaN
  1452.59        500.000       0.249419E-003   99.8402       0.577795E-001  0.101754                 NaN            NaN            NaN            NaN            NaN            NaN
  1451.44        500.000       0.222891E-002   98.5162       0.549749       0.931787                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.29        500.000       0.803101E-003   99.4930       0.185289       0.320947                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        500.000       0.990985E-003   99.2893       0.259176       0.450542                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.99        500.000       0.965479E-003   99.2935       0.257179       0.448312                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.84        500.000       0.929177E-003   99.3015       0.254645       0.442924                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.69        500.000       0.886834E-003   99.3019       0.253227       0.443981                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.55        500.000       0.905796E-003   99.2654       0.466852       0.266875                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.40        500.000       0.760479E-003   99.3639       0.404208       0.231137                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.25        500.000       0.783852E-003   99.3198       0.246605       0.432765                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.10        500.000       0.749433E-003   99.3259       0.428862       0.244506                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.95        500.000       0.720447E-003   99.3302       0.426378       0.242725                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.80        500.000       0.686888E-003   99.3349       0.240637       0.423762                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.65        500.000       0.659089E-003   99.3392       0.421592       0.238574                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.50        500.000       0.107856E-003   98.1522       0.603262       0.702551                 NaN  0.541901                 NaN            NaN            NaN            NaN
  1435.36        500.000                 NaN   97.8625       0.642835       0.815304                 NaN  0.679312                 NaN            NaN            NaN            NaN
  1434.21        500.000                 NaN   97.9000       0.632019       0.799948                 NaN  0.668079                 NaN            NaN            NaN            NaN
  1433.06        500.000                 NaN   97.9424       0.783272       0.619894                 NaN  0.654433                 NaN            NaN            NaN            NaN
  1431.91        500.000                 NaN   97.9790       0.609755       0.768354                 NaN  0.642905                 NaN            NaN            NaN            NaN
  1430.76        500.000                 NaN   97.6277       0.727446       0.885516                 NaN  0.759322                 NaN            NaN            NaN            NaN
  1429.61        500.000                 NaN   98.3977       0.612061       0.481802                 NaN  0.508412                 NaN            NaN            NaN            NaN
  1428.46        500.000                 NaN   98.0835       0.726750       0.579781                 NaN  0.609982                 NaN            NaN            NaN            NaN
  1427.32        500.000                 NaN   98.1159       0.713303       0.570946                 NaN  0.599867                 NaN            NaN            NaN            NaN
  1426.17        500.000                 NaN   98.1474       0.561884       0.700762                 NaN  0.589985                 NaN            NaN            NaN            NaN
  1425.02        500.000                 NaN   98.1781       0.688625       0.553000                 NaN  0.580292                 NaN            NaN            NaN            NaN
  1423.87        500.000                 NaN   98.2083       0.543971       0.676855                 NaN  0.570842                 NaN            NaN            NaN            NaN
  1422.72        500.000                 NaN   98.2365       0.536121       0.665486                 NaN  0.561913                 NaN            NaN            NaN            NaN
  1421.57        500.000                 NaN   97.9829       0.614753       0.758787                 NaN  0.642767       0.818421E-003            NaN            NaN            NaN
  1420.42        500.000                 NaN   98.8165       0.583127                 NaN            NaN  0.417653       0.182671                 NaN            NaN            NaN
  1419.27        500.000                 NaN   99.6233       0.249192                 NaN            NaN  0.117019       0.104768E-001            NaN            NaN            NaN
  1418.13        500.000                 NaN   96.8110       0.947566        1.20827                 NaN   1.02142       0.117499E-001            NaN            NaN            NaN
  1416.98        500.000                 NaN   98.3806       0.536311       0.434849                 NaN  0.539575       0.108712                 NaN            NaN            NaN
  1415.83        500.000                 NaN   98.3998       0.422650       0.532719                 NaN  0.534118       0.110763                 NaN            NaN            NaN
  1414.68        500.000                 NaN   98.4263       0.525473       0.410976                 NaN  0.525896       0.111354                 NaN            NaN            NaN
  1413.53        500.000                 NaN   98.4461       0.521255       0.400111                 NaN  0.519932       0.112623                 NaN            NaN            NaN
  1412.38        500.000                 NaN   98.4736       0.388552       0.513553                 NaN  0.511343       0.112953                 NaN            NaN            NaN
