|6.6.6
Archiving\03_Data\eqfracLP/QFM/EETA/EETA_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         O(HP)          San(TH)        ilm            q              hed           
  1413.46        500.000        94.0922        2.47043        3.43740                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1412.42        500.000        99.3708       0.367236       0.261975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1411.39        500.000        99.3759       0.259936       0.364210                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1410.35        500.000        99.3754       0.260164       0.364472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1409.32        500.000        99.3657       0.370570       0.263732                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1408.28        500.000        99.9027       0.405452E-001  0.567334E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1407.24        500.000        98.8836       0.651522       0.464925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1406.21        500.000        99.3882       0.357049       0.254739                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1405.17        500.000        99.3903       0.253710       0.355973                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1404.13        500.000        99.3935       0.353670       0.252850                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1403.10        500.000        99.3967       0.251165       0.352158                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1402.06        500.000        99.3987       0.250049       0.351220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1401.03        500.000        99.4012       0.349687       0.249063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1399.99        500.000        99.4031       0.348694       0.248226                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1398.95        500.000        99.4062       0.346946       0.246832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1397.92        500.000        99.4083       0.345733       0.245933                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
