|6.6.6
Archiving\03_Data\eqfracLP/QFM/EETA/EETA_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        an             Sp(TH)         Sp(TH)         O(HP)          San(TH)        ilm            q              hed           
  1340.92        500.000        99.1777       0.273120       0.208476       0.245780       0.540976E-001            NaN  0.408232E-001            NaN            NaN            NaN            NaN
  1339.89        500.000        99.1476       0.285044       0.232654       0.248992       0.684619E-001            NaN  0.172638E-001            NaN            NaN            NaN            NaN
  1338.85        500.000        98.9487       0.411381                 NaN  0.346135       0.838854E-001            NaN  0.209922                 NaN            NaN            NaN            NaN
  1337.81        500.000        99.3413       0.180722       0.225111       0.189044       0.638570E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1336.78        500.000        99.1117       0.231332       0.309075       0.255013       0.928571E-001            NaN  0.149674E-005            NaN            NaN            NaN            NaN
  1335.74        500.000        99.1044       0.223246       0.316505       0.256924       0.989384E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1334.71        500.000        99.1032       0.216543       0.320237       0.257311       0.102756                 NaN            NaN            NaN            NaN            NaN            NaN
  1333.67        500.000        99.0994       0.208830       0.326196       0.258214       0.107351                 NaN            NaN            NaN            NaN            NaN            NaN
  1332.63        500.000        99.1089       0.323117       0.204962       0.255768       0.107246                 NaN            NaN            NaN            NaN            NaN            NaN
  1331.60        500.000        99.1127       0.199233       0.324317       0.254745       0.108972                 NaN            NaN            NaN            NaN            NaN            NaN
  1330.56        500.000        99.1209       0.322296       0.194956       0.252645       0.109235                 NaN            NaN            NaN            NaN            NaN            NaN
  1329.52        500.000        99.1291       0.320316       0.191067       0.250505       0.109051                 NaN            NaN            NaN            NaN            NaN            NaN
  1328.49        500.000        99.1380       0.186943       0.317959       0.248199       0.108949                 NaN            NaN            NaN            NaN            NaN            NaN
  1327.45        500.000        99.1478       0.314788       0.183536       0.245671       0.108252                 NaN            NaN            NaN            NaN            NaN            NaN
  1326.42        500.000        99.1580       0.180284       0.311358       0.243012       0.107390                 NaN            NaN            NaN            NaN            NaN            NaN
  1325.38        500.000        99.1677       0.308176       0.177070       0.240482       0.106592                 NaN            NaN            NaN            NaN            NaN            NaN
  1324.34        500.000        99.1786       0.174257       0.304026       0.237651       0.105437                 NaN            NaN            NaN            NaN            NaN            NaN
  1323.31        500.000        99.1888       0.171342       0.300456       0.235013       0.104439                 NaN            NaN            NaN            NaN            NaN            NaN
  1322.27        500.000        99.1995       0.296329       0.168749       0.232227       0.103173                 NaN            NaN            NaN            NaN            NaN            NaN
  1321.23        500.000        99.2089       0.292928       0.166109       0.229779       0.102273                 NaN            NaN            NaN            NaN            NaN            NaN
  1320.20        500.000        99.2194       0.289163       0.163392       0.227022       0.101042                 NaN            NaN            NaN            NaN            NaN            NaN
  1319.16        500.000        99.2301       0.161302       0.284718       0.224226       0.996066E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1318.13        500.000        99.2399       0.280998       0.159039       0.221679       0.984242E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1317.09        500.000        99.2504       0.276662       0.156855       0.218978       0.971388E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1316.05        500.000        99.2598       0.154661       0.273075       0.216520       0.959786E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1315.02        500.000        99.2695       0.269382       0.152476       0.213941       0.947399E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1313.98        500.000        99.2787       0.265811       0.150366       0.211527       0.936201E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1312.94        500.000        99.2882       0.261810       0.148565       0.209098       0.923167E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1311.91        500.000        99.2975       0.146387       0.258353       0.206542       0.912077E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1310.87        500.000        99.3071       0.254751       0.144051       0.204012       0.900921E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1309.84        500.000        99.3158       0.251289       0.142364       0.201724       0.888419E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1308.80        500.000        99.3243       0.247791       0.140735       0.199510       0.876664E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1307.76        500.000        99.3330       0.244146       0.139227       0.197178       0.864438E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1306.73        500.000        99.3416       0.137085       0.241026       0.194905       0.853872E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1305.69        500.000        99.3495       0.135532       0.237801       0.192774       0.843491E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1304.65        500.000        99.3583       0.133866       0.234244       0.190457       0.831324E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1303.62        500.000        99.3656       0.231186       0.132747       0.188493       0.819257E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1302.58        500.000        99.3749       0.129961       0.228035       0.185948       0.811703E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1301.55        500.000        99.3822       0.224572       0.129261       0.184077       0.798768E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1300.51        500.000        99.3897       0.127786       0.221614       0.182062       0.787968E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1299.47        500.000        99.3977       0.125921       0.218709       0.179884       0.777960E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1298.44        500.000        99.4050       0.215545       0.124738       0.177931       0.767583E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1297.40        500.000        99.4124       0.212556       0.123471       0.175962       0.756554E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1296.36        500.000        99.4198       0.121777       0.209737       0.173928       0.747426E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1295.33        500.000        99.4268       0.120546       0.206936       0.172059       0.737035E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1294.29        500.000        99.4342       0.203855       0.119294       0.170048       0.726484E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1293.26        500.000        99.4406       0.201444       0.117855       0.168359       0.717851E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1292.22        500.000        99.4476       0.116741       0.198477       0.166400       0.707375E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1291.18        500.000        99.4542       0.115720       0.195694       0.164658       0.697407E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1290.15        500.000        99.4611       0.193140       0.114232       0.162721       0.688487E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1289.11        500.000        99.4675       0.113094       0.190477       0.160981       0.679008E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1288.07        500.000        99.4738       0.187852       0.112070       0.159297       0.669387E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1287.04        500.000        99.4803       0.110764       0.185373       0.157493       0.660962E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1286.00        500.000        99.4864       0.182858       0.109827       0.155799       0.651542E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1284.97        500.000        99.4925       0.180152       0.108852       0.154216       0.642454E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1283.93        500.000        99.4986       0.107696       0.177929       0.152420       0.633258E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1282.89        500.000        99.5044       0.175486       0.106796       0.150899       0.624566E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1281.86        500.000        99.5101       0.173147       0.105859       0.149308       0.616285E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1280.82        500.000        99.5159       0.170854       0.104792       0.147683       0.607522E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1279.78        500.000        99.5216       0.168478       0.103911       0.146100       0.598943E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1278.75        500.000        99.5272       0.166179       0.102920       0.144614       0.590518E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1277.71        500.000        99.5328       0.164006       0.101955       0.142986       0.582337E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1276.68        500.000        99.5381       0.161822       0.101170       0.141547       0.574097E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1275.64        500.000        99.5434       0.159484       0.100506       0.140101       0.565325E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1274.60        500.000        99.5486       0.157485       0.995533E-001  0.138641       0.557639E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1273.57        500.000        99.5537       0.987693E-001  0.155345       0.137197       0.549436E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1272.53        500.000        99.5589       0.153181       0.979724E-001  0.135747       0.541777E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1271.50        500.000        96.5436       0.442431       0.445950       0.480054       0.164766                 NaN            NaN   1.92319                 NaN            NaN            NaN
  1270.46        500.000        91.7305        1.00149       0.893851        1.02655       0.336983                 NaN            NaN   5.01067                 NaN            NaN            NaN
  1269.42        500.000        92.5633       0.895632       0.806773       0.927530       0.305063                 NaN            NaN   4.50173                 NaN            NaN            NaN
  1268.39        500.000        93.2461       0.735562       0.808110       0.846120       0.279091                 NaN            NaN   4.08498                 NaN            NaN            NaN
  1267.35        500.000        93.8184       0.676422       0.733260       0.777637       0.257948                 NaN            NaN   3.73630                 NaN            NaN            NaN
  1266.31        500.000        94.2957       0.627464       0.670030       0.720284       0.240422                 NaN            NaN   3.44610                 NaN            NaN            NaN
  1265.28        500.000        94.7052       0.585856       0.615078       0.671080       0.225573                 NaN            NaN   3.19726                 NaN            NaN            NaN
  1264.24        500.000        95.0633       0.549675       0.566488       0.627857       0.212822                 NaN            NaN   2.97990                 NaN            NaN            NaN
  1263.21        500.000        95.3727       0.524215       0.518303       0.590243       0.201771                 NaN            NaN   2.79275                 NaN            NaN            NaN
  1262.17        500.000        95.6393       0.491699       0.486183       0.557790       0.192826                 NaN            NaN   2.63224                 NaN            NaN            NaN
  1261.13        500.000        95.8937       0.451668       0.466532       0.526786       0.183557                 NaN            NaN   2.47776                 NaN            NaN            NaN
  1260.10        500.000        96.1060       0.421289       0.445385       0.500713       0.176372                 NaN            NaN   2.35029                 NaN            NaN            NaN
  1259.06        500.000        96.3018       0.393246       0.426112       0.476637       0.169755                 NaN            NaN   2.23247                 NaN            NaN            NaN
  1258.02        500.000        96.4774       0.368079       0.408604       0.454975       0.163666                 NaN            NaN   2.12731                 NaN            NaN            NaN
  1256.99        500.000        96.6384       0.344407       0.393134       0.434971       0.158297                 NaN            NaN   2.03081                 NaN            NaN            NaN
  1255.95        500.000        96.7844       0.323536       0.378479       0.416772       0.153280                 NaN            NaN   1.94355                 NaN            NaN            NaN
  1254.92        500.000        96.9183       0.365725       0.303585       0.399977       0.148724                 NaN            NaN   1.86366                 NaN            NaN            NaN
  1253.88        500.000        97.0423       0.285381       0.353435       0.384413       0.144553                 NaN            NaN   1.78996                 NaN            NaN            NaN
  1252.84        500.000        97.1560       0.342121       0.268694       0.370001       0.140653                 NaN            NaN   1.72257                 NaN            NaN            NaN
  1251.81        500.000        97.2628       0.252525       0.331928       0.356452       0.137048                 NaN            NaN   1.65924                 NaN            NaN            NaN
  1250.77        500.000        97.3618       0.322243       0.237635       0.343646       0.133649                 NaN            NaN   1.60101                 NaN            NaN            NaN
  1249.73        500.000        97.4512       0.224441       0.313171       0.332368       0.130581                 NaN            NaN   1.54820                 NaN            NaN            NaN
  1248.70        500.000        97.5392       0.304672       0.211394       0.320808       0.127374                 NaN            NaN   1.49655                 NaN            NaN            NaN
  1247.66        500.000        97.6175       0.200705       0.296181       0.310766       0.124334                 NaN            NaN   1.45051                 NaN            NaN            NaN
  1246.63        500.000        97.3483       0.220272       0.332308       0.346268       0.138615                 NaN            NaN   1.61420                 NaN            NaN            NaN
  1245.59        500.000        98.1258       0.148313       0.236815       0.244289       0.100590                 NaN            NaN   1.14418                 NaN            NaN            NaN
  1244.55        500.000        97.6391       0.236861       0.273058       0.300365       0.588986E-001            NaN            NaN   1.44774       0.439417E-001            NaN            NaN
  1243.52        500.000        97.7107       0.228466       0.264973       0.291515       0.561760E-001            NaN            NaN   1.40480       0.433206E-001            NaN            NaN
  1242.48        500.000        97.7853       0.256976       0.218358       0.281871       0.551850E-001            NaN            NaN   1.36079       0.415675E-001            NaN            NaN
  1241.44        500.000        97.8553       0.208103       0.250656       0.273168       0.545390E-001            NaN            NaN   1.31851       0.397382E-001            NaN            NaN
  1240.41        500.000        97.9212       0.243651       0.199257       0.264803       0.536840E-001            NaN            NaN   1.27939       0.380548E-001            NaN            NaN
  1239.37        500.000        97.9233       0.243080       0.196833       0.265220       0.542731E-001            NaN            NaN   1.27959       0.377182E-001            NaN            NaN
  1238.34        500.000        98.1072       0.224041       0.176211       0.240249       0.505665E-001            NaN            NaN   1.16814       0.336232E-001            NaN            NaN
  1237.30        500.000        97.3359       0.248631       0.321968       0.345623       0.880874E-001            NaN            NaN   1.65983                 NaN            NaN            NaN
  1236.26        500.000        98.7665       0.118240       0.132868       0.152150       0.119463E-001            NaN            NaN  0.746425       0.719204E-001            NaN            NaN
  1235.23        500.000        98.3195       0.203405       0.148230       0.212726       0.476286E-001            NaN            NaN   1.04003       0.284862E-001            NaN            NaN
  1234.19        500.000        98.2255       0.212624       0.157161       0.226992       0.499466E-001            NaN            NaN   1.09739       0.303676E-001            NaN            NaN
  1233.15        500.000        98.4111       0.191322       0.136421       0.199057       0.456370E-001            NaN            NaN  0.990366       0.261144E-001            NaN            NaN
  1232.12        500.000        98.3548       0.139974       0.197997       0.208546       0.479971E-001            NaN            NaN   1.02365       0.270206E-001            NaN            NaN
  1231.08        500.000        98.3755       0.195463       0.136016       0.205786       0.479773E-001            NaN            NaN   1.01289       0.263245E-001            NaN            NaN
  1230.05        500.000        97.9817       0.170730       0.242652       0.254984       0.583702E-001            NaN            NaN   1.25878       0.327640E-001            NaN            NaN
  1229.01        500.000        99.8085       0.153463E-001  0.234145E-001  0.240031E-001  0.585690E-002            NaN            NaN  0.119883       0.296833E-002            NaN            NaN
  1227.97        500.000        97.4130       0.284631       0.262052       0.319086                 NaN            NaN            NaN   1.62608       0.951263E-001            NaN            NaN
  1226.94        500.000        98.7141       0.161014       0.986086E-001  0.163557       0.598151E-001            NaN            NaN  0.802949                 NaN            NaN            NaN
  1225.90        500.000        98.2086       0.233290       0.111215       0.230269       0.785513E-001  0.190730E-001            NaN   1.11905                 NaN            NaN            NaN
  1224.86        500.000        99.9719       0.112388E-002  0.371292E-002  0.362705E-002  0.161452E-002            NaN            NaN  0.180255E-001            NaN            NaN            NaN
  1223.83        500.000        99.8998       0.563903E-002  0.134764E-001  0.127460E-001  0.573275E-002            NaN            NaN  0.626312E-001            NaN            NaN            NaN
  1222.79        500.000        96.6719       0.405140       0.254145       0.416463       0.106867                 NaN            NaN   2.09858       0.468901E-001            NaN            NaN
  1221.76        500.000        98.7357       0.924880E-001  0.154841       0.157196       0.409778E-001            NaN            NaN  0.800941       0.178155E-001            NaN            NaN
  1220.72        500.000        99.3788       0.450772E-001  0.757317E-001  0.773095E-001  0.203382E-001            NaN            NaN  0.394098       0.862961E-002            NaN            NaN
  1219.68        500.000        99.9782                 NaN            NaN  0.445461E-002  0.126669E-002            NaN            NaN  0.151695E-001  0.942612E-003            NaN            NaN
  1218.65        500.000        99.9960       0.170115E-002  0.806200E-003  0.494511E-003  0.850249E-004            NaN            NaN  0.911654E-003            NaN            NaN            NaN
  1217.61        500.000        99.9005       0.127586E-001  0.108314E-001  0.133878E-001  0.261538E-002            NaN            NaN  0.582359E-001  0.167642E-002            NaN            NaN
  1216.57        500.000        94.3581       0.662909       0.471966       0.723216       0.164451                 NaN            NaN   3.52905       0.903302E-001            NaN            NaN
  1215.54        500.000        99.0044       0.233667                 NaN  0.108058       0.991134E-002  0.870030E-003            NaN  0.643046                 NaN            NaN            NaN
  1214.50        500.000        99.3093       0.105905                 NaN  0.740584E-001  0.602308E-002            NaN            NaN  0.485848       0.188826E-001            NaN            NaN
  1213.47        500.000        98.3205       0.285468                 NaN  0.209604       0.988855E-001            NaN            NaN   1.08102       0.450071E-002            NaN            NaN
  1212.43        500.000        99.6987       0.396218E-001            NaN  0.251788E-001  0.666559E-002            NaN            NaN  0.217355       0.124790E-001            NaN            NaN
  1211.39        500.000        98.8952       0.267125E-001  0.220401       0.142907                 NaN            NaN            NaN  0.694789       0.199514E-001            NaN            NaN
  1210.36        500.000        97.7282       0.346560                 NaN  0.274487       0.150792                 NaN            NaN   1.49316       0.674873E-002            NaN            NaN
  1209.32        500.000        99.9496       0.109296E-001            NaN  0.496240E-002  0.282211E-002            NaN            NaN  0.307751E-001  0.878576E-003            NaN            NaN
  1208.28        500.000        99.9309       0.147689E-001            NaN  0.695418E-002  0.392261E-002            NaN            NaN  0.424241E-001  0.102126E-002            NaN            NaN
  1207.25        500.000        99.9083       0.152025E-001            NaN  0.106508E-001  0.492545E-002            NaN            NaN  0.601760E-001  0.734899E-003            NaN            NaN
  1206.21        500.000        74.4893        1.70320                 NaN   2.07326       0.738704                 NaN            NaN   10.7362       0.852511E-003   10.2585                 NaN
  1205.18        500.000       100.0000                 NaN            NaN  0.147080E-005            NaN            NaN  0.204049E-005  0.517630E-005            NaN  0.435869E-005            NaN
  1204.14        500.000       100.0000                 NaN            NaN  0.208831E-005            NaN            NaN            NaN  0.147862E-004            NaN  0.138974E-004  0.171359E-005
  1203.10        500.000        88.6972       0.723259                 NaN  0.902089       0.284137                 NaN            NaN   4.73582       0.275148E-001   4.62993                 NaN
  1202.07        500.000        84.1534       0.169025       0.772147        1.28578       0.436051                 NaN            NaN   6.60125                 NaN   6.58239                 NaN
  1201.03        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1199.99        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1198.96        500.000        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1197.92        500.000        83.5238        1.08570                 NaN   1.30084       0.457294                 NaN            NaN   6.86591                 NaN   6.76645                 NaN
  1196.89        500.000        94.0144       0.361053                 NaN  0.472339       0.164190                 NaN            NaN   2.51713       0.156945E-002   2.46934                 NaN
  1195.85        500.000        95.5528       0.246477                 NaN  0.348383       0.121128                 NaN            NaN   1.85190                 NaN   1.87933                 NaN
  1194.81        500.000        99.2622       0.473378E-001            NaN  0.575656E-001  0.199590E-001            NaN            NaN  0.308883                 NaN  0.304005                 NaN
  1193.78        500.000        86.0175       0.853833                 NaN   1.08625       0.374300                 NaN            NaN   5.89308       0.214609E-002   5.77291                 NaN
  1192.74        500.000        94.2921       0.332131                 NaN  0.439696       0.151309                 NaN            NaN   2.42128       0.158766E-002   2.36188                 NaN
  1191.70        500.000        93.6623       0.365733                 NaN  0.484166       0.164397                 NaN            NaN   2.69312       0.184353E-002   2.62846                 NaN
  1190.67        500.000        96.7309       0.133810                 NaN  0.248179       0.885236E-001            NaN            NaN   1.41038                 NaN   1.38824                 NaN
  1189.63        500.000        88.7355       0.595339                 NaN  0.842261       0.279910                 NaN            NaN   4.85093       0.596826E-002   4.69006                 NaN
