|6.6.6
Archiving\03_Data\eqLP/QFM_m1/GRV/GRV_1.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.1684       0.831632                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.1684       0.831630                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.1684       0.831628                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.1684       0.831627                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.1684       0.831625                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.1684       0.831623                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.1684       0.831621                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.1684       0.831620                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.1684       0.831618                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.1684       0.831616                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.1684       0.831614                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.1684       0.831612                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.1684       0.831610                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.1684       0.831608                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.1684       0.831606                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.1684       0.831605                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.1684       0.831603                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.1684       0.831601                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.1684       0.831598                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.1684       0.831596                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.1684       0.831594                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.1684       0.831592                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.1684       0.831590                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.1684       0.831588                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.1684       0.831586                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.1684       0.831584                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.1684       0.831581                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.1684       0.831579                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.1684       0.831577                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.1684       0.831574                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.1684       0.831572                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.1684       0.831570                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.1684       0.831567                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.1684       0.831565                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.1684       0.831563                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.1684       0.831560                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.1684       0.831558                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.1684       0.831555                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.1684       0.831553                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.1684       0.831550                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.1685       0.831548                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.1685       0.831545                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.1685       0.831542                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.1685       0.831539                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.1685       0.831537                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.1685       0.831534                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.1685       0.831531                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.1685       0.831529                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.1685       0.831526                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.1685       0.831523                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.1685       0.831520                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.1685       0.831517                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.1685       0.831514                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.1685       0.831511                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.1685       0.831508                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.1685       0.831505                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.1685       0.831502                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.1685       0.831499                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.1685       0.831496                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.1525       0.831492       0.159796E-001            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.1304       0.831489       0.380924E-001            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.1088       0.831485       0.596997E-001            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.0872       0.831481       0.813067E-001            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.0656       0.831477       0.102914                 NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.0440       0.831473       0.124520                 NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.0235       0.831468       0.145059                 NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.0029       0.831464       0.165598                 NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        98.9824       0.831460       0.186137                 NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        98.9619       0.831456       0.206676                 NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        98.9413       0.831452       0.227214                 NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        98.9208       0.831447       0.247752                 NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        98.9003       0.831443       0.268290                 NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        98.8797       0.831439       0.288828                 NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        98.8760       0.831438       0.292594                 NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        98.8722       0.831437       0.296360                 NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        98.8684       0.831436       0.300126                 NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        98.8647       0.831435       0.303892                 NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        98.7826       0.831417       0.385958                 NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        98.4838       0.831417       0.404566       0.280176                 NaN            NaN            NaN            NaN
  1746.79        500.000        97.6498       0.831429       0.422450        1.09629                 NaN            NaN            NaN            NaN
  1743.59        500.000        96.8158       0.831440       0.440335        1.91242                 NaN            NaN            NaN            NaN
  1740.38        500.000        95.9660       0.831453       0.457384        2.74516                 NaN            NaN            NaN            NaN
  1737.18        500.000        95.1162       0.831465       0.474433        3.57792                 NaN            NaN            NaN            NaN
  1733.97        500.000        94.2663       0.831478       0.491482        4.41071                 NaN            NaN            NaN            NaN
  1730.77        500.000        93.4165       0.831490       0.508532        5.24353                 NaN            NaN            NaN            NaN
  1727.56        500.000        92.5665       0.831502       0.525583        6.07637                 NaN            NaN            NaN            NaN
  1724.36        500.000        91.7166       0.831515       0.542634        6.90923                 NaN            NaN            NaN            NaN
  1721.15        500.000        90.8667       0.831527       0.559686        7.74212                 NaN            NaN            NaN            NaN
  1717.95        500.000        90.0167       0.831540       0.576738        8.57504                 NaN            NaN            NaN            NaN
  1714.74        500.000        89.1553       0.831554       0.592472        9.42068                 NaN            NaN            NaN            NaN
  1711.54        500.000        88.2939       0.831568       0.608207        10.2664                 NaN            NaN            NaN            NaN
  1708.33        500.000        87.4324       0.831581       0.623942        11.1121                 NaN            NaN            NaN            NaN
  1705.13        500.000        86.5709       0.831595       0.639678        11.9578                 NaN            NaN            NaN            NaN
  1701.92        500.000        85.7094       0.831609       0.655414        12.8036                 NaN            NaN            NaN            NaN
  1698.72        500.000        84.8479       0.831623       0.671151        13.6494                 NaN            NaN            NaN            NaN
  1695.51        500.000        83.9863       0.831637       0.686888        14.4952                 NaN            NaN            NaN            NaN
  1692.31        500.000        83.1247       0.831651       0.702626        15.3410                 NaN            NaN            NaN            NaN
  1689.10        500.000        82.2741       0.831665       0.717053        16.1772                 NaN            NaN            NaN            NaN
  1685.90        500.000        81.4234       0.831680       0.731481        17.0134                 NaN            NaN            NaN            NaN
  1682.69        500.000        80.5727       0.831695       0.745909        17.8497                 NaN            NaN            NaN            NaN
  1679.49        500.000        79.7220       0.831710       0.760337        18.6860                 NaN            NaN            NaN            NaN
  1676.28        500.000        78.8712       0.831724       0.774766        19.5223                 NaN            NaN            NaN            NaN
  1673.08        500.000        78.0204       0.831739       0.789195        20.3587                 NaN            NaN            NaN            NaN
  1669.87        500.000        77.1696       0.831754       0.803625        21.1950                 NaN            NaN            NaN            NaN
  1666.67        500.000        76.3187       0.831769       0.818056        22.0314                 NaN            NaN            NaN            NaN
  1663.46        500.000        75.5127       0.831783       0.831208        22.8244                 NaN            NaN            NaN            NaN
  1660.26        500.000        74.7065       0.831798       0.844361        23.6173                 NaN            NaN            NaN            NaN
  1657.05        500.000        73.9004       0.831813       0.857514        24.4103                 NaN            NaN            NaN            NaN
  1653.85        500.000        73.0942       0.831828       0.870668        25.2033                 NaN            NaN            NaN            NaN
  1650.64        500.000        72.2880       0.831842       0.883822        25.9963                 NaN            NaN            NaN            NaN
  1647.44        500.000        71.4818       0.831857       0.896977        26.7893                 NaN            NaN            NaN            NaN
  1644.23        500.000        70.6756       0.831872       0.910132        27.5824                 NaN            NaN            NaN            NaN
  1641.03        500.000        69.8693       0.831886       0.923288        28.3755                 NaN            NaN            NaN            NaN
  1637.82        500.000        69.1144       0.831901       0.935519        29.1182                 NaN            NaN            NaN            NaN
  1634.62        500.000        68.3594       0.831915       0.947751        29.8610                 NaN            NaN            NaN            NaN
  1631.41        500.000        67.6044       0.831929       0.959983        30.6037                 NaN            NaN            NaN            NaN
  1628.21        500.000        66.8494       0.831943       0.972216        31.3465                 NaN            NaN            NaN            NaN
  1625.00        500.000        66.1194       0.831957       0.984076        32.0645                 NaN            NaN            NaN            NaN
  1621.79        500.000        64.2394       0.831976       0.990006        32.1210        1.81765                 NaN            NaN            NaN
  1618.59        500.000        62.4267       0.831995       0.994501        32.1373        3.60947                 NaN            NaN            NaN
  1615.38        500.000        60.6139       0.832013       0.998996        32.1537        5.40138                 NaN            NaN            NaN
  1612.18        500.000        59.1019       0.832028       0.999890        32.1417        6.92452                 NaN            NaN            NaN
  1608.97        500.000        57.5898       0.832044        1.00078        32.1296        8.44772                 NaN            NaN            NaN
  1605.77        500.000        56.0777       0.832060        1.00168        32.1176        9.97098                 NaN            NaN            NaN
  1602.56        500.000        54.5655       0.832075        1.00257        32.1055        11.4943                 NaN            NaN            NaN
  1599.36        500.000        53.0533       0.832091        1.00347        32.0935        13.0177                 NaN            NaN            NaN
  1596.15        500.000        51.5410       0.832106        1.00436        32.0814        14.5411                 NaN            NaN            NaN
  1592.95        500.000        50.0286       0.832122        1.00526        32.0694        16.0646                 NaN            NaN            NaN
  1589.74        500.000        48.5162       0.832137        1.00615        32.0574        17.5881                 NaN            NaN            NaN
  1586.54        500.000        47.3120       0.832150        1.00162        32.0185        18.8357                 NaN            NaN            NaN
  1583.33        500.000        46.1078       0.832162       0.997093        31.9797        20.0833                 NaN            NaN            NaN
  1580.13        500.000        44.9035       0.832175       0.992564        31.9408        21.3309                 NaN            NaN            NaN
  1576.92        500.000        43.6992       0.832188       0.988034        31.9020        22.5786                 NaN            NaN            NaN
  1573.72        500.000        42.4948       0.832200       0.983505        31.8631        23.8263                 NaN            NaN            NaN
  1570.51        500.000        41.2905       0.832213       0.978975        31.8243        25.0741                 NaN            NaN            NaN
  1567.31        500.000        40.0860       0.832225       0.974445        31.7854        26.3219                 NaN            NaN            NaN
  1564.10        500.000        38.8816       0.832238       0.969915        31.7465        27.5697                 NaN            NaN            NaN
  1560.90        500.000        37.8195       0.832249       0.958393        31.7041        28.6858                 NaN            NaN            NaN
  1557.69        500.000        36.7573       0.832260       0.946871        31.6617        29.8018                 NaN            NaN            NaN
  1554.49        500.000        35.6951       0.832271       0.935348        31.6193        30.9179                 NaN            NaN            NaN
  1551.28        500.000        34.6329       0.832282       0.923825        31.5769        32.0341                 NaN            NaN            NaN
  1548.08        500.000        33.5707       0.832293       0.912302        31.5345        33.1502                 NaN            NaN            NaN
  1544.87        500.000        32.5084       0.832304       0.900778        31.4921        34.2664                 NaN            NaN            NaN
  1541.67        500.000        31.4461       0.832315       0.889254        31.4497        35.3826                 NaN            NaN            NaN
  1538.46        500.000        30.3838       0.832326       0.877730        31.4073        36.4989                 NaN            NaN            NaN
  1535.26        500.000        29.3434       0.832336       0.858104        31.3792        37.5870                 NaN            NaN            NaN
  1532.05        500.000        28.3029       0.832347       0.838478        31.3512        38.6751                 NaN            NaN            NaN
  1528.85        500.000        27.2624       0.832357       0.818851        31.3231        39.7633                 NaN            NaN            NaN
  1525.64        500.000        26.2218       0.832368       0.799224        31.2951        40.8515                 NaN            NaN            NaN
  1522.44        500.000        24.7618       0.832383       0.774940        31.3038        41.6534       0.673682                 NaN            NaN
  1519.23        500.000        23.0712       0.832400       0.749101        31.3340        42.1945        1.81886                 NaN            NaN
  1516.03        500.000        21.5998       0.832414       0.723340        31.3599        42.6819        2.80263                 NaN            NaN
  1512.82        500.000        20.1283       0.832428       0.697577        31.3859        43.1693        3.78643                 NaN            NaN
  1509.62        500.000        18.9771       0.832439       0.672639        31.4037        43.5648        4.54929                 NaN            NaN
  1506.41        500.000        17.8258       0.832449       0.647701        31.4215        43.9604        5.31217                 NaN            NaN
  1503.21        500.000        16.6744       0.832460       0.622762        31.4393        44.3559        6.07507                 NaN            NaN
  1500.00        500.000        15.5231       0.832470       0.597822        31.4571        44.7515        6.83799                 NaN            NaN
  1496.79        500.000        14.6132       0.832478       0.574475        31.4677        45.0656        7.44658                 NaN            NaN
  1493.59        500.000        13.7034       0.832485       0.551127        31.4782        45.3796        8.05519                 NaN            NaN
  1490.38        500.000        12.8715       0.832492       0.531812        31.4774        45.5055       0.207863        8.57338                 NaN
