|6.6.6
Archiving\03_Data\eqLP/QFM_m1/GRV/GRV_3.tab                               
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        500.000        99.3252       0.674832                 NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        99.3251       0.674905                 NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        99.3250       0.674979                 NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        99.3249       0.675053                 NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        99.3249       0.675127                 NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        99.3248       0.675201                 NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        99.3247       0.675275                 NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        99.3247       0.675349                 NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        99.3246       0.675423                 NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        99.3245       0.675497                 NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        99.3244       0.675571                 NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        99.3244       0.675645                 NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        99.3243       0.675719                 NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        99.3242       0.675793                 NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        99.3241       0.675867                 NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        99.3241       0.675942                 NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        99.3240       0.676016                 NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        99.3239       0.676090                 NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        99.3238       0.676164                 NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        99.3238       0.676239                 NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        99.3237       0.676313                 NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        99.3236       0.676387                 NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        99.3235       0.676462                 NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        99.3235       0.676536                 NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        99.3234       0.676611                 NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        99.3233       0.676685                 NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        99.3232       0.676760                 NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        99.3232       0.676834                 NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        99.3231       0.676909                 NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        99.3230       0.676983                 NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        99.3229       0.677058                 NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        99.3229       0.677133                 NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        99.3228       0.677208                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        99.3227       0.677282                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        99.3226       0.677357                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        99.3226       0.677431                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        99.3225       0.677506                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        99.3224       0.677581                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        99.3223       0.677656                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        99.3223       0.677731                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        99.3222       0.677806                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        99.3221       0.677880                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        99.3220       0.677955                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        99.3220       0.678030                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        99.3219       0.678105                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        99.3218       0.678180                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        99.3217       0.678255                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        99.3217       0.678330                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        99.3216       0.678405                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        99.3215       0.678480                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        99.3214       0.678555                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        99.3214       0.678629                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        99.3213       0.678705                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        99.3212       0.678780                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        99.3211       0.678855                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        99.3211       0.678930                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        99.3210       0.679005                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        99.3209       0.679080                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        99.3208       0.679155                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        99.3103       0.679245       0.104652E-001            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        99.2957       0.679341       0.249488E-001            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        99.2815       0.679436       0.390983E-001            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        99.2672       0.679531       0.532518E-001            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        99.2530       0.679625       0.674093E-001            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        99.2387       0.679720       0.815708E-001            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        99.2252       0.679814       0.950221E-001            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        99.2116       0.679907       0.108477                 NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        99.1981       0.680001       0.121936                 NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        99.1845       0.680094       0.135399                 NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        99.1709       0.680188       0.148865                 NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        99.1574       0.680282       0.162335                 NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        99.1438       0.680375       0.175809                 NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        99.1302       0.680469       0.189286                 NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        99.1277       0.680547       0.191722                 NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        99.1252       0.680626       0.194159                 NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        99.1227       0.680704       0.196595                 NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        99.1202       0.680783       0.199033                 NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        99.0661       0.680930       0.253020                 NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        98.8002       0.681122       0.265237       0.253474                 NaN            NaN            NaN            NaN
  1746.79        500.000        98.0503       0.681504       0.276973       0.991254                 NaN            NaN            NaN            NaN
  1743.59        500.000        97.2996       0.681885       0.288723        1.72983                 NaN            NaN            NaN            NaN
  1740.38        500.000        96.5377       0.682269       0.299916        2.48016                 NaN            NaN            NaN            NaN
  1737.18        500.000        95.7749       0.682652       0.311122        3.23129                 NaN            NaN            NaN            NaN
  1733.97        500.000        95.0114       0.683032       0.322339        3.98323                 NaN            NaN            NaN            NaN
  1730.77        500.000        94.2471       0.683411       0.333567        4.73596                 NaN            NaN            NaN            NaN
  1727.56        500.000        93.4819       0.683787       0.344806        5.48949                 NaN            NaN            NaN            NaN
  1724.36        500.000        92.7160       0.684162       0.356057        6.24381                 NaN            NaN            NaN            NaN
  1721.15        500.000        91.9493       0.684534       0.367319        6.99890                 NaN            NaN            NaN            NaN
  1717.95        500.000        91.1817       0.684905       0.378592        7.75476                 NaN            NaN            NaN            NaN
  1714.74        500.000        90.4084       0.685276       0.388982        8.51739                 NaN            NaN            NaN            NaN
  1711.54        500.000        89.6342       0.685646       0.399383        9.28079                 NaN            NaN            NaN            NaN
  1708.33        500.000        88.8592       0.686013       0.409793        10.0450                 NaN            NaN            NaN            NaN
  1705.13        500.000        88.0835       0.686378       0.420213        10.8099                 NaN            NaN            NaN            NaN
  1701.92        500.000        87.3071       0.686740       0.430642        11.5755                 NaN            NaN            NaN            NaN
  1698.72        500.000        86.5299       0.687101       0.441080        12.3419                 NaN            NaN            NaN            NaN
  1695.51        500.000        85.7519       0.687459       0.451528        13.1091                 NaN            NaN            NaN            NaN
  1692.31        500.000        84.9733       0.687814       0.461985        13.8769                 NaN            NaN            NaN            NaN
  1689.10        500.000        84.2085       0.688164       0.471564        14.6318                 NaN            NaN            NaN            NaN
  1685.90        500.000        83.4430       0.688512       0.481151        15.3874                 NaN            NaN            NaN            NaN
  1682.69        500.000        82.6768       0.688857       0.490746        16.1436                 NaN            NaN            NaN            NaN
  1679.49        500.000        81.9099       0.689199       0.500348        16.9005                 NaN            NaN            NaN            NaN
  1676.28        500.000        81.1424       0.689539       0.509958        17.6581                 NaN            NaN            NaN            NaN
  1673.08        500.000        80.3742       0.689877       0.519575        18.4163                 NaN            NaN            NaN            NaN
  1669.87        500.000        79.6054       0.690211       0.529200        19.1752                 NaN            NaN            NaN            NaN
  1666.67        500.000        78.8360       0.690544       0.538831        19.9347                 NaN            NaN            NaN            NaN
  1663.46        500.000        78.1091       0.690858       0.547634        20.6524                 NaN            NaN            NaN            NaN
  1660.26        500.000        77.3817       0.691170       0.556442        21.3707                 NaN            NaN            NaN            NaN
  1657.05        500.000        76.6537       0.691479       0.565256        22.0896                 NaN            NaN            NaN            NaN
  1653.85        500.000        75.9252       0.691786       0.574076        22.8089                 NaN            NaN            NaN            NaN
  1650.64        500.000        75.1962       0.692089       0.582901        23.5288                 NaN            NaN            NaN            NaN
  1647.44        500.000        74.4667       0.692391       0.591731        24.2492                 NaN            NaN            NaN            NaN
  1644.23        500.000        73.7367       0.692689       0.600567        24.9701                 NaN            NaN            NaN            NaN
  1641.03        500.000        73.0062       0.692985       0.609407        25.6915                 NaN            NaN            NaN            NaN
  1637.82        500.000        72.3231       0.693262       0.617625        26.3660                 NaN            NaN            NaN            NaN
  1634.62        500.000        71.6396       0.693536       0.625846        27.0410                 NaN            NaN            NaN            NaN
  1631.41        500.000        70.9557       0.693807       0.634071        27.7164                 NaN            NaN            NaN            NaN
  1628.21        500.000        70.2714       0.694076       0.642300        28.3922                 NaN            NaN            NaN            NaN
  1625.00        500.000        69.6098       0.694334       0.650324        29.0456                 NaN            NaN            NaN            NaN
  1621.79        500.000        67.7965       0.695875       0.655633        29.1491        1.70296                 NaN            NaN            NaN
  1618.59        500.000        66.0392       0.697390       0.659963        29.2155        3.38796                 NaN            NaN            NaN
  1615.38        500.000        64.2743       0.698909       0.664310        29.2822        5.08024                 NaN            NaN            NaN
  1612.18        500.000        62.7977       0.700211       0.666099        29.3142        6.52182                 NaN            NaN            NaN
  1608.97        500.000        61.3156       0.701517       0.667893        29.3463        7.96871                 NaN            NaN            NaN
  1605.77        500.000        59.8281       0.702826       0.669692        29.3784        9.42094                 NaN            NaN            NaN
  1602.56        500.000        58.3352       0.704138       0.671497        29.4106        10.8785                 NaN            NaN            NaN
  1599.36        500.000        56.8369       0.705454       0.673307        29.4429        12.3415                 NaN            NaN            NaN
  1596.15        500.000        55.3330       0.706774       0.675122        29.4752        13.8099                 NaN            NaN            NaN
  1592.95        500.000        53.8237       0.708096       0.676943        29.5076        15.2836                 NaN            NaN            NaN
  1589.74        500.000        52.3089       0.709423       0.678770        29.5400        16.7629                 NaN            NaN            NaN
  1586.54        500.000        51.0985       0.710520       0.676761        29.5391        17.9751                 NaN            NaN            NaN
  1583.33        500.000        49.8844       0.711620       0.674746        29.5382        19.1911                 NaN            NaN            NaN
  1580.13        500.000        48.6667       0.712723       0.672723        29.5371        20.4107                 NaN            NaN            NaN
  1576.92        500.000        47.4454       0.713827       0.670693        29.5361        21.6340                 NaN            NaN            NaN
  1573.72        500.000        46.2203       0.714934       0.668655        29.5350        22.8611                 NaN            NaN            NaN
  1570.51        500.000        44.9916       0.716044       0.666610        29.5339        24.0918                 NaN            NaN            NaN
  1567.31        500.000        43.7593       0.717156       0.664558        29.5327        25.3264                 NaN            NaN            NaN
  1564.10        500.000        42.5232       0.718270       0.662499        29.5314        26.5646                 NaN            NaN            NaN
  1560.90        500.000        41.4290       0.719281       0.655607        29.5228        27.6733                 NaN            NaN            NaN
  1557.69        500.000        40.3318       0.720294       0.648695        29.5141        28.7850                 NaN            NaN            NaN
  1554.49        500.000        39.2317       0.721310       0.641763        29.5054        29.8998                 NaN            NaN            NaN
  1551.28        500.000        38.1286       0.722327       0.634810        29.4966        31.0176                 NaN            NaN            NaN
  1548.08        500.000        37.0226       0.723347       0.627838        29.4878        32.1384                 NaN            NaN            NaN
  1544.87        500.000        35.9135       0.724368       0.620844        29.4789        33.2624                 NaN            NaN            NaN
  1541.67        500.000        34.8015       0.725392       0.613831        29.4699        34.3894                 NaN            NaN            NaN
  1538.46        500.000        33.6864       0.726417       0.606796        29.4609        35.5195                 NaN            NaN            NaN
  1535.26        500.000        32.5906       0.727434       0.594182        29.4645        36.6233                 NaN            NaN            NaN
  1532.05        500.000        31.4919       0.728453       0.581531        29.4680        37.7301                 NaN            NaN            NaN
  1528.85        500.000        30.3903       0.729474       0.568845        29.4715        38.8399                 NaN            NaN            NaN
  1525.64        500.000        29.2858       0.730498       0.556122        29.4750        39.9526                 NaN            NaN            NaN
  1522.44        500.000        27.7319       0.731965       0.540639        29.5260        40.8036       0.665909                 NaN            NaN
