|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1487.18        2500.00        99.9985                 NaN  0.152137E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.2419                 NaN  0.223008       0.535136                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.1624                 NaN  0.551336       0.286266                 NaN  0.169901E-005            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.1674                 NaN  0.547710       0.284868                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.1744                 NaN  0.282912       0.542659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.1797                 NaN  0.280981       0.539346                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.1844                 NaN  0.279379       0.536216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.1906                 NaN  0.532163       0.277192                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.1953                 NaN  0.529094       0.275562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.7695                 NaN  0.153688       0.697267E-001            NaN  0.708488E-002            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        98.6379                 NaN  0.897283       0.464786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.2097                 NaN  0.519206       0.271042                 NaN  0.515974E-005            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.1759                 NaN  0.283023       0.541120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.2594                 NaN  0.254151       0.486402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.2236                 NaN  0.510265       0.266184                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.2416                 NaN  0.165454       0.530130                 NaN  0.627667E-001            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.1663                 NaN  0.547182       0.286509                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.3056                 NaN  0.456647       0.237750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.2568                 NaN  0.517302       0.170380                 NaN  0.555266E-001            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.2439                 NaN  0.497671       0.258386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.2569                 NaN  0.497030       0.230034                 NaN  0.160313E-001            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.2550                 NaN  0.490107       0.254916                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.32        2500.00        99.2585                 NaN  0.487913       0.253615                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.2645                 NaN  0.498637       0.208649                 NaN  0.282183E-001            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.2713                 NaN  0.249242       0.479164                 NaN  0.274022E-003            NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.2695                 NaN  0.481269       0.249236                 NaN  0.594438E-005            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        99.2783                 NaN  0.487165       0.213728                 NaN  0.207842E-001            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.2798                 NaN  0.242359       0.475858                 NaN  0.197234E-002            NaN            NaN            NaN            NaN            NaN
  1452.99        2500.00        99.2134                 NaN  0.532386       0.227670                 NaN  0.265284E-001            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00        99.3574                 NaN  0.423567       0.219006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.55        2500.00        99.2860                 NaN  0.472002       0.241948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        99.2904                 NaN  0.468085       0.241457                 NaN  0.878436E-006  0.653541E-004            NaN            NaN            NaN            NaN
  1448.11        2500.00        99.2959                 NaN  0.467775       0.231547                 NaN  0.477332E-002            NaN            NaN            NaN            NaN            NaN
  1446.89        2500.00        98.9882                 NaN  0.277645       0.512436                 NaN  0.597080E-001            NaN  0.162033                 NaN            NaN            NaN
  1445.67        2500.00        97.9601                 NaN  0.658066       0.444329                 NaN  0.234424                 NaN  0.703086                 NaN            NaN            NaN
  1444.44        2500.00        98.0013                 NaN  0.647379       0.429510                 NaN  0.232504                 NaN  0.689297                 NaN            NaN            NaN
  1443.22        2500.00        98.0290                 NaN  0.416376       0.641650                 NaN  0.232441                 NaN  0.680559                 NaN            NaN            NaN
  1442.00        2500.00        98.0617                 NaN  0.404072       0.633489                 NaN  0.230949                 NaN  0.669831                 NaN            NaN            NaN
  1440.78        2500.00        98.0905                 NaN  0.626142       0.392098                 NaN  0.230899                 NaN  0.660348                 NaN            NaN            NaN
  1439.56        2500.00        98.1205                 NaN  0.380284       0.618692                 NaN  0.229903                 NaN  0.650574                 NaN            NaN            NaN
  1438.34        2500.00        98.1546                 NaN  0.610797       0.367085                 NaN  0.228332                 NaN  0.639201                 NaN            NaN            NaN
  1437.12        2500.00        98.1777                 NaN  0.605251       0.356547                 NaN  0.228513                 NaN  0.631982                 NaN            NaN            NaN
  1435.90        2500.00        98.2064                 NaN  0.598669       0.344268                 NaN  0.227579                 NaN  0.623081                 NaN            NaN            NaN
  1434.68        2500.00        98.2326                 NaN  0.592422       0.333850                 NaN  0.227079                 NaN  0.614051                 NaN            NaN            NaN
  1433.46        2500.00        98.2591                 NaN  0.323585       0.585928                 NaN  0.226223                 NaN  0.605133                 NaN            NaN            NaN
  1432.23        2500.00        98.9765                 NaN  0.346669       0.185828                 NaN  0.134857                 NaN  0.356180                 NaN            NaN            NaN
  1431.01        2500.00        97.6070                 NaN  0.811954       0.431194                 NaN  0.317281                 NaN  0.832546                 NaN            NaN            NaN
  1429.79        2500.00        98.3319                 NaN  0.292857       0.569178                 NaN  0.224759                 NaN  0.581312                 NaN            NaN            NaN
  1428.57        2500.00        98.3551                 NaN  0.282331       0.564322                 NaN  0.224343                 NaN  0.573935                 NaN            NaN            NaN
  1427.35        2500.00        98.3784                 NaN  0.558343       0.273791                 NaN  0.223571                 NaN  0.565904                 NaN            NaN            NaN
  1426.13        2500.00        98.3981                 NaN  0.554545       0.264136                 NaN  0.223656                 NaN  0.559532                 NaN            NaN            NaN
  1424.91        2500.00        98.4219                 NaN  0.548530       0.255579                 NaN  0.222535                 NaN  0.551494                 NaN            NaN            NaN
  1423.69        2500.00        98.4410                 NaN  0.544880       0.246199                 NaN  0.222519                 NaN  0.545402                 NaN            NaN            NaN
  1422.47        2500.00        98.4620                 NaN  0.539733       0.237911                 NaN  0.221940                 NaN  0.538402                 NaN            NaN            NaN
  1421.25        2500.00        98.4851                 NaN  0.534448       0.228662                 NaN  0.221147                 NaN  0.530627                 NaN            NaN            NaN
  1420.02        2500.00        98.5034                 NaN  0.220823       0.530281                 NaN  0.220957                 NaN  0.524569                 NaN            NaN            NaN
  1418.80        2500.00        98.5122                 NaN  0.533408       0.209019                 NaN  0.222543                 NaN  0.522871                 NaN            NaN            NaN
  1417.58        2500.00        98.5482                 NaN  0.205405       0.519194                 NaN  0.218230                 NaN  0.508987                 NaN            NaN            NaN
  1416.36        2500.00        98.5598                 NaN  0.196850       0.517755                 NaN  0.219658                 NaN  0.505951                 NaN            NaN            NaN
  1415.14        2500.00        98.5767                 NaN  0.514392       0.189507                 NaN  0.219214                 NaN  0.500183                 NaN            NaN            NaN
  1413.92        2500.00        98.5945                 NaN  0.510487       0.181501                 NaN  0.218986                 NaN  0.494483                 NaN            NaN            NaN
  1412.70        2500.00        98.6112                 NaN  0.173311       0.507774                 NaN  0.218939                 NaN  0.488775                 NaN            NaN            NaN
  1411.48        2500.00        98.6313                 NaN  0.167344       0.502102                 NaN  0.217319                 NaN  0.481905                 NaN            NaN            NaN
  1410.26        2500.00        98.6463                 NaN  0.159241       0.500110                 NaN  0.217386                 NaN  0.476955                 NaN            NaN            NaN
  1409.04        2500.00        98.6620                 NaN  0.152783       0.496586                 NaN  0.216983                 NaN  0.471634                 NaN            NaN            NaN
  1407.81        2500.00        98.6784                 NaN  0.493526       0.144269                 NaN  0.217326                 NaN  0.466471                 NaN            NaN            NaN
  1406.59        2500.00        98.6957                 NaN  0.488643       0.140496                 NaN  0.215164                 NaN  0.460022                 NaN            NaN            NaN
  1405.37        2500.00        98.7076                 NaN  0.133256       0.486858                 NaN  0.215852                 NaN  0.456468                 NaN            NaN            NaN
  1404.15        2500.00        98.7236                 NaN  0.484225       0.126238                 NaN  0.215124                 NaN  0.450777                 NaN            NaN            NaN
  1402.93        2500.00        98.7368                 NaN  0.119867       0.482147                 NaN  0.214806                 NaN  0.446355                 NaN            NaN            NaN
  1401.71        2500.00        98.7523                 NaN  0.113722       0.478784                 NaN  0.214108                 NaN  0.441091                 NaN            NaN            NaN
  1400.49        2500.00        98.7665                 NaN  0.107783       0.475628                 NaN  0.213768                 NaN  0.436351                 NaN            NaN            NaN
  1399.27        2500.00        98.7796                 NaN  0.101967       0.473561                 NaN  0.213140                 NaN  0.431749                 NaN            NaN            NaN
  1398.05        2500.00        98.7931                 NaN  0.470991       0.960403E-001            NaN  0.212666                 NaN  0.427213                 NaN            NaN            NaN
  1396.83        2500.00        98.8064                 NaN  0.468744       0.900919E-001            NaN  0.212114                 NaN  0.422603                 NaN            NaN            NaN
