|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.25/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             ilm            San(TH)        q             
  1487.18        2500.00        99.9983                 NaN  0.171991E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.1411                 NaN  0.254217       0.604679                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.0504                 NaN  0.623127       0.326443                 NaN  0.203951E-005            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.0560                 NaN  0.619092       0.324957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.0635                 NaN  0.322848       0.613602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.0692                 NaN  0.320765       0.610014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.0743                 NaN  0.319077       0.606660                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.0811                 NaN  0.602235       0.316698                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.0861                 NaN  0.598935       0.314949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.7376                 NaN  0.174101       0.797731E-001            NaN  0.853801E-002            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        98.4532                 NaN   1.01553       0.531268                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.1016                 NaN  0.588213       0.310151                 NaN  0.622104E-005            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.0627                 NaN  0.324037       0.613279                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.1575                 NaN  0.291097       0.551433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.1163                 NaN  0.578693       0.305030                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.1330                 NaN  0.189657       0.601398                 NaN  0.759284E-001            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.0506                 NaN  0.620881       0.328552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.2088                 NaN  0.518427       0.272822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.1496                 NaN  0.587456       0.195596                 NaN  0.673206E-001            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.1380                 NaN  0.565297       0.296749                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.1514                 NaN  0.564815       0.264322                 NaN  0.194656E-001            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.1498                 NaN  0.557134       0.293039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.32        2500.00        99.1535                 NaN  0.554841       0.291688                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.1584                 NaN  0.567121       0.240159                 NaN  0.343628E-001            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.1675                 NaN  0.286923       0.545252                 NaN  0.333682E-003            NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.1651                 NaN  0.547866       0.287048                 NaN  0.724365E-005            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        99.1736                 NaN  0.554742       0.246267                 NaN  0.253544E-001            NaN            NaN            NaN            NaN            NaN
