|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/YM20/YM20_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          iron           Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1583.33        2500.00        99.7783       0.181646       0.400775E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.87        2500.00        99.3300       0.658532       0.114518E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.41        2500.00        98.2277        1.60609       0.166174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.94        2500.00        99.9950       0.424380E-002  0.794929E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.48        2500.00        99.7802       0.198021       0.218014E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.02        2500.00        99.9165       0.750729E-001  0.841501E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.56        2500.00        98.8654        1.00414       0.130468                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.10        2500.00        98.8108        1.06152       0.127704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.63        2500.00        99.8702       0.116022       0.137712E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.17        2500.00        99.3946       0.542651       0.627127E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1568.71        2500.00        99.3783       0.556602       0.650844E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.25        2500.00        99.3817       0.555211       0.630461E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1565.79        2500.00        99.3886       0.548880       0.625622E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.32        2500.00        99.3928       0.544738       0.624784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
