|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/TIS/TIS_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q              hed           
  1461.54        2500.00       0.271248E-001   99.9346                 NaN  0.184964E-001  0.197366E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.117775E-003   99.9521                 NaN  0.329510E-001            NaN            NaN            NaN  0.148628E-001            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.164223E-002   98.6252                 NaN  0.377179       0.996016                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.865566E-003   99.2776                 NaN  0.507518       0.214027                 NaN            NaN  0.700205E-005            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.805682E-003   99.2696                 NaN  0.198270       0.520896                 NaN            NaN  0.104180E-001            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.772896E-003   99.2977                 NaN  0.492857       0.208137                 NaN            NaN  0.495250E-003            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.685435E-003   99.2922                 NaN  0.512595       0.171320                 NaN            NaN  0.232181E-001            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.622369E-003   99.2973                 NaN  0.157485       0.513859                 NaN            NaN  0.307343E-001            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.597484E-003   99.3004                 NaN  0.157630       0.511317                 NaN            NaN  0.300810E-001            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.148399E-003   99.8188                 NaN  0.405405E-001  0.132523                 NaN            NaN  0.797823E-002            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.954295E-003   98.7914                 NaN  0.275294       0.881535                 NaN            NaN  0.507964E-001            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.505317E-003   99.3105                 NaN  0.502302       0.158952                 NaN            NaN  0.276937E-001            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.475039E-003   99.3134                 NaN  0.158385       0.500114                 NaN            NaN  0.275921E-001            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.446913E-003   99.3166                 NaN  0.158088       0.498004                 NaN            NaN  0.268167E-001            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.419142E-003   99.3199                 NaN  0.158628       0.494690                 NaN            NaN  0.263901E-001            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.388763E-003   99.3207                 NaN  0.159588       0.493403                 NaN            NaN  0.259555E-001            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.398948E-003   99.2774                 NaN  0.170952       0.524358                 NaN            NaN  0.269268E-001            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.697842E-004   99.8684                 NaN  0.311192E-001  0.956400E-001            NaN            NaN  0.479301E-002            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.592349E-003   98.8409                 NaN  0.274909       0.841742                 NaN            NaN  0.418750E-001            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.293529E-003   99.3324                 NaN  0.484182       0.159713                 NaN            NaN  0.233631E-001            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.427395E-003   99.2448                 NaN  0.546079       0.182424                 NaN            NaN  0.262713E-001            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.320221E-004   99.9140                 NaN  0.626945E-001  0.201781E-001            NaN            NaN  0.310610E-002            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.421778E-003   98.8592                 NaN  0.276274       0.826673                 NaN            NaN  0.374677E-001            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.193664E-003   99.3448                 NaN  0.476436       0.154726                 NaN            NaN  0.237992E-001            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.195468E-003   99.3448                 NaN  0.472796       0.164289                 NaN            NaN  0.178916E-001            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.167803E-003   99.3488                 NaN  0.159684       0.471541                 NaN            NaN  0.198179E-001            NaN            NaN            NaN            NaN            NaN
