|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.25/TIS/TIS_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q              hed           
  1461.54        2500.00       0.177609E-001   99.9492                 NaN  0.159052E-001  0.171526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00       0.771138E-004   99.9593                 NaN  0.286750E-001            NaN            NaN            NaN  0.119741E-001            NaN            NaN            NaN            NaN            NaN
  1459.23        2500.00       0.107782E-002   98.8078                 NaN  0.324529       0.866561                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00       0.567750E-003   99.3745                 NaN  0.441012       0.183904                 NaN            NaN  0.563932E-005            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00       0.528733E-003   99.3684                 NaN  0.170266       0.452424                 NaN            NaN  0.838425E-002            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00       0.507476E-003   99.3925                 NaN  0.427939       0.178667                 NaN            NaN  0.398309E-003            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00       0.450291E-003   99.3890                 NaN  0.444893       0.146986                 NaN            NaN  0.186578E-001            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00       0.408999E-003   99.3941                 NaN  0.135046       0.445805                 NaN            NaN  0.246789E-001            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00       0.392819E-003   99.3970                 NaN  0.135095       0.443400                 NaN            NaN  0.241353E-001            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00       0.975391E-004   99.8440                 NaN  0.347065E-001  0.114812                 NaN            NaN  0.639519E-002            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00       0.628417E-003   98.9584                 NaN  0.235861       0.764360                 NaN            NaN  0.407187E-001            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00       0.332691E-003   99.4064                 NaN  0.435051       0.136020                 NaN            NaN  0.221674E-001            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00       0.312911E-003   99.4092                 NaN  0.135463       0.432966                 NaN            NaN  0.220687E-001            NaN            NaN            NaN            NaN            NaN
  1446.50        2500.00       0.294538E-003   99.4122                 NaN  0.135144       0.430960                 NaN            NaN  0.214327E-001            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00       0.276341E-003   99.4152                 NaN  0.135523       0.427915                 NaN            NaN  0.210713E-001            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00       0.256347E-003   99.4161                 NaN  0.136281       0.426652                 NaN            NaN  0.207075E-001            NaN            NaN            NaN            NaN            NaN
  1443.03        2500.00       0.263364E-003   99.3791                 NaN  0.145914       0.453218                 NaN            NaN  0.214725E-001            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00       0.460775E-004   99.8870                 NaN  0.265307E-001  0.825776E-001            NaN            NaN  0.381560E-002            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00       0.391565E-003   99.0044                 NaN  0.234530       0.727325                 NaN            NaN  0.333505E-001            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00       0.193986E-003   99.4272                 NaN  0.417905       0.136094                 NaN            NaN  0.185814E-001            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00       0.282371E-003   99.3525                 NaN  0.471057       0.155334                 NaN            NaN  0.208594E-001            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00       0.211618E-004   99.9263                 NaN  0.540136E-001  0.171589E-001            NaN            NaN  0.246296E-002            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00       0.279413E-003   99.0217                 NaN  0.235191       0.713045                 NaN            NaN  0.297461E-001            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00       0.128261E-003   99.4390                 NaN  0.410466       0.131550                 NaN            NaN  0.188627E-001            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00       0.129526E-003   99.4390                 NaN  0.407142       0.139594                 NaN            NaN  0.141672E-001            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00       0.111243E-003   99.4427                 NaN  0.135614       0.405868                 NaN            NaN  0.156833E-001            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00                 NaN   98.8071                 NaN  0.224549       0.483440                 NaN            NaN  0.134533       0.350400                 NaN            NaN            NaN            NaN
  1430.31        2500.00                 NaN   98.4418                 NaN  0.270867       0.526608                 NaN            NaN  0.205572       0.555176                 NaN            NaN            NaN            NaN
  1429.15        2500.00                 NaN   98.2650                 NaN  0.295465       0.589221                 NaN            NaN  0.231819       0.618536                 NaN            NaN            NaN            NaN
  1427.99        2500.00                 NaN   98.6844                 NaN  0.219047       0.449564                 NaN            NaN  0.177392       0.469582                 NaN            NaN            NaN            NaN
  1426.84        2500.00                 NaN   98.5032                 NaN  0.243780       0.513977                 NaN            NaN  0.204362       0.534672                 NaN            NaN            NaN            NaN
  1425.68        2500.00                 NaN   98.5262                 NaN  0.237248       0.507671                 NaN            NaN  0.202505       0.526368                 NaN            NaN            NaN            NaN
  1424.52        2500.00                 NaN   98.5473                 NaN  0.227998       0.503140                 NaN            NaN  0.202049       0.519546                 NaN            NaN            NaN            NaN
  1423.37        2500.00                 NaN   98.5648                 NaN  0.219302       0.500497                 NaN            NaN  0.201715       0.513667                 NaN            NaN            NaN            NaN
  1422.21        2500.00                 NaN   98.5851                 NaN  0.211106       0.495964                 NaN            NaN  0.201080       0.506764                 NaN            NaN            NaN            NaN
  1421.05        2500.00                 NaN   98.6033                 NaN  0.491945       0.203849                 NaN            NaN  0.200316       0.500596                 NaN            NaN            NaN            NaN
  1419.90        2500.00                 NaN   98.6212                 NaN  0.195496       0.488781                 NaN            NaN  0.199923       0.494599                 NaN            NaN            NaN            NaN
  1418.74        2500.00                 NaN   98.6395                 NaN  0.485400       0.187632                 NaN            NaN  0.199207       0.488290                 NaN            NaN            NaN            NaN
  1417.58        2500.00                 NaN   98.6564                 NaN  0.482235       0.180247                 NaN            NaN  0.198590       0.482510                 NaN            NaN            NaN            NaN
  1416.43        2500.00                 NaN   98.6735                 NaN  0.478468       0.173225                 NaN            NaN  0.198056       0.476705                 NaN            NaN            NaN            NaN
  1415.27        2500.00                 NaN   98.6895                 NaN  0.475397       0.166100                 NaN            NaN  0.197758       0.471288                 NaN            NaN            NaN            NaN
  1414.11        2500.00                 NaN   98.6998                 NaN  0.158730       0.476119                 NaN            NaN  0.197376       0.467950                 NaN            NaN            NaN            NaN
  1412.96        2500.00                 NaN   98.7269                 NaN  0.467586       0.151896                 NaN            NaN  0.195527       0.458042                 NaN            NaN            NaN            NaN
  1411.80        2500.00                 NaN   98.7378                 NaN  0.466045       0.145855                 NaN            NaN  0.195653       0.454628                 NaN            NaN            NaN            NaN
  1410.64        2500.00                 NaN   98.7540                 NaN  0.139056       0.462717                 NaN            NaN  0.195103       0.449096                 NaN            NaN            NaN            NaN
  1409.49        2500.00                 NaN   98.7672                 NaN  0.460758       0.132997                 NaN            NaN  0.194625       0.444451                 NaN            NaN            NaN            NaN
  1408.33        2500.00                 NaN   98.7818                 NaN  0.458576       0.126101                 NaN            NaN  0.193992       0.439549                 NaN            NaN            NaN            NaN
  1407.17        2500.00                 NaN   98.7967                 NaN  0.116551       0.457209                 NaN            NaN  0.194736       0.434755                 NaN            NaN            NaN            NaN
  1406.02        2500.00                 NaN   98.8055                 NaN  0.456544       0.112618                 NaN            NaN  0.193779       0.431533                 NaN            NaN            NaN            NaN
  1404.86        2500.00                 NaN   98.8338                 NaN  0.445161       0.110894                 NaN            NaN  0.189540       0.420583                 NaN            NaN            NaN            NaN
  1403.70        2500.00                 NaN   98.8393                 NaN  0.448039       0.101881                 NaN            NaN  0.191360       0.419410                 NaN            NaN            NaN            NaN
  1402.55        2500.00                 NaN   98.8526                 NaN  0.961584E-001  0.445624                 NaN            NaN  0.190714       0.414933                 NaN            NaN            NaN            NaN
