|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         hed            q             
  1500.22        2500.00        99.8191       0.169008       0.118489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        2500.00        99.2902       0.664862       0.449344E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        2500.00        99.5441       0.406257       0.496821E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1495.71        2500.00        99.0623       0.882840       0.548126E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.21        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1492.71        2500.00        99.7552       0.244618       0.141423E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.20        2500.00        99.5946       0.397557       0.787666E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1489.70        2500.00        99.6635       0.317340       0.191304E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.20        2500.00        99.4380       0.976994E-001  0.622786E-002  0.458040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.70        2500.00        99.4726                 NaN            NaN  0.527429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.20        2500.00        99.3485                 NaN            NaN  0.651472                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.69        2500.00        99.5938                 NaN  0.397997E-005  0.406171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.19        2500.00        99.4663                 NaN            NaN  0.533663                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.69        2500.00        99.4646                 NaN  0.919070E-005  0.535379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.19        2500.00        99.4633                 NaN            NaN  0.536696                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.69        2500.00        99.4600                 NaN            NaN  0.539974                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.18        2500.00        99.4589                 NaN  0.353024E-001  0.505778                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.68        2500.00        99.4579                 NaN            NaN  0.542120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.18        2500.00        99.3172                 NaN            NaN  0.268852       0.413954                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.68        2500.00        99.2003                 NaN            NaN  0.277410       0.522308                 NaN            NaN            NaN            NaN            NaN            NaN
  1470.17        2500.00        99.2072                 NaN            NaN  0.275154       0.517654                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.67        2500.00        99.2143                 NaN            NaN  0.273126       0.512612                 NaN            NaN            NaN            NaN            NaN            NaN
  1467.17        2500.00        99.2205                 NaN            NaN  0.508713       0.270827                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.67        2500.00        99.2268                 NaN            NaN  0.504688       0.268559                 NaN            NaN            NaN            NaN            NaN            NaN
  1464.17        2500.00        99.2320                 NaN            NaN  0.266861       0.501164                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.66        2500.00        99.2401                 NaN  0.545746E-005  0.495711       0.264152                 NaN            NaN            NaN            NaN            NaN            NaN
  1461.16        2500.00        99.2447                 NaN            NaN  0.492765       0.262533                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.66        2500.00        99.2507                 NaN            NaN  0.489025       0.260295                 NaN            NaN            NaN            NaN            NaN            NaN
  1458.16        2500.00        99.2559                 NaN            NaN  0.487189       0.256944                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.66        2500.00        99.2609                 NaN            NaN  0.482734       0.256383                 NaN            NaN            NaN            NaN            NaN            NaN
  1455.15        2500.00        99.3567                 NaN  0.458375E-001  0.597508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.65        2500.00        99.3348                 NaN  0.982757E-001  0.566900                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.15        2500.00        99.1588                 NaN            NaN  0.334617       0.506608                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.65        2500.00        99.2841                 NaN            NaN  0.248748       0.467112                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.14        2500.00        99.2889                 NaN            NaN  0.246666       0.464437                 NaN            NaN            NaN            NaN            NaN            NaN
  1447.64        2500.00        99.2933                 NaN            NaN  0.461666       0.245033                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.14        2500.00        99.2986                 NaN            NaN  0.242501       0.458928                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.64        2500.00        99.3034                 NaN            NaN  0.455447       0.241158                 NaN            NaN            NaN            NaN            NaN            NaN
  1443.14        2500.00        99.3119                 NaN  0.164497E-001  0.212398       0.459281                 NaN            NaN            NaN            NaN            NaN            NaN
  1441.63        2500.00        99.3229                 NaN  0.906589E-005  0.233687       0.443399                 NaN            NaN            NaN            NaN            NaN            NaN
  1440.13        2500.00        99.3119                 NaN  0.208697E-001  0.461177       0.206045                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.63        2500.00        99.3279                 NaN  0.223958E-001  0.196902       0.452753                 NaN            NaN            NaN            NaN            NaN            NaN
  1437.13        2500.00        99.3319                 NaN  0.214883E-001  0.197313       0.449290                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.63        2500.00        99.3983                 NaN  0.187347E-001  0.178974       0.403999                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.12        2500.00        99.2783                 NaN  0.216491E-001  0.484192       0.215833                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.3439                 NaN  0.191412E-001  0.440411       0.196516                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.12        2500.00        99.3482                 NaN  0.183817E-001  0.437230       0.196204                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.62        2500.00        99.3516                 NaN  0.190396E-001  0.193612       0.435750                 NaN            NaN            NaN            NaN            NaN            NaN
  1428.11        2500.00        99.3555                 NaN  0.155234E-001  0.431484       0.197493                 NaN            NaN            NaN            NaN            NaN            NaN
  1426.61        2500.00        99.3589                 NaN  0.161378E-001  0.428939       0.196049                 NaN            NaN            NaN            NaN            NaN            NaN
  1425.11        2500.00        98.5143                 NaN  0.162586       0.358238       0.485014       0.479879                 NaN            NaN            NaN            NaN            NaN
  1423.61        2500.00        98.3529                 NaN  0.194172       0.385624       0.489478       0.577792                 NaN            NaN            NaN            NaN            NaN
  1422.11        2500.00        98.3820                 NaN  0.193077       0.482395       0.374538       0.567967                 NaN            NaN            NaN            NaN            NaN
  1420.60        2500.00        98.4027                 NaN  0.194489       0.476978       0.363558       0.562254                 NaN            NaN            NaN            NaN            NaN
  1419.10        2500.00        98.4465                 NaN  0.188281       0.354766       0.465182       0.545269                 NaN            NaN            NaN            NaN            NaN
  1417.60        2500.00        98.4659                 NaN  0.189818       0.343888       0.460574       0.539861                 NaN            NaN            NaN            NaN            NaN
  1416.10        2500.00        98.4888                 NaN  0.189610       0.333976       0.455178       0.532426                 NaN            NaN            NaN            NaN            NaN
  1414.59        2500.00        98.5212                 NaN  0.186872       0.324847       0.446398       0.520653                 NaN            NaN            NaN            NaN            NaN
  1413.09        2500.00        98.5412                 NaN  0.187113       0.441592       0.315548       0.514595                 NaN            NaN            NaN            NaN            NaN
  1411.59        2500.00        98.5670                 NaN  0.185817       0.435237       0.306591       0.505329                 NaN            NaN            NaN            NaN            NaN
  1410.09        2500.00        98.5896                 NaN  0.184826       0.429332       0.298396       0.497862                 NaN            NaN            NaN            NaN            NaN
  1408.59        2500.00        98.6044                 NaN  0.183622       0.418786       0.298883       0.494268                 NaN            NaN            NaN            NaN            NaN
  1407.08        2500.00        98.6432                 NaN  0.184063       0.418710       0.275301       0.478750                 NaN            NaN            NaN            NaN            NaN
  1405.58        2500.00        98.6542                 NaN  0.182975       0.273271       0.413383       0.476131                 NaN            NaN            NaN            NaN            NaN
  1404.08        2500.00        98.6795                 NaN  0.180622       0.406409       0.266395       0.467046                 NaN            NaN            NaN            NaN            NaN
  1402.58        2500.00        98.6986                 NaN  0.180441       0.402015       0.258234       0.460722                 NaN            NaN            NaN            NaN            NaN
  1401.08        2500.00        98.7174                 NaN  0.179753       0.250967       0.397547       0.454349                 NaN            NaN            NaN            NaN            NaN
  1399.57        2500.00        98.7378                 NaN  0.178692       0.243969       0.392196       0.447312                 NaN            NaN            NaN            NaN            NaN
  1398.07        2500.00        98.7471                 NaN  0.179894       0.387745       0.239901       0.445395                 NaN            NaN            NaN            NaN            NaN
  1396.57        2500.00        98.7882                 NaN  0.175001       0.228081       0.379418       0.429322                 NaN            NaN            NaN            NaN            NaN
  1395.07        2500.00        98.7939                 NaN  0.176203       0.377869       0.223850       0.428155                 NaN            NaN            NaN            NaN            NaN
  1393.56        2500.00        98.8117                 NaN  0.175136       0.373821       0.217503       0.421848                 NaN            NaN            NaN            NaN            NaN
  1392.06        2500.00        98.8293                 NaN  0.174386       0.211136       0.369305       0.415825                 NaN            NaN            NaN            NaN            NaN
  1390.56        2500.00        98.8485                 NaN  0.173577       0.204688       0.363839       0.409409                 NaN            NaN            NaN            NaN            NaN
  1389.06        2500.00        98.8628                 NaN  0.172915       0.360763       0.199258       0.404291                 NaN            NaN            NaN            NaN            NaN
  1387.56        2500.00        98.8797                 NaN  0.171669       0.193741       0.356554       0.398315                 NaN            NaN            NaN            NaN            NaN
  1386.05        2500.00        98.8958                 NaN  0.171135       0.352117       0.188117       0.392842                 NaN            NaN            NaN            NaN            NaN
  1384.55        2500.00        98.9118                 NaN  0.170052       0.182950       0.347864       0.387349                 NaN            NaN            NaN            NaN            NaN
  1383.05        2500.00        98.9266                 NaN  0.169250       0.177583       0.344481       0.382047                 NaN            NaN            NaN            NaN            NaN
  1381.55        2500.00        98.9416                 NaN  0.168193       0.340755       0.172661       0.376840                 NaN            NaN            NaN            NaN            NaN
  1380.05        2500.00        98.9557                 NaN  0.167458       0.337309       0.167624       0.371867                 NaN            NaN            NaN            NaN            NaN
  1378.54        2500.00        98.9702                 NaN  0.166455       0.163023       0.333540       0.366755                 NaN            NaN            NaN            NaN            NaN
  1377.04        2500.00        98.9852                 NaN  0.165965       0.329294       0.157903       0.361652                 NaN            NaN            NaN            NaN            NaN
  1375.54        2500.00        98.9987                 NaN  0.164517       0.326305       0.153736       0.356706                 NaN            NaN            NaN            NaN            NaN
  1374.04        2500.00        99.0119                 NaN  0.163889       0.323000       0.148975       0.352239                 NaN            NaN            NaN            NaN            NaN
  1372.53        2500.00        99.0251                 NaN  0.162391       0.319131       0.146035       0.347334                 NaN            NaN            NaN            NaN            NaN
  1371.03        2500.00        99.0376                 NaN  0.161755       0.316259       0.141348       0.343002                 NaN            NaN            NaN            NaN            NaN
  1369.53        2500.00        99.0499                 NaN  0.160629       0.137611       0.313314       0.338497                 NaN            NaN            NaN            NaN            NaN
  1368.03        2500.00        99.0623                 NaN  0.159783       0.309821       0.133909       0.334172                 NaN            NaN            NaN            NaN            NaN
  1366.53        2500.00        99.0746                 NaN  0.158487       0.306488       0.130680       0.329722                 NaN            NaN            NaN            NaN            NaN
  1365.02        2500.00        99.0861                 NaN  0.157482       0.126939       0.303864       0.325631                 NaN            NaN            NaN            NaN            NaN
  1363.52        2500.00        99.0979                 NaN  0.156222       0.125115       0.299194       0.321616                 NaN            NaN            NaN            NaN            NaN
  1362.02        2500.00        99.1088                 NaN  0.155280       0.120395       0.298114       0.317383                 NaN            NaN            NaN            NaN            NaN
  1360.52        2500.00        99.1215                 NaN  0.153884       0.117725       0.294069       0.312786                 NaN            NaN            NaN            NaN            NaN
  1359.02        2500.00        99.1321                 NaN  0.153533       0.291643       0.113494       0.309234                 NaN            NaN            NaN            NaN            NaN
  1357.51        2500.00        99.1431                 NaN  0.151209       0.288347       0.112522       0.304861                 NaN            NaN            NaN            NaN            NaN
  1356.01        2500.00        99.1528                 NaN  0.150813       0.286409       0.108412       0.301555                 NaN            NaN            NaN            NaN            NaN
  1354.51        2500.00        99.1640                 NaN  0.149068       0.106973       0.282644       0.297315                 NaN            NaN            NaN            NaN            NaN
  1353.01        2500.00        99.1737                 NaN  0.147773       0.280305       0.104524       0.293703                 NaN            NaN            NaN            NaN            NaN
  1351.50        2500.00        99.1854                 NaN  0.147291       0.100719       0.276746       0.289851                 NaN            NaN            NaN            NaN            NaN
  1350.00        2500.00        99.1927                 NaN  0.145314       0.274793       0.100541       0.286647                 NaN            NaN            NaN            NaN            NaN
  1348.50        2500.00        99.2037                 NaN  0.143704       0.983308E-001  0.271550       0.282683                 NaN            NaN            NaN            NaN            NaN
  1347.00        2500.00        99.2106                 NaN  0.143045       0.958287E-001  0.270355       0.280188                 NaN            NaN            NaN            NaN            NaN
  1345.50        2500.00        99.2224                 NaN  0.140816       0.266671       0.945966E-001  0.275500                 NaN            NaN            NaN            NaN            NaN
  1343.99        2500.00        99.2311                 NaN  0.140496       0.913490E-001  0.264325       0.272704                 NaN            NaN            NaN            NaN            NaN
  1342.49        2500.00        99.2393                 NaN  0.136994       0.942217E-001  0.260513       0.269016                 NaN            NaN            NaN            NaN            NaN
  1340.99        2500.00        99.2487                 NaN  0.136462       0.906545E-001  0.258453       0.265765                 NaN            NaN            NaN            NaN            NaN
  1339.49        2500.00        99.2572                 NaN  0.135227       0.256255       0.886881E-001  0.262600                 NaN            NaN            NaN            NaN            NaN
  1337.98        2500.00        99.2653                 NaN  0.133554       0.253576       0.880585E-001  0.259475                 NaN            NaN            NaN            NaN            NaN
  1336.48        2500.00        99.2737                 NaN  0.132016       0.251242       0.867571E-001  0.256273                 NaN            NaN            NaN            NaN            NaN
  1334.98        2500.00        99.2815                 NaN  0.130560       0.861635E-001  0.248304       0.253431                 NaN            NaN            NaN            NaN            NaN
  1333.48        2500.00        99.2897                 NaN  0.128366       0.858509E-001  0.246161       0.249898                 NaN            NaN            NaN            NaN            NaN
  1331.98        2500.00        99.2973                 NaN  0.127165       0.847565E-001  0.243511       0.247230                 NaN            NaN            NaN            NaN            NaN
  1330.47        2500.00        99.3061                 NaN  0.125618       0.240468       0.838491E-001  0.243994                 NaN            NaN            NaN            NaN            NaN
  1328.97        2500.00        99.3125                 NaN  0.125245       0.808588E-001  0.239641       0.241743                 NaN            NaN            NaN            NaN            NaN
  1327.47        2500.00        99.3206                 NaN  0.120384       0.864530E-001  0.234804       0.237716                 NaN            NaN            NaN            NaN            NaN
  1325.97        2500.00        99.3274                 NaN  0.120085       0.233296       0.837200E-001  0.235471                 NaN            NaN            NaN            NaN            NaN
  1324.47        2500.00        99.3283                 NaN  0.119755       0.861902E-001  0.229258       0.236456                 NaN            NaN            NaN            NaN            NaN
  1322.96        2500.00        99.3485                 NaN  0.115582       0.806849E-001  0.229117       0.226141                 NaN            NaN            NaN            NaN            NaN
  1321.46        2500.00        99.3482                 NaN  0.114670       0.225923       0.839269E-001  0.227231                 NaN            NaN            NaN            NaN            NaN
  1319.96        2500.00        99.3546                 NaN  0.113041       0.224021       0.835508E-001  0.224773                 NaN            NaN            NaN            NaN            NaN
  1318.46        2500.00        99.3613                 NaN  0.110556       0.849739E-001  0.221254       0.221953                 NaN            NaN            NaN            NaN            NaN
  1316.95        2500.00        99.3682                 NaN  0.108998       0.217885       0.854617E-001  0.219492                 NaN            NaN            NaN            NaN            NaN
  1315.45        2500.00        99.3744                 NaN  0.106688       0.861316E-001  0.216079       0.216712                 NaN            NaN            NaN            NaN            NaN
  1313.95        2500.00        99.3805                 NaN  0.104981       0.866694E-001  0.213421       0.214389                 NaN            NaN            NaN            NaN            NaN
  1312.45        2500.00        99.3867                 NaN  0.103187       0.871388E-001  0.211025       0.211941                 NaN            NaN            NaN            NaN            NaN
  1310.95        2500.00        99.3921                 NaN  0.100767       0.208476       0.890433E-001  0.209623                 NaN            NaN            NaN            NaN            NaN
  1309.44        2500.00        99.3987                 NaN  0.996406E-001  0.206614       0.878091E-001  0.207229                 NaN            NaN            NaN            NaN            NaN
  1307.94        2500.00        98.7200                 NaN  0.147333       0.262087       0.113477       0.289935       0.467153                 NaN            NaN            NaN            NaN
  1306.44        2500.00        86.7193                 NaN  0.976631        1.73702       0.433048        1.80050        8.33349                 NaN            NaN            NaN            NaN
  1304.94        2500.00        86.3115                 NaN   1.00340       0.409722        1.81136        1.85124        8.61277                 NaN            NaN            NaN            NaN
  1303.44        2500.00        87.3586                 NaN  0.925684        1.72859       0.348055        1.71887        7.92018                 NaN            NaN            NaN            NaN
  1301.93        2500.00        88.1945                 NaN  0.864987       0.290451        1.66988        1.61429        7.36589                 NaN            NaN            NaN            NaN
  1300.43        2500.00        88.9563                 NaN  0.811387       0.232442        1.61775        1.51816        6.86397                 NaN            NaN            NaN            NaN
  1298.93        2500.00        89.6125                 NaN  0.762214        1.58193       0.179002        1.43558        6.42880                 NaN            NaN            NaN            NaN
  1297.43        2500.00        90.1808                 NaN  0.717367       0.133696        1.55374        1.36396        6.05041                 NaN            NaN            NaN            NaN
  1295.92        2500.00        90.7111                 NaN  0.679236        1.53828       0.723211E-001   1.29700        5.70211                 NaN            NaN            NaN            NaN
  1294.42        2500.00        91.1551                 NaN  0.640893        1.54696       0.128844E-001   1.24084        5.40333                 NaN            NaN            NaN            NaN
  1292.92        2500.00        91.5612                 NaN  0.598811       0.188508E-001   1.50092        1.18920        5.13103                 NaN            NaN            NaN            NaN
  1291.42        2500.00        87.0410                 NaN  0.865522        2.17204                 NaN   1.81086        7.89859       0.212043                 NaN            NaN            NaN
  1289.92        2500.00        82.3528                 NaN  0.732351        3.14022                 NaN   2.39081        10.7413       0.100796       0.541675                 NaN            NaN
  1288.41        2500.00        82.9841                 NaN  0.573692        3.11208                 NaN   2.28619        10.3465                 NaN  0.697440                 NaN            NaN
  1286.91        2500.00        84.3121                 NaN  0.534335        2.87367                 NaN   2.11025        9.53740                 NaN  0.632246                 NaN            NaN
  1285.41        2500.00        85.2849                 NaN  0.494691        2.71446                 NaN   1.97986        8.94361                 NaN  0.582427                 NaN            NaN
  1283.91        2500.00        85.8132                 NaN  0.513522        2.55861                 NaN   1.90970        8.66920       0.409783E-001  0.494743                 NaN            NaN
  1282.41        2500.00        86.8375                 NaN  0.433144        2.45695                 NaN   1.76915        8.00350                 NaN  0.499719                 NaN            NaN
  1280.90        2500.00        86.6435                 NaN  0.461573        2.44389                 NaN   1.78957        8.15914                 NaN  0.502353                 NaN            NaN
  1279.40        2500.00        86.8883                 NaN  0.404950        2.46175                 NaN   1.74810        8.01431                 NaN  0.482627                 NaN            NaN
  1277.90        2500.00        86.1237                 NaN  0.558753        2.44316                 NaN   1.82219        8.65897       0.241544       0.151675                 NaN            NaN
  1276.40        2500.00        84.7140                 NaN   1.08353        2.42462                 NaN   2.10397        9.39651       0.277346                 NaN            NaN            NaN
  1274.89        2500.00        83.5762                 NaN  0.925521        2.74629                 NaN   2.18630        10.2338       0.331887                 NaN            NaN            NaN
  1273.39        2500.00        79.0762                 NaN  0.887766        3.87320                 NaN   2.76131        13.0023       0.399192                 NaN            NaN            NaN
  1271.89        2500.00        86.2732                 NaN  0.753603        2.32875                 NaN   1.80725        8.56547       0.271767                 NaN            NaN            NaN
