|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/WD94/WD94_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         hed            q             
  1599.36        2500.00        99.6313       0.199591       0.169082                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00        99.3064       0.610283       0.833158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        2500.00        99.3126       0.604396       0.829784E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        2500.00        99.3190       0.597599       0.833700E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        2500.00        99.3306       0.589317       0.800856E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.3325       0.588203       0.793260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        2500.00        99.3405       0.581352       0.780994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        2500.00        99.3453       0.576171       0.785362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        2500.00        99.3524       0.570980       0.765779E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00        99.3587       0.565086       0.762046E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        2500.00        99.3598       0.565759       0.744266E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        2500.00        99.3735       0.553492       0.729694E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        2500.00        99.3547       0.573073       0.722489E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00        99.3997       0.531635       0.686267E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        2500.00        99.3871       0.542576       0.703111E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        2500.00        99.3920       0.538232       0.697439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        2500.00        99.3976       0.533807       0.685890E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00        99.4020       0.530153       0.678889E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        2500.00        99.4093       0.524374       0.663557E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        2500.00        99.2294       0.686031       0.845862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        2500.00        99.4529       0.474568       0.725773E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00        99.6087       0.348535       0.427383E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        2500.00        99.4026       0.530485       0.669220E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00        99.4329       0.505410       0.616902E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        2500.00        99.3959       0.537970       0.661768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        2500.00        99.7859       0.191372       0.226855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        2500.00        99.1447       0.763615       0.916722E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        99.4495       0.493738       0.567156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        99.4577       0.484298       0.579920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00        99.4620       0.481291       0.567308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        2500.00        99.4649       0.479444       0.556450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00        99.4657       0.478340       0.559600E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        2500.00        97.3058        2.42229       0.271911                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        2500.00        99.9964       0.423013E-003  0.315446E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        2500.00        99.7064       0.290704       0.289916E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        2500.00        99.4241       0.496247       0.796913E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        2500.00        99.4968       0.454716       0.485236E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        2500.00        99.5100       0.441066       0.489069E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        2500.00        99.5074       0.445888       0.467474E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        2500.00        99.5106       0.442219       0.471918E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        2500.00        99.5201       0.434893       0.450189E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        2500.00        99.5190       0.436905       0.441271E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        2500.00        99.5220       0.434162       0.438130E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        2500.00        99.5248       0.432248       0.429897E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        2500.00        99.1900       0.740005       0.700353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        2500.00        99.8714       0.117254       0.113932E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        2500.00        99.5345       0.424569       0.408935E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        2500.00        99.5412       0.418132       0.407129E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        2500.00        99.5414       0.426322       0.322662E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        2500.00        99.4637       0.483624       0.526617E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        2500.00        99.6304       0.339028       0.305983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        2500.00        99.5521       0.410001       0.378813E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        2500.00        99.2048       0.732866       0.623004E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        2500.00        99.9045       0.899895E-001  0.553504E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        2500.00        99.5604       0.408535       0.310309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        2500.00        99.5623       0.400567       0.371095E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        2500.00        99.5653       0.400155       0.345573E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        2500.00        99.5166       0.448444       0.349376E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        2500.00        99.6746       0.301037       0.243192E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        2500.00        99.5183       0.447190       0.345031E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00        99.5753       0.394108       0.305869E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        2500.00        99.4298       0.530889       0.392628E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        2500.00        99.7838       0.201945       0.142322E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
