|6.6.6
Archiving\03_Data\eqfrac/QFM_m1.5/WD94/WD94_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            Sp(TH)         hed            q             
  1599.36        2500.00        99.5751       0.226910       0.197975                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1597.86        2500.00        99.2088       0.693667       0.975480E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.36        2500.00        99.2156       0.687237       0.971808E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.85        2500.00        99.2224       0.679897       0.977359E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.35        2500.00        99.2355       0.670606       0.939197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.85        2500.00        99.2375       0.669440       0.930582E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.35        2500.00        99.2464       0.661966       0.916697E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.84        2500.00        99.2513       0.656482       0.922659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.34        2500.00        99.2593       0.650669       0.899840E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.84        2500.00        99.2662       0.644225       0.895966E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.34        2500.00        99.2673       0.645160       0.875394E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.84        2500.00        99.2828       0.631367       0.858705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.33        2500.00        99.2614       0.653625       0.850241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.83        2500.00        99.3123       0.606828       0.808408E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.33        2500.00        99.2976       0.619503       0.828524E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.83        2500.00        99.3030       0.614773       0.822332E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.33        2500.00        99.3091       0.609971       0.809182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.82        2500.00        99.3138       0.606013       0.801452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.32        2500.00        99.3221       0.599524       0.783450E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.82        2500.00        99.1155       0.784670       0.998386E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.32        2500.00        99.3703       0.543741       0.859644E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.81        2500.00        99.5504       0.399040       0.505472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.31        2500.00        99.3134       0.607432       0.791964E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.81        2500.00        99.3481       0.578844       0.730367E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.31        2500.00        99.3052       0.616388       0.783880E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.81        2500.00        99.7537       0.219423       0.269060E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.30        2500.00        99.0165       0.874921       0.108595                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.80        2500.00        99.3666       0.566148       0.672685E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.30        2500.00        99.3756       0.555576       0.688028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00        99.3803       0.552384       0.673523E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.30        2500.00        99.3835       0.550392       0.661058E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00        99.3842       0.549256       0.665133E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.29        2500.00        96.8948        2.78143       0.323777                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.79        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.29        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.78        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.28        2500.00        99.9958       0.486972E-003  0.376269E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.78        2500.00        99.6619       0.334599       0.345585E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.28        2500.00        99.3339       0.571119       0.950309E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        2500.00        99.4183       0.523744       0.579230E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.27        2500.00        99.4335       0.508081       0.583989E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.77        2500.00        99.4305       0.513690       0.558475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.27        2500.00        99.4338       0.509764       0.564103E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.77        2500.00        99.4447       0.501513       0.538349E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.27        2500.00        99.4433       0.503941       0.527911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.76        2500.00        99.4466       0.500991       0.524409E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.26        2500.00        99.4496       0.498917       0.514845E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.76        2500.00        99.0618       0.854354       0.838946E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.26        2500.00        99.8508       0.135506       0.136664E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1525.75        2500.00        99.4603       0.490602       0.490631E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.25        2500.00        99.4680       0.483189       0.488475E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1522.75        2500.00        99.4684       0.492880       0.387452E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.25        2500.00        99.3777       0.559022       0.632439E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1519.75        2500.00        99.5709       0.392283       0.367829E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.24        2500.00        99.4799       0.474557       0.455535E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1516.74        2500.00        99.0768       0.848207       0.750158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.24        2500.00        99.8891       0.104277       0.666752E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1513.74        2500.00        99.4893       0.473301       0.373765E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.23        2500.00        99.4911       0.464207       0.447253E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1510.73        2500.00        99.4944       0.463909       0.416737E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.23        2500.00        99.4379       0.519995       0.421492E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1507.73        2500.00        99.6214       0.349238       0.293625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.23        2500.00        99.4395       0.518800       0.416552E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1504.72        2500.00        99.5057       0.457397       0.369517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.22        2500.00        99.3361       0.616429       0.474789E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.72        2500.00        99.7482       0.234627       0.172158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.22        2500.00        99.7892       0.196437       0.143459E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1498.72        2500.00        99.1733       0.772356       0.543830E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.21        2500.00        99.4675       0.472285       0.601818E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
