|6.6.6
Archiving\03_Data\eqfrac/QFM_m1/EETA/EETA_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          Sp(TH)         an             San(TH)        ilm            q             
  1439.10        2500.00        86.2169                 NaN   5.12901        8.65413                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        2500.00        99.3462                 NaN  0.234007       0.419748                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        2500.00        99.3493                 NaN  0.232599       0.418143                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        2500.00        99.3516                 NaN  0.416530       0.231885       0.764245E-005            NaN            NaN            NaN            NaN            NaN
  1434.70        2500.00        99.3533                 NaN  0.231419       0.415254                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        2500.00        99.3558                 NaN  0.230525       0.413690                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.50        2500.00        99.3585                 NaN  0.411814       0.229664                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        2500.00        99.3603                 NaN  0.410943       0.228792                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        2500.00        99.3623                 NaN  0.228057       0.409618                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.20        2500.00        99.8777                 NaN  0.798046E-001  0.424866E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1428.09        2500.00        98.8535                 NaN  0.413903       0.731117                 NaN  0.152890E-002            NaN            NaN            NaN            NaN
  1426.99        2500.00        99.3680                 NaN  0.404692       0.226919       0.171066E-005  0.390631E-003            NaN            NaN            NaN            NaN
  1425.89        2500.00        99.3337                 NaN  0.427704       0.238554                 NaN            NaN            NaN            NaN            NaN            NaN
  1424.79        2500.00        99.4113                 NaN  0.377912       0.210835                 NaN            NaN            NaN            NaN            NaN            NaN
  1423.69        2500.00        99.3739                 NaN  0.223962       0.402150       0.128131E-004            NaN            NaN            NaN            NaN            NaN
  1422.59        2500.00        99.3760                 NaN  0.225229       0.397393                 NaN  0.141481E-002            NaN            NaN            NaN            NaN
