|6.6.6
Archiving\03_Data\eq/QFM_m0.5/KHA22/KHA22_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       O(HP)          mang           Sp(TH)         pxmn           Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.2443       0.391759       0.363893                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.2280       0.408093       0.363892                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.2117       0.424428       0.363891                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.1953       0.440762       0.363890                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.1790       0.457096       0.363889                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.1627       0.473430       0.363888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.1463       0.489764       0.363887                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.1300       0.506097       0.363886                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.1137       0.522431       0.363885                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.0780       0.558097       0.363884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.0424       0.593762       0.363883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.0067       0.629428       0.363882                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        98.9710       0.665093       0.363881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        98.9354       0.700758       0.363880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        98.8997       0.736422       0.363879                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        98.8640       0.772087       0.363878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        98.8284       0.807751       0.363877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.7128       0.923289       0.363877                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.5973        1.03883       0.363876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.4818        1.15436       0.363876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.3662        1.26990       0.363875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.2507        1.38544       0.363875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.1352        1.50097       0.363874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.0196        1.61651       0.363874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        97.9041        1.73204       0.363873                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.6033        2.03283       0.363874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.3025        2.33362       0.363874                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.0017        2.63442       0.363875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.7009        2.93521       0.363876                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.2183        3.41784       0.363878                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        95.7356        3.90047       0.363880                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        95.2855        4.34327       0.355210                 NaN  0.160157E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        93.8178        5.56877       0.701887E-001  0.822921E-003  0.542458                 NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        92.9665        6.33573                 NaN  0.256961E-001  0.672102                 NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        92.3451        6.93824                 NaN  0.445837E-001  0.672108                 NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        91.7132        7.55152                 NaN  0.631588E-001  0.672113                 NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        91.0813        8.16482                 NaN  0.817342E-001  0.672118                 NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        90.4454        8.78283                 NaN  0.996114E-001  0.672124                 NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        89.8095        9.40086                 NaN  0.117489       0.672130                 NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        89.1736        10.0189                 NaN  0.135367       0.672136                 NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        88.5377        10.6369                 NaN  0.153245       0.672142                 NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        87.9138        11.2440                 NaN  0.170004       0.672148                 NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        87.2899        11.8511                 NaN  0.186763       0.672155                 NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        86.6661        12.4583                 NaN  0.203522       0.672161                 NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        86.0422        13.0654                 NaN  0.220281       0.672168                 NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        85.4183        13.6725                 NaN  0.237041       0.672175                 NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        84.7944        14.2797                 NaN  0.253802       0.672181                 NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        84.1704        14.8868                 NaN  0.270562       0.672188                 NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        83.5465        15.4940                 NaN  0.287323       0.672194                 NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        82.9520        16.0730                 NaN  0.302724       0.672201                 NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        82.3576        16.6521                 NaN  0.318125       0.672209                 NaN            NaN            NaN            NaN            NaN            NaN
