|6.6.6
Archiving\03_Data\DeqLP/QFM_m5/WD94/WD94_3.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        97.1578                 NaN   2.84216                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        97.1470                 NaN   2.85297                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        97.1362                 NaN   2.86379                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        97.1254                 NaN   2.87461                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        97.1146                 NaN   2.88543                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        97.1037                 NaN   2.89625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        97.0929                 NaN   2.90708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        97.0821                 NaN   2.91791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        97.0713                 NaN   2.92875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        97.0607                 NaN   2.93930                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        97.0502                 NaN   2.94984                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        97.0396                 NaN   2.96040                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        97.0290                 NaN   2.97095                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        97.0185                 NaN   2.98151                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        97.0079                 NaN   2.99208                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        96.9974                 NaN   3.00264                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        96.9868                 NaN   3.01321                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        96.9764                 NaN   3.02357                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        96.9661                 NaN   3.03393                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        96.9557                 NaN   3.04429                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        96.9453                 NaN   3.05466                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        96.9351                 NaN   3.06492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        96.9248                 NaN   3.07518                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        96.8431       0.115919        2.95825       0.827066E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        96.8424       0.116249        2.95846       0.828976E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        96.8417       0.116553        2.95867       0.830809E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        96.8842                 NaN   3.11584                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        96.8741                 NaN   3.12592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        96.8640                 NaN   3.13599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        96.8540                 NaN   3.14596                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        96.8441                 NaN   3.15594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        96.8341                 NaN   3.16591                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        96.8241                 NaN   3.17589                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        96.8142                 NaN   3.18577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        96.8043                 NaN   3.19565                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        96.4317                 NaN   3.20063       0.367650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        95.8435                 NaN   3.20227       0.954228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        95.2634                 NaN   3.20284        1.53378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        94.6828                 NaN   3.20340        2.11384                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        94.1016                 NaN   3.20395        2.69441                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        93.5200                 NaN   3.20451        3.27550                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        92.9716                 NaN   3.20284        3.82558                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        92.4227                 NaN   3.20116        4.37609                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        91.8735                 NaN   3.19948        4.92704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        91.3238                 NaN   3.19779        5.47842                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        90.7737                 NaN   3.19610        6.03023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        90.2231                 NaN   3.19440        6.58246                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        89.6722                 NaN   3.19269        7.13512                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        89.1208                 NaN   3.19098        7.68820                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        88.5961                 NaN   3.18589        8.21803                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        88.0710                 NaN   3.18079        8.74822                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        87.5456                 NaN   3.17568        9.27875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        87.0198                 NaN   3.17056        9.80963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        86.4937                 NaN   3.16543        10.3409                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        85.9673                 NaN   3.16030        10.8724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
