|6.6.6
Archiving\03_Data\DeqLP/QFM_m5/WD94/WD94_1.tab                            
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       melt(TH)       iron           O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        500.000        93.0321                 NaN   6.96793                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        500.000        93.0061                 NaN   6.99386                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        500.000        92.9802                 NaN   7.01979                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        500.000        92.9543                 NaN   7.04572                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        500.000        92.9283                 NaN   7.07166                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        500.000        92.9024                 NaN   7.09760                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        500.000        92.8765                 NaN   7.12354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        500.000        92.8505                 NaN   7.14949                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        500.000        92.8246                 NaN   7.17545                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        500.000        92.7993                 NaN   7.20069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        500.000        92.7741                 NaN   7.22594                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        500.000        92.7488                 NaN   7.25119                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        500.000        92.7236                 NaN   7.27645                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        500.000        92.6983                 NaN   7.30171                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        500.000        92.6730                 NaN   7.32697                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        500.000        92.6478                 NaN   7.35224                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        500.000        92.6225                 NaN   7.37751                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        500.000        92.5977                 NaN   7.40225                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        500.000        92.5730                 NaN   7.42700                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        500.000        92.5482                 NaN   7.45176                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        500.000        92.5235                 NaN   7.47652                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        500.000        92.4990                 NaN   7.50102                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        500.000        92.4745                 NaN   7.52552                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        500.000        92.5567       0.115310        7.24109       0.869348E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        500.000        92.5560       0.115645        7.24122       0.871277E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        500.000        92.5554       0.115954        7.24134       0.873124E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        500.000        92.3775                 NaN   7.62252                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        500.000        92.3535                 NaN   7.64654                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        500.000        92.3294                 NaN   7.67056                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        500.000        92.3057                 NaN   7.69432                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        500.000        92.2819                 NaN   7.71808                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        500.000        92.2582                 NaN   7.74185                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        500.000        92.2344                 NaN   7.76562                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        500.000        92.2109                 NaN   7.78914                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        500.000        92.1873                 NaN   7.81266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        500.000        91.7947                 NaN   7.82250       0.382789                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        500.000        91.1835                 NaN   7.82319       0.993354                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        500.000        90.5815                 NaN   7.82132        1.59714                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        500.000        89.9796                 NaN   7.81945        2.20092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        500.000        89.3777                 NaN   7.81758        2.80470                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        500.000        88.7758                 NaN   7.81571        3.40847                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        500.000        88.2094                 NaN   7.80863        3.98193                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        500.000        87.6431                 NaN   7.80155        4.55538                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        500.000        87.0767                 NaN   7.79448        5.12881                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        500.000        86.5104                 NaN   7.78740        5.70221                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        500.000        85.9441                 NaN   7.78032        6.27559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        500.000        85.3778                 NaN   7.77325        6.84894                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        500.000        84.8115                 NaN   7.76617        7.42228                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        500.000        84.2453                 NaN   7.75910        7.99559                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        500.000        83.7079                 NaN   7.74400        8.54811                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        500.000        83.1705                 NaN   7.72890        9.10059                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        500.000        82.6332                 NaN   7.71380        9.65301                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        500.000        82.0959                 NaN   7.69870        10.2054                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        500.000        81.5587                 NaN   7.68361        10.7577                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        500.000        81.0215                 NaN   7.66851        11.3100                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        500.000        80.4843                 NaN   7.65342        11.8623                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        500.000        79.9472                 NaN   7.63833        12.4144                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        500.000        79.6607                 NaN   7.62300        12.7163                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        500.000        79.6876                 NaN   7.61052        12.6952       0.668187E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        500.000        78.7582                 NaN   7.58155        13.6423       0.178787E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        500.000        77.8290                 NaN   7.55260        14.5893       0.290738E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        500.000        77.2888                 NaN   7.52333        15.1426       0.451991E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        500.000        76.7487                 NaN   7.49406        15.6959       0.613218E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        500.000        76.2087                 NaN   7.46480        16.2490       0.774419E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        500.000        75.6688                 NaN   7.43555        16.8021       0.935593E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        500.000        75.1320                 NaN   7.39988        17.3591       0.109038                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        500.000        74.5953                 NaN   7.36422        17.9160       0.124513                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        500.000        74.0587                 NaN   7.32857        18.4728       0.139985                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        500.000        73.5222                 NaN   7.29293        19.0294       0.155455                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        500.000        72.9858                 NaN   7.25729        19.5860       0.170921                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        500.000        72.4495                 NaN   7.22166        20.1424       0.186384                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        500.000        71.9134                 NaN   7.18604        20.6988       0.201844                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        500.000        71.3773                 NaN   7.15042        21.2550       0.217301                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        500.000        70.8270                 NaN   7.10294        21.8379       0.232219                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        500.000        70.2768                 NaN   7.05547        22.4206       0.247134                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        500.000        69.7268                 NaN   7.00802        23.0032       0.262044                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        500.000        69.1769                 NaN   6.96058        23.5856       0.276951                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        500.000        68.6271                 NaN   6.91315        24.1679       0.291854                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        500.000        68.0775                 NaN   6.86573        24.7500       0.306752                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        500.000        67.5281                 NaN   6.81832        25.3319       0.321647                 NaN            NaN            NaN            NaN            NaN            NaN
  1743.59        500.000        66.9788                 NaN   6.77093        25.9137       0.336538                 NaN            NaN            NaN            NaN            NaN            NaN
  1740.38        500.000        66.4106                 NaN   6.71138        26.5271       0.350917                 NaN            NaN            NaN            NaN            NaN            NaN
  1737.18        500.000        65.8426                 NaN   6.65185        27.1403       0.365292                 NaN            NaN            NaN            NaN            NaN            NaN
  1733.97        500.000        65.2747                 NaN   6.59234        27.7533       0.379662                 NaN            NaN            NaN            NaN            NaN            NaN
  1730.77        500.000        64.7071                 NaN   6.53284        28.3660       0.394027                 NaN            NaN            NaN            NaN            NaN            NaN
  1727.56        500.000        64.1396                 NaN   6.47337        28.9786       0.408387                 NaN            NaN            NaN            NaN            NaN            NaN
  1724.36        500.000        63.5724                 NaN   6.41392        29.5910       0.422742                 NaN            NaN            NaN            NaN            NaN            NaN
  1721.15        500.000        63.0053                 NaN   6.35448        30.2031       0.437093                 NaN            NaN            NaN            NaN            NaN            NaN
  1717.95        500.000        62.4384                 NaN   6.29507        30.8151       0.451439                 NaN            NaN            NaN            NaN            NaN            NaN
  1714.74        500.000        61.8456                 NaN   6.21940        31.4700       0.465010                 NaN            NaN            NaN            NaN            NaN            NaN
  1711.54        500.000        61.2531                 NaN   6.14375        32.1245       0.478575                 NaN            NaN            NaN            NaN            NaN            NaN
  1708.33        500.000        60.6609                 NaN   6.06814        32.7789       0.492134                 NaN            NaN            NaN            NaN            NaN            NaN
  1705.13        500.000        60.0688                 NaN   5.99256        33.4329       0.505687                 NaN            NaN            NaN            NaN            NaN            NaN
