|6.6.6
Archiving\03_Data\eqfrac/QFM_m2/GRV/GRV_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1592.95        2500.00       0.425842E-002   99.4399       0.506904       0.489292E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00       0.455331E-003   99.8755       0.551642E-001  0.688566E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00       0.477399E-002   98.2967        1.69858                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00                 NaN   99.0875       0.912532                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00                 NaN   99.0928       0.889241       0.179201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00                 NaN   99.0994       0.866404       0.341991E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00                 NaN   99.1048       0.862450       0.327493E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN   98.3011        1.64318       0.556862E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00                 NaN   99.9295       0.572037E-001  0.133003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00                 NaN   99.1178       0.863936       0.182424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00                 NaN   99.1241       0.847860       0.280074E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN   99.1225       0.851206       0.262607E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00                 NaN   99.1332       0.841413       0.254207E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN   99.1361       0.839942       0.240055E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00                 NaN   99.1428       0.834171       0.230147E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00                 NaN   99.1416       0.836925       0.214874E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00                 NaN   99.1488       0.830897       0.202797E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00                 NaN   98.9874       0.100690       0.797266E-003  0.911099                 NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00                 NaN   98.9457       0.136589                 NaN  0.917703                 NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00       0.544274E-002   98.9077                 NaN            NaN   1.08686                 NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00       0.114509E-001   98.8730                 NaN            NaN   1.11556                 NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00       0.114243E-001   98.8511                 NaN            NaN   1.13745                 NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        2500.00       0.113802E-001   98.8281                 NaN            NaN   1.16047                 NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        2500.00       0.113858E-001   98.7922                 NaN  0.128547E-005   1.19646                 NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        2500.00       0.113535E-001   98.7496                 NaN            NaN   1.23901                 NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00       0.113680E-001   98.6811                 NaN            NaN   1.30756                 NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00       0.108291E-001   98.2990                 NaN            NaN  0.707654       0.982484                 NaN            NaN            NaN            NaN            NaN
  1552.83        2500.00       0.103435E-001   98.1729                 NaN  0.972374E-005  0.414457        1.40229                 NaN            NaN            NaN            NaN            NaN
  1551.34        2500.00       0.904341E-002   98.1649                 NaN  0.193812       0.172807E-002   1.63051                 NaN            NaN            NaN            NaN            NaN
