|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/Y98/Y98_3.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             ilm            San(TH)        q             
  1490.38        2500.00       0.210169E-002   97.6927                 NaN            NaN  0.708181        1.56249                 NaN  0.343082E-001  0.235761E-003            NaN            NaN            NaN            NaN
  1489.15        2500.00       0.148007E-002   99.1454                 NaN            NaN  0.279095       0.573978                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.92        2500.00       0.147899E-002   99.1525                 NaN            NaN  0.567983       0.278006                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.69        2500.00       0.142963E-002   99.1597                 NaN            NaN  0.563751       0.275159                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.46        2500.00       0.138506E-002   99.1652                 NaN            NaN  0.560133       0.273190                 NaN            NaN  0.140606E-003            NaN            NaN            NaN            NaN
  1484.23        2500.00       0.133032E-002   99.1702                 NaN            NaN  0.557346       0.271133                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.01        2500.00       0.129917E-002   99.1780                 NaN            NaN  0.551578       0.269099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.78        2500.00       0.125980E-002   99.1826                 NaN            NaN  0.267712       0.548433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.55        2500.00       0.121358E-002   99.1883                 NaN            NaN  0.265605       0.544912                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.32        2500.00       0.117418E-002   99.1938                 NaN            NaN  0.541292       0.263691                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.09        2500.00       0.112577E-002   99.1993                 NaN            NaN  0.537728       0.261830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.86        2500.00       0.107773E-002   99.2023                 NaN            NaN  0.260466       0.536174                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.63        2500.00       0.109819E-002   99.1817                 NaN            NaN  0.549055       0.268117                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.40        2500.00       0.963757E-003   99.2451                 NaN            NaN  0.246643       0.507245                 NaN            NaN  0.601723E-005            NaN            NaN            NaN            NaN
  1473.17        2500.00       0.972864E-003   99.2211                 NaN            NaN  0.253681       0.523597                 NaN            NaN  0.673906E-003            NaN            NaN            NaN            NaN
  1471.94        2500.00       0.946510E-003   99.2236                 NaN            NaN  0.522149       0.253309                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.72        2500.00       0.907777E-003   99.2312                 NaN            NaN  0.251441       0.516467                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.49        2500.00       0.218834E-003   99.7476                 NaN            NaN  0.404448E-001  0.185557                 NaN            NaN  0.261599E-001            NaN            NaN            NaN            NaN
  1468.26        2500.00       0.143403E-002   98.7324                 NaN            NaN  0.852472       0.413723                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        2500.00       0.809415E-003   99.2432                 NaN            NaN  0.246616       0.509369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.80        2500.00       0.681765E-003   99.2564                 NaN            NaN  0.518220       0.195295                 NaN            NaN  0.294209E-001            NaN            NaN            NaN            NaN
  1464.57        2500.00       0.744377E-003   99.2517                 NaN            NaN  0.503956       0.243649                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.34        2500.00       0.998388E-003   98.7997                 NaN            NaN  0.835880       0.361400                 NaN            NaN  0.201285E-002            NaN            NaN            NaN            NaN
  1462.11        2500.00       0.501048E-003   99.6725                 NaN            NaN  0.217125       0.106795                 NaN            NaN  0.310168E-002            NaN            NaN            NaN            NaN
  1460.88        2500.00       0.719561E-003   99.1566                 NaN            NaN  0.249945       0.577733                 NaN            NaN  0.150375E-001            NaN            NaN            NaN            NaN
  1459.65        2500.00       0.973535E-004   99.8822                 NaN            NaN  0.347909E-001  0.808624E-001            NaN            NaN  0.206463E-002            NaN            NaN            NaN            NaN
  1458.43        2500.00       0.990119E-003   98.7797                 NaN            NaN  0.837009       0.362833                 NaN            NaN  0.194351E-001            NaN            NaN            NaN            NaN
  1457.20        2500.00       0.547812E-003   99.2829                 NaN            NaN  0.490451       0.215583                 NaN            NaN  0.105670E-001            NaN            NaN            NaN            NaN
  1455.97        2500.00       0.606947E-003   99.1479                 NaN            NaN  0.254475       0.584527                 NaN            NaN  0.124579E-001            NaN            NaN            NaN            NaN
  1454.74        2500.00       0.641916E-004   99.9075                 NaN            NaN  0.269971E-001  0.636178E-001            NaN            NaN  0.179845E-002            NaN            NaN            NaN            NaN
  1453.51        2500.00       0.844140E-003   98.8064                 NaN            NaN  0.817768       0.359695                 NaN            NaN  0.153037E-001            NaN            NaN            NaN            NaN
  1452.28        2500.00       0.464647E-003   99.2932                 NaN            NaN  0.212895       0.484555                 NaN            NaN  0.888622E-002            NaN            NaN            NaN            NaN
  1451.05        2500.00                 NaN   99.0156                 NaN            NaN  0.529155       0.259224                 NaN            NaN  0.523397E-001  0.143691                 NaN            NaN            NaN
  1449.82        2500.00       0.564484E-003   97.8206                 NaN            NaN  0.463751       0.713866                 NaN            NaN  0.241035       0.760207                 NaN            NaN            NaN
  1448.59        2500.00                 NaN   97.8663                 NaN            NaN  0.703337       0.445140                 NaN            NaN  0.240034       0.745169                 NaN            NaN            NaN
  1447.36        2500.00                 NaN   97.8953                 NaN            NaN  0.698995       0.430320                 NaN            NaN  0.239341       0.736044                 NaN            NaN            NaN
  1446.14        2500.00                 NaN   97.9343                 NaN            NaN  0.416324       0.688513                 NaN            NaN  0.237972       0.722909                 NaN            NaN            NaN
  1444.91        2500.00                 NaN   97.9681                 NaN            NaN  0.402070       0.681201                 NaN            NaN  0.237018       0.711658                 NaN            NaN            NaN
  1443.68        2500.00                 NaN   98.0002                 NaN            NaN  0.388471       0.673960                 NaN            NaN  0.236198       0.701148                 NaN            NaN            NaN
  1442.45        2500.00                 NaN   98.0273                 NaN            NaN  0.668567       0.375067                 NaN            NaN  0.236289       0.692809                 NaN            NaN            NaN
  1441.22        2500.00                 NaN   98.0684                 NaN            NaN  0.362139       0.658099                 NaN            NaN  0.233355       0.678038                 NaN            NaN            NaN
  1439.99        2500.00                 NaN   98.0868                 NaN            NaN  0.655860       0.350286                 NaN            NaN  0.234315       0.672709                 NaN            NaN            NaN
  1438.76        2500.00                 NaN   98.1302                 NaN            NaN  0.644660       0.335630                 NaN            NaN  0.231964       0.657568                 NaN            NaN            NaN
  1437.53        2500.00                 NaN   98.1570                 NaN            NaN  0.636901       0.325610                 NaN            NaN  0.231489       0.648976                 NaN            NaN            NaN
  1436.30        2500.00                 NaN   98.1847                 NaN            NaN  0.632296       0.312860                 NaN            NaN  0.230529       0.639632                 NaN            NaN            NaN
  1435.07        2500.00                 NaN   98.2114                 NaN            NaN  0.626669       0.301254                 NaN            NaN  0.229860       0.630861                 NaN            NaN            NaN
  1433.84        2500.00                 NaN   98.1566                 NaN            NaN  0.178234       0.676821                 NaN            NaN  0.316628       0.671670                 NaN            NaN            NaN
  1432.62        2500.00                 NaN   98.3412                 NaN            NaN  0.555771       0.396995                 NaN            NaN  0.140314       0.565674                 NaN            NaN            NaN
  1431.39        2500.00                 NaN   98.2944                 NaN            NaN  0.609115       0.266775                 NaN            NaN  0.226887       0.602808                 NaN            NaN            NaN
  1430.16        2500.00                 NaN   98.3131                 NaN            NaN  0.606005       0.256783                 NaN            NaN  0.227247       0.596851                 NaN            NaN            NaN
  1428.93        2500.00                 NaN   98.3395                 NaN            NaN  0.246963       0.599369                 NaN            NaN  0.226174       0.588039                 NaN            NaN            NaN
  1427.70        2500.00                 NaN   98.3632                 NaN            NaN  0.237322       0.593851                 NaN            NaN  0.225443       0.580230                 NaN            NaN            NaN
  1426.47        2500.00                 NaN   98.3848                 NaN            NaN  0.590527       0.226877                 NaN            NaN  0.224851       0.572942                 NaN            NaN            NaN
  1425.24        2500.00                 NaN   98.4023                 NaN            NaN  0.218130       0.588005                 NaN            NaN  0.224397       0.567161                 NaN            NaN            NaN
  1424.01        2500.00                 NaN   98.4314                 NaN            NaN  0.205890       0.582260                 NaN            NaN  0.223643       0.556814                 NaN            NaN            NaN
  1422.78        2500.00                 NaN   98.4497                 NaN            NaN  0.578547       0.197616                 NaN            NaN  0.222956       0.551199                 NaN            NaN            NaN
  1421.55        2500.00                 NaN   98.4723                 NaN            NaN  0.189050       0.573333                 NaN            NaN  0.222088       0.543190                 NaN            NaN            NaN
  1420.33        2500.00                 NaN   98.4913                 NaN            NaN  0.179937       0.570209                 NaN            NaN  0.221594       0.536927                 NaN            NaN            NaN
  1419.10        2500.00                 NaN   98.5110                 NaN            NaN  0.567933       0.169704                 NaN            NaN  0.221027       0.530314                 NaN            NaN            NaN
  1417.87        2500.00                 NaN   98.5322                 NaN            NaN  0.562496       0.162333                 NaN            NaN  0.220089       0.522931                 NaN            NaN            NaN
  1416.64        2500.00                 NaN   98.5486                 NaN            NaN  0.154177       0.559865                 NaN            NaN  0.219838       0.517517                 NaN            NaN            NaN
  1415.41        2500.00                 NaN   98.5689                 NaN            NaN  0.557034       0.144747                 NaN            NaN  0.218808       0.510505                 NaN            NaN            NaN
  1414.18        2500.00                 NaN   98.5866                 NaN            NaN  0.554134       0.136447                 NaN            NaN  0.218244       0.504551                 NaN            NaN            NaN
  1412.95        2500.00                 NaN   98.6051                 NaN            NaN  0.550044       0.129005                 NaN            NaN  0.217598       0.498221                 NaN            NaN            NaN
  1411.72        2500.00                 NaN   98.6207                 NaN            NaN  0.549657       0.119297                 NaN            NaN  0.217283       0.493086                 NaN            NaN            NaN
  1410.49        2500.00                 NaN   98.6404                 NaN            NaN  0.545031       0.112511                 NaN            NaN  0.216003       0.486040                 NaN            NaN            NaN
  1409.26        2500.00                 NaN   98.6229                 NaN            NaN  0.558713       0.102722                 NaN            NaN  0.220942       0.494738                 NaN            NaN            NaN
  1408.04        2500.00                 NaN   98.7030                 NaN            NaN  0.989822E-001  0.526588                 NaN            NaN  0.209259       0.462164                 NaN            NaN            NaN
  1406.81        2500.00                 NaN   98.6889                 NaN            NaN  0.538053       0.893640E-001            NaN            NaN  0.214232       0.469426                 NaN            NaN            NaN
  1405.58        2500.00                 NaN   98.7041                 NaN            NaN  0.827797E-001  0.535873                 NaN            NaN  0.213151       0.464116                 NaN            NaN            NaN
  1404.35        2500.00                 NaN   98.7191                 NaN            NaN  0.534730       0.748234E-001            NaN            NaN  0.212510       0.458787                 NaN            NaN            NaN
  1403.12        2500.00                 NaN   98.7338                 NaN            NaN  0.677208E-001  0.532933                 NaN            NaN  0.211812       0.453715                 NaN            NaN            NaN
  1401.89        2500.00                 NaN   98.7488                 NaN            NaN  0.531085       0.606086E-001            NaN            NaN  0.211020       0.448517                 NaN            NaN            NaN
  1400.66        2500.00                 NaN   98.7624                 NaN            NaN  0.528964       0.543128E-001            NaN            NaN  0.210558       0.443748                 NaN            NaN            NaN
  1399.43        2500.00                 NaN   98.7766                 NaN            NaN  0.526816       0.483604E-001            NaN            NaN  0.209390       0.438796                 NaN            NaN            NaN
  1398.20        2500.00                 NaN   98.7932                 NaN            NaN  0.526322       0.382951E-001            NaN            NaN  0.209089       0.433098                 NaN            NaN            NaN
  1396.97        2500.00                 NaN   98.8138                 NaN            NaN  0.479309       0.136527                 NaN            NaN  0.156701       0.413655                 NaN            NaN            NaN
  1395.75        2500.00                 NaN   98.7976                 NaN            NaN  0.524400                 NaN            NaN            NaN  0.238954       0.439041                 NaN            NaN            NaN
  1394.52        2500.00                 NaN   98.8376                 NaN            NaN  0.149696E-002  0.535109                 NaN            NaN  0.208146       0.417671                 NaN            NaN            NaN
  1393.29        2500.00                 NaN   98.8394                 NaN            NaN  0.526347       0.121214E-001            NaN            NaN  0.205605       0.416528                 NaN            NaN            NaN
  1392.06        2500.00                 NaN   98.8514                 NaN            NaN  0.508083                 NaN            NaN            NaN  0.222115       0.418377                 NaN            NaN            NaN
  1390.83        2500.00                 NaN   98.8836                 NaN            NaN  0.477311       0.615571E-001            NaN            NaN  0.182399       0.395100                 NaN            NaN            NaN
  1389.60        2500.00                 NaN   98.8823                 NaN            NaN  0.515511                 NaN            NaN            NaN  0.201233       0.400999                 NaN            NaN            NaN
  1388.37        2500.00                 NaN   98.8920                 NaN            NaN  0.507354                 NaN            NaN            NaN  0.202377       0.398259                 NaN            NaN            NaN
  1387.14        2500.00                 NaN   98.9040                 NaN            NaN  0.506814                 NaN            NaN            NaN  0.196866       0.392304                 NaN            NaN            NaN
  1385.91        2500.00                 NaN   98.9142                 NaN            NaN  0.505320                 NaN            NaN            NaN  0.192357       0.388080                 NaN            NaN            NaN
  1384.68        2500.00                 NaN   98.9263                 NaN            NaN  0.494912                 NaN            NaN            NaN  0.194333       0.384423                 NaN            NaN            NaN
  1383.46        2500.00                 NaN   98.9364                 NaN            NaN  0.494009                 NaN            NaN            NaN  0.189711       0.379893                 NaN            NaN            NaN
  1382.23        2500.00                 NaN   98.9465                 NaN            NaN  0.483380                 NaN            NaN            NaN  0.192819       0.377349                 NaN            NaN            NaN
  1381.00        2500.00                 NaN   98.9593                 NaN            NaN  0.487851                 NaN            NaN            NaN  0.182683       0.370197                 NaN            NaN            NaN
  1379.77        2500.00                 NaN   98.9662                 NaN            NaN  0.484752                 NaN            NaN            NaN  0.181397       0.367685                 NaN            NaN            NaN
  1378.54        2500.00                 NaN   98.9746                 NaN            NaN  0.477206                 NaN            NaN            NaN  0.182611       0.365566                 NaN            NaN            NaN
  1377.31        2500.00                 NaN   98.8445                 NaN            NaN  0.905763E-001  0.668480                 NaN            NaN  0.240874E-001  0.372333                 NaN            NaN            NaN
  1376.08        2500.00                 NaN   99.0714                 NaN            NaN  0.432750                 NaN            NaN            NaN  0.166570       0.329252                 NaN            NaN            NaN
  1374.85        2500.00                 NaN   99.0044                 NaN            NaN  0.461780                 NaN            NaN            NaN  0.178855       0.355006                 NaN            NaN            NaN
  1373.62        2500.00                 NaN   99.0176                 NaN            NaN  0.459228                 NaN            NaN            NaN  0.175712       0.347423                 NaN            NaN            NaN
  1372.39        2500.00                 NaN   99.0262                 NaN            NaN  0.452021                 NaN            NaN            NaN  0.176069       0.345736                 NaN            NaN            NaN
