|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.25/Y98/Y98_1.tab                          
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          15
T(K)           P(bar)         Sp(TH)         melt(TH)       melt(TH)       melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Opx(TH)        O(HP)          an             ilm            San(TH)        q             
  1490.38        2500.00       0.317758E-002   97.3862                 NaN            NaN  0.806702        1.76438                 NaN  0.392809E-001  0.282899E-003            NaN            NaN            NaN            NaN
  1489.15        2500.00       0.224077E-002   99.0295                 NaN            NaN  0.318678       0.649601                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.92        2500.00       0.223744E-002   99.0373                 NaN            NaN  0.642935       0.317534                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1486.69        2500.00       0.216168E-002   99.0450                 NaN            NaN  0.638378       0.314422                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.46        2500.00       0.209304E-002   99.0510                 NaN            NaN  0.634429       0.312291                 NaN            NaN  0.169435E-003            NaN            NaN            NaN            NaN
  1484.23        2500.00       0.200921E-002   99.0564                 NaN            NaN  0.631509       0.310096                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.01        2500.00       0.196090E-002   99.0650                 NaN            NaN  0.625127       0.307883                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.78        2500.00       0.190015E-002   99.0700                 NaN            NaN  0.306406       0.621711                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1480.55        2500.00       0.182973E-002   99.0761                 NaN            NaN  0.304164       0.617935                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.32        2500.00       0.176913E-002   99.0821                 NaN            NaN  0.614025       0.302090                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.09        2500.00       0.169509E-002   99.0880                 NaN            NaN  0.610188       0.300092                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.86        2500.00       0.162148E-002   99.0912                 NaN            NaN  0.298633       0.608586                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1475.63        2500.00       0.165111E-002   99.0675                 NaN            NaN  0.623342       0.307520                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.40        2500.00       0.144839E-002   99.1393                 NaN            NaN  0.283065       0.576158                 NaN            NaN  0.729399E-005            NaN            NaN            NaN            NaN
  1473.17        2500.00       0.146083E-002   99.1116                 NaN            NaN  0.291240       0.594860                 NaN            NaN  0.818543E-003            NaN            NaN            NaN            NaN
  1471.94        2500.00       0.142037E-002   99.1142                 NaN            NaN  0.593406       0.290941                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.72        2500.00       0.136141E-002   99.1226                 NaN            NaN  0.288922       0.587134                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1469.49        2500.00       0.328051E-003   99.7102                 NaN            NaN  0.465202E-001  0.211133                 NaN            NaN  0.318084E-001            NaN            NaN            NaN            NaN
  1468.26        2500.00       0.214617E-002   98.5533                 NaN            NaN  0.969068       0.475482                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.03        2500.00       0.121154E-002   99.1354                 NaN            NaN  0.283774       0.579659                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
