|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/Y98/Y98_1.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          ilm            San(TH)        q             
  1451.92        500.000        92.7708        2.76260        4.46664                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.8945       0.659264E-001  0.395677E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        98.4369       0.583650       0.979414                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.1722       0.518757       0.309015                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.1602       0.313629       0.526131                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.9234       0.473005E-001  0.289319E-001            NaN  0.400446E-003            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        98.4706       0.570353       0.959063                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.1951       0.504810       0.300103                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.1999       0.297633       0.502428                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.2052       0.295716       0.499099                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.2107       0.495716       0.293621                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.2152       0.291989       0.492857                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.1807       0.304312       0.514982                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.8617       0.533619E-001  0.830309E-001            NaN  0.194221E-002            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        98.6335       0.507367       0.859154                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.2350       0.481794       0.283198                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        97.7451       0.721534       0.922859                 NaN            NaN  0.610551                 NaN            NaN            NaN            NaN
  1432.67        500.000        97.7497       0.715797       0.920635                 NaN            NaN  0.613909                 NaN            NaN            NaN            NaN
  1431.53        500.000        97.7871       0.904256       0.705435                 NaN            NaN  0.603205                 NaN            NaN            NaN            NaN
  1430.40        500.000        97.8296       0.692512       0.886334                 NaN            NaN  0.591567                 NaN            NaN            NaN            NaN
  1429.27        500.000        97.8629       0.872441       0.682249                 NaN            NaN  0.582411                 NaN            NaN            NaN            NaN
  1428.13        500.000        97.8979       0.857187       0.672316                 NaN            NaN  0.572619                 NaN            NaN            NaN            NaN
  1427.00        500.000        97.9335       0.842425       0.661143                 NaN            NaN  0.562883                 NaN            NaN            NaN            NaN
  1425.87        500.000        97.9652       0.651554       0.829115                 NaN            NaN  0.554169                 NaN            NaN            NaN            NaN
  1424.74        500.000        97.9963       0.815767       0.642560                 NaN            NaN  0.545346                 NaN            NaN            NaN            NaN
  1423.60        500.000        98.0281       0.802502       0.632832                 NaN            NaN  0.536549                 NaN            NaN            NaN            NaN
  1422.47        500.000        98.0565       0.624223       0.790588                 NaN            NaN  0.528722                 NaN            NaN            NaN            NaN
  1421.34        500.000        98.0887       0.776979       0.614664                 NaN            NaN  0.519678                 NaN            NaN            NaN            NaN
  1420.21        500.000        98.1154       0.606489       0.765942                 NaN            NaN  0.512214                 NaN            NaN            NaN            NaN
  1419.07        500.000        98.1401       0.754925       0.599686                 NaN            NaN  0.505266       0.416638E-004            NaN            NaN            NaN
