|6.6.6
Archiving\03_Data\eqfracLP/QFM_m2.75/Y98/Y98_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         an             O(HP)          ilm            San(TH)        q             
  1451.92        500.000        93.6823        2.39771        3.92004                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1450.79        500.000        99.9087       0.572794E-001  0.339971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1449.65        500.000        98.6454       0.502218       0.852378                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1448.52        500.000        99.2837       0.450832       0.265485                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1447.39        500.000        99.2736       0.269367       0.457081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1446.26        500.000        99.9339       0.410623E-001  0.248270E-001            NaN  0.260243E-003            NaN            NaN            NaN            NaN            NaN
  1445.12        500.000        98.6768       0.489777       0.833400                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.99        500.000        99.3046       0.438098       0.257347                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1442.86        500.000        99.3091       0.255091       0.435852                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1441.73        500.000        99.3139       0.253326       0.432815                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1440.59        500.000        99.3189       0.429703       0.251397                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1439.46        500.000        99.3231       0.249864       0.427070                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1438.33        500.000        99.2936       0.260290       0.446069                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1437.20        500.000        99.8813       0.456063E-001  0.718617E-001            NaN  0.126522E-002            NaN            NaN            NaN            NaN            NaN
  1436.06        500.000        98.8220       0.433821       0.744156                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1434.93        500.000        99.3414       0.416801       0.241833                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.80        500.000        97.9467       0.624504       0.788258                 NaN            NaN  0.640520                 NaN            NaN            NaN            NaN
  1432.67        500.000        97.9510       0.619202       0.785794                 NaN            NaN  0.644024                 NaN            NaN            NaN            NaN
  1431.53        500.000        97.9861       0.771235       0.609925                 NaN            NaN  0.632757                 NaN            NaN            NaN            NaN
  1430.40        500.000        98.0257       0.598411       0.755379                 NaN            NaN  0.620504                 NaN            NaN            NaN            NaN
  1429.27        500.000        98.0569       0.742977       0.589232                 NaN            NaN  0.610858                 NaN            NaN            NaN            NaN
  1428.13        500.000        98.0897       0.729471       0.580301                 NaN            NaN  0.600539                 NaN            NaN            NaN            NaN
  1427.00        500.000        98.1231       0.716329       0.570337                 NaN            NaN  0.590277                 NaN            NaN            NaN            NaN
  1425.87        500.000        98.1527       0.561744       0.704471                 NaN            NaN  0.581086                 NaN            NaN            NaN            NaN
  1424.74        500.000        98.1820       0.692586       0.553668                 NaN            NaN  0.571777                 NaN            NaN            NaN            NaN
  1423.60        500.000        98.2117       0.680813       0.544958                 NaN            NaN  0.562495                 NaN            NaN            NaN            NaN
  1422.47        500.000        98.2384       0.537223       0.670183                 NaN            NaN  0.554228                 NaN            NaN            NaN            NaN
  1421.34        500.000        98.2685       0.658150       0.528688                 NaN            NaN  0.544682                 NaN            NaN            NaN            NaN
  1420.21        500.000        98.2936       0.521332       0.648283                 NaN            NaN  0.536794                 NaN            NaN            NaN            NaN
  1419.07        500.000        98.3169       0.638463       0.515118                 NaN            NaN  0.529445       0.328972E-004            NaN            NaN            NaN
  1417.94        500.000        98.3452       0.628070       0.506195                 NaN            NaN  0.520502                 NaN            NaN            NaN            NaN
  1416.81        500.000        98.3699       0.498911       0.618679                 NaN            NaN  0.512490                 NaN            NaN            NaN            NaN
  1415.68        500.000        98.3929       0.492346       0.609224                 NaN            NaN  0.505494                 NaN            NaN            NaN            NaN
  1414.54        500.000        98.4146       0.486157       0.600848                 NaN            NaN  0.498439                 NaN            NaN            NaN            NaN
  1413.41        500.000        98.4384       0.479016       0.591488                 NaN            NaN  0.491103                 NaN            NaN            NaN            NaN
  1412.28        500.000        98.4615       0.472242       0.582560                 NaN            NaN  0.483691                 NaN            NaN            NaN            NaN
  1411.15        500.000        98.4826       0.482309       0.504373                 NaN            NaN  0.486675       0.440093E-001            NaN            NaN            NaN
  1410.01        500.000        99.1206       0.218215       0.297013                 NaN            NaN  0.292764       0.714306E-001            NaN            NaN            NaN
  1408.88        500.000        97.9086       0.706276       0.520541                 NaN            NaN  0.694463       0.170145                 NaN            NaN            NaN
  1407.75        500.000        98.5429       0.494880       0.354704                 NaN            NaN  0.485030       0.122460                 NaN            NaN            NaN
  1406.61        500.000        98.5667       0.488542       0.344811                 NaN            NaN  0.477339       0.122581                 NaN            NaN            NaN
  1405.48        500.000        98.5855       0.334209       0.483968                 NaN            NaN  0.472107       0.124232                 NaN            NaN            NaN
  1404.35        500.000        98.6073       0.325216       0.478531                 NaN            NaN  0.464906       0.124084                 NaN            NaN            NaN
  1403.22        500.000        98.6235       0.474804       0.316214                 NaN            NaN  0.460095       0.125400                 NaN            NaN            NaN
  1402.08        500.000        98.6433       0.306821       0.469603                 NaN            NaN  0.454227       0.126072                 NaN            NaN            NaN
  1400.95        500.000        98.6586       0.297325       0.467134                 NaN            NaN  0.449588       0.127323                 NaN            NaN            NaN
  1399.82        500.000        98.6794       0.289443       0.461127                 NaN            NaN  0.442833       0.127198                 NaN            NaN            NaN
  1398.69        500.000        98.6959       0.280828       0.457104                 NaN            NaN  0.437877       0.128291                 NaN            NaN            NaN
  1397.55        500.000        98.7118       0.264954       0.455607                 NaN            NaN  0.433992       0.133600                 NaN            NaN            NaN
  1396.42        500.000        98.7279       0.447996       0.271984                 NaN            NaN  0.427059       0.125055                 NaN            NaN            NaN
  1395.29        500.000        98.7351       0.449214       0.256816                 NaN            NaN  0.426691       0.132218                 NaN            NaN            NaN
  1394.16        500.000        98.7693       0.249436       0.437632                 NaN            NaN  0.414382       0.129251                 NaN            NaN            NaN
  1393.02        500.000        98.7742       0.240946       0.439237                 NaN            NaN  0.413807       0.131798                 NaN            NaN            NaN
