|6.6.6
Archiving\03_Data\Deq/QFM_m0.25/T13/T13_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.6902       0.309810                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.6697       0.330281                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.6492       0.350752                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.6288       0.371223                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.6083       0.391694                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5878       0.412164                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.5674       0.432635                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.5469       0.453105                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.5264       0.473575                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.4546       0.545410                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3828       0.617244                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3109       0.689078                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2391       0.760912                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.1673       0.832745                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.0954       0.904578                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.0236       0.976410                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        98.9518        1.04824                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.5767        1.42327                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.2017        1.79831                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        97.8267        2.17335                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        97.4516        2.54839                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        97.0766        2.92344                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        96.7015        3.29849                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        96.3265        3.67354                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        95.9514        4.04860                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        95.3066        4.69341                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        94.6164        5.36762       0.159486E-001            NaN            NaN            NaN            NaN
  1913.46        2500.00        93.8992        6.06716       0.336492E-001            NaN            NaN            NaN            NaN
  1910.26        2500.00        93.1819        6.76672       0.513503E-001            NaN            NaN            NaN            NaN
  1907.05        2500.00        92.4523        7.47935       0.683166E-001            NaN            NaN            NaN            NaN
  1903.85        2500.00        91.7227        8.19201       0.852835E-001            NaN            NaN            NaN            NaN
  1900.64        2500.00        90.9931        8.90469       0.102251                 NaN            NaN            NaN            NaN
  1897.44        2500.00        90.2634        9.61739       0.119219                 NaN            NaN            NaN            NaN
  1894.23        2500.00        89.5483        10.3166       0.135088                 NaN            NaN            NaN            NaN
  1891.03        2500.00        88.8332        11.0158       0.150957                 NaN            NaN            NaN            NaN
  1887.82        2500.00        88.1181        11.7151       0.166827                 NaN            NaN            NaN            NaN
  1884.62        2500.00        87.4029        12.4144       0.182698                 NaN            NaN            NaN            NaN
  1881.41        2500.00        86.6878        13.1137       0.198569                 NaN            NaN            NaN            NaN
  1878.21        2500.00        85.9726        13.8130       0.214440                 NaN            NaN            NaN            NaN
  1875.00        2500.00        85.2573        14.5124       0.230313                 NaN            NaN            NaN            NaN
  1871.79        2500.00        84.5421        15.2117       0.246185                 NaN            NaN            NaN            NaN
  1868.59        2500.00        83.8633        15.8760       0.260738                 NaN            NaN            NaN            NaN
  1865.38        2500.00        83.1844        16.5403       0.275292                 NaN            NaN            NaN            NaN
  1862.18        2500.00        82.5055        17.2046       0.289846                 NaN            NaN            NaN            NaN
  1858.97        2500.00        81.8266        17.8690       0.304400                 NaN            NaN            NaN            NaN
  1855.77        2500.00        81.1477        18.5334       0.318955                 NaN            NaN            NaN            NaN
  1852.56        2500.00        80.4687        19.1978       0.333511                 NaN            NaN            NaN            NaN
  1849.36        2500.00        79.7897        19.8622       0.348067                 NaN            NaN            NaN            NaN
  1846.15        2500.00        79.1107        20.5266       0.362623                 NaN            NaN            NaN            NaN
  1842.95        2500.00        78.4620        21.1621       0.375966                 NaN            NaN            NaN            NaN
  1839.74        2500.00        77.8132        21.7975       0.389308                 NaN            NaN            NaN            NaN
  1836.54        2500.00        77.1644        22.4330       0.402651                 NaN            NaN            NaN            NaN
  1833.33        2500.00        76.5155        23.0685       0.415995                 NaN            NaN            NaN            NaN
  1830.13        2500.00        75.8667        23.7040       0.429339                 NaN            NaN            NaN            NaN
  1826.92        2500.00        75.2178        24.3395       0.442684                 NaN            NaN            NaN            NaN
  1823.72        2500.00        74.5689        24.9751       0.456029                 NaN            NaN            NaN            NaN
  1820.51        2500.00        73.9199        25.6107       0.469375                 NaN            NaN            NaN            NaN
  1817.31        2500.00        73.2935        26.2248       0.481712                 NaN            NaN            NaN            NaN
  1814.10        2500.00        72.6670        26.8390       0.494049                 NaN            NaN            NaN            NaN
  1810.90        2500.00        72.0405        27.4532       0.506387                 NaN            NaN            NaN            NaN
  1807.69        2500.00        71.4139        28.0674       0.518725                 NaN            NaN            NaN            NaN
  1804.49        2500.00        70.7873        28.6816       0.531064                 NaN            NaN            NaN            NaN
  1801.28        2500.00        70.1607        29.2959       0.543403                 NaN            NaN            NaN            NaN
  1798.08        2500.00        69.5341        29.9102       0.555743                 NaN            NaN            NaN            NaN
  1794.87        2500.00        68.9075        30.5245       0.568083                 NaN            NaN            NaN            NaN
  1791.67        2500.00        68.3009        31.1197       0.579418                 NaN            NaN            NaN            NaN
  1788.46        2500.00        67.6944        31.7149       0.590753                 NaN            NaN            NaN            NaN
  1785.26        2500.00        67.0878        32.3101       0.602089                 NaN            NaN            NaN            NaN
  1782.05        2500.00        66.4812        32.9054       0.613425                 NaN            NaN            NaN            NaN
  1778.85        2500.00        65.8746        33.5006       0.624761                 NaN            NaN            NaN            NaN
  1775.64        2500.00        65.2679        34.0960       0.636099                 NaN            NaN            NaN            NaN
  1772.44        2500.00        64.6613        34.6913       0.647436                 NaN            NaN            NaN            NaN
  1769.23        2500.00        64.0546        35.2867       0.658774                 NaN            NaN            NaN            NaN
  1766.03        2500.00        63.4681        35.8627       0.669250                 NaN            NaN            NaN            NaN
  1762.82        2500.00        62.8815        36.4387       0.679727                 NaN            NaN            NaN            NaN
  1759.62        2500.00        62.2950        37.0148       0.690203                 NaN            NaN            NaN            NaN
  1756.41        2500.00        61.7084        37.5909       0.700681                 NaN            NaN            NaN            NaN
  1753.21        2500.00        61.1218        38.1670       0.711158                 NaN            NaN            NaN            NaN
