|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/TIS/TIS_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1423.08        500.000       0.917548E-004   99.9777       0.222239E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000                 NaN   99.5859                 NaN  0.161393       0.252728                 NaN            NaN            NaN            NaN
  1420.96        500.000                 NaN   99.4230                 NaN  0.350341       0.226639                 NaN            NaN            NaN            NaN
  1419.90        500.000                 NaN   99.4269                 NaN  0.348167       0.224921                 NaN            NaN            NaN            NaN
  1418.84        500.000                 NaN   99.4288                 NaN  0.347161       0.224052                 NaN            NaN            NaN            NaN
  1417.78        500.000                 NaN   99.4322                 NaN  0.222765       0.345004                 NaN            NaN            NaN            NaN
  1416.72        500.000                 NaN   99.4356                 NaN  0.221570       0.342819                 NaN            NaN            NaN            NaN
  1415.66        500.000                 NaN   99.4379                 NaN  0.220650       0.341407                 NaN            NaN            NaN            NaN
  1414.60        500.000                 NaN   99.4362                 NaN  0.342300       0.221471                 NaN            NaN            NaN            NaN
  1413.54        500.000                 NaN   99.4483                 NaN  0.216674       0.335060                 NaN            NaN            NaN            NaN
  1412.48        500.000       0.928803E-003   99.4466                 NaN  0.218629       0.333816                 NaN            NaN            NaN            NaN
  1411.42        500.000                 NaN   99.4494                 NaN  0.215868       0.334769                 NaN            NaN            NaN            NaN
  1410.36        500.000                 NaN   99.4256                 NaN  0.225004       0.349426                 NaN            NaN            NaN            NaN
  1409.30        500.000       0.667731E-003   99.9362       0.165025E-001  0.201445E-002  0.446075E-001            NaN            NaN            NaN            NaN
  1408.24        500.000                 NaN   99.0087                 NaN  0.601681       0.389634                 NaN            NaN            NaN            NaN
  1407.17        500.000                 NaN   99.4606                 NaN  0.211576       0.327846                 NaN            NaN            NaN            NaN
  1406.11        500.000       0.481396E-003   99.4090                 NaN  0.232195       0.358331                 NaN            NaN            NaN            NaN
  1405.05        500.000       0.227882E-002   99.7997                 NaN  0.818062E-001  0.116196                 NaN            NaN            NaN            NaN
  1403.99        500.000                 NaN   99.1894                 NaN  0.492719       0.317915                 NaN            NaN            NaN            NaN
  1402.93        500.000                 NaN   99.3194                 NaN  0.268421       0.334801       0.773326E-001            NaN            NaN            NaN
  1401.87        500.000                 NaN   98.5636                 NaN  0.432179       0.571828       0.432365                 NaN            NaN            NaN
  1400.81        500.000                 NaN   99.8995                 NaN  0.303577E-001  0.398047E-001  0.303840E-001            NaN            NaN            NaN
  1399.75        500.000                 NaN   97.7587                 NaN  0.674269       0.893183       0.673849                 NaN            NaN            NaN
  1398.69        500.000                 NaN   98.7694                 NaN  0.490327       0.370294       0.369985                 NaN            NaN            NaN
  1397.63        500.000                 NaN   98.7029                 NaN  0.516837       0.390351       0.389875                 NaN            NaN            NaN
  1396.57        500.000                 NaN   98.8783                 NaN  0.337632       0.447129       0.336970                 NaN            NaN            NaN
  1395.51        500.000                 NaN   98.8092       0.294117E-001  0.365027       0.432217       0.364150                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.8192       0.118306       0.382904       0.299455       0.380090                 NaN            NaN            NaN
  1393.39        500.000                 NaN   98.8337       0.119672       0.291502       0.379083       0.376031                 NaN            NaN            NaN
  1392.33        500.000                 NaN   98.8463       0.120254       0.285241       0.375821       0.372411                 NaN            NaN            NaN
  1391.27        500.000                 NaN   98.8593       0.121080       0.371937       0.279139       0.368524                 NaN            NaN            NaN
  1390.21        500.000                 NaN   98.8715       0.121662       0.272566       0.369452       0.364818                 NaN            NaN            NaN
  1389.15        500.000                 NaN   98.8839       0.122511       0.266403       0.365933       0.361271                 NaN            NaN            NaN
  1388.09        500.000                 NaN   98.8934       0.123386       0.260794       0.363787       0.358623                 NaN            NaN            NaN
  1387.03        500.000                 NaN   98.9092       0.123658       0.254045       0.359494       0.353637                 NaN            NaN            NaN
  1385.97        500.000                 NaN   98.9201       0.124737       0.248017       0.356553       0.350545                 NaN            NaN            NaN
  1384.91        500.000                 NaN   98.9309       0.125237       0.353916       0.242619       0.347315                 NaN            NaN            NaN
