|6.6.6
Archiving\03_Data\eqfracLP/QFM_m0.5/TIS/TIS_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1423.08        500.000       0.142771E-003   99.9722       0.276755E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1422.02        500.000                 NaN   99.5188                 NaN  0.189055       0.292104                 NaN            NaN            NaN            NaN
  1420.96        500.000                 NaN   99.3294                 NaN  0.405012       0.265566                 NaN            NaN            NaN            NaN
  1419.90        500.000                 NaN   99.3337                 NaN  0.402653       0.263661                 NaN            NaN            NaN            NaN
  1418.84        500.000                 NaN   99.3356                 NaN  0.401613       0.262792                 NaN            NaN            NaN            NaN
  1417.78        500.000                 NaN   99.3393                 NaN  0.261405       0.399272                 NaN            NaN            NaN            NaN
  1416.72        500.000                 NaN   99.3430                 NaN  0.260141       0.396903                 NaN            NaN            NaN            NaN
  1415.66        500.000                 NaN   99.3454                 NaN  0.259196       0.395430                 NaN            NaN            NaN            NaN
  1414.60        500.000                 NaN   99.3432                 NaN  0.396576       0.260266                 NaN            NaN            NaN            NaN
  1413.54        500.000                 NaN   99.3569                 NaN  0.254778       0.388348                 NaN            NaN            NaN            NaN
  1412.48        500.000       0.144334E-002   99.3543                 NaN  0.257188       0.387080                 NaN            NaN            NaN            NaN
  1411.42        500.000                 NaN   99.3576                 NaN  0.254089       0.388299                 NaN            NaN            NaN            NaN
  1410.36        500.000                 NaN   99.3295                 NaN  0.264975       0.405522                 NaN            NaN            NaN            NaN
  1409.30        500.000       0.103679E-002   99.9240       0.207617E-001  0.237525E-002  0.518330E-001            NaN            NaN            NaN            NaN
  1408.24        500.000                 NaN   98.8427                 NaN  0.698252       0.459009                 NaN            NaN            NaN            NaN
  1407.17        500.000                 NaN   99.3696                 NaN  0.249506       0.380851                 NaN            NaN            NaN            NaN
  1406.11        500.000       0.746867E-003   99.3088                 NaN  0.274006       0.416480                 NaN            NaN            NaN            NaN
  1405.05        500.000       0.353450E-002   99.7647                 NaN  0.966269E-001  0.135173                 NaN            NaN            NaN            NaN
  1403.99        500.000                 NaN   99.0517                 NaN  0.572899       0.375398                 NaN            NaN            NaN            NaN
  1402.93        500.000                 NaN   99.2195                 NaN  0.317225       0.389577       0.736716E-001            NaN            NaN            NaN
  1401.87        500.000                 NaN   98.4094                 NaN  0.502955       0.675922       0.411705                 NaN            NaN            NaN
  1400.81        500.000                 NaN   99.8885                 NaN  0.353902E-001  0.471740E-001  0.289733E-001            NaN            NaN            NaN
  1399.75        500.000                 NaN   97.5181                 NaN  0.784577        1.05612       0.641176                 NaN            NaN            NaN
  1398.69        500.000                 NaN   98.6352                 NaN  0.580780       0.431560       0.352467                 NaN            NaN            NaN
  1397.63        500.000                 NaN   98.5609                 NaN  0.612535       0.455127       0.371424                 NaN            NaN            NaN
  1396.57        500.000                 NaN   98.7546                 NaN  0.393928       0.530356       0.321112                 NaN            NaN            NaN
  1395.51        500.000                 NaN   98.6765       0.374912E-001  0.426071       0.512957       0.347029                 NaN            NaN            NaN
  1394.45        500.000                 NaN   98.6837       0.151031       0.447269       0.355738       0.362303                 NaN            NaN            NaN
  1393.39        500.000                 NaN   98.6989       0.152991       0.346524       0.443045       0.358533                 NaN            NaN            NaN
  1392.33        500.000                 NaN   98.7120       0.153970       0.339358       0.439525       0.355180                 NaN            NaN            NaN
  1391.27        500.000                 NaN   98.7255       0.155248       0.435268       0.332385       0.351573                 NaN            NaN            NaN
  1390.21        500.000                 NaN   98.7382       0.156230       0.324819       0.432651       0.348139                 NaN            NaN            NaN
  1389.15        500.000                 NaN   98.7510       0.157555       0.317742       0.428837       0.344857                 NaN            NaN            NaN
  1388.09        500.000                 NaN   98.7607       0.158945       0.311330       0.426627       0.342434                 NaN            NaN            NaN
  1387.03        500.000                 NaN   98.7773       0.159492       0.303516       0.421882       0.337780                 NaN            NaN            NaN
  1385.97        500.000                 NaN   98.7887       0.161121       0.296555       0.418694       0.334934                 NaN            NaN            NaN
  1384.91        500.000                 NaN   98.7997       0.162018       0.415915       0.290365       0.331956                 NaN            NaN            NaN
  1383.85        500.000                 NaN   98.7992       0.166457       0.284169       0.417446       0.332746                 NaN            NaN            NaN
  1382.79        500.000                 NaN   98.8335       0.161275       0.405341       0.277661       0.322225                 NaN            NaN            NaN
  1381.73        500.000                 NaN   98.8323       0.165819       0.407940       0.270495       0.323490                 NaN            NaN            NaN
  1380.67        500.000                 NaN   98.8462       0.166217       0.403286       0.264702       0.319595                 NaN            NaN            NaN
  1379.61        500.000                 NaN   98.8553       0.167841       0.401231       0.258345       0.317302                 NaN            NaN            NaN
  1378.55        500.000                 NaN   98.8661       0.169054       0.398127       0.252199       0.314516                 NaN            NaN            NaN
  1377.48        500.000                 NaN   98.8770       0.169832       0.246215       0.395468       0.311453                 NaN            NaN            NaN
  1376.42        500.000                 NaN   98.8869       0.171182       0.392735       0.240226       0.308913                 NaN            NaN            NaN
  1375.36        500.000                 NaN   98.8966       0.172147       0.390583       0.234439       0.306264                 NaN            NaN            NaN
  1374.30        500.000                 NaN   98.9061       0.173394       0.387762       0.228931       0.303811                 NaN            NaN            NaN
  1373.24        500.000                 NaN   98.9157       0.174472       0.222496       0.386041       0.301282                 NaN            NaN            NaN
  1372.18        500.000                 NaN   98.9263       0.174914       0.217687       0.382770       0.298294                 NaN            NaN            NaN
  1371.12        500.000                 NaN   98.9354       0.176442       0.211822       0.380452       0.295929                 NaN            NaN            NaN
  1370.06        500.000                 NaN   98.9439       0.177668       0.378096       0.206482       0.293809                 NaN            NaN            NaN
  1369.00        500.000                 NaN   98.9542       0.177954       0.375642       0.201412       0.290795                 NaN            NaN            NaN
  1367.94        500.000                 NaN   98.9622       0.179793       0.195796       0.373202       0.289026                 NaN            NaN            NaN
  1366.88        500.000                 NaN   98.9715       0.180274       0.190599       0.371362       0.286257                 NaN            NaN            NaN
  1365.82        500.000                 NaN   98.9801       0.181050       0.185828       0.369046       0.283927                 NaN            NaN            NaN
  1364.76        500.000                 NaN   98.9878       0.182362       0.366896       0.181041       0.281906                 NaN            NaN            NaN
  1363.70        500.000                 NaN   98.9969       0.182826       0.176189       0.364720       0.279339                 NaN            NaN            NaN
  1362.64        500.000                 NaN   99.3848       0.114161       0.223837       0.105601       0.171566                 NaN            NaN            NaN
  1361.58        500.000                 NaN   98.6283       0.254012       0.235063       0.501259       0.381372                 NaN            NaN            NaN
  1360.52        500.000                 NaN   99.0200       0.185610       0.359146       0.162165       0.273100                 NaN            NaN            NaN
  1359.46        500.000                 NaN   99.0282       0.186513       0.157386       0.356945       0.270917                 NaN            NaN            NaN
  1358.40        500.000                 NaN   99.0362       0.186981       0.354977       0.153195       0.268672                 NaN            NaN            NaN
  1357.34        500.000                 NaN   99.0435       0.187869       0.353254       0.148740       0.266669                 NaN            NaN            NaN
  1356.28        500.000                 NaN   99.0483       0.190083       0.352847       0.142966       0.265852                 NaN            NaN            NaN
  1355.22        500.000                 NaN   99.0600       0.187762       0.141890       0.348567       0.261741                 NaN            NaN            NaN
  1354.16        500.000                 NaN   99.0657       0.190067       0.135627       0.347958       0.260623                 NaN            NaN            NaN
  1353.10        500.000                 NaN   99.0717       0.190505       0.346609       0.132314       0.258853                 NaN            NaN            NaN
  1352.04        500.000                 NaN   99.0791       0.191175       0.344347       0.128558       0.256771                 NaN            NaN            NaN
  1350.98        500.000                 NaN   99.0858       0.192058       0.342755       0.124306       0.255042                 NaN            NaN            NaN
  1349.92        500.000                 NaN   99.0939       0.192026       0.120995       0.340442       0.252666                 NaN            NaN            NaN
  1348.86        500.000                 NaN   99.1000       0.192594       0.339387       0.117102       0.250916                 NaN            NaN            NaN
  1347.80        500.000                 NaN   99.1061       0.193144       0.113763       0.337837       0.249202                 NaN            NaN            NaN
  1346.73        500.000                 NaN   99.1124       0.193779       0.336179       0.110177       0.247501                 NaN            NaN            NaN
  1345.67        500.000                 NaN   99.1167       0.195164       0.106909       0.334988       0.246267                 NaN            NaN            NaN
