|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.25/GRV/GRV_3.tab                        
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             ilm            San(TH)        q             
  1521.35        500.000       0.896330E-003   98.4390       0.444337                 NaN   1.11576                 NaN            NaN            NaN            NaN            NaN
  1519.95        500.000       0.735485E-003   98.4638       0.439528                 NaN   1.09598                 NaN            NaN            NaN            NaN            NaN
  1518.55        500.000       0.576063E-003   98.4902       0.432774                 NaN   1.07648                 NaN            NaN            NaN            NaN            NaN
  1517.16        500.000       0.418378E-003   98.5151       0.426597                 NaN   1.05793                 NaN            NaN            NaN            NaN            NaN
  1515.76        500.000       0.283127E-003   98.5394       0.420159                 NaN   1.04020                 NaN            NaN            NaN            NaN            NaN
  1514.36        500.000       0.137822E-003   98.5604       0.415430                 NaN   1.02405                 NaN            NaN            NaN            NaN            NaN
  1512.96        500.000       0.601077E-004   98.3770       0.462920                 NaN   1.15998                 NaN            NaN            NaN            NaN            NaN
  1511.57        500.000       0.316200E-003   98.8143       0.341994                 NaN  0.843388                 NaN            NaN            NaN            NaN            NaN
  1510.17        500.000       0.820321E-003   98.6337       0.386727                 NaN  0.978707                 NaN            NaN            NaN            NaN            NaN
  1508.77        500.000                 NaN   98.6509       0.385852                 NaN  0.963271                 NaN            NaN            NaN            NaN            NaN
  1507.37        500.000                 NaN   98.6709       0.379376                 NaN  0.949698                 NaN            NaN            NaN            NaN            NaN
  1505.97        500.000                 NaN   98.6903       0.370949                 NaN  0.938728                 NaN            NaN            NaN            NaN            NaN
  1504.58        500.000                 NaN   98.7112       0.366023                 NaN  0.922768                 NaN            NaN            NaN            NaN            NaN
  1503.18        500.000                 NaN   98.7298       0.355482                 NaN  0.914712                 NaN            NaN            NaN            NaN            NaN
  1501.78        500.000                 NaN   98.7498       0.351035                 NaN  0.899186                 NaN            NaN            NaN            NaN            NaN
  1500.38        500.000                 NaN   98.7673       0.344526                 NaN  0.888188                 NaN            NaN            NaN            NaN            NaN
  1498.99        500.000                 NaN   98.7845       0.335693                 NaN  0.879819                 NaN            NaN            NaN            NaN            NaN
  1497.59        500.000                 NaN   98.8028       0.329793                 NaN  0.867365                 NaN            NaN            NaN            NaN            NaN
  1496.19        500.000                 NaN   98.8196       0.323868                 NaN  0.856562                 NaN            NaN            NaN            NaN            NaN
  1494.79        500.000                 NaN   98.8342       0.318126                 NaN  0.847631                 NaN            NaN            NaN            NaN            NaN
  1493.39        500.000                 NaN   98.8513       0.308740                 NaN  0.839944                 NaN            NaN            NaN            NaN            NaN
  1492.00        500.000                 NaN   98.8682       0.304828                 NaN  0.826972                 NaN            NaN            NaN            NaN            NaN
  1490.60        500.000                 NaN   98.8840       0.297802                 NaN  0.818198                 NaN            NaN            NaN            NaN            NaN
  1489.20        500.000                 NaN   98.8967       0.292966                 NaN  0.810290                 NaN            NaN            NaN            NaN            NaN
  1487.80        500.000                 NaN   98.9103       0.288867                 NaN  0.800799                 NaN            NaN            NaN            NaN            NaN
  1486.41        500.000                 NaN   98.9308       0.279564                 NaN  0.789668                 NaN            NaN            NaN            NaN            NaN
  1485.01        500.000                 NaN   98.9421       0.274120                 NaN  0.783755                 NaN            NaN            NaN            NaN            NaN
  1483.61        500.000                 NaN   98.9546       0.268744                 NaN  0.776618                 NaN            NaN            NaN            NaN            NaN
  1482.21        500.000                 NaN   98.9671       0.262666                 NaN  0.770247                 NaN            NaN            NaN            NaN            NaN
  1480.82        500.000                 NaN   98.9812       0.258099                 NaN  0.760686                 NaN            NaN            NaN            NaN            NaN
  1479.42        500.000                 NaN   98.9939       0.250700                 NaN  0.755433                 NaN            NaN            NaN            NaN            NaN
  1478.02        500.000                 NaN   99.0036       0.246749                 NaN  0.749615                 NaN            NaN            NaN            NaN            NaN
  1476.62        500.000                 NaN   99.0198       0.239881                 NaN  0.740300                 NaN            NaN            NaN            NaN            NaN
  1475.22        500.000                 NaN   99.0295       0.235753                 NaN  0.734741                 NaN            NaN            NaN            NaN            NaN
  1473.83        500.000                 NaN   99.0406       0.228669                 NaN  0.730741                 NaN            NaN            NaN            NaN            NaN
  1472.43        500.000                 NaN   99.0527       0.226740                 NaN  0.720550                 NaN            NaN            NaN            NaN            NaN
  1471.03        500.000                 NaN   99.0547       0.180923                 NaN  0.705461       0.588683E-001            NaN            NaN            NaN            NaN
  1469.63        500.000                 NaN   99.0479       0.664181E-001            NaN  0.228848       0.656819                 NaN            NaN            NaN            NaN
  1468.24        500.000                 NaN   99.0566       0.592258E-001            NaN  0.648718       0.235423                 NaN            NaN            NaN            NaN
  1466.84        500.000                 NaN   99.0643       0.514291E-001            NaN  0.242580       0.641644                 NaN            NaN            NaN            NaN
  1465.44        500.000                 NaN   99.0741       0.463963E-001            NaN  0.633775       0.245772                 NaN            NaN            NaN            NaN
  1464.04        500.000                 NaN   99.0815       0.400078E-001            NaN  0.250936       0.627606                 NaN            NaN            NaN            NaN
  1462.65        500.000                 NaN   99.0932       0.337854E-001            NaN  0.617506       0.255527                 NaN            NaN            NaN            NaN
  1461.25        500.000                 NaN   99.0979       0.289747E-001            NaN  0.613374       0.259779                 NaN            NaN            NaN            NaN
  1459.85        500.000                 NaN   99.1095       0.227185E-001            NaN  0.263641       0.604108                 NaN            NaN            NaN            NaN
  1458.45        500.000                 NaN   99.1158       0.178607E-001            NaN  0.598474       0.267828                 NaN            NaN            NaN            NaN
  1457.05        500.000                 NaN   99.1238       0.129470E-001            NaN  0.591978       0.271309                 NaN            NaN            NaN            NaN
  1455.66        500.000                 NaN   99.1316       0.912977E-002            NaN  0.585844       0.273443                 NaN            NaN            NaN            NaN
  1454.26        500.000       0.118727E-002   99.8537       0.876393E-001            NaN  0.574759E-001            NaN            NaN            NaN            NaN            NaN
  1452.86        500.000                 NaN   98.4340                 NaN            NaN   1.10314       0.462827                 NaN            NaN            NaN            NaN
  1451.46        500.000                 NaN   99.1559                 NaN            NaN  0.567490       0.276577                 NaN            NaN            NaN            NaN
  1450.07        500.000                 NaN   99.1617                 NaN            NaN  0.275360       0.562918                 NaN            NaN            NaN            NaN
  1448.67        500.000       0.104833E-003   99.1605                 NaN            NaN  0.556701       0.282736                 NaN            NaN            NaN            NaN
  1447.27        500.000                 NaN   99.1830                 NaN            NaN  0.262034       0.554993                 NaN            NaN            NaN            NaN
  1445.87        500.000       0.208038E-002   99.1825                 NaN            NaN  0.542015       0.273382                 NaN            NaN            NaN            NaN
  1444.47        500.000       0.344321E-003   99.1898                 NaN            NaN  0.268638       0.541260                 NaN            NaN            NaN            NaN
  1443.08        500.000       0.367625E-004   99.1968                 NaN            NaN  0.538028       0.265090                 NaN            NaN            NaN            NaN
  1441.68        500.000       0.971527E-003   99.2040                 NaN            NaN  0.265704       0.529322                 NaN            NaN            NaN            NaN
  1440.28        500.000       0.137445E-002   99.2107                 NaN            NaN  0.263954       0.523922                 NaN            NaN            NaN            NaN
  1438.88        500.000       0.132146E-002   99.2171                 NaN            NaN  0.519751       0.261781                 NaN            NaN            NaN            NaN
  1437.49        500.000       0.127807E-002   99.2234                 NaN            NaN  0.515448       0.259885                 NaN            NaN            NaN            NaN
  1436.09        500.000       0.122853E-002   99.2296                 NaN            NaN  0.511001       0.258139                 NaN            NaN            NaN            NaN
  1434.69        500.000       0.119064E-002   99.2364                 NaN            NaN  0.506096       0.256323                 NaN            NaN            NaN            NaN
  1433.29        500.000       0.114333E-002   99.2422                 NaN            NaN  0.254108       0.502588                 NaN            NaN            NaN            NaN
  1431.90        500.000       0.109357E-002   99.2480                 NaN            NaN  0.252257       0.498606                 NaN            NaN            NaN            NaN
  1430.50        500.000       0.105462E-002   99.2558                 NaN            NaN  0.492887       0.250307                 NaN            NaN            NaN            NaN
  1429.10        500.000       0.101051E-002   99.2604                 NaN            NaN  0.248572       0.490038                 NaN            NaN            NaN            NaN
  1427.70        500.000       0.966547E-003   99.2665                 NaN            NaN  0.246854       0.485631                 NaN            NaN            NaN            NaN
  1426.30        500.000       0.509608E-003   99.6035                 NaN            NaN  0.132416       0.263592                 NaN            NaN            NaN            NaN
  1424.91        500.000       0.132165E-002   98.9442                 NaN            NaN  0.694964       0.359512                 NaN            NaN            NaN            NaN
  1423.51        500.000       0.845947E-003   99.2833                 NaN            NaN  0.473876       0.241969                 NaN            NaN            NaN            NaN
  1422.11        500.000       0.808522E-003   99.2889                 NaN            NaN  0.240264       0.470003                 NaN            NaN            NaN            NaN
  1420.71        500.000       0.767106E-003   99.2938                 NaN            NaN  0.238985       0.466426                 NaN            NaN            NaN            NaN
  1419.32        500.000       0.730650E-003   99.2998                 NaN            NaN  0.237168       0.462265                 NaN            NaN            NaN            NaN
  1417.92        500.000       0.690239E-003   99.3036                 NaN            NaN  0.459809       0.235940                 NaN            NaN            NaN            NaN
  1416.52        500.000       0.650871E-003   99.3106                 NaN            NaN  0.233666       0.455068                 NaN            NaN            NaN            NaN
  1415.12        500.000       0.626166E-003   99.3151                 NaN            NaN  0.232585       0.451680                 NaN            NaN            NaN            NaN
  1413.72        500.000       0.593794E-003   99.3189                 NaN            NaN  0.231342       0.449186                 NaN            NaN            NaN            NaN
  1412.33        500.000       0.560253E-003   99.3235                 NaN            NaN  0.229843       0.446089                 NaN            NaN            NaN            NaN
  1410.93        500.000       0.517295E-003   99.3294                 NaN            NaN  0.442174       0.227935                 NaN            NaN            NaN            NaN
  1409.53        500.000       0.479747E-003   99.3332                 NaN            NaN  0.439674       0.226689                 NaN            NaN            NaN            NaN
  1408.13        500.000       0.454426E-003   99.3388                 NaN            NaN  0.435311       0.225415                 NaN            NaN            NaN            NaN
  1406.74        500.000       0.426068E-003   99.3425                 NaN            NaN  0.224186       0.432841                 NaN            NaN            NaN            NaN
  1405.34        500.000       0.388971E-003   99.3474                 NaN            NaN  0.222658       0.429508                 NaN            NaN            NaN            NaN
  1403.94        500.000       0.359986E-003   99.3509                 NaN            NaN  0.427407       0.221333                 NaN            NaN            NaN            NaN
  1402.54        500.000       0.324734E-003   99.3554                 NaN            NaN  0.220210       0.424048                 NaN            NaN            NaN            NaN
  1401.15        500.000       0.298268E-003   99.3604                 NaN            NaN  0.420586       0.218710                 NaN            NaN            NaN            NaN
  1399.75        500.000       0.266618E-003   99.3641                 NaN            NaN  0.217634       0.418030                 NaN            NaN            NaN            NaN
  1398.35        500.000       0.244558E-003   99.3664                 NaN            NaN  0.416397       0.216970                 NaN            NaN            NaN            NaN
  1396.95        500.000       0.217965E-003   99.3732                 NaN            NaN  0.411841       0.214694                 NaN            NaN            NaN            NaN
  1395.55        500.000       0.188730E-003   99.3751                 NaN            NaN  0.411219       0.213445                 NaN            NaN            NaN            NaN
  1394.16        500.000       0.984589E-004   99.3204                 NaN            NaN  0.237213       0.412297       0.300339E-001            NaN            NaN            NaN
  1392.76        500.000       0.864015E-003   98.4542                 NaN            NaN  0.601131       0.459259       0.484543                 NaN            NaN            NaN
  1391.36        500.000                 NaN   98.4691                 NaN            NaN  0.457661       0.593355       0.479867                 NaN            NaN            NaN
  1389.96        500.000                 NaN   98.4929                 NaN            NaN  0.450991       0.584178       0.471965                 NaN            NaN            NaN
  1388.57        500.000       0.256645E-003   98.5119                 NaN            NaN  0.443405       0.578356       0.466064                 NaN            NaN            NaN
  1387.17        500.000                 NaN   98.5353                 NaN            NaN  0.568380       0.438018       0.458333                 NaN            NaN            NaN
  1385.77        500.000                 NaN   98.5527                 NaN            NaN  0.561580       0.433051       0.452690                 NaN            NaN            NaN
  1384.37        500.000                 NaN   98.5733                 NaN            NaN  0.426540       0.554230       0.445936                 NaN            NaN            NaN
  1382.98        500.000                 NaN   98.5912                 NaN            NaN  0.547343       0.421239       0.440173                 NaN            NaN            NaN
  1381.58        500.000                 NaN   98.6092                 NaN            NaN  0.415648       0.541048       0.434125                 NaN            NaN            NaN
  1380.18        500.000                 NaN   98.6271                 NaN            NaN  0.410319       0.534343       0.428265                 NaN            NaN            NaN
  1378.78        500.000                 NaN   98.6458                 NaN            NaN  0.404391       0.527519       0.422274                 NaN            NaN            NaN
  1377.38        500.000                 NaN   98.6593                 NaN            NaN  0.522891       0.400115       0.417723                 NaN            NaN            NaN
  1375.99        500.000                 NaN   98.6803                 NaN            NaN  0.515136       0.393642       0.410905                 NaN            NaN            NaN
  1374.59        500.000                 NaN   98.6957                 NaN            NaN  0.388931       0.509531       0.405861                 NaN            NaN            NaN
  1373.19        500.000                 NaN   98.7104                 NaN            NaN  0.384318       0.504176       0.401074                 NaN            NaN            NaN
  1371.79        500.000                 NaN   98.7233                 NaN            NaN  0.379858       0.500094       0.396729                 NaN            NaN            NaN
  1370.40        500.000                 NaN   98.7419                 NaN            NaN  0.374701       0.492944       0.390450                 NaN            NaN            NaN
  1369.00        500.000                 NaN   98.7554                 NaN            NaN  0.488130       0.370351       0.386104                 NaN            NaN            NaN
  1367.60        500.000                 NaN   98.7693                 NaN            NaN  0.365698       0.483542       0.381421                 NaN            NaN            NaN
  1366.20        500.000                 NaN   98.7820                 NaN            NaN  0.361699       0.479070       0.377218                 NaN            NaN            NaN
  1364.80        500.000                 NaN   98.7972                 NaN            NaN  0.474278       0.356612       0.371912                 NaN            NaN            NaN
  1363.41        500.000                 NaN   98.8104                 NaN            NaN  0.352950       0.468899       0.367757                 NaN            NaN            NaN
  1362.01        500.000                 NaN   98.8231                 NaN            NaN  0.348556       0.464811       0.363545                 NaN            NaN            NaN
  1360.61        500.000                 NaN   98.8352                 NaN            NaN  0.344304       0.461098       0.359356                 NaN            NaN            NaN
  1359.21        500.000                 NaN   98.8479                 NaN            NaN  0.456182       0.340711       0.355175                 NaN            NaN            NaN
  1357.82        500.000                 NaN   98.8598                 NaN            NaN  0.336383       0.452703       0.351110                 NaN            NaN            NaN
  1356.42        500.000                 NaN   98.8704                 NaN            NaN  0.333227       0.448833       0.347548                 NaN            NaN            NaN
  1355.02        500.000                 NaN   98.8825                 NaN            NaN  0.329366       0.444780       0.343374                 NaN            NaN            NaN
  1353.62        500.000                 NaN   98.8897                 NaN            NaN  0.440968       0.328053       0.341316                 NaN            NaN            NaN
  1352.23        500.000                 NaN   98.9092                 NaN            NaN  0.436485       0.320351       0.333973                 NaN            NaN            NaN
  1350.83        500.000                 NaN   98.9152                 NaN  0.148076E-001  0.407502       0.327044       0.335429                 NaN            NaN            NaN
  1349.43        500.000                 NaN   98.9304                 NaN  0.224481       0.243628E-001  0.447409       0.373334                 NaN            NaN            NaN
  1348.03        500.000                 NaN   98.9470                 NaN  0.220138       0.443090       0.236672E-001  0.366133                 NaN            NaN            NaN
  1346.63        500.000                 NaN   98.9567                 NaN  0.221362       0.441781       0.167724E-001  0.363409                 NaN            NaN            NaN
  1345.24        500.000                 NaN   98.9230                 NaN  0.149231       0.367322       0.201235       0.359233                 NaN            NaN            NaN
  1343.84        500.000                 NaN   98.9873                 NaN  0.216726       0.111710E-001  0.432980       0.351868                 NaN            NaN            NaN
  1342.44        500.000                 NaN   98.9945                 NaN  0.221243       0.433301                 NaN  0.350906                 NaN            NaN            NaN
  1341.04        500.000                 NaN   99.0047                 NaN  0.218628       0.429789                 NaN  0.346896                 NaN            NaN            NaN
  1339.65        500.000                 NaN   99.0156                 NaN  0.217248       0.424218                 NaN  0.342963                 NaN            NaN            NaN
  1338.25        500.000                 NaN   99.0255                 NaN  0.213311       0.422347                 NaN  0.338828                 NaN            NaN            NaN
  1336.85        500.000                 NaN   99.0367                 NaN  0.212082       0.416383                 NaN  0.334844                 NaN            NaN            NaN
  1335.45        500.000                 NaN   99.0470                 NaN  0.209918       0.412089                 NaN  0.331013                 NaN            NaN            NaN
  1334.05        500.000                 NaN   99.0284                 NaN  0.216171       0.416913                 NaN  0.338484                 NaN            NaN            NaN
  1332.66        500.000                 NaN   99.0928                 NaN  0.199175       0.395161                 NaN  0.312884                 NaN            NaN            NaN
  1331.26        500.000                 NaN   99.0769                 NaN  0.202223       0.401514                 NaN  0.319365                 NaN            NaN            NaN
  1329.86        500.000                 NaN   99.0869                 NaN  0.200240       0.397198                 NaN  0.315691                 NaN            NaN            NaN
  1328.46        500.000                 NaN   99.0961                 NaN  0.196820       0.395276                 NaN  0.311826                 NaN            NaN            NaN
  1327.07        500.000                 NaN   99.1060                 NaN  0.195436       0.390276                 NaN  0.308264                 NaN            NaN            NaN
  1325.67        500.000                 NaN   99.1152                 NaN  0.193609       0.386432                 NaN  0.304796                 NaN            NaN            NaN
  1324.27        500.000                 NaN   99.1240                 NaN  0.191656       0.382964                 NaN  0.301420                 NaN            NaN            NaN
  1322.87        500.000                 NaN   99.1332                 NaN  0.189235       0.379752                 NaN  0.297827                 NaN            NaN            NaN
  1321.48        500.000                 NaN   99.1415                 NaN  0.186647       0.377435                 NaN  0.294416                 NaN            NaN            NaN
  1320.08        500.000                 NaN   99.1512                 NaN  0.184305       0.373669                 NaN  0.290783                 NaN            NaN            NaN
  1318.68        500.000                 NaN   99.1605                 NaN  0.181802       0.370298                 NaN  0.287399                 NaN            NaN            NaN
  1317.28        500.000                 NaN   99.1690                 NaN  0.179798       0.367211                 NaN  0.283950                 NaN            NaN            NaN
  1315.88        500.000                 NaN   99.1763                 NaN  0.177473       0.365171                 NaN  0.281022                 NaN            NaN            NaN
  1314.49        500.000                 NaN   99.1856                 NaN  0.176323       0.360387                 NaN  0.277698                 NaN            NaN            NaN
  1313.09        500.000                 NaN   99.1937                 NaN  0.173720       0.358035                 NaN  0.274538                 NaN            NaN            NaN
  1311.69        500.000                 NaN   99.2015                 NaN  0.171582       0.355525                 NaN  0.271442                 NaN            NaN            NaN
  1310.29        500.000                 NaN   99.2102                 NaN  0.170579       0.350762                 NaN  0.268440                 NaN            NaN            NaN
  1308.90        500.000                 NaN   99.2180                 NaN  0.166964       0.350067                 NaN  0.264998                 NaN            NaN            NaN
  1307.50        500.000                 NaN   99.2252                 NaN  0.164998       0.347479                 NaN  0.262307                 NaN            NaN            NaN
  1306.10        500.000                 NaN   99.2333                 NaN  0.162188       0.345465                 NaN  0.259001                 NaN            NaN            NaN
  1304.70        500.000                 NaN   99.2528                 NaN  0.163078       0.312973                 NaN  0.271191                 NaN            NaN            NaN
  1303.31        500.000                 NaN   99.2362                 NaN  0.158866       0.366187                 NaN  0.238766                 NaN            NaN            NaN
  1301.91        500.000                 NaN   99.1953                 NaN  0.154497       0.361299                 NaN  0.267179       0.217224E-001            NaN            NaN
  1300.51        500.000                 NaN   99.1550                 NaN  0.149544       0.378543                 NaN  0.277479       0.394101E-001            NaN            NaN
  1299.11        500.000                 NaN   99.1654                 NaN  0.149758       0.372069                 NaN  0.273977       0.387593E-001            NaN            NaN
  1297.71        500.000                 NaN   99.1773                 NaN  0.147028       0.367658                 NaN  0.270042       0.380044E-001            NaN            NaN
  1296.32        500.000                 NaN   99.1893                 NaN  0.145367       0.361890                 NaN  0.266181       0.373014E-001            NaN            NaN
  1294.92        500.000                 NaN   99.2004                 NaN  0.142739       0.357517                 NaN  0.262693       0.366798E-001            NaN            NaN
  1293.52        500.000                 NaN   99.2113                 NaN  0.145815       0.346352                 NaN  0.260217       0.363495E-001            NaN            NaN
  1292.12        500.000                 NaN   99.2278                 NaN  0.138768       0.345746                 NaN  0.252801       0.349123E-001            NaN            NaN
  1290.73        500.000                 NaN   99.2328                 NaN  0.138211       0.342735                 NaN  0.251631       0.346154E-001            NaN            NaN
  1289.33        500.000                 NaN   99.2431                 NaN  0.136871       0.337685                 NaN  0.248300       0.340057E-001            NaN            NaN
  1287.93        500.000                 NaN   99.2534                 NaN  0.134820       0.333407                 NaN  0.245023       0.333928E-001            NaN            NaN
  1286.53        500.000                 NaN   99.2639                 NaN  0.132621       0.329623                 NaN  0.241141       0.327185E-001            NaN            NaN
  1285.13        500.000                 NaN   99.2734                 NaN  0.131550       0.324641                 NaN  0.238226       0.321786E-001            NaN            NaN
  1283.74        500.000                 NaN   99.2849                 NaN  0.128812       0.320705                 NaN  0.234157       0.314632E-001            NaN            NaN
  1282.34        500.000                 NaN   99.2939                 NaN  0.127205       0.316687                 NaN  0.231267       0.309296E-001            NaN            NaN
  1280.94        500.000                 NaN   99.3040                 NaN  0.125068       0.312735                 NaN  0.227860       0.303321E-001            NaN            NaN
  1279.54        500.000                 NaN   99.3141                 NaN  0.123050       0.308565                 NaN  0.224517       0.297591E-001            NaN            NaN
  1278.15        500.000                 NaN   99.3227                 NaN  0.121714       0.304830                 NaN  0.221570       0.292085E-001            NaN            NaN
  1276.75        500.000                 NaN   99.3324                 NaN  0.120039       0.300511                 NaN  0.218344       0.286575E-001            NaN            NaN
  1275.35        500.000                 NaN   99.3415                 NaN  0.118204       0.296843                 NaN  0.215287       0.281219E-001            NaN            NaN
  1273.95        500.000                 NaN   99.3507                 NaN  0.116300       0.293185                 NaN  0.212198       0.275905E-001            NaN            NaN
  1272.56        500.000                 NaN   99.3587                 NaN  0.114633       0.290143                 NaN  0.209474       0.270900E-001            NaN            NaN
  1271.16        500.000                 NaN   99.3688                 NaN  0.112610       0.285976                 NaN  0.206050       0.265144E-001            NaN            NaN
  1269.76        500.000                 NaN   99.3773                 NaN  0.110878       0.282575                 NaN  0.203195       0.260276E-001            NaN            NaN
  1268.36        500.000                 NaN   99.3916                 NaN  0.114155       0.264935                 NaN  0.202988       0.262728E-001            NaN            NaN
  1266.96        500.000                 NaN   99.3945                 NaN  0.103416       0.284109                 NaN  0.193483       0.244440E-001            NaN            NaN
  1265.57        500.000                 NaN   99.4031                 NaN  0.105818       0.271931                 NaN  0.194599       0.245757E-001            NaN            NaN
  1264.17        500.000                 NaN   94.2980                 NaN  0.364378        1.04593                 NaN  0.785330       0.129695        3.37664                 NaN
  1262.77        500.000                 NaN   94.0276                 NaN  0.370381        1.08370                 NaN  0.810863       0.133722        3.57368                 NaN
  1261.37        500.000                 NaN   94.4206                 NaN  0.344297        1.02196                 NaN  0.760314       0.124059        3.32879                 NaN
  1259.98        500.000                 NaN   94.7832                 NaN  0.319961       0.962975                 NaN  0.712973       0.115416        3.10550                 NaN
  1258.58        500.000                 NaN   95.1045                 NaN  0.297038       0.911223                 NaN  0.670883       0.107615        2.90872                 NaN
  1257.18        500.000                 NaN   95.3468                 NaN  0.281238       0.869474                 NaN  0.639474       0.101725        2.76131                 NaN
  1255.78        500.000                 NaN   95.6893                 NaN  0.261033       0.807209                 NaN  0.593898       0.936587E-001   2.55485                 NaN
  1254.38        500.000                 NaN   95.8497                 NaN  0.246359       0.792813                 NaN  0.571771       0.892559E-001   2.45008                 NaN
  1252.99        500.000                 NaN   96.0668                 NaN  0.234090       0.749088                 NaN  0.543098       0.841262E-001   2.32283                 NaN
  1251.59        500.000                 NaN   96.2615                 NaN  0.220861       0.715442                 NaN  0.516672       0.793986E-001   2.20617                 NaN
  1250.19        500.000                 NaN   96.4351                 NaN  0.210562       0.683919                 NaN  0.493232       0.751181E-001   2.10209                 NaN
  1248.79        500.000                 NaN   96.5938                 NaN  0.199627       0.656869                 NaN  0.471248       0.711589E-001   2.00729                 NaN
  1247.40        500.000                 NaN   96.7419                 NaN  0.189941       0.630703                 NaN  0.450773       0.674813E-001   1.91919                 NaN
  1246.00        500.000                 NaN   96.8792                 NaN  0.182396       0.604245                 NaN  0.431754       0.641225E-001   1.83825                 NaN
  1244.60        500.000                 NaN   97.0096                 NaN  0.172205       0.582793                 NaN  0.413363       0.607982E-001   1.76129                 NaN
  1243.20        500.000                 NaN   97.1272                 NaN  0.164907       0.561405                 NaN  0.396780       0.578365E-001   1.69184                 NaN
  1241.81        500.000                 NaN   97.2393                 NaN  0.158024       0.540419                 NaN  0.380782       0.550036E-001   1.62645                 NaN
  1240.41        500.000                 NaN   97.3417                 NaN  0.151225       0.522305                 NaN  0.366163       0.524029E-001   1.56622                 NaN
  1239.01        500.000                 NaN   97.4449                 NaN  0.145249       0.501933                 NaN  0.351346       0.498899E-001   1.50664                 NaN
  1237.61        500.000                 NaN   97.5373                 NaN  0.139363       0.484681                 NaN  0.337901       0.475456E-001   1.45316                 NaN
  1236.21        500.000                 NaN   97.6277                 NaN  0.132816       0.468337                 NaN  0.324808       0.452350E-001   1.40112                 NaN
  1234.82        500.000                 NaN   97.7087                 NaN  0.128768       0.452393                 NaN  0.312911       0.432317E-001   1.35400                 NaN
  1233.42        500.000                 NaN   97.7889                 NaN  0.123625       0.436769                 NaN  0.301144       0.412019E-001   1.30838                 NaN
