|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.75/WD94/WD94_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1634.62        2500.00        99.5449                 NaN  0.321903       0.133220                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.03        2500.00        99.0182                 NaN  0.856740       0.125019                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.44        2500.00        99.0309                 NaN  0.845931       0.123211                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.85        2500.00        98.1317                 NaN   1.63221       0.236085                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.26        2500.00        99.9513                 NaN  0.316172E-001  0.156188E-001  0.144450E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.67        2500.00        96.4287                 NaN   3.08582       0.482188       0.331370E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00       100.0000                 NaN            NaN  0.408156E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.90        2500.00        99.9614                 NaN  0.307226E-001  0.792278E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.31        2500.00        99.1402                 NaN  0.754273       0.105508                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.71        2500.00        99.1106                 NaN  0.777820       0.111568                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.12        2500.00        99.1264                 NaN  0.765575       0.108023                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.53        2500.00        99.1330                 NaN  0.759741       0.107242                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00        99.1421                 NaN  0.752298       0.105602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.35        2500.00        99.1518                 NaN  0.743888       0.104269                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.76        2500.00        99.1608                 NaN  0.736305       0.102928                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.17        2500.00        99.1650                 NaN  0.734074       0.100972                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00        99.1794                 NaN  0.721165       0.993960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.99        2500.00        99.1866                 NaN  0.714982       0.984415E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.40        2500.00        99.1922                 NaN  0.710994       0.968188E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.81        2500.00        99.1287                 NaN  0.768899       0.102433                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00        99.2832                 NaN  0.631386       0.854120E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.63        2500.00        99.9295                 NaN            NaN  0.704912E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.04        2500.00        98.3479                 NaN   1.42651       0.225578                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.45        2500.00        99.3994                 NaN  0.600606                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.86        2500.00        99.2423                 NaN  0.695512       0.622117E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.27        2500.00        99.2490                 NaN  0.661753       0.892971E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.68        2500.00        99.2564                 NaN  0.657049       0.865939E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.09        2500.00        99.2628                 NaN  0.652290       0.849191E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00        99.2695                 NaN  0.646701       0.837954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.90        2500.00        99.2761                 NaN  0.641359       0.825145E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00        99.2834                 NaN  0.634676       0.819143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.72        2500.00        99.2884                 NaN  0.631825       0.798158E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00        99.2969                 NaN  0.623620       0.794324E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.54        2500.00        99.3008                 NaN  0.622642       0.765472E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.3090                 NaN  0.612634       0.783634E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.36        2500.00        99.3197                 NaN  0.604081       0.762016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        2500.00        99.3192                 NaN  0.606618       0.741519E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.18        2500.00        99.3271                 NaN  0.601237       0.716747E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.59        2500.00        99.3352                 NaN  0.592055       0.727298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.00        2500.00        99.3393                 NaN  0.589297       0.714337E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        2500.00        99.3436                 NaN  0.586490       0.698725E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
