|6.6.6
Archiving\03_Data\Deqfrac/QFM_m2.75/WD94/WD94_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       melt(TH)       Opx(TH)        O(HP)          Sp(TH)         Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1634.62        2500.00        99.4874                 NaN  0.359345       0.153250                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1633.03        2500.00        98.9002                 NaN  0.955992       0.143790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1631.44        2500.00        98.9140                 NaN  0.944237       0.141790                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1629.85        2500.00        97.9072                 NaN   1.82119       0.271625                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1628.26        2500.00        99.9444                 NaN  0.353545E-001  0.180013E-001  0.221621E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1626.67        2500.00        95.9972                 NaN   3.44209       0.555680       0.507338E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1625.08        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1623.49        2500.00       100.0000                 NaN            NaN  0.471856E-004            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1621.90        2500.00        99.9565                 NaN  0.343923E-001  0.915212E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1620.31        2500.00        99.0346                 NaN  0.843607       0.121796                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1618.71        2500.00        99.0011                 NaN  0.870085       0.128831                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1617.12        2500.00        99.0184                 NaN  0.856793       0.124830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1615.53        2500.00        99.0258                 NaN  0.850290       0.123946                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1613.94        2500.00        99.0355                 NaN  0.842355       0.122120                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1612.35        2500.00        99.0462                 NaN  0.833159       0.120632                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1610.76        2500.00        99.0560                 NaN  0.824867       0.119128                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1609.17        2500.00        99.0604                 NaN  0.822667       0.116927                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.58        2500.00        99.0765                 NaN  0.808384       0.115161                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.99        2500.00        99.0842                 NaN  0.801676       0.114097                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.40        2500.00        99.0902                 NaN  0.797528       0.112285                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.81        2500.00        99.0189                 NaN  0.862325       0.118738                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.22        2500.00        99.1923                 NaN  0.708570       0.991249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.63        2500.00        99.9181                 NaN            NaN  0.819252E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.04        2500.00        98.1378                 NaN   1.60014       0.262081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.45        2500.00        99.3252                 NaN  0.674750                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1594.86        2500.00        99.1463                 NaN  0.781412       0.723375E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.27        2500.00        99.1524                 NaN  0.743774       0.103875                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.68        2500.00        99.1607                 NaN  0.738558       0.100762                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.09        2500.00        99.1678                 NaN  0.733381       0.988619E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00        99.1750                 NaN  0.727396       0.976182E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.90        2500.00        99.1823                 NaN  0.721527       0.961615E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00        99.1902                 NaN  0.714254       0.955097E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.72        2500.00        99.1956                 NaN  0.711238       0.931139E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.13        2500.00        99.2051                 NaN  0.702223       0.926884E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.54        2500.00        99.2093                 NaN  0.701275       0.893806E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.95        2500.00        99.2184                 NaN  0.690059       0.915115E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.36        2500.00        99.2302                 NaN  0.680784       0.890504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.77        2500.00        99.2296                 NaN  0.683676       0.866833E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.18        2500.00        99.2383                 NaN  0.677900       0.838197E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.59        2500.00        99.2471                 NaN  0.667824       0.851198E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1571.00        2500.00        99.2515                 NaN  0.664888       0.836416E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.41        2500.00        99.2561                 NaN  0.661998       0.818762E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.82        2500.00        99.2640                 NaN  0.655315       0.806583E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.23        2500.00        99.2700                 NaN  0.649156       0.808242E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.64        2500.00        99.2783                 NaN  0.642276       0.794641E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.05        2500.00        99.2814                 NaN  0.642099       0.765016E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.46        2500.00        99.2874                 NaN  0.636374       0.762695E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1559.87        2500.00        99.2925                 NaN  0.633156       0.743630E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.27        2500.00        99.2993                 NaN  0.626445       0.742076E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1556.68        2500.00        99.3628                 NaN  0.570220       0.669497E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.09        2500.00        99.2506                 NaN  0.672800       0.765888E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1553.50        2500.00        99.3143                 NaN  0.615552       0.701542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.91        2500.00        99.3183                 NaN  0.614560       0.671686E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1550.32        2500.00        99.3239                 NaN  0.609227       0.669053E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.73        2500.00        99.9985                 NaN            NaN  0.150056E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1547.14        2500.00        98.6665                 NaN   1.20622       0.127267                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.55        2500.00        99.3394                 NaN  0.596270       0.643289E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.96        2500.00        99.3436                 NaN  0.594493       0.619154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.37        2500.00        99.3477                 NaN  0.591375       0.608945E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.78        2500.00        99.3530                 NaN  0.586163       0.607963E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.19        2500.00        99.3518                 NaN  0.591169       0.570185E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.60        2500.00        99.3674                 NaN  0.573654       0.589549E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.01        2500.00        99.3666                 NaN  0.576056       0.573499E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.42        2500.00        99.3701                 NaN  0.573722       0.562229E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.83        2500.00        99.3733                 NaN  0.572898       0.537954E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1531.24        2500.00        99.3805                 NaN  0.565349       0.541333E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.65        2500.00        99.3803                 NaN  0.567712       0.520204E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1528.05        2500.00        99.3889                 NaN  0.558874       0.521962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.46        2500.00        99.3903                 NaN  0.559531       0.502015E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
