|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/TIS/TIS_1.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        iron           Sp(TH)         an             San(TH)        Opx(TH)        ilm            O(HP)          ne             lc            
  1487.18        2500.00        99.9457       0.469104E-001  0.348718E-002  0.393936E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.0960       0.588924       0.289518       0.255258E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.1112       0.555038       0.310423       0.233364E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.1077       0.309841       0.558979       0.234705E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.1142       0.554193       0.308358       0.232239E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.3650       0.374733       0.244688       0.155870E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        98.8860       0.719796       0.364275       0.299542E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.1354       0.301818       0.540468       0.222787E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.1064       0.558264       0.312695       0.225933E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.9392       0.384152E-001  0.208051E-001  0.161819E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        98.4045       0.996303       0.559075       0.401246E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.1631       0.294353       0.521511       0.210064E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.1532       0.297653       0.528034       0.210984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.1893       0.285513       0.505114       0.200249E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.1809       0.288632       0.510275       0.201666E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.1868       0.506116       0.287193       0.199131E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.1349       0.538929       0.305014       0.211078E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.2571       0.462458       0.262564       0.178842E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.2047       0.281186       0.495128       0.190233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.2102       0.279447       0.491622       0.187476E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.1410       0.304053       0.534859       0.200684E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.2959       0.250003       0.437359       0.163025E-001  0.486054E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.32        2500.00        99.2275       0.273671       0.480852       0.180090E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.2329       0.477276       0.272089       0.176924E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.1596       0.298507       0.522696       0.192132E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.3218       0.421853       0.240943       0.154272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        99.2474       0.468184       0.267519       0.169156E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.2546       0.265122       0.463684       0.165983E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.99        2500.00        99.2227       0.483952       0.276059       0.172536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00        97.6732       0.819713       0.727952       0.996304E-001            NaN  0.679471                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.55        2500.00        97.5253       0.761476       0.871885       0.106246                 NaN  0.735107                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        97.5948       0.739716       0.847974       0.102885                 NaN  0.714585                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.11        2500.00        97.1581       0.876119        1.00051       0.121762                 NaN  0.843476                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.89        2500.00        98.2270       0.545290       0.625360       0.751622E-001            NaN  0.527172                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.67        2500.00        99.3467       0.217353       0.218610       0.287848E-001            NaN  0.188547                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.44        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.22        2500.00        93.7455        1.91612        2.21616       0.260358                 NaN   1.86191                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.00        2500.00        99.9378       0.191825E-001  0.218378E-001  0.257437E-002            NaN  0.186333E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1440.78        2500.00        96.5398        1.06153        1.22562       0.143370                 NaN   1.02963                 NaN            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00        98.0404       0.694352       0.601066       0.808792E-001            NaN  0.583330                 NaN            NaN            NaN            NaN            NaN            NaN
