|6.6.6
Archiving\03_Data\eqfrac/QFM_m5/TIS/TIS_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        iron           Sp(TH)         an             San(TH)        Opx(TH)        ilm            O(HP)          ne             lc            
  1487.18        2500.00        99.9548       0.407272E-001  0.300966E-002  0.147668E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.96        2500.00        99.2286       0.511760       0.250095       0.957704E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.74        2500.00        99.2413       0.482021       0.267948       0.875240E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1483.52        2500.00        99.2387       0.267292       0.485221       0.879971E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.30        2500.00        99.2446       0.480859       0.265873       0.870417E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1481.07        2500.00        99.4584       0.324957       0.210847       0.583827E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1479.85        2500.00        99.0507       0.624198       0.313863       0.112228E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1478.63        2500.00        99.2636       0.259813       0.468294       0.834101E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00        99.2391       0.483438       0.268987       0.845610E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1476.19        2500.00        99.9483       0.332276E-001  0.178735E-001  0.604885E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1474.97        2500.00        98.6410       0.862965       0.480984       0.150233E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1473.75        2500.00        99.2883       0.252815       0.451004       0.785346E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1472.53        2500.00        99.2802       0.255509       0.456425       0.788515E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1471.31        2500.00        99.3112       0.244925       0.436383       0.748099E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1470.09        2500.00        99.3043       0.247482       0.440660       0.753141E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1468.86        2500.00        99.3096       0.436880       0.246103       0.743409E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1467.64        2500.00        99.2659       0.465020       0.261252       0.787775E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1466.42        2500.00        99.3699       0.398753       0.224723       0.667124E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1465.20        2500.00        99.3256       0.240542       0.426757       0.709426E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1463.98        2500.00        99.3306       0.238912       0.423527       0.698893E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1462.76        2500.00        99.2722       0.259802       0.460534       0.747923E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1461.54        2500.00        99.4038       0.213449       0.376335       0.607238E-002  0.320392E-003            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.32        2500.00        99.3460       0.233586       0.413678       0.670634E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1459.10        2500.00        99.3509       0.410374       0.232091       0.658608E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1457.88        2500.00        99.2891       0.254497       0.449233       0.715024E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.65        2500.00        99.4267       0.362331       0.205253       0.573804E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1455.43        2500.00        99.3640       0.401964       0.227776       0.629012E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.21        2500.00        99.3703       0.225610       0.397901       0.616989E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1452.99        2500.00        99.3437       0.415119       0.234809       0.641143E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.77        2500.00        97.9411       0.697473       0.624713       0.370435E-001            NaN  0.699650                 NaN            NaN            NaN            NaN            NaN            NaN
  1450.55        2500.00        97.8103       0.652880       0.741085       0.394692E-001            NaN  0.756312                 NaN            NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00        97.8740       0.633497       0.719882       0.381788E-001            NaN  0.734418                 NaN            NaN            NaN            NaN            NaN            NaN
  1448.11        2500.00        97.4899       0.749893       0.848747       0.451517E-001            NaN  0.866303                 NaN            NaN            NaN            NaN            NaN            NaN
  1446.89        2500.00        98.4369       0.465654       0.529267       0.278140E-001            NaN  0.540338                 NaN            NaN            NaN            NaN            NaN            NaN
  1445.67        2500.00        99.4261       0.185521       0.184835       0.106345E-001            NaN  0.192947                 NaN            NaN            NaN            NaN            NaN            NaN
  1444.44        2500.00        100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1443.22        2500.00        94.4719        1.63971        1.87881       0.965672E-001            NaN   1.91298                 NaN            NaN            NaN            NaN            NaN            NaN
  1442.00        2500.00        99.9454       0.162852E-001  0.183587E-001  0.947547E-003            NaN  0.189988E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1440.78        2500.00        96.9573       0.903660        1.03360       0.529032E-001            NaN   1.05251                 NaN            NaN            NaN            NaN            NaN            NaN
