|6.6.6
Archiving\03_Data\DeqfracLP/QFM_m5/T13/T13_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        iron           O(HP)          Cpx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            q             
  1608.97        500.000       0.394138E-002   99.4295       0.565385       0.121767E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1607.44        500.000                 NaN   98.9193        1.07174       0.891659E-002  0.107119E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1605.92        500.000                 NaN   98.9233       0.976899       0.129249E-001  0.868916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1604.39        500.000                 NaN   98.9628        1.03371       0.343821E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1602.87        500.000                 NaN   98.9468        1.02236                 NaN  0.308361E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1601.34        500.000                 NaN   98.9836        1.01641                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1599.81        500.000                 NaN   98.9896       0.997456                 NaN  0.129883E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1598.29        500.000                 NaN   98.9973       0.965831                 NaN  0.368219E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1596.76        500.000                 NaN   99.0100       0.952444                 NaN  0.375994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1595.23        500.000                 NaN   99.0181       0.947332                 NaN  0.345362E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1593.71        500.000                 NaN   99.0301       0.935021                 NaN  0.348370E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1592.18        500.000                 NaN   99.0379       0.928983                 NaN  0.330962E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1590.66        500.000                 NaN   99.0439       0.927196                 NaN  0.288851E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.13        500.000                 NaN   99.0597       0.910630                 NaN  0.296920E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.60        500.000                 NaN   99.0705       0.899912                 NaN  0.295891E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.08        500.000                 NaN   99.0803       0.890595                 NaN  0.291353E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.55        500.000                 NaN   99.0871       0.884141                 NaN  0.287203E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.02        500.000                 NaN   99.0977       0.874903                 NaN  0.274279E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
