|6.6.6
Archiving\03_Data\eq/QFM_m2.5/WD94/WD94_3.tab                             
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         melt(TH)       mang           O(HP)          pxmn           Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an             San(TH)        ab            
  2000.00        2500.00        99.7266       0.273383                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.7266       0.273402                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.7266       0.273421                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.7266       0.273440                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.7265       0.273459                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.7265       0.273478                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.7265       0.273497                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.7265       0.273516                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.7265       0.273535                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.7264       0.273554                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.7264       0.273573                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.7264       0.273592                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.7264       0.273612                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.7264       0.273631                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.7263       0.273650                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.7263       0.273670                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.7263       0.273689                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.7263       0.273708                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.7263       0.273728                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.7263       0.273747                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.7262       0.273767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.7262       0.273786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.7262       0.273806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.7262       0.273825                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.7262       0.273845                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.7261       0.273865                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.7261       0.273884                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.7261       0.273904                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.7261       0.273924                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.7261       0.273944                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.7260       0.273964                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.1787       0.274075       0.547239                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        98.4137       0.274224        1.31204                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        97.6564       0.274370        2.06923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        96.7437       0.250797        2.94426       0.612033E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        94.2818                 NaN   5.00947       0.708767                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        93.5543                 NaN   5.73651       0.709165                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        92.8412                 NaN   6.44924       0.709557                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        92.1273                 NaN   7.16271       0.709948                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        91.4127                 NaN   7.87693       0.710338                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        90.6974                 NaN   8.59189       0.710727                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        90.0009                 NaN   9.28610       0.711109       0.190946E-002            NaN            NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        89.2983                 NaN   9.97642       0.711503       0.138002E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        88.6036                 NaN   10.6590       0.711894       0.254930E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        87.9083                 NaN   11.3422       0.712283       0.371987E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        87.2257                 NaN   12.0131       0.712668       0.485244E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        86.5424                 NaN   12.6847       0.713052       0.598623E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        85.8584                 NaN   13.3570       0.713434       0.712125E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        85.1737                 NaN   14.0299       0.713816       0.825748E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        84.5217                 NaN   14.6709       0.714184       0.932444E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        83.8691                 NaN   15.3124       0.714551       0.103925                 NaN            NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        83.2159                 NaN   15.9546       0.714916       0.114616                 NaN            NaN            NaN            NaN            NaN            NaN
  1833.33        2500.00        82.5621                 NaN   16.5973       0.715281       0.125319                 NaN            NaN            NaN            NaN            NaN            NaN
  1830.13        2500.00        81.9077                 NaN   17.2406       0.715644       0.136032                 NaN            NaN            NaN            NaN            NaN            NaN
  1826.92        2500.00        81.2527                 NaN   17.8846       0.716006       0.146755                 NaN            NaN            NaN            NaN            NaN            NaN
  1823.72        2500.00        80.5970                 NaN   18.5291       0.716367       0.157490                 NaN            NaN            NaN            NaN            NaN            NaN
  1820.51        2500.00        79.9408                 NaN   19.1742       0.716726       0.168235                 NaN            NaN            NaN            NaN            NaN            NaN
  1817.31        2500.00        79.3189                 NaN   19.7859       0.717072       0.178116                 NaN            NaN            NaN            NaN            NaN            NaN
  1814.10        2500.00        78.6964                 NaN   20.3982       0.717417       0.188008                 NaN            NaN            NaN            NaN            NaN            NaN
  1810.90        2500.00        78.0734                 NaN   21.0109       0.717760       0.197908                 NaN            NaN            NaN            NaN            NaN            NaN
  1807.69        2500.00        77.4499                 NaN   21.6242       0.718102       0.207818                 NaN            NaN            NaN            NaN            NaN            NaN
  1804.49        2500.00        76.8258                 NaN   22.2380       0.718443       0.217736                 NaN            NaN            NaN            NaN            NaN            NaN
  1801.28        2500.00        76.2013                 NaN   22.8523       0.718782       0.227664                 NaN            NaN            NaN            NaN            NaN            NaN
  1798.08        2500.00        75.5762                 NaN   23.4671       0.719120       0.237601                 NaN            NaN            NaN            NaN            NaN            NaN
  1794.87        2500.00        74.9506                 NaN   24.0824       0.719457       0.247546                 NaN            NaN            NaN            NaN            NaN            NaN
  1791.67        2500.00        74.3551                 NaN   24.6684       0.719781       0.256661                 NaN            NaN            NaN            NaN            NaN            NaN
  1788.46        2500.00        73.7592                 NaN   25.2550       0.720103       0.265782                 NaN            NaN            NaN            NaN            NaN            NaN
  1785.26        2500.00        73.1627                 NaN   25.8419       0.720424       0.274912                 NaN            NaN            NaN            NaN            NaN            NaN
  1782.05        2500.00        72.5659                 NaN   26.4293       0.720744       0.284049                 NaN            NaN            NaN            NaN            NaN            NaN
  1778.85        2500.00        71.9686                 NaN   27.0172       0.721062       0.293194                 NaN            NaN            NaN            NaN            NaN            NaN
  1775.64        2500.00        71.3708                 NaN   27.6054       0.721379       0.302347                 NaN            NaN            NaN            NaN            NaN            NaN
  1772.44        2500.00        70.7726                 NaN   28.1942       0.721694       0.311507                 NaN            NaN            NaN            NaN            NaN            NaN
  1769.23        2500.00        70.1740                 NaN   28.7833       0.722008       0.320674                 NaN            NaN            NaN            NaN            NaN            NaN
  1766.03        2500.00        69.6032                 NaN   29.3453       0.722310       0.329144                 NaN            NaN            NaN            NaN            NaN            NaN
  1762.82        2500.00        69.0321                 NaN   29.9077       0.722609       0.337621                 NaN            NaN            NaN            NaN            NaN            NaN
  1759.62        2500.00        68.4605                 NaN   30.4705       0.722908       0.346103                 NaN            NaN            NaN            NaN            NaN            NaN
  1756.41        2500.00        67.8886                 NaN   31.0336       0.723205       0.354593                 NaN            NaN            NaN            NaN            NaN            NaN
  1753.21        2500.00        67.3163                 NaN   31.5971       0.723500       0.363088                 NaN            NaN            NaN            NaN            NaN            NaN
  1750.00        2500.00        66.7436                 NaN   32.1610       0.723795       0.371590                 NaN            NaN            NaN            NaN            NaN            NaN
  1746.79        2500.00        66.1706                 NaN   32.7252       0.724087       0.380097                 NaN            NaN            NaN            NaN            NaN            NaN
