|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/KHA22/KHA22_1.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1589.74        2500.00       0.282177E-002   99.9784       0.144585E-001  0.430704E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00                 NaN   99.5051       0.494945                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00                 NaN   99.3079       0.628861       0.632625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00                 NaN   99.3134       0.620286       0.663036E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00                 NaN   99.3189       0.617638       0.634424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00                 NaN   99.3252       0.613610       0.611914E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00                 NaN   99.3315       0.603521       0.650183E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00                 NaN   99.3365       0.602014       0.615041E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00                 NaN   99.3254       0.612320       0.622570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN   99.3652       0.576964       0.578610E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00                 NaN   99.3535       0.587696       0.588260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00                 NaN   99.3555       0.586800       0.577308E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00                 NaN   99.3657       0.578152       0.561265E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00                 NaN   99.5945       0.370414       0.351123E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00                 NaN   99.1481       0.774387       0.774984E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00                 NaN   99.3852       0.559090       0.557201E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00                 NaN   99.3843       0.563387       0.523172E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00                 NaN   99.3910       0.556156       0.527988E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00                 NaN   99.3957       0.551911       0.524200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00                 NaN   99.3958       0.554476       0.497286E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00                 NaN   99.4099       0.538736       0.513175E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00                 NaN   99.4083       0.542325       0.493516E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00                 NaN   99.4146       0.536249       0.491426E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN   99.4206       0.531322       0.480378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00                 NaN   99.4116       0.540327       0.480393E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.4412       0.511913       0.468679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00                 NaN   99.4327       0.519551       0.477013E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.83        2500.00                 NaN   99.4391       0.515598       0.452563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.35        2500.00                 NaN   99.4423       0.512753       0.449951E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00                 NaN   99.7713       0.211121       0.176195E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00                 NaN   99.1218       0.811222       0.669502E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.92        2500.00                 NaN   99.4555       0.498763       0.457526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.44        2500.00                 NaN   99.4597       0.499783       0.405570E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.96        2500.00                 NaN   99.4608       0.498496       0.407504E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.49        2500.00                 NaN   99.4630       0.498258       0.387418E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1538.01        2500.00                 NaN   99.4682       0.494421       0.373940E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.53        2500.00                 NaN   99.4201       0.535658       0.442679E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1535.05        2500.00                 NaN   99.5339       0.432493       0.335910E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.57        2500.00                 NaN   99.4093       0.563798       0.269105E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.10        2500.00                 NaN   99.1365       0.785357       0.781624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.62        2500.00                 NaN   99.7791       0.206069       0.147994E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.14        2500.00                 NaN   99.8889       0.983462E-001  0.127260E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.66        2500.00                 NaN   99.2280       0.725586       0.463750E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.18        2500.00                 NaN   99.4856       0.484157       0.302354E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.71        2500.00                 NaN   99.5144       0.450633       0.349783E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.23        2500.00                 NaN   99.6511       0.326613       0.222691E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.75        2500.00                 NaN   99.3601       0.600105       0.398241E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.27        2500.00                 NaN   99.5115       0.457616       0.309003E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.79        2500.00                 NaN   99.3567       0.608845       0.344706E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.32        2500.00                 NaN   99.7962       0.190905       0.128736E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.84        2500.00                 NaN   99.3963       0.565710       0.379739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.36        2500.00                 NaN   99.1709       0.782301       0.468226E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.88        2500.00                 NaN   99.8094       0.179429       0.111456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.40        2500.00                 NaN   99.8162       0.173488       0.102739E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.93        2500.00                 NaN   99.3168       0.646263       0.369653E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.45        2500.00                 NaN   99.5345       0.441222       0.243268E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.97        2500.00                 NaN   99.5391       0.414396       0.465094E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.49        2500.00                 NaN   99.4306       0.701128E-001  0.204877E-002  0.497243                 NaN            NaN            NaN            NaN            NaN            NaN
  1504.01        2500.00                 NaN   98.3716                 NaN  0.185700        1.44269                 NaN            NaN            NaN            NaN            NaN            NaN
  1502.54        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1501.06        2500.00                 NaN   99.7383       0.457282E-001            NaN  0.215971                 NaN            NaN            NaN            NaN            NaN            NaN
  1499.58        2500.00                 NaN   99.8658       0.381177E-001            NaN  0.960465E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1498.10        2500.00                 NaN   99.2020                 NaN            NaN  0.797963                 NaN            NaN            NaN            NaN            NaN            NaN
  1496.62        2500.00                 NaN   99.4194       0.619780E-001            NaN  0.518595                 NaN            NaN            NaN            NaN            NaN            NaN
  1495.15        2500.00                 NaN   99.4165                 NaN            NaN  0.583494                 NaN            NaN            NaN            NaN            NaN            NaN
  1493.67        2500.00                 NaN   99.4162                 NaN            NaN  0.583831                 NaN            NaN            NaN            NaN            NaN            NaN
  1492.19        2500.00                 NaN   99.4162       0.843244E-001            NaN  0.499427                 NaN            NaN            NaN            NaN            NaN            NaN
  1490.71        2500.00                 NaN   98.8677                 NaN  0.387766E-005   1.13234                 NaN            NaN            NaN            NaN            NaN            NaN
  1489.23        2500.00                 NaN   99.9743                 NaN            NaN  0.257068E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1487.75        2500.00                 NaN   99.4188                 NaN            NaN  0.581249                 NaN            NaN            NaN            NaN            NaN            NaN
  1486.28        2500.00                 NaN   99.4111                 NaN            NaN  0.588911                 NaN            NaN            NaN            NaN            NaN            NaN
  1484.80        2500.00                 NaN   99.4065                 NaN            NaN  0.593483                 NaN            NaN            NaN            NaN            NaN            NaN
  1483.32        2500.00                 NaN   99.3873                 NaN            NaN  0.592933       0.197551E-001            NaN            NaN            NaN            NaN            NaN
  1481.84        2500.00                 NaN   99.1252                 NaN            NaN  0.515511       0.359285                 NaN            NaN            NaN            NaN            NaN
  1480.36        2500.00                 NaN   99.1247                 NaN            NaN  0.358660       0.516675                 NaN            NaN            NaN            NaN            NaN
  1478.89        2500.00                 NaN   99.1324                 NaN            NaN  0.512519       0.355102                 NaN            NaN            NaN            NaN            NaN
  1477.41        2500.00                 NaN   99.1394                 NaN            NaN  0.508075       0.352522                 NaN            NaN            NaN            NaN            NaN
  1475.93        2500.00                 NaN   99.1481                 NaN            NaN  0.348726       0.503202                 NaN            NaN            NaN            NaN            NaN
  1474.45        2500.00                 NaN   99.1557                 NaN            NaN  0.499221       0.345128                 NaN            NaN            NaN            NaN            NaN
  1472.97        2500.00                 NaN   99.1620                 NaN            NaN  0.342905       0.495095                 NaN            NaN            NaN            NaN            NaN
  1471.50        2500.00                 NaN   99.1695                 NaN            NaN  0.339600       0.490879                 NaN            NaN            NaN            NaN            NaN
  1470.02        2500.00                 NaN   99.1762                 NaN            NaN  0.486921       0.336860                 NaN            NaN            NaN            NaN            NaN
  1468.54        2500.00                 NaN   99.9496                 NaN            NaN  0.121115E-003  0.503234E-001            NaN            NaN            NaN            NaN            NaN
  1467.06        2500.00                 NaN   98.4268                 NaN            NaN  0.612975       0.960248                 NaN            NaN            NaN            NaN            NaN
  1465.58        2500.00                 NaN   98.7305                 NaN            NaN  0.757125       0.512395                 NaN            NaN            NaN            NaN            NaN
  1464.11        2500.00                 NaN   99.9012       0.198454E-001            NaN  0.197640E-001  0.591909E-001            NaN            NaN            NaN            NaN            NaN
  1462.63        2500.00                 NaN   98.9823                 NaN            NaN  0.602878       0.414834                 NaN            NaN            NaN            NaN            NaN
  1461.15        2500.00                 NaN   99.2169                 NaN            NaN  0.319248       0.463902                 NaN            NaN            NaN            NaN            NaN
  1459.67        2500.00                 NaN   99.2200                 NaN            NaN  0.463467       0.316523                 NaN            NaN            NaN            NaN            NaN
  1458.19        2500.00                 NaN   99.2321                 NaN            NaN  0.455310       0.312578                 NaN            NaN            NaN            NaN            NaN
  1456.72        2500.00                 NaN   99.2348                 NaN            NaN  0.309851       0.455352                 NaN            NaN            NaN            NaN            NaN
  1455.24        2500.00                 NaN   99.2398                 NaN            NaN  0.451847       0.308308                 NaN            NaN            NaN            NaN            NaN
  1453.76        2500.00                 NaN   99.2492                 NaN            NaN  0.445953       0.304809                 NaN            NaN            NaN            NaN            NaN
  1452.28        2500.00                 NaN   99.2522                 NaN            NaN  0.302766       0.445002                 NaN            NaN            NaN            NaN            NaN
  1450.80        2500.00                 NaN   99.2555                 NaN            NaN  0.300798       0.443697                 NaN            NaN            NaN            NaN            NaN
  1449.33        2500.00                 NaN   99.2665                 NaN            NaN  0.437039       0.296440                 NaN            NaN            NaN            NaN            NaN
  1447.85        2500.00                 NaN   99.2694                 NaN            NaN  0.294263       0.436317                 NaN            NaN            NaN            NaN            NaN
  1446.37        2500.00                 NaN   99.2576                 NaN            NaN  0.441271       0.301121                 NaN            NaN            NaN            NaN            NaN
  1444.89        2500.00                 NaN   99.3003                 NaN            NaN  0.419930       0.279736                 NaN            NaN            NaN            NaN            NaN
  1443.41        2500.00                 NaN   99.2859                 NaN            NaN  0.426712       0.287403                 NaN            NaN            NaN            NaN            NaN
  1441.94        2500.00                 NaN   99.2897                 NaN            NaN  0.424886       0.285419                 NaN            NaN            NaN            NaN            NaN
  1440.46        2500.00                 NaN   99.2977                 NaN            NaN  0.282159       0.420121                 NaN            NaN            NaN            NaN            NaN
