|6.6.6
Archiving\03_Data\eqfrac/QFM_m3.5/KHA22/KHA22_3.tab                       
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          13
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        ilm            ne             lc            
  1589.74        2500.00       0.180357E-002   99.9820       0.125420E-001  0.365966E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.26        2500.00                 NaN   99.5704       0.429634                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1586.78        2500.00                 NaN   99.4004       0.545778       0.537801E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.31        2500.00                 NaN   99.4055       0.538124       0.563378E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1583.83        2500.00                 NaN   99.4104       0.535729       0.538864E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.35        2500.00                 NaN   99.4160       0.531999       0.519526E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1580.87        2500.00                 NaN   99.4217       0.523093       0.551766E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.39        2500.00                 NaN   99.4262       0.521645       0.521659E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1577.92        2500.00                 NaN   99.4169       0.530364       0.527804E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.44        2500.00                 NaN   99.4513       0.499622       0.490373E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1574.96        2500.00                 NaN   99.4414       0.508727       0.498351E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.48        2500.00                 NaN   99.4433       0.507858       0.488911E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.00        2500.00                 NaN   99.4523       0.500182       0.475025E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.53        2500.00                 NaN   99.6499       0.320373       0.297038E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.05        2500.00                 NaN   99.2648       0.669664       0.655625E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.57        2500.00                 NaN   99.4698       0.483145       0.470970E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.09        2500.00                 NaN   99.4690       0.486801       0.441903E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.61        2500.00                 NaN   99.4750       0.480382       0.445960E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.14        2500.00                 NaN   99.4792       0.476566       0.442561E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.66        2500.00                 NaN   99.4794       0.478624       0.419675E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.18        2500.00                 NaN   99.4918       0.464872       0.432828E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.70        2500.00                 NaN   99.4906       0.467834       0.416073E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.22        2500.00                 NaN   99.4960       0.462568       0.414411E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.74        2500.00                 NaN   99.5015       0.458038       0.404623E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.27        2500.00                 NaN   99.4939       0.465691       0.404567E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.79        2500.00                 NaN   99.5196       0.441002       0.394456E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.31        2500.00                 NaN   99.5124       0.447451       0.401155E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
