|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1/TIS/TIS_1.tab                           
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         Sp(TH)         melt(TH)       Cpx(TH)        Cpx(TH)        O(HP)          an             San(TH)        ilm            q             
  1413.46        500.000       0.404917E-001   85.9517        8.68166        5.32610       0.112327E-005            NaN            NaN            NaN            NaN
  1412.42        500.000       0.106440E-003   99.9538       0.148861E-001  0.312193E-001            NaN            NaN            NaN            NaN            NaN
  1411.39        500.000       0.116237E-002   98.8061       0.457290       0.735424                 NaN            NaN            NaN            NaN            NaN
  1410.35        500.000       0.595450E-003   99.3836       0.234362       0.381426                 NaN            NaN            NaN            NaN            NaN
  1409.32        500.000       0.562044E-003   99.3746       0.386988       0.237837                 NaN            NaN            NaN            NaN            NaN
  1408.28        500.000       0.530189E-003   99.4012       0.227714       0.370575                 NaN            NaN            NaN            NaN            NaN
  1407.24        500.000       0.515722E-003   99.3914       0.376765       0.231365                 NaN            NaN            NaN            NaN            NaN
  1406.21        500.000                 NaN   98.5608       0.459919       0.603710                 NaN  0.375604                 NaN            NaN            NaN
  1405.17        500.000                 NaN   98.5180       0.469269       0.621824       0.104206E-005  0.390894                 NaN            NaN            NaN
  1404.13        500.000                 NaN   98.6091       0.440262       0.584052                 NaN  0.366598                 NaN            NaN            NaN
  1403.10        500.000                 NaN   98.5879       0.447100       0.592980                 NaN  0.371997                 NaN            NaN            NaN
  1402.06        500.000                 NaN   98.6039       0.442279       0.586168                 NaN  0.367634                 NaN            NaN            NaN
  1401.03        500.000                 NaN   98.6180       0.438181       0.580253                 NaN  0.363584                 NaN            NaN            NaN
  1399.99        500.000                 NaN   98.6336       0.574359       0.432806                 NaN  0.359260                 NaN            NaN            NaN
  1398.95        500.000                 NaN   98.6480       0.568374       0.428546                 NaN  0.355121                 NaN            NaN            NaN
  1397.92        500.000                 NaN   98.6626       0.423811       0.562436                 NaN  0.351129                 NaN            NaN            NaN
  1396.88        500.000                 NaN   98.6747       0.510250       0.428372       0.338155E-001  0.352871                 NaN            NaN            NaN
  1395.84        500.000                 NaN   98.6811       0.334325       0.458402       0.156446       0.369747                 NaN            NaN            NaN
  1394.81        500.000                 NaN   98.6985       0.325020       0.453990       0.157705       0.364742                 NaN            NaN            NaN
  1393.77        500.000                 NaN   98.7108       0.450780       0.318036       0.158782       0.361644                 NaN            NaN            NaN
  1392.74        500.000                 NaN   98.6652       0.467909       0.324609       0.167575       0.374671                 NaN            NaN            NaN
  1391.70        500.000                 NaN   98.7947       0.423726       0.289305       0.153764       0.338517                 NaN            NaN            NaN
  1390.66        500.000                 NaN   98.7508       0.295642       0.440434       0.162193       0.350980                 NaN            NaN            NaN
  1389.63        500.000                 NaN   98.7620       0.437618       0.289157       0.163289       0.347986                 NaN            NaN            NaN
  1388.59        500.000                 NaN   98.7749       0.281322       0.434134       0.164886       0.344715                 NaN            NaN            NaN
  1387.55        500.000                 NaN   98.7873       0.275037       0.431088       0.165413       0.341181                 NaN            NaN            NaN
  1386.52        500.000                 NaN   98.7988       0.428067       0.268033       0.166880       0.338182                 NaN            NaN            NaN
  1385.48        500.000                 NaN   98.8071       0.426375       0.261661       0.168574       0.336336                 NaN            NaN            NaN
  1384.45        500.000                 NaN   98.8251       0.421225       0.254649       0.168321       0.330749                 NaN            NaN            NaN
  1383.41        500.000                 NaN   98.8317       0.248901       0.419899       0.170262       0.329274                 NaN            NaN            NaN
  1382.37        500.000                 NaN   98.8438       0.241729       0.416969       0.171425       0.326111                 NaN            NaN            NaN
  1381.34        500.000                 NaN   98.8550       0.236227       0.413929       0.171899       0.322947                 NaN            NaN            NaN
  1380.30        500.000                 NaN   98.8650       0.229739       0.411580       0.173339       0.320355                 NaN            NaN            NaN
  1379.26        500.000                 NaN   98.8761       0.223400       0.408782       0.174398       0.317365                 NaN            NaN            NaN
  1378.23        500.000                 NaN   98.8852       0.406377       0.217803       0.175754       0.314903                 NaN            NaN            NaN
  1377.19        500.000                 NaN   98.8875       0.408471       0.211284       0.178253       0.314538                 NaN            NaN            NaN
  1376.16        500.000                 NaN   98.7931       0.226932       0.444037       0.194981       0.340933                 NaN            NaN            NaN
  1375.12        500.000                 NaN   99.0355       0.355535       0.178250       0.158148       0.272604                 NaN            NaN            NaN
  1374.08        500.000                 NaN   98.8985       0.277983       0.375008       0.142972       0.305556                 NaN            NaN            NaN
  1373.05        500.000                 NaN   98.9613       0.417276       0.104782       0.216983       0.299623                 NaN            NaN            NaN
  1372.01        500.000                 NaN   98.9439       0.392776       0.183108       0.181219       0.298989                 NaN            NaN            NaN
  1370.97        500.000                 NaN   99.4676       0.199489       0.857957E-001  0.950217E-001  0.152069                 NaN            NaN            NaN
  1369.94        500.000                 NaN   98.4404       0.269201       0.581367       0.269292       0.439708                 NaN            NaN            NaN
  1368.90        500.000                 NaN   98.9727       0.385478       0.167383       0.183496       0.290902                 NaN            NaN            NaN
  1367.87        500.000                 NaN   98.9799       0.162655       0.384145       0.184326       0.289007                 NaN            NaN            NaN
  1366.83        500.000                 NaN   98.9879       0.157760       0.382248       0.185229       0.286814                 NaN            NaN            NaN
  1365.79        500.000                 NaN   98.9963       0.380374       0.152641       0.186163       0.284482                 NaN            NaN            NaN
  1364.76        500.000                 NaN   99.0048       0.378327       0.148023       0.186665       0.282170                 NaN            NaN            NaN
  1363.72        500.000                 NaN   99.0127       0.143312       0.376605       0.187456       0.279930                 NaN            NaN            NaN
  1362.68        500.000                 NaN   99.0203       0.138752       0.374903       0.188302       0.277790                 NaN            NaN            NaN
  1361.65        500.000                 NaN   99.0290       0.365608       0.164288       0.168596       0.272479                 NaN            NaN            NaN
  1360.61        500.000                 NaN   99.0358       0.378393       0.997467E-001  0.209706       0.276372                 NaN            NaN            NaN
  1359.58        500.000                 NaN   99.0444       0.369119       0.125445       0.189963       0.271101                 NaN            NaN            NaN
  1358.54        500.000                 NaN   99.0510       0.367745       0.121254       0.190781       0.269188                 NaN            NaN            NaN
  1357.50        500.000                 NaN   99.0579       0.117698       0.365918       0.191178       0.267269                 NaN            NaN            NaN
  1356.47        500.000                 NaN   99.0586       0.366991       0.114716       0.192741       0.266956                 NaN            NaN            NaN
  1355.43        500.000                 NaN   98.9890       0.119823       0.395132       0.209447       0.286611                 NaN            NaN            NaN
  1354.39        500.000                 NaN   99.1667       0.328130       0.956621E-001  0.173536       0.235963                 NaN            NaN            NaN
  1353.36        500.000                 NaN   99.0896       0.102546       0.358203       0.191672       0.258014                 NaN            NaN            NaN
  1352.32        500.000                 NaN   99.0946       0.980724E-001  0.357618       0.192980       0.256700                 NaN            NaN            NaN
  1351.29        500.000                 NaN   99.1013       0.356029       0.945643E-001  0.193301       0.254797                 NaN            NaN            NaN
  1350.25        500.000                 NaN   99.1087       0.354111       0.903016E-001  0.194089       0.252845                 NaN            NaN            NaN
  1349.21        500.000                 NaN   99.1127       0.353641       0.882630E-001  0.193917       0.251450                 NaN            NaN            NaN
  1348.18        500.000                 NaN   99.1195       0.352127       0.824715E-001  0.195726       0.250143                 NaN            NaN            NaN
  1347.14        500.000                 NaN   99.1316       0.347638       0.829950E-001  0.192179       0.245595                 NaN            NaN            NaN
  1346.10        500.000                 NaN   99.1336       0.348558       0.781347E-001  0.194325       0.245364                 NaN            NaN            NaN
  1345.07        500.000                 NaN   99.1399       0.756184E-001  0.346899       0.194092       0.243457                 NaN            NaN            NaN
  1344.03        500.000                 NaN   99.1456       0.345794       0.724066E-001  0.194387       0.241809                 NaN            NaN            NaN
  1343.00        500.000                 NaN   99.1521       0.344226       0.697527E-001  0.194077       0.239810                 NaN            NaN            NaN
  1341.96        500.000                 NaN   99.1580       0.671455E-001  0.342351       0.194340       0.238199                 NaN            NaN            NaN
  1340.92        500.000                 NaN   99.1649       0.340896       0.643466E-001  0.193823       0.235993                 NaN            NaN            NaN
  1339.89        500.000                 NaN   99.1694       0.339788       0.620593E-001  0.194005       0.234700                 NaN            NaN            NaN
  1338.85        500.000                 NaN   98.8919       0.460129       0.746775E-001  0.260171       0.313105                 NaN            NaN            NaN
  1337.81        500.000                 NaN   99.4631       0.221480       0.399645E-001  0.124935       0.150567                 NaN            NaN            NaN
  1336.78        500.000                 NaN   99.1874       0.335129       0.552222E-001  0.193039       0.229167                 NaN            NaN            NaN
  1335.74        500.000                 NaN   99.1926       0.533735E-001  0.333897       0.192551       0.227576                 NaN            NaN            NaN
  1334.71        500.000                 NaN   99.1982       0.332706       0.504657E-001  0.192642       0.225993                 NaN            NaN            NaN
  1333.67        500.000                 NaN   99.2023       0.330860       0.503056E-001  0.191940       0.224561                 NaN            NaN            NaN
  1332.63        500.000                 NaN   99.2099       0.477304E-001  0.329086       0.191047       0.222265                 NaN            NaN            NaN
  1331.60        500.000                 NaN   99.2142       0.328400       0.457980E-001  0.190726       0.220856                 NaN            NaN            NaN
  1330.56        500.000                 NaN   99.2163       0.419820E-001  0.329336       0.191952       0.220462                 NaN            NaN            NaN
  1329.52        500.000                 NaN   99.2254       0.471712E-001  0.323765       0.186816       0.216837                 NaN            NaN            NaN
  1328.49        500.000                 NaN   99.2292       0.324232       0.415399E-001  0.188902       0.216138                 NaN            NaN            NaN
  1327.45        500.000                 NaN   98.6671       0.566473       0.655024E-001  0.326355       0.374538                 NaN            NaN            NaN
  1326.42        500.000                 NaN   99.8102       0.158101E-001  0.733098E-001  0.485708E-001  0.520888E-001            NaN            NaN            NaN
  1325.38        500.000                 NaN   99.2491       0.272609E-001  0.324985       0.188256       0.210427                 NaN            NaN            NaN
  1324.34        500.000                 NaN   99.2491       0.368881E-001  0.318536       0.185703       0.209805                 NaN            NaN            NaN
  1323.31        500.000                 NaN   99.2535       0.317413       0.361226E-001  0.184688       0.208314                 NaN            NaN            NaN
  1322.27        500.000                 NaN   99.2576       0.315945       0.361618E-001  0.183475       0.206864                 NaN            NaN            NaN
  1321.23        500.000                 NaN   99.2629       0.351949E-001  0.314153       0.182517       0.205201                 NaN            NaN            NaN
  1320.20        500.000                 NaN   99.2649       0.306075       0.512521E-001  0.174223       0.203553                 NaN            NaN            NaN
  1319.16        500.000                 NaN   99.2752       0.164383E-001  0.317342       0.188564       0.202487                 NaN            NaN            NaN
  1318.13        500.000                 NaN   99.2764       0.309533       0.343710E-001  0.178992       0.200676                 NaN            NaN            NaN
  1317.09        500.000                 NaN   99.2806       0.339820E-001  0.308194       0.177906       0.199334                 NaN            NaN            NaN
  1316.05        500.000                 NaN   99.2850       0.331556E-001  0.306875       0.176977       0.197948                 NaN            NaN            NaN
  1315.02        500.000                 NaN   99.2855       0.308626       0.267281E-001  0.180766       0.198422                 NaN            NaN            NaN
  1313.98        500.000       0.776909E-002   99.2840       0.308888       0.361690E-001  0.167100       0.196117                 NaN            NaN            NaN
  1312.94        500.000       0.799684E-001   99.1933       0.359533       0.309800E-001  0.125802       0.210423                 NaN            NaN            NaN
  1311.91        500.000       0.843587E-001   99.1893       0.293622E-001  0.361380       0.124044       0.211542                 NaN            NaN            NaN
  1310.87        500.000       0.868508E-001   99.1931       0.363694       0.255069E-001  0.121134       0.209667                 NaN            NaN            NaN
  1309.84        500.000       0.885824E-001   99.1945       0.365195       0.237048E-001  0.119027       0.208967                 NaN            NaN            NaN
  1308.80        500.000       0.894240E-001   99.1988       0.365146       0.219879E-001  0.117122       0.207548                 NaN            NaN            NaN
  1307.76        500.000       0.901138E-001   99.2032       0.363259       0.244011E-001  0.113087       0.205979                 NaN            NaN            NaN
  1306.73        500.000       0.901421E-001   99.1954       0.319631       0.159607       0.346194E-001  0.200562                 NaN            NaN            NaN
  1305.69        500.000       0.853337E-001   99.2160       0.351892                 NaN  0.141680       0.205104                 NaN            NaN            NaN
  1304.65        500.000       0.908063E-001   99.2221       0.368333                 NaN  0.117443       0.201331                 NaN            NaN            NaN
  1303.62        500.000       0.901747E-001   99.2281       0.365263                 NaN  0.116621       0.199804                 NaN            NaN            NaN
  1302.58        500.000       0.896175E-001   99.2344       0.363108                 NaN  0.114848       0.198068                 NaN            NaN            NaN
  1301.55        500.000       0.891569E-001   99.2403       0.361088                 NaN  0.113121       0.196363                 NaN            NaN            NaN
  1300.51        500.000       0.882905E-001   99.2407       0.342910       0.395052E-001  0.943519E-001  0.194284                 NaN            NaN            NaN
  1299.47        500.000       0.917724E-001   99.2130       0.361062       0.270355E-001  0.103739       0.203419                 NaN            NaN            NaN
  1298.44        500.000       0.825437E-001   99.2955       0.338040                 NaN  0.103515       0.180447                 NaN            NaN            NaN
