|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/Y98/Y98_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1439.10        500.000        85.5077        8.96599        5.52627                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        500.000        99.3240       0.415933       0.260057                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        500.000        99.3288       0.257701       0.413458                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        500.000        99.3332       0.256397       0.410442                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        500.000        99.3333       0.255660       0.411070                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        500.000        99.3452       0.403354       0.251425                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.50        500.000        99.3457       0.251232       0.403083                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        500.000        99.3494       0.401145       0.249460                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        500.000        99.3191       0.259410       0.421456                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.20        500.000        98.3647       0.522984       0.635023                 NaN  0.477276                 NaN            NaN            NaN            NaN
  1428.09        500.000        98.1305       0.567945       0.726183                 NaN  0.575403       0.126412E-005            NaN            NaN            NaN
  1426.99        500.000        98.1596       0.559631       0.714326                 NaN  0.566426                 NaN            NaN            NaN            NaN
  1425.89        500.000        98.1329       0.724032       0.568306                 NaN  0.574715                 NaN            NaN            NaN            NaN
  1424.79        500.000        98.2742       0.525977       0.668839                 NaN  0.531014                 NaN            NaN            NaN            NaN
  1423.69        500.000        98.2446       0.679699       0.535542                 NaN  0.540129                 NaN            NaN            NaN            NaN
  1422.59        500.000        98.2705       0.527984       0.669189                 NaN  0.532314                 NaN            NaN            NaN            NaN
  1421.49        500.000        98.2968       0.658916       0.520268                 NaN  0.524043                 NaN            NaN            NaN            NaN
  1420.39        500.000        98.3219       0.648620       0.513136                 NaN  0.516383                 NaN            NaN            NaN            NaN
  1419.29        500.000        98.3461       0.506548       0.638454                 NaN  0.508863                 NaN            NaN            NaN            NaN
  1418.19        500.000        98.3707       0.628887       0.499142                 NaN  0.501230       0.938722E-006            NaN            NaN            NaN
  1417.09        500.000        98.3935       0.492180       0.620007                 NaN  0.494293                 NaN            NaN            NaN            NaN
  1415.99        500.000        98.4158       0.486203       0.611023                 NaN  0.486933                 NaN            NaN            NaN            NaN
  1414.89        500.000        98.4369       0.602639       0.479828                 NaN  0.480626                 NaN            NaN            NaN            NaN
  1413.79        500.000        98.4601       0.593550       0.473059                 NaN  0.473276                 NaN            NaN            NaN            NaN
  1412.69        500.000        98.4800       0.585658       0.467181                 NaN  0.467175                 NaN            NaN            NaN            NaN
  1411.59        500.000        98.5012       0.461210       0.577197                 NaN  0.460408                 NaN            NaN            NaN            NaN
  1410.49        500.000        98.5209       0.569410       0.455362                 NaN  0.454316                 NaN            NaN            NaN            NaN
  1409.39        500.000        98.5405       0.561983       0.449435                 NaN  0.448116                 NaN            NaN            NaN            NaN
  1408.29        500.000        98.5592       0.444072       0.554324                 NaN  0.442447                 NaN            NaN            NaN            NaN
  1407.19        500.000        98.5750       0.548108       0.439543                 NaN  0.437321                 NaN            NaN            NaN            NaN
  1406.08        500.000        98.5971       0.540024       0.432530                 NaN  0.430351       0.864078E-005            NaN            NaN            NaN
  1404.98        500.000        98.6118       0.443651       0.455772                 NaN  0.437194       0.515812E-001            NaN            NaN            NaN
  1403.88        500.000        98.3396       0.558673       0.410131                 NaN  0.541574       0.149986                 NaN            NaN            NaN
  1402.78        500.000        98.9184       0.365033       0.262391                 NaN  0.353753       0.100390                 NaN            NaN            NaN
  1401.68        500.000        98.6631       0.452107       0.320645                 NaN  0.438028       0.126126                 NaN            NaN            NaN
  1400.58        500.000        98.6796       0.448017       0.312291                 NaN  0.432989       0.127115                 NaN            NaN            NaN
  1399.48        500.000        98.6951       0.304895       0.443728                 NaN  0.428397       0.127889                 NaN            NaN            NaN
  1398.38        500.000        98.7117       0.296609       0.439541                 NaN  0.423433       0.128763                 NaN            NaN            NaN
  1397.28        500.000        98.7266       0.288927       0.435989                 NaN  0.418979       0.129525                 NaN            NaN            NaN
  1396.18        500.000        98.7418       0.281370       0.432209                 NaN  0.414334       0.130259                 NaN            NaN            NaN
  1395.08        500.000        98.7578       0.273386       0.428158                 NaN  0.409511       0.131107                 NaN            NaN            NaN
  1393.98        500.000        98.7719       0.424598       0.265384                 NaN  0.405703       0.132386                 NaN            NaN            NaN
  1392.88        500.000        98.7884       0.420279       0.259160                 NaN  0.400029       0.132106                 NaN            NaN            NaN
  1391.78        500.000        98.8006       0.417804       0.251675                 NaN  0.396624       0.133266                 NaN            NaN            NaN
  1390.68        500.000        98.8150       0.413969       0.243955                 NaN  0.392619       0.134410                 NaN            NaN            NaN
  1389.58        500.000        98.8030       0.418611       0.245244                 NaN  0.397118       0.136041                 NaN            NaN            NaN
  1388.48        500.000        98.8662       0.223249       0.400296                 NaN  0.375904       0.134302                 NaN            NaN            NaN
  1387.38        500.000        98.8556       0.403768       0.225089                 NaN  0.379854       0.135708                 NaN            NaN            NaN
  1386.28        500.000        98.8648       0.401968       0.218182                 NaN  0.377508       0.137588                 NaN            NaN            NaN
  1385.18        500.000        98.8830       0.396525       0.211636                 NaN  0.371498       0.137323                 NaN            NaN            NaN
  1384.07        500.000        98.8731       0.207828       0.401940                 NaN  0.376564       0.140562                 NaN            NaN            NaN
  1382.97        500.000        98.9223       0.196605       0.387404                 NaN  0.357999       0.135718                 NaN            NaN            NaN
  1381.87        500.000        98.9157       0.389547       0.193618                 NaN  0.361794       0.139305                 NaN            NaN            NaN
  1380.77        500.000        98.9273       0.187567       0.387171                 NaN  0.358104       0.139869                 NaN            NaN            NaN
  1379.67        500.000        98.9383       0.384514       0.181436                 NaN  0.354963       0.140740                 NaN            NaN            NaN
  1378.57        500.000        98.9509       0.175873       0.381566                 NaN  0.350851       0.140842                 NaN            NaN            NaN
  1377.47        500.000        98.9593       0.170358       0.379582                 NaN  0.348646       0.142079                 NaN            NaN            NaN
  1376.37        500.000        98.9719       0.164158       0.376759                 NaN  0.344861       0.142296                 NaN            NaN            NaN
  1375.27        500.000        98.9832       0.374357       0.160020                 NaN  0.340599       0.141813                 NaN            NaN            NaN
