|6.6.6
Archiving\03_Data\eqfracLP/QFM_m1.5/Y98/Y98_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          11
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        an             O(HP)          ilm            San(TH)        q             
  1439.10        500.000        83.6190        10.0879        6.29312                 NaN            NaN            NaN            NaN            NaN            NaN
  1438.00        500.000        99.2191       0.478218       0.302656                 NaN            NaN            NaN            NaN            NaN            NaN
  1436.90        500.000        99.2244       0.300053       0.475533                 NaN            NaN            NaN            NaN            NaN            NaN
  1435.80        500.000        99.2291       0.298686       0.472225                 NaN            NaN            NaN            NaN            NaN            NaN
  1434.70        500.000        99.2290       0.297942       0.473082                 NaN            NaN            NaN            NaN            NaN            NaN
  1433.60        500.000        99.2424       0.464427       0.293174                 NaN            NaN            NaN            NaN            NaN            NaN
  1432.50        500.000        99.2426       0.293090       0.464264                 NaN            NaN            NaN            NaN            NaN            NaN
  1431.40        500.000        99.2466       0.462221       0.291193                 NaN            NaN            NaN            NaN            NaN            NaN
  1430.30        500.000        99.2112       0.302996       0.485778                 NaN            NaN            NaN            NaN            NaN            NaN
  1429.20        500.000        98.2021       0.602729       0.741623                 NaN  0.453579                 NaN            NaN            NaN            NaN
  1428.09        500.000        97.9501       0.654690       0.848443                 NaN  0.546717       0.156956E-005            NaN            NaN            NaN
  1426.99        500.000        97.9813       0.645402       0.835140                 NaN  0.538185                 NaN            NaN            NaN            NaN
  1425.89        500.000        97.9513       0.847011       0.655656                 NaN  0.546033                 NaN            NaN            NaN            NaN
  1424.79        500.000        98.1052       0.607173       0.783011                 NaN  0.504573                 NaN            NaN            NaN            NaN
  1423.69        500.000        98.0721       0.796241       0.618482                 NaN  0.513211                 NaN            NaN            NaN            NaN
  1422.59        500.000        98.0997       0.610024       0.784433                 NaN  0.505796                 NaN            NaN            NaN            NaN
  1421.49        500.000        98.1277       0.772951       0.601394                 NaN  0.497949                 NaN            NaN            NaN            NaN
  1420.39        500.000        98.1545       0.761354       0.593459                 NaN  0.490686                 NaN            NaN            NaN            NaN
  1419.29        500.000        98.1804       0.586144       0.749905                 NaN  0.483557                 NaN            NaN            NaN            NaN
  1418.19        500.000        98.2067       0.739173       0.577827                 NaN  0.476323       0.117873E-005            NaN            NaN            NaN
  1417.09        500.000        98.2309       0.570067       0.729240                 NaN  0.469753                 NaN            NaN            NaN            NaN
  1415.99        500.000        98.2546       0.563438       0.719194                 NaN  0.462781                 NaN            NaN            NaN            NaN
  1414.89        500.000        98.2771       0.709807       0.556328                 NaN  0.456813                 NaN            NaN            NaN            NaN
  1413.79        500.000        98.3018       0.699591       0.548775                 NaN  0.449856                 NaN            NaN            NaN            NaN
  1412.69        500.000        98.3229       0.690751       0.542223                 NaN  0.444087                 NaN            NaN            NaN            NaN
  1411.59        500.000        98.3455       0.535563       0.681231                 NaN  0.437686                 NaN            NaN            NaN            NaN
  1410.49        500.000        98.3665       0.672495       0.529055                 NaN  0.431928                 NaN            NaN            NaN            NaN
  1409.39        500.000        98.3873       0.664179       0.522437                 NaN  0.426069                 NaN            NaN            NaN            NaN
  1408.29        500.000        98.4072       0.516470       0.655579                 NaN  0.420716                 NaN            NaN            NaN            NaN
  1407.19        500.000        98.4239       0.648747       0.511518                 NaN  0.415879                 NaN            NaN            NaN            NaN
  1406.08        500.000        98.4475       0.639574       0.503601                 NaN  0.409292       0.110041E-004            NaN            NaN            NaN
  1404.98        500.000        98.4613       0.516881       0.540225                 NaN  0.415861       0.657791E-001            NaN            NaN            NaN
  1403.88        500.000        98.1545       0.651690       0.486887                 NaN  0.515134       0.191779                 NaN            NaN            NaN
  1402.78        500.000        98.7972       0.425987       0.311622                 NaN  0.336772       0.128452                 NaN            NaN            NaN
  1401.68        500.000        98.5126       0.527830       0.381006                 NaN  0.416990       0.161592                 NaN            NaN            NaN
  1400.58        500.000        98.5297       0.523441       0.371433                 NaN  0.412311       0.163124                 NaN            NaN            NaN
  1399.48        500.000        98.5458       0.362963       0.518796                 NaN  0.408060       0.164404                 NaN            NaN            NaN
  1398.38        500.000        98.5631       0.353401       0.514294                 NaN  0.403456       0.165778                 NaN            NaN            NaN
  1397.28        500.000        98.5785       0.344556       0.510518                 NaN  0.399337       0.167041                 NaN            NaN            NaN
  1396.18        500.000        98.5944       0.335853       0.506482                 NaN  0.395037       0.168249                 NaN            NaN            NaN
  1395.08        500.000        98.6111       0.326605       0.502135                 NaN  0.390569       0.169615                 NaN            NaN            NaN
