|6.6.6
Archiving\03_Data\eq/QFM_m0.75/GRV/GRV_3.tab                              
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
           9
T(K)           P(bar)         melt(TH)       pxmn           Sp(TH)         O(HP)          Opx(TH)        Cpx(TH)        Cpx(TH)       
  2000.00        2500.00        99.3216       0.678410                 NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.3215       0.678482                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.3214       0.678554                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.3214       0.678626                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.3213       0.678698                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.3212       0.678770                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.3212       0.678842                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.3211       0.678914                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.3210       0.678986                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.3209       0.679058                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3209       0.679130                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3208       0.679203                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3207       0.679275                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.3207       0.679347                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.3206       0.679419                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.3205       0.679492                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.3204       0.679564                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.3204       0.679637                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        99.3203       0.679709                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        99.3202       0.679781                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        99.3201       0.679854                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        99.3201       0.679926                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        99.3200       0.679999                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        99.3199       0.680071                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        99.3199       0.680144                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        99.3198       0.680217                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        99.3197       0.680289                 NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        99.3196       0.680362                 NaN            NaN            NaN            NaN            NaN
  1910.26        2500.00        99.3196       0.680434                 NaN            NaN            NaN            NaN            NaN
  1907.05        2500.00        99.3195       0.680507                 NaN            NaN            NaN            NaN            NaN
  1903.85        2500.00        99.3194       0.680580                 NaN            NaN            NaN            NaN            NaN
  1900.64        2500.00        99.3193       0.680653                 NaN            NaN            NaN            NaN            NaN
  1897.44        2500.00        99.3193       0.680726                 NaN            NaN            NaN            NaN            NaN
  1894.23        2500.00        99.3192       0.680798                 NaN            NaN            NaN            NaN            NaN
  1891.03        2500.00        99.3191       0.680871                 NaN            NaN            NaN            NaN            NaN
  1887.82        2500.00        99.3191       0.680944                 NaN            NaN            NaN            NaN            NaN
  1884.62        2500.00        99.3190       0.681016                 NaN            NaN            NaN            NaN            NaN
  1881.41        2500.00        99.3189       0.681089                 NaN            NaN            NaN            NaN            NaN
  1878.21        2500.00        99.3188       0.681162                 NaN            NaN            NaN            NaN            NaN
  1875.00        2500.00        99.3188       0.681235                 NaN            NaN            NaN            NaN            NaN
  1871.79        2500.00        99.3187       0.681308                 NaN            NaN            NaN            NaN            NaN
  1868.59        2500.00        99.3186       0.681381                 NaN            NaN            NaN            NaN            NaN
  1865.38        2500.00        99.3185       0.681454                 NaN            NaN            NaN            NaN            NaN
  1862.18        2500.00        99.3185       0.681527                 NaN            NaN            NaN            NaN            NaN
  1858.97        2500.00        99.3184       0.681600                 NaN            NaN            NaN            NaN            NaN
  1855.77        2500.00        99.3183       0.681673                 NaN            NaN            NaN            NaN            NaN
  1852.56        2500.00        99.3183       0.681746                 NaN            NaN            NaN            NaN            NaN
  1849.36        2500.00        99.3182       0.681819                 NaN            NaN            NaN            NaN            NaN
  1846.15        2500.00        99.3181       0.681892                 NaN            NaN            NaN            NaN            NaN
  1842.95        2500.00        99.3180       0.681965                 NaN            NaN            NaN            NaN            NaN
  1839.74        2500.00        99.3180       0.682038                 NaN            NaN            NaN            NaN            NaN
  1836.54        2500.00        99.3179       0.682111                 NaN            NaN            NaN            NaN            NaN
