|6.6.6
Archiving\03_Data\Deq/QFM_m0.75/YM20/YM20_3.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.9859       0.141232E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.6177                 NaN  0.382279                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.6050                 NaN  0.395026                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.5899                 NaN  0.410123                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5748                 NaN  0.425223                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5549                 NaN  0.445063                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.5351                 NaN  0.464908                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.5152                 NaN  0.484757                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.4954                 NaN  0.504611                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.4555                 NaN  0.544489                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.4156                 NaN  0.584377                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3757                 NaN  0.624275                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.3358                 NaN  0.664182                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2959                 NaN  0.704099                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.2560                 NaN  0.744026                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.2160                 NaN  0.783963                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.1761                 NaN  0.823910                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        99.0437                 NaN  0.956329                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.9112                 NaN   1.08880                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.7787                 NaN   1.22131                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.6461                 NaN   1.35387                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.5135                 NaN   1.48649                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.3809                 NaN   1.61914                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.2482                 NaN   1.75185                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        98.1154                 NaN   1.88460                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.8233                 NaN   2.17668                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.5311                 NaN   2.46891                 NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        97.1614                 NaN   2.82539       0.132051E-001            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.7381                 NaN   3.23497       0.269384E-001            NaN            NaN            NaN            NaN
  1907.05        2500.00        96.2354                 NaN   3.72454       0.401077E-001            NaN            NaN            NaN            NaN
  1903.85        2500.00        95.7322                 NaN   4.21452       0.532887E-001            NaN            NaN            NaN            NaN
  1900.64        2500.00        95.2286                 NaN   4.70491       0.664814E-001            NaN            NaN            NaN            NaN
  1897.44        2500.00        94.7246                 NaN   5.19572       0.796857E-001            NaN            NaN            NaN            NaN
  1894.23        2500.00        94.1443                 NaN   5.76386       0.918402E-001            NaN            NaN            NaN            NaN
  1891.03        2500.00        93.5635                 NaN   6.33253       0.104007                 NaN            NaN            NaN            NaN
  1887.82        2500.00        92.9821                 NaN   6.90173       0.116185                 NaN            NaN            NaN            NaN
  1884.62        2500.00        92.4002                 NaN   7.47146       0.128375                 NaN            NaN            NaN            NaN
  1881.41        2500.00        91.8177                 NaN   8.04171       0.140576                 NaN            NaN            NaN            NaN
  1878.21        2500.00        91.2347                 NaN   8.61248       0.152790                 NaN            NaN            NaN            NaN
  1875.00        2500.00        90.6512                 NaN   9.18378       0.165015                 NaN            NaN            NaN            NaN
  1871.79        2500.00        90.0672                 NaN   9.75559       0.177252                 NaN            NaN            NaN            NaN
  1868.59        2500.00        89.4857                 NaN   10.3259       0.188367                 NaN            NaN            NaN            NaN
  1865.38        2500.00        88.9037                 NaN   10.8968       0.199493                 NaN            NaN            NaN            NaN
  1862.18        2500.00        88.3212                 NaN   11.4682       0.210630                 NaN            NaN            NaN            NaN
  1858.97        2500.00        87.7382                 NaN   12.0400       0.221777                 NaN            NaN            NaN            NaN
  1855.77        2500.00        87.1547                 NaN   12.6124       0.232934                 NaN            NaN            NaN            NaN
  1852.56        2500.00        86.5706                 NaN   13.1853       0.244102                 NaN            NaN            NaN            NaN
  1849.36        2500.00        85.9860                 NaN   13.7587       0.255279                 NaN            NaN            NaN            NaN
  1846.15        2500.00        85.4009                 NaN   14.3326       0.266468                 NaN            NaN            NaN            NaN
  1842.95        2500.00        84.8418                 NaN   14.8814       0.276813                 NaN            NaN            NaN            NaN
  1839.74        2500.00        84.2822                 NaN   15.4306       0.287167                 NaN            NaN            NaN            NaN
  1836.54        2500.00        83.7222                 NaN   15.9803       0.297531                 NaN            NaN            NaN            NaN
  1833.33        2500.00        83.1616                 NaN   16.5305       0.307903                 NaN            NaN            NaN            NaN
  1830.13        2500.00        82.6006                 NaN   17.0811       0.318285                 NaN            NaN            NaN            NaN
  1826.92        2500.00        82.0392                 NaN   17.6321       0.328675                 NaN            NaN            NaN            NaN
  1823.72        2500.00        81.4773                 NaN   18.1836       0.339074                 NaN            NaN            NaN            NaN
  1820.51        2500.00        80.9150                 NaN   18.7356       0.349482                 NaN            NaN            NaN            NaN
  1817.31        2500.00        80.3734                 NaN   19.2676       0.359007                 NaN            NaN            NaN            NaN
  1814.10        2500.00        79.8313                 NaN   19.8001       0.368540                 NaN            NaN            NaN            NaN
  1810.90        2500.00        79.2889                 NaN   20.3330       0.378081                 NaN            NaN            NaN            NaN
  1807.69        2500.00        78.7461                 NaN   20.8663       0.387630                 NaN            NaN            NaN            NaN
  1804.49        2500.00        78.2028                 NaN   21.4000       0.397186                 NaN            NaN            NaN            NaN
  1801.28        2500.00        77.6592                 NaN   21.9341       0.406749                 NaN            NaN            NaN            NaN
  1798.08        2500.00        77.1151                 NaN   22.4686       0.416320                 NaN            NaN            NaN            NaN
  1794.87        2500.00        76.5706                 NaN   23.0035       0.425899                 NaN            NaN            NaN            NaN
  1791.67        2500.00        76.0461                 NaN   23.5191       0.434838                 NaN            NaN            NaN            NaN
  1788.46        2500.00        75.5212                 NaN   24.0350       0.443784                 NaN            NaN            NaN            NaN
  1785.26        2500.00        74.9959                 NaN   24.5513       0.452737                 NaN            NaN            NaN            NaN
