|6.6.6
Archiving\03_Data\Deq/QFM_m0.75/YM20/YM20_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          10
T(K)           P(bar)         melt(TH)       Ni             O(HP)          Sp(TH)         Opx(TH)        Cpx(TH)        Cpx(TH)        an            
  2000.00        2500.00        99.9608       0.392211E-001            NaN            NaN            NaN            NaN            NaN            NaN
  1996.79        2500.00        99.5697                 NaN  0.430307                 NaN            NaN            NaN            NaN            NaN
  1993.59        2500.00        99.5561                 NaN  0.443891                 NaN            NaN            NaN            NaN            NaN
  1990.38        2500.00        99.5400                 NaN  0.460047                 NaN            NaN            NaN            NaN            NaN
  1987.18        2500.00        99.5238                 NaN  0.476204                 NaN            NaN            NaN            NaN            NaN
  1983.97        2500.00        99.5026                 NaN  0.497388                 NaN            NaN            NaN            NaN            NaN
  1980.77        2500.00        99.4814                 NaN  0.518572                 NaN            NaN            NaN            NaN            NaN
  1977.56        2500.00        99.4602                 NaN  0.539756                 NaN            NaN            NaN            NaN            NaN
  1974.36        2500.00        99.4391                 NaN  0.560939                 NaN            NaN            NaN            NaN            NaN
  1971.15        2500.00        99.3964                 NaN  0.603563                 NaN            NaN            NaN            NaN            NaN
  1967.95        2500.00        99.3538                 NaN  0.646187                 NaN            NaN            NaN            NaN            NaN
  1964.74        2500.00        99.3112                 NaN  0.688811                 NaN            NaN            NaN            NaN            NaN
  1961.54        2500.00        99.2686                 NaN  0.731434                 NaN            NaN            NaN            NaN            NaN
  1958.33        2500.00        99.2259                 NaN  0.774057                 NaN            NaN            NaN            NaN            NaN
  1955.13        2500.00        99.1833                 NaN  0.816680                 NaN            NaN            NaN            NaN            NaN
  1951.92        2500.00        99.1407                 NaN  0.859302                 NaN            NaN            NaN            NaN            NaN
  1948.72        2500.00        99.0981                 NaN  0.901925                 NaN            NaN            NaN            NaN            NaN
  1945.51        2500.00        98.9565                 NaN   1.04348                 NaN            NaN            NaN            NaN            NaN
  1942.31        2500.00        98.8150                 NaN   1.18503                 NaN            NaN            NaN            NaN            NaN
  1939.10        2500.00        98.6734                 NaN   1.32658                 NaN            NaN            NaN            NaN            NaN
  1935.90        2500.00        98.5319                 NaN   1.46813                 NaN            NaN            NaN            NaN            NaN
  1932.69        2500.00        98.3903                 NaN   1.60968                 NaN            NaN            NaN            NaN            NaN
  1929.49        2500.00        98.2488                 NaN   1.75123                 NaN            NaN            NaN            NaN            NaN
  1926.28        2500.00        98.1072                 NaN   1.89278                 NaN            NaN            NaN            NaN            NaN
  1923.08        2500.00        97.9657                 NaN   2.03433                 NaN            NaN            NaN            NaN            NaN
  1919.87        2500.00        97.6538                 NaN   2.34623                 NaN            NaN            NaN            NaN            NaN
  1916.67        2500.00        97.3419                 NaN   2.65813                 NaN            NaN            NaN            NaN            NaN
  1913.46        2500.00        96.9423                 NaN   3.03848       0.192114E-001            NaN            NaN            NaN            NaN
  1910.26        2500.00        96.4852                 NaN   3.47565       0.391884E-001            NaN            NaN            NaN            NaN
  1907.05        2500.00        95.9431                 NaN   3.99854       0.583555E-001            NaN            NaN            NaN            NaN
  1903.85        2500.00        95.4010                 NaN   4.52144       0.775229E-001            NaN            NaN            NaN            NaN
  1900.64        2500.00        94.8590                 NaN   5.04434       0.966904E-001            NaN            NaN            NaN            NaN
  1897.44        2500.00        94.3169                 NaN   5.56725       0.115858                 NaN            NaN            NaN            NaN
  1894.23        2500.00        93.6914                 NaN   6.17504       0.133556                 NaN            NaN            NaN            NaN
  1891.03        2500.00        93.0659                 NaN   6.78284       0.151255                 NaN            NaN            NaN            NaN
  1887.82        2500.00        92.4404                 NaN   7.39066       0.168954                 NaN            NaN            NaN            NaN
  1884.62        2500.00        91.8149                 NaN   7.99848       0.186653                 NaN            NaN            NaN            NaN
  1881.41        2500.00        91.1893                 NaN   8.60632       0.204352                 NaN            NaN            NaN            NaN
  1878.21        2500.00        90.5638                 NaN   9.21417       0.222052                 NaN            NaN            NaN            NaN
  1875.00        2500.00        89.9382                 NaN   9.82202       0.239752                 NaN            NaN            NaN            NaN
  1871.79        2500.00        89.3127                 NaN   10.4299       0.257453                 NaN            NaN            NaN            NaN
  1868.59        2500.00        88.6863                 NaN   11.0400       0.273625                 NaN            NaN            NaN            NaN
  1865.38        2500.00        88.0600                 NaN   11.6502       0.289798                 NaN            NaN            NaN            NaN
  1862.18        2500.00        87.4337                 NaN   12.2604       0.305972                 NaN            NaN            NaN            NaN
  1858.97        2500.00        86.8073                 NaN   12.8705       0.322146                 NaN            NaN            NaN            NaN
  1855.77        2500.00        86.1809                 NaN   13.4807       0.338320                 NaN            NaN            NaN            NaN
  1852.56        2500.00        85.5546                 NaN   14.0909       0.354494                 NaN            NaN            NaN            NaN
  1849.36        2500.00        84.9282                 NaN   14.7012       0.370669                 NaN            NaN            NaN            NaN
  1846.15        2500.00        84.3018                 NaN   15.3114       0.386844                 NaN            NaN            NaN            NaN
  1842.95        2500.00        83.6996                 NaN   15.8985       0.401865                 NaN            NaN            NaN            NaN
  1839.74        2500.00        83.0975                 NaN   16.4857       0.416886                 NaN            NaN            NaN            NaN
  1836.54        2500.00        82.4953                 NaN   17.0728       0.431907                 NaN            NaN            NaN            NaN
  1833.33        2500.00        81.8931                 NaN   17.6600       0.446929                 NaN            NaN            NaN            NaN
  1830.13        2500.00        81.2909                 NaN   18.2472       0.461951                 NaN            NaN            NaN            NaN
  1826.92        2500.00        80.6887                 NaN   18.8344       0.476973                 NaN            NaN            NaN            NaN
  1823.72        2500.00        80.0864                 NaN   19.4216       0.491996                 NaN            NaN            NaN            NaN
  1820.51        2500.00        79.4842                 NaN   20.0088       0.507019                 NaN            NaN            NaN            NaN
  1817.31        2500.00        78.9004                 NaN   20.5788       0.520861                 NaN            NaN            NaN            NaN
  1814.10        2500.00        78.3166                 NaN   21.1487       0.534704                 NaN            NaN            NaN            NaN
  1810.90        2500.00        77.7327                 NaN   21.7187       0.548547                 NaN            NaN            NaN            NaN
  1807.69        2500.00        77.1489                 NaN   22.2887       0.562391                 NaN            NaN            NaN            NaN
  1804.49        2500.00        76.5650                 NaN   22.8587       0.576235                 NaN            NaN            NaN            NaN
  1801.28        2500.00        75.9812                 NaN   23.4288       0.590079                 NaN            NaN            NaN            NaN
  1798.08        2500.00        75.3973                 NaN   23.9988       0.603924                 NaN            NaN            NaN            NaN
  1794.87        2500.00        74.8134                 NaN   24.5689       0.617768                 NaN            NaN            NaN            NaN
  1791.67        2500.00        74.2481                 NaN   25.1212       0.630707                 NaN            NaN            NaN            NaN
  1788.46        2500.00        73.6828                 NaN   25.6736       0.643645                 NaN            NaN            NaN            NaN
  1785.26        2500.00        73.1174                 NaN   26.2260       0.656584                 NaN            NaN            NaN            NaN
  1782.05        2500.00        72.5521                 NaN   26.7784       0.669523                 NaN            NaN            NaN            NaN
  1778.85        2500.00        71.9868                 NaN   27.3308       0.682463                 NaN            NaN            NaN            NaN
  1775.64        2500.00        71.4214                 NaN   27.8832       0.695403                 NaN            NaN            NaN            NaN
  1772.44        2500.00        70.8560                 NaN   28.4356       0.708343                 NaN            NaN            NaN            NaN
  1769.23        2500.00        70.2906                 NaN   28.9881       0.721283                 NaN            NaN            NaN            NaN
  1766.03        2500.00        69.7409                 NaN   29.5257       0.733391                 NaN            NaN            NaN            NaN
  1762.82        2500.00        69.1911                 NaN   30.0634       0.745500                 NaN            NaN            NaN            NaN
  1759.62        2500.00        68.6414                 NaN   30.6010       0.757608                 NaN            NaN            NaN            NaN
  1756.41        2500.00        68.0916                 NaN   31.1387       0.769717                 NaN            NaN            NaN            NaN
  1753.21        2500.00        67.5418                 NaN   31.6764       0.781826                 NaN            NaN            NaN            NaN
  1750.00        2500.00        66.9920                 NaN   32.2141       0.793936                 NaN            NaN            NaN            NaN
  1746.79        2500.00        66.4422                 NaN   32.7518       0.806046                 NaN            NaN            NaN            NaN
  1743.59        2500.00        65.8923                 NaN   33.2895       0.818156                 NaN            NaN            NaN            NaN
  1740.38        2500.00        65.3586                 NaN   33.8119       0.829539                 NaN            NaN            NaN            NaN
  1737.18        2500.00        64.8248                 NaN   34.3343       0.840923                 NaN            NaN            NaN            NaN
  1733.97        2500.00        64.2910                 NaN   34.8567       0.852306                 NaN            NaN            NaN            NaN
  1730.77        2500.00        63.7572                 NaN   35.3791       0.863690                 NaN            NaN            NaN            NaN
  1727.56        2500.00        63.2234                 NaN   35.9015       0.875075                 NaN            NaN            NaN            NaN
  1724.36        2500.00        62.6896                 NaN   36.4239       0.886460                 NaN            NaN            NaN            NaN
  1721.15        2500.00        62.1558                 NaN   36.9464       0.897845                 NaN            NaN            NaN            NaN
  1717.95        2500.00        61.6219                 NaN   37.4688       0.909230                 NaN            NaN            NaN            NaN
  1714.74        2500.00        61.1085                 NaN   37.9717       0.919838                 NaN            NaN            NaN            NaN
  1711.54        2500.00        60.5950                 NaN   38.4745       0.930447                 NaN            NaN            NaN            NaN
  1708.33        2500.00        60.0815                 NaN   38.9774       0.941056                 NaN            NaN            NaN            NaN
  1705.13        2500.00        59.5680                 NaN   39.4803       0.951666                 NaN            NaN            NaN            NaN
  1701.92        2500.00        59.0545                 NaN   39.9832       0.962275                 NaN            NaN            NaN            NaN
  1698.72        2500.00        58.5410                 NaN   40.4861       0.972885                 NaN            NaN            NaN            NaN
  1695.51        2500.00        58.0275                 NaN   40.9891       0.983495                 NaN            NaN            NaN            NaN
  1692.31        2500.00        57.5139                 NaN   41.4920       0.994106                 NaN            NaN            NaN            NaN
  1689.10        2500.00        57.0252                 NaN   41.9705        1.00422                 NaN            NaN            NaN            NaN
  1685.90        2500.00        56.5366                 NaN   42.4491        1.01433                 NaN            NaN            NaN            NaN
  1682.69        2500.00        56.0479                 NaN   42.9277        1.02444                 NaN            NaN            NaN            NaN
  1679.49        2500.00        55.5592                 NaN   43.4062        1.03455                 NaN            NaN            NaN            NaN
  1676.28        2500.00        55.0705                 NaN   43.8848        1.04466                 NaN            NaN            NaN            NaN
  1673.08        2500.00        54.5818                 NaN   44.3634        1.05478                 NaN            NaN            NaN            NaN
  1669.87        2500.00        54.0931                 NaN   44.8421        1.06489                 NaN            NaN            NaN            NaN
  1666.67        2500.00        53.6043                 NaN   45.3207        1.07500                 NaN            NaN            NaN            NaN
  1663.46        2500.00        53.1385                 NaN   45.7768        1.08470                 NaN            NaN            NaN            NaN
  1660.26        2500.00        52.6727                 NaN   46.2329        1.09440                 NaN            NaN            NaN            NaN
  1657.05        2500.00        52.2069                 NaN   46.6890        1.10410                 NaN            NaN            NaN            NaN
  1653.85        2500.00        51.7410                 NaN   47.1452        1.11380                 NaN            NaN            NaN            NaN
  1650.64        2500.00        50.4419                 NaN   47.3709        1.10891        1.07835                 NaN            NaN            NaN
  1647.44        2500.00        49.0325                 NaN   47.5450        1.10080        2.32174                 NaN            NaN            NaN
  1644.23        2500.00        47.7116                 NaN   47.7033        1.09347        3.49161                 NaN            NaN            NaN
  1641.03        2500.00        46.3906                 NaN   47.8617        1.08614        4.66151                 NaN            NaN            NaN
  1637.82        2500.00        45.3156                 NaN   47.9874        1.07764        5.61934                 NaN            NaN            NaN
  1634.62        2500.00        44.2406                 NaN   48.1131        1.06914        6.57719                 NaN            NaN            NaN
  1631.41        2500.00        43.1655                 NaN   48.2388        1.06064        7.53506                 NaN            NaN            NaN
  1628.21        2500.00        42.0905                 NaN   48.3644        1.05214        8.49295                 NaN            NaN            NaN
  1625.00        2500.00        41.0154                 NaN   48.4901        1.04364        9.45087                 NaN            NaN            NaN
  1621.79        2500.00        39.9402                 NaN   48.6158        1.03514        10.4088                 NaN            NaN            NaN
  1618.59        2500.00        38.8651                 NaN   48.7415        1.02664        11.3668                 NaN            NaN            NaN
