|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/KHA22/KHA22_1.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        iron           ilm            ne             lc            
  1592.95        2500.00       0.358654E-002   99.8287       0.167669                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00                 NaN   99.2873       0.693858       0.187943E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00                 NaN   99.2919       0.641004       0.670944E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00                 NaN   99.3010       0.633305       0.656768E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00                 NaN   99.3039       0.631405       0.647300E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00                 NaN   99.5834       0.376071       0.405550E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00                 NaN   99.0476       0.863023       0.893689E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN   99.3247       0.612835       0.624360E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00                 NaN   99.3300       0.608388       0.615952E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00                 NaN   99.3348       0.604838       0.603478E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00                 NaN   99.3408       0.599690       0.595257E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN   99.3479       0.592619       0.594347E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00                 NaN   99.3506       0.590941       0.584624E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN   99.3607       0.582357       0.569272E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00                 NaN   99.3635       0.579580       0.569166E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00                 NaN   99.3707       0.572609       0.566424E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00                 NaN   99.2784       0.665037       0.565901E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00                 NaN   99.8400       0.145089       0.149052E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00                 NaN   99.0140       0.906317       0.796446E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00                 NaN   99.3919       0.555013       0.530947E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00                 NaN   99.3959       0.551500       0.526380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00                 NaN   99.4006       0.548138       0.513092E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        2500.00                 NaN   99.4049       0.544413       0.507199E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        2500.00                 NaN   99.4101       0.540329       0.495506E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        2500.00                 NaN   99.3675       0.579539       0.529269E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00                 NaN   99.6900       0.284214       0.258350E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00                 NaN   99.2002       0.734830       0.649509E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        2500.00                 NaN   99.1326       0.795670       0.717693E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        2500.00                 NaN   99.6300       0.343856       0.261788E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        2500.00                 NaN   99.5347       0.427733       0.375498E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        2500.00                 NaN   99.4386       0.490953       0.704597E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00                 NaN   99.4500       0.530252       0.197867E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
