|6.6.6
Archiving\03_Data\eqfrac/QFM_m4.75/KHA22/KHA22_3.tab                      
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          14
T(K)           P(bar)         Sp(TH)         melt(TH)       Opx(TH)        O(HP)          Cpx(TH)        Cpx(TH)        an             San(TH)        iron           ilm            ne             lc            
  1592.95        2500.00       0.229288E-002   99.8522       0.145502                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1591.46        2500.00                 NaN   99.3815       0.602540       0.159853E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1589.98        2500.00                 NaN   99.3865       0.556471       0.570529E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1588.49        2500.00                 NaN   99.3946       0.549566       0.558063E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1587.01        2500.00                 NaN   99.3973       0.547747       0.549827E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1585.52        2500.00                 NaN   99.6396       0.325954       0.344231E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1584.03        2500.00                 NaN   99.1758       0.748330       0.758536E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1582.55        2500.00                 NaN   99.4159       0.531106       0.529585E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1581.06        2500.00                 NaN   99.4207       0.527073       0.522235E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1579.58        2500.00                 NaN   99.4250       0.523841       0.511486E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1578.09        2500.00                 NaN   99.4304       0.519210       0.504287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1576.60        2500.00                 NaN   99.4368       0.512869       0.503298E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1575.12        2500.00                 NaN   99.4392       0.511358       0.494855E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1573.63        2500.00                 NaN   99.4481       0.503698       0.481618E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1572.14        2500.00                 NaN   99.4507       0.501131       0.481287E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1570.66        2500.00                 NaN   99.4572       0.494903       0.478785E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1569.17        2500.00                 NaN   99.3766       0.575490       0.479154E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1567.69        2500.00                 NaN   99.8621       0.125310       0.125850E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1566.20        2500.00                 NaN   99.1497       0.783023       0.672558E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1564.71        2500.00                 NaN   99.4761       0.479088       0.448024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1563.23        2500.00                 NaN   99.4796       0.475970       0.443974E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1561.74        2500.00                 NaN   99.4839       0.472871       0.432563E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1560.26        2500.00                 NaN   99.4877       0.469524       0.427437E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1558.77        2500.00                 NaN   99.4924       0.465818       0.417365E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1557.28        2500.00                 NaN   99.4558       0.499601       0.445740E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1555.80        2500.00                 NaN   99.7334       0.244825       0.217399E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1554.31        2500.00                 NaN   99.3122       0.633164       0.546583E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1552.83        2500.00                 NaN   99.2544       0.685184       0.603905E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1551.34        2500.00                 NaN   99.6821       0.295915       0.219865E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1549.85        2500.00                 NaN   99.6005       0.367984       0.315380E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1548.37        2500.00                 NaN   99.5187       0.422164       0.591541E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1546.88        2500.00                 NaN   99.5274       0.455991       0.166099E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1545.40        2500.00                 NaN   99.5281       0.436798       0.350881E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1543.91        2500.00                 NaN   99.5317       0.433311       0.350143E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1542.42        2500.00                 NaN   99.5304       0.435223       0.343352E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1540.94        2500.00                 NaN   99.5425       0.424070       0.334018E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1539.45        2500.00                 NaN   99.5352       0.429855       0.348959E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1537.96        2500.00                 NaN   99.5531       0.414972       0.319496E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1536.48        2500.00                 NaN   99.5485       0.419725       0.317949E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1534.99        2500.00                 NaN   99.5512       0.418047       0.307317E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1533.51        2500.00                 NaN   99.4468       0.514740       0.385098E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1532.02        2500.00                 NaN   99.6673       0.309827       0.229205E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1530.53        2500.00                 NaN   99.5604       0.412271       0.272937E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1529.05        2500.00                 NaN   99.5618       0.410144       0.280200E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1527.56        2500.00                 NaN   99.5713       0.399869       0.288387E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1526.08        2500.00                 NaN   99.7981       0.183036       0.188485E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1524.59        2500.00                 NaN   99.8472       0.143371       0.946239E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1523.10        2500.00                 NaN   99.0802       0.865185       0.545731E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1521.62        2500.00                 NaN   99.5791       0.395823       0.251028E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1520.13        2500.00                 NaN   99.5817       0.391900       0.264291E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1518.65        2500.00                 NaN   98.6464        1.28526       0.683598E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1517.16        2500.00                 NaN   100.000                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1515.67        2500.00                 NaN   99.9978       0.222940E-002  0.232011E-005            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1514.19        2500.00                 NaN   99.7061       0.280199       0.137024E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1512.70        2500.00                 NaN   99.1946       0.707082       0.296614E-001  0.686822E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1511.22        2500.00                 NaN   99.9785       0.214916E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1509.73        2500.00                 NaN   99.6019       0.376735       0.213517E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1508.24        2500.00                 NaN   99.5181       0.887731E-001  0.119298E-001  0.381177                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1506.76        2500.00                 NaN   99.9761                 NaN  0.238710E-001            NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1505.27        2500.00                 NaN   99.0166       0.116354E-001  0.258962E-002  0.969173                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1503.78        2500.00                 NaN   99.4974       0.744049E-002            NaN  0.495194                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1502.30        2500.00                 NaN   99.4987       0.645536E-001            NaN  0.436704                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1500.81        2500.00                 NaN   99.4964       0.492865E-002            NaN  0.498701                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1499.33        2500.00                 NaN   99.4981                 NaN            NaN  0.501906                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1497.84        2500.00                 NaN   99.4872                 NaN            NaN  0.512819                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1496.35        2500.00                 NaN   99.5138       0.377260E-001            NaN  0.448492                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1494.87        2500.00                 NaN   99.4992                 NaN            NaN  0.500759                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1493.38        2500.00                 NaN   98.9693       0.142602E-002            NaN   1.02923                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1491.90        2500.00                 NaN   99.9990                 NaN            NaN  0.101465E-002            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1490.41        2500.00                 NaN   99.5638                 NaN            NaN  0.436247                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1488.92        2500.00                 NaN   99.4672       0.456931E-001            NaN  0.487132                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1487.44        2500.00                 NaN   99.4978       0.331226E-001            NaN  0.469039                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1485.95        2500.00                 NaN   99.4913                 NaN            NaN  0.508676                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1484.47        2500.00                 NaN   99.4940                 NaN            NaN  0.506014                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1482.98        2500.00                 NaN   99.3812                 NaN            NaN  0.422207       0.196634                 NaN            NaN            NaN            NaN            NaN            NaN
  1481.49        2500.00                 NaN   99.2475                 NaN            NaN  0.446808       0.305646                 NaN            NaN            NaN            NaN            NaN            NaN
  1480.01        2500.00                 NaN   99.2550                 NaN            NaN  0.441941       0.303034                 NaN            NaN            NaN            NaN            NaN            NaN
  1478.52        2500.00                 NaN   99.2605                 NaN            NaN  0.439530       0.299960                 NaN            NaN            NaN            NaN            NaN            NaN
  1477.03        2500.00                 NaN   99.2685                 NaN            NaN  0.434015       0.297494                 NaN            NaN            NaN            NaN            NaN            NaN
  1475.55        2500.00                 NaN   99.2745                 NaN            NaN  0.293931       0.431529                 NaN            NaN            NaN            NaN            NaN            NaN
  1474.06        2500.00                 NaN   99.2827                 NaN            NaN  0.426159       0.291109                 NaN            NaN            NaN            NaN            NaN            NaN
  1472.58        2500.00                 NaN   99.4569                 NaN            NaN  0.219577       0.323534                 NaN            NaN            NaN            NaN            NaN            NaN
  1471.09        2500.00                 NaN   99.1257                 NaN            NaN  0.354526       0.519753                 NaN            NaN            NaN            NaN            NaN            NaN
  1469.60        2500.00                 NaN   99.3013                 NaN            NaN  0.282428       0.416283                 NaN            NaN            NaN            NaN            NaN            NaN
  1468.12        2500.00                 NaN   99.3083                 NaN            NaN  0.279125       0.412529                 NaN            NaN            NaN            NaN            NaN            NaN
  1466.63        2500.00                 NaN   99.3137                 NaN            NaN  0.409231       0.277079                 NaN            NaN            NaN            NaN            NaN            NaN
  1465.15        2500.00                 NaN   99.2994                 NaN            NaN  0.304590       0.395977                 NaN            NaN            NaN            NaN            NaN            NaN
  1463.66        2500.00                 NaN   99.3383                 NaN            NaN  0.244488       0.417188                 NaN            NaN            NaN            NaN            NaN            NaN
  1462.17        2500.00                 NaN   99.3376                 NaN            NaN  0.267672       0.394745                 NaN            NaN            NaN            NaN            NaN            NaN
  1460.69        2500.00                 NaN   99.3380                 NaN            NaN  0.266888       0.395136                 NaN            NaN            NaN            NaN            NaN            NaN
  1459.20        2500.00                 NaN   99.3430                 NaN            NaN  0.392292       0.264734                 NaN            NaN            NaN            NaN            NaN            NaN
  1457.72        2500.00                 NaN   99.3496                 NaN            NaN  0.388664       0.261779                 NaN            NaN            NaN            NaN            NaN            NaN
  1456.23        2500.00                 NaN   99.3548                 NaN            NaN  0.259313       0.385846                 NaN            NaN            NaN            NaN            NaN            NaN
  1454.74        2500.00                 NaN   99.3598                 NaN            NaN  0.257101       0.383112                 NaN            NaN            NaN            NaN            NaN            NaN
