|6.6.6
Archiving\03_Data\eqfrac/QFM_m2.5/EETA/EETA_1.tab                         
           1
T(K)    
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
T(K)           P(bar)         melt(TH)       Cpx(TH)        Cpx(TH)        Cpx(TH)        Sp(TH)         O(HP)          an             San(TH)        ilm            q             
  1461.54        2500.00        99.8502       0.149791                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1460.38        2500.00        99.3535       0.320280       0.326024                 NaN  0.149721E-003  0.183552E-005            NaN            NaN            NaN            NaN
  1459.23        2500.00        99.2829       0.490464       0.226602                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1458.07        2500.00        99.2869       0.487552       0.225531                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1456.91        2500.00        99.2902       0.481916       0.226838                 NaN  0.104713E-002            NaN            NaN            NaN            NaN            NaN
  1455.76        2500.00        99.2942       0.482083       0.223693                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1454.60        2500.00        99.2975       0.480241       0.222305                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1453.44        2500.00        99.2999       0.476386       0.223288                 NaN  0.398119E-003            NaN            NaN            NaN            NaN            NaN
  1452.29        2500.00        99.2761       0.495212       0.228724                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1451.13        2500.00        99.3381       0.211257       0.450094                 NaN  0.537342E-003            NaN            NaN            NaN            NaN            NaN
  1449.97        2500.00        99.3116       0.220038       0.467640                 NaN  0.700239E-003            NaN            NaN            NaN            NaN            NaN
  1448.82        2500.00        99.3132       0.467046       0.219053                 NaN  0.650589E-003            NaN            NaN            NaN            NaN            NaN
  1447.66        2500.00        99.2996       0.224062       0.475716                 NaN  0.656432E-003  0.150860E-005            NaN            NaN            NaN            NaN
  1446.50        2500.00        99.3397       0.449207       0.210459                 NaN  0.594070E-003            NaN            NaN            NaN            NaN            NaN
  1445.35        2500.00        99.3253       0.216234       0.457898                 NaN  0.571009E-003            NaN            NaN            NaN            NaN            NaN
  1444.19        2500.00        99.3285       0.214960       0.455975                 NaN  0.554797E-003  0.317530E-005            NaN            NaN            NaN            NaN
  1443.03        2500.00        99.3217       0.216295       0.461488                 NaN  0.536755E-003            NaN            NaN            NaN            NaN            NaN
  1441.88        2500.00        99.3420       0.210154       0.447345                 NaN  0.488738E-003            NaN            NaN            NaN            NaN            NaN
  1440.72        2500.00        99.3367       0.450757       0.212129                 NaN  0.459651E-003            NaN            NaN            NaN            NaN            NaN
  1439.56        2500.00        99.3393       0.210848       0.449413                 NaN  0.439775E-003            NaN            NaN            NaN            NaN            NaN
  1438.41        2500.00        99.2801       0.489598       0.229801                 NaN  0.475871E-003            NaN            NaN            NaN            NaN            NaN
  1437.25        2500.00        99.4072       0.403207       0.189325                 NaN  0.308266E-003            NaN            NaN            NaN            NaN            NaN
  1436.09        2500.00        99.3484       0.438903       0.210888                 NaN  0.183292E-002            NaN            NaN            NaN            NaN            NaN
  1434.93        2500.00        99.3501       0.443405       0.206526                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1433.78        2500.00        99.2608       0.502641       0.236208                 NaN  0.391493E-003            NaN            NaN            NaN            NaN            NaN
  1432.62        2500.00        99.4487       0.372513       0.177713                 NaN  0.105382E-002            NaN            NaN            NaN            NaN            NaN
  1431.46        2500.00        99.3567       0.203713       0.439574                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  1430.31        2500.00        98.6411       0.954364       0.390721                 NaN            NaN  0.138206E-001            NaN            NaN            NaN            NaN
  1429.15        2500.00        99.9952                 NaN            NaN            NaN  0.217992E-003  0.345138E-005  0.457351E-002            NaN            NaN            NaN
  1427.99        2500.00        98.8266       0.380906       0.498936                 NaN  0.739599E-003  0.952017E-005  0.292831                 NaN            NaN            NaN
  1426.84        2500.00        98.4381       0.472880       0.591474                 NaN            NaN  0.506660E-001  0.446892                 NaN            NaN            NaN
  1425.68        2500.00        98.4250       0.549656       0.292842                 NaN            NaN  0.251084       0.481413                 NaN            NaN            NaN
  1424.52        2500.00        98.4351       0.315194       0.540048                 NaN            NaN  0.233685       0.475965                 NaN            NaN            NaN
  1423.37        2500.00        98.4515       0.539710       0.294894                 NaN            NaN  0.241680       0.472258                 NaN            NaN            NaN
  1422.21        2500.00        98.4722       0.285789       0.534689                 NaN            NaN  0.241302       0.466067                 NaN            NaN            NaN
  1421.05        2500.00        98.4879       0.532087       0.277609                 NaN            NaN  0.241111       0.461279                 NaN            NaN            NaN
  1419.90        2500.00        98.5080       0.526684       0.267911                 NaN            NaN  0.241866       0.455554                 NaN            NaN            NaN
